Rijlabels;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
ATP Business Travel B.V.;1;;1
Conrad Electronic Benelux B.V.;;1;1
De Utrechtse Haven B.V.;1;;1
De Zalen van Zeven;2;;2
De Zilveren Vosch B.V.;1;;1
Domstad Evenementen B.V.;1;;1
Ernst Sillem Hoeve B.V.;1;;1
Fletcher Hotel Restaur. De Wageningsche Berg;1;;1
Groeneveld Horeca B.V.;1;;1
House of Lords B.V.;1;;1
Leaseplan Nederland N.V.;;8;8
M.M. Projects B.V.;1;;1
NH Den Haag;1;;1
OIB Leerhotel B.V.;1;;1
Oudaen B.V.;1;;1
Schiphol Nederland B.V.;;1;1
Seats2Meet.com Utrecht B.V.;1;;1
Social Impact Factory Utrecht B.V.;1;;1
Specialtours Events;1;;1
Tower Leisure B.V.;1;;1
Worldmeetings.com B.V.;6;;6
Ibis Den Haag City Centre;1;;1
De Witte Vosch B.V.;1;;1
P1 Off Street Management B.V.;;1;1
Maliebaan45 B.V.;1;;1
Kaap Doorn B.V.;2;;2
Snavelenburg Beheer B.V.;1;;1
Veba Meditemp B.V.;;1;1
Novotel Den Haag;1;;1
Defabrique Evenementen B.V.;2;;2
Kasteel Oud-Poelgeest B.V.;2;;2
Mediscon Projektivity;1;;1
Vergadercentrum Vredenburg;2;;2
Kloosterhotel ZIN B.V.;1;;1
Anna Vastgoed & Cultuur;2;;2
Oostduinhaghe Hotel B.V.;1;;1
A12 Van der Valk Hotel Veenendaal B.V.;1;;1
Hotel-Café-Restaurant De Biltsche Hoek;2;;2
bijHanz, B.V.;1;;1
Cuisine Royale B.V.;1;;1
Bakx & Meijer catering en organisatie;1;;1
Van der Valk Hotel Eindhoven;1;;1
Delirium Café Amsterdam;1;;1
LHC Exploitatie B.V.;1;;1
Vital Change B.V.;1;;1
Groot Kievitsdal;1;;1
Van de Weerd's Autobedrijf Bennekom B.V.;;1;1
Zeeuwse Visveiling Vlissingen B.V.;1;;1
Rhine Zwolle Opco B.V.;1;;1
Golden Tulip Weert;1;;1
Heart Connected;1;;1
TomTom Telematics Sales B.V.;;1;1
De Bergse Bossen;2;;2
Absoluta Food and Facilities B.V.;1;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;1;;1
Hoeve de Hulsdonk;1;;1
V.d. Valk Hotel Apeldoorn de Cantharel B.V.;1;;1
Bierbrouwerij De Koningshoeven B.V.;1;;1
Griftpark 1;1;;1
Centrum Quadraat;1;;1
TVHG Budget Randstad IV B.V.;1;;1
Hotel PTC + B.V.;1;;1
Eindtotaal;6;8;9
