2018: weekoverzichten F-16 inzet anti-ISIS coalitie;;;;;
Start periode operaties;Einde periode operaties (datum is tot en met);Datum uitgifte overzicht;M = uitgevoerde missie-opdrachten;W = aantal keren wapeninzet (x) = cumulatief;Overzicht operaties 
1-1-2018;2-1-2018;3-1-2018;;;De hoofdmacht van een 150-koppig F-16-detachement is aangekomen in het Midden-Oosten. Vanuit gastland Jordanië nemen de militairen deel aan de coalitie die strijdt tegen terreurorganisatie ISIS. Een overzicht van Defensieoperaties van 26 december 2017 tot en met 2 januari 2018.
;;;;;6 Nederlandse F-16-gevechtsvliegtuigen, waaronder 2 reservetoestellen, vliegen vandaag naar het uitzendgebied. Nederland lost daar België af. Dat gebeurde omgekeerd met de eenheid die de toestellen bewaakt. De Nederlandse force protection droeg de taken over aan de zuiderburen.
3-1-2018;9-1-2018;10-1-2018;M: 6;W: 1;De in Jordanië gestationeerde Nederlandse F-16's hebben ter ondersteuning van grondtroepen een ISIS-opstelling aangevallen. Dit gebeurde nabij de stad Abu Kamal in de provincie Dayr az Zawr in het oosten van Syrië. Nederland neemt boven Irak en Oost Syrië in coalitieverband deel aan de strijd tegen terreurorganisatie ISIS. Een overzicht van Defensieoperaties in de week van 3 tot en met 9 januari 2018.
;;;;;De jachtvliegtuigen ondersteunden grondtroepen tijdens zes missies. Vier van deze vluchten vonden plaats boven de Iraakse provincies Ninawa, Sala ad-Din en Anbar en in de omgeving van Kirkuk, een vijfde was boven Oost-Syrië. Hierbij zijn geen wapens ingezet. Alleen tijdens de zesde missie in Oost Syrië zijn wapens ingezet.
10-1-2018;16-1-2018;17-1-2018;M: 9 (15);W: 1 (2);Nederlandse F-16's hebben ter ondersteuning van grondtroepen een ISIS-strijder aangevallen. Dat gebeurde in de omgeving van Abu Hammam in de oostelijke provincie Deir Al Zour in Syrië. Een overzicht van Defensieoperaties in de week van 10 tot en met 16 januari 2018.
;;;;;De jachtvliegtuigen hielpen grondtroepen tijdens 9 missies: 5 vluchten waren boven de Iraakse provincies Al-Anbar en Ninawa, 4 boven het Syrische Deir Al Zour, waarbij 1 keer wapens zijn ingezet. 
;;;;;Nederland neemt boven Irak en Oost Syrië in coalitieverband deel aan de strijd tegen terreurorganisatie ISIS.
17-1-2018;23-1-2018;24-1-2018;M: 8 (23);W: 3 (5);Nederlandse F-16's hebben ter ondersteuning van grondtroepen ISIS opstellingen en gepantserde voertuigen aangevallen. Dat gebeurde in de buurt van Abu Kamal in de provincie Deir Al Zour in Oost-Syrië en in de omgeving van Rutba in de Iraakse provincie Al Anbar. Een overzicht van Defensieoperaties in de week van 17 tot en met 23 januari 2018.
;;;;;De jachtvliegtuigen hielpen de grondtroepen tijdens 8 missies, ook boven de Iraakse provincie Ninawa. Bij 3 van deze missies werden wapens ingezet. 
;;;;;Nederland neemt boven Irak en Oost-Syrië in coalitieverband deel aan de strijd tegen terreurorganisatie ISIS.
24-1-2018;30-1-2018;31-1-2018;M: 12 (35);W: 6 (11);Nederlandse F-16's vielen ter ondersteuning van grondtroepen ISIS-doelen aan, waaronder gebouwen, opstellingen, een hoofdkwartier en een opslaglocatie. Dat gebeurde in de buurt van Al Ramadi en Abu Kamal in de provincie Deir Al Zour in Oost-Syrië. Een overzicht van Defensieoperaties in de week van 24 tot en met 30 januari 2018.
;;;;;De jachtvliegtuigen hielpen de grondtroepen tijdens 12 missies, ook boven de Iraakse provincies Ninawa en Al Anbar. Bij 6 werden wapens ingezet.
;;;;;Nederland neemt boven Irak en Oost-Syrië in coalitieverband deel aan de strijd tegen terreurorganisatie ISIS.
31-1-2018;6-2-2018;7-2-2018;M: 11 (46);W: 4 (15);Nederlandse F-16's vielen ter ondersteuning van grondtroepen ISIS-doelen aan: strijders, logistieke opslaglocaties en artillerieopstellingen. Dat gebeurde in de omgeving van Abu Kamal in de provincie Deir Al Zour in Oost-Syrië. Een overzicht van Defensieoperaties in de week van 31 januari tot en met 6 februari 2018.
;;;;;De jachtvliegtuigen hielpen de grondtroepen tijdens 11 missies, ook boven de Iraakse provincies Ninawa, Sala ad-Din en As-Sulaymaniyah. Bij 4 werden wapens ingezet. 
;;;;;Nederland doet boven Irak en Oost-Syrië in coalitieverband mee aan de strijd tegen terreurorganisatie ISIS.
7-2-2018;13-2-2018;14-2-2018;M: 8 (54);W: 2 (17);Nederlandse F-16's vielen ter ondersteuning van grondtroepen ISIS-strijders en een logistieke opslagplaats aan. Dat gebeurde in de omgeving van Abu Kamal in de provincie Deir Al Zour in Oost-Syrië. Een overzicht van Defensieoperaties in de week van 7 tot en met 13 februari 2018.
;;;;;De jachtvliegtuigen hielpen de grondtroepen, ook boven de Iraakse provincie Al-Anbar, tijdens 8 missies. Bij 2 werden wapens ingezet. 
;;;;;Nederland strijdt boven Irak en Oost-Syrië in coalitieverband tegen terreurorganisatie ISIS.
14-2-2018;20-2-2018;21-2-2018;M: 9 (63);W: 1 (18);Nederlandse F-16's vielen ter ondersteuning van grondtroepen ISIS-strijders aan. Dat gebeurde in de omgeving van Abu Kamal in de provincie Deir Al Zour in Oost-Syrië. Een overzicht van Defensieoperaties in de week van 14 tot en met 21 februari 2018. 
;;;;; De jachtvliegtuigen ondersteunden grondtroepen tijdens 9 missies. Bij 1 missie werden wapens ingezet. Zij vertoonden zich ook in de Iraakse provincies Ninawa en Diyala. 
;;;;; Nederland strijdt boven Irak en Oost-Syrië in coalitieverband tegen terreurorganisatie ISIS.
21-2-2018;27-2-2018;28-2-2018;M: 9 (72);W: 1 (19);Nederlandse F-16's vielen ter ondersteuning van grondtroepen ISIS-strijders en voertuigen aan. Dat gebeurde in de omgeving van Abu Kamal in de provincie Deir Al Zour in Oost-Syrië. De jachtvliegtuigen ondersteunden grondtroepen tijdens 9 missies, waaronder in de Iraakse provincies Ninawa, Kirkuk en Al Anbar. Bij 1 missie werden wapens ingezet.
28-2-2018;6-3-2018;7-3-2018;M: 10 (82);W: 0 (19);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 10 missies Dat gebeurde boven de provincie Deir Al Zour in Oost-Syrië en de Iraakse provincie Al Anbar. Er werden geen wapens ingezet.
7-3-2018;13-3-2018;14-3-2018;M: 10 (92);W: 2 (21);Nederlandse F-16's vielen ter ondersteuning van grondtroepen ISIS-strijders aan. Dat gebeurde in de buurt van Abu Kamal in de provincie Deir Al Zour in Oost-Syrië. Een overzicht van Defensieoperaties in de week van 7 tot en met 13 maart 2018.
;;;;;De jachtvliegtuigen hielpen de grondtroepen tijdens 10 missies, ook boven de Iraakse provincies Salah ad Din en Kirkuk. Bij 2 missies werden wapens ingezet.
14-3-2018;20-3-2018;21-3-2018;M: 10 (102);W: 0 (21);Nederlandse F-16's ondersteunden grondtroepen boven de Iraakse provincies Ninawa, Al-Anbar, Kirkuk, Erbil en Diyala en de Syrische provincie Deir Al Zour. Dat gebeurde tijdens 10 missies. Er werden geen wapens ingezet.
;;;;;Nederland neemt boven Irak en Oost-Syrië in coalitieverband deel aan de strijd tegen terreurorganisatie ISIS.
21-3-2018;27-3-2018;28-3-2018;M: 7 (109);W: 1 (22);Nederlandse F-16's ondersteunden grondtroepen met een aanval op een logistieke opslagplaats van ISIS. Dat gebeurde in de Syrische provincie Hasakeh. Een overzicht van Defensieoperaties in de week van 21 tot en met 27 maart 2018.
;;;;;De jachtvliegtuigen ondersteunden grondtroepen tijdens 7 missies, waaronder in de Iraakse provincies Al Anbar en de Syrische provincie Deir Al Zour. Nederland strijdt boven Irak en Oost-Syrië in coalitieverband tegen terreurorganisatie ISIS
28-3-2018;3-4-2018;4-4-2018;M: 8 (117);W: 0 (22);Nederlandse F-16's ondersteunden grondtroepen tijdens 8 missies. Dat gebeurde onder meer in de Syrische provincies Abu Kamal en Deir Al Zour. In Irak vlogen de jachtvliegtuigen missies boven de provincies Sala ad-Din en Diyala. Bij geen van de missies zijn wapens ingezet. Een overzicht van Defensieoperaties in de week van 28 maart tot en met 3 april 2018.
4-4-2018;10-4-2018;11-4-2018;M: 6 (123);W: 0 (22);Nederlandse F-16's ondersteunden grondtroepen tijdens 6 missies. Dat gebeurde in de Syrische provincie Deir Al Zour. In Irak vlogen de jachtvliegtuigen boven de provincie Kirkuk. Tijdens deze missies zijn geen wapens ingezet. Een overzicht van Defensieoperaties in de week van 4 tot en met 11 april 2018. 
11-4-2018;17-4-2018;18-4-2018;M: 9 (132);W: 0 (22);Nederlandse F-16's ondersteunden grondtroepen tijdens 9 missies. Dat gebeurde in de Syrische provincie Deir Al Zour. Tijdens deze missies zijn geen wapens ingezet. Een overzicht van Defensieoperaties in de week van 11 tot en met 17 april 2018. 
18-4-2018;24-4-2018;25-4-2018;M: 9 (141);W: 1 (23);Nederlandse F-16's vielen ter ondersteuning van grondtroepen ISIS-strijders aan. Dat gebeurde in de omgeving van Abu Kamal in de provincie Deir Al Zour in Oost-Syrië. De jachtvliegtuigen ondersteunden grondtroepen tijdens 9 missies, waaronder in de provincie Al Hasakeh in Irak. In 1 geval werden wapens ingezet.
25-4-2018;1-5-2018;2-5-2018;M: 9 (150);W 0 (23);Nederlandse F-16's vlogen 9 missies in de omgeving van Abu Kamal in de Syrische provincie Deir Al Zour. Tijdens deze missies zijn geen wapens ingezet. Een overzicht van Defensieoperaties in de week van 25 april tot en met 2 mei 2018.
2-5-2018;8-5-2018;9-5-2018;M: 7 (157);W: 1 (24);Nederlandse F-16's vielen ter ondersteuning van grondtroepen een ISIS hoofdkwartier aan. Dat gebeurde in de provincie Al Hasakeh in Oost-Syrië. De jachtvliegtuigen ondersteunden afgelopen week de grondtroepen tijdens 7 missies boven de Syrische provincie Deir Al Zour. Bij 1 missie werden wapens ingezet.
9-5-2018;15-5-2018;16-5-2018;M: 10 (167);W: 2 (26);Nederlandse F-16's vielen tijdens 2 missies ter ondersteuning van grondtroepen een ISIS hoofdkwartier en ISIS-strijders aan. Dat gebeurde in de buurt van Abu Kamal in de provincie Deir Al Zour in Oost-Syrië. 
;;;;;De jachtvliegtuigen ondersteunden afgelopen week de grondtroepen tijdens 10 missies in de strijd tegen ISIS in de provincie Deir al Zour in Oost-Syrië. Bij 2 missies werden wapens ingezet.
16-5-2018;22-5-2018;23-5-2018;M 8 (175);W: 0 (26);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 8 missies. Dat gebeurde in de provincie Deir Al Zour in Oost-Syrië en nabij de Iraakse provincie Al Abar. Bij geen van de missies zijn wapens ingezet.
23-5-2018;29-5-2018;30-5-2018;M 8 (183);W: 2 (28);Nederlandse F-16's vielen ter ondersteuning van grondtroepen bij 2 missies ISIS-hoofdkwartieren  aan. Dat gebeurde in de omgeving van Abu Kamal en Hajin in de provincie Deir Al Zour in Oost-Syrië. 
;;;;;De jachtvliegtuigen ondersteunden de grondtroepen de afgelopen week tijdens 8 missies. Bij 2 daarvan werden wapens ingezet. Nederland neemt boven Irak en Oost-Syrië in coalitieverband deel aan de strijd tegen terreurorganisatie ISIS.
30-5-2018;5-6-2018;6-6-2018;M: 9 (192);W: 3 (31);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies. Bij 3 daarvan zijn wapens ingezet. Dat gebeurde in de omgeving van Abu Kamal en Hajin in de provincie Deir Al Zour in Oost-Syrië. Hierbij zijn onder andere ISIS-strijders en logistieke opslagplaatsen aangevallen. Ook is gevlogen boven de Irakese provincie Ninawa. Een overzicht van Defensieoperaties in de week van 30 mei tot en met 5 juni 2018.
6-6-2018;12-6-2018;13-6-2018;M: 11 (203);W: 0 (31);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 11 missies. Dat gebeurde boven de provincies Deir al Zour en Al Hasakah in Oost-Syrië. Bij geen van de missies zijn wapens ingezet. Een overzicht van Defensieoperaties in de week van 6 juni tot en met 12 juni 2018.
13-6-2018;19-6-2018;20-6-2018;M: 6 (209);W: 0 (31);In de strijd tegen terreurgroep ISIS vlogen Nederlandse F-16's 6 missies boven de provincie Al Hasakah in Oost-Syrië. Daarbij zijn geen wapens ingezet. Een overzicht van Defensieoperaties in de week van 13 juni tot 20 juni 2018.
20-6-2018;26-6-2018;27-6-2018;M: 6 (215);W: 1 (32);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 6 missies. Dat gebeurde boven de provincies Al Anbar in Irak, Al Hasakah en Deir al Zour in Oost-Syrië. Bij een missie zijn wapens ingezet. Een overzicht van Defensieoperaties in de week van 20 tot 27 juni 2018.
27-6-2018;3-7-2018;4-7-2018;M: 8 (223);W: 0 (32);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 8 missies. Er werden geen wapens ingezet. Dat gebeurde boven de provincies Deir Al Zour en Al Hasakah in Oost-Syrië. Een overzicht van Defensieoperaties in de week van 27 juni tot 4 juli 2018.
4-7-2018;10-7-2018;11-7-2018;M: 9 (232);W: 1 (33);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies. Bij 1 missie zijn wapens ingezet. Dat gebeurde in de buurt van Mosul in de provincie Ninawah in Irak. De aanval was op een logistieke opslagplaats van ISIS. De toestellen vlogen de overige missies boven de provincies Deir Al Zour en Al Hasakah in Oost-Syrië. 
11-7-2018;17-7-2018;18-7-2018;M: 10 (242);W: 0 (33);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 10 missies. Dat gebeurde in de Syrische provincies Deir al Zour, Al Hasakeh en in de Iraakse provincies Al Anbar en Ninawa. Er zijn geen wapens ingezet.
18-7-2018;24-7-2018;25-7-2018;M: 9 (251);W: 0 (33);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies. Ze waren allemaal in de Syrische provincie Deir al Zour. Er zijn geen wapens ingezet.
25-7-2018;31-7-2018;1-8-2018;M: 9 (260);W: 0 (33);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies, alle in de Syrische provincie Deir al Zour. Er zijn geen wapens ingezet. Een overzicht van Defensieoperaties in de week van 25 juli tot 1 augustus 2018.
1-8-2018;7-8-2018;8-8-2018;M: 9 (269);W: 0 (33);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies in de Syrische provincie Deir al Zour. Er zijn geen wapens ingezet. Een overzicht van Defensieoperaties in de week van 1 tot 8 augustus 2018.
8-8-2018;17-8-2018;18-8-2018;M: 10 (279);W: 2 (35);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 10 missies in de Syrische provincie Deir al Zour. 2 keer zijn wapens ingezet. Een keer nabij Hajin en een keer nabij Abu Kamal. Het betrof beide keren een aanval op een logistieke opslagplaats. Een overzicht van Defensieoperaties in de week van 8 tot 15 augustus 2018.
18-8-2018;21-8-2018;22-8-2018;M: 10 (289);W: 0 (35);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 10 missies boven de Syrische provincie Deir al Zour en de Iraakse provincie Ninawa.
22-8-2018;28-8-2018;29-8-2018;M: 10 (299);W: 0 (35);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 10 missies boven de Syrische provincie Deir al Zour. Een overzicht van Defensieoperaties in de week van 22 tot 29 augustus 2018.
29-8-2018;4-9-2018;5-9-2018;M: 9 (308);W: 1 (36);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 8 missies boven de Syrische provincie Deir al Zour en 1 boven Irak. Bij de laatste zijn wapens ingezet. Daarbij is een ISIS-voertuig uitgeschakeld. Deze inzet vond plaats in de Irakese provincie Al Anbar in de buurt van de Midden-Euphraat vallei.
5-9-2018;11-9-2018;12-9-2018;M: 9 (317);W: 1 (37);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies boven de Syrische provincie Deir al Zour en Irak. Hier is tijdens 1 vlucht wapeninzet geweest in de buurt van Hajin. Hierbij is een wapenopslagplaats van ISIS aangevallen. Een overzicht van Defensieoperaties in de week van 6 tot 12 september.
12-9-2018;18-9-2018;19-9-2018;M: 9 (326);W: 2 (39);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16's grondtroepen tijdens 9 missies boven de Syrische provincie Deir al Zour en Irak. Er zijn 2 keer wapens ingezet in de Syrische provincie Deir al Zour, in de omgeving van Abu Kamal. Logistieke opslagplaatsen van ISIS waren het doelwit. Een overzicht van Defensieoperaties in de week van 13 tot 18 september 2018.
;;;;;Afgelopen week maakte het kabinet bekend dat Nederland de bijdrage van F-16's in de strijd tegen ISIS na 31 december niet verlengt.
