Handelsnaam;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Fujitsu Technology Solutions B.V.;;;;;;;1;1
Fujiyama;;;;1;;;;1
Fullred B.V.;;;;6;;;;6
Fysiotherapeutisch Centrum Palenstein;;;;;;;1;1
G.P. Poiesz B.V.;;;;1;;;;1
Gartner Nederland B.V.;;;;;;;3;3
Gemnet B.V.;;;;;;1;;1
Geodan B.V.;;;1;1;;;;1
Get There Holding B.V.;;;;5;;;;5
Global Textware B.V.;;;;1;;;;1
Grand café De Bastille;;;;1;;;;1
GSMpunt B.V.;;;;;;1;;1
Haddock Solutions B.V.;6;2;;;;;;6
Hagnos Consultancy;;;;3;;;;3
Haptikos;;;;;;;1;1
Harvey Nash B.V.;;;;8;;;4;8
HeadFirst B.V.;;;;7;;;4;7
Health2Work B.V.;1;;1;;;;;1
Heerink Training & Education Services;1;;;;;;;1
Herlinda;;;;1;;;;1
HerstelDirect B.V.;;;1;1;;;;1
Hoezee B.V.;;;;1;;;;1
Hofkes Frölke Meekel Organisatiepsychol. B.V.;;;1;;;;;1
Hostice;;1;;;;;1;1
Hostnet B.V.;;;;;;;1;1
Hotel Contact B.V.;;;;3;;;;3
HuCaG Talent Development B.V.;;;;1;;;;1
Huis en Wonen;;;;;;;1;1
Humphrey's Zwolle B.V.;;;;1;;;;1
i Factors Rotterdam;1;;;;;1;;1
i3 groep;;;;;1;;6;6
IBM Nederland B.V.;;;;2;;;;2
Icorp.NL B.V.;;;;;;1;;1
ICT Partners Noord B.V.;;;;6;;;;6
IlionX Group B.V.;;;;5;;;;5
Improven B.V.;;;;4;;;;4
Infoprojects;;;3;1;;;2;3
Infradata Group B.V.;;;1;1;;;;2
Inframatica Consultants B.V.;;;;1;;;;1
Ingenico e-Commerce Solutions B.V.;;;;1;;;;1
Ingressus B.V.;;;;2;;;;2
Initial B.V.;;;;1;;;;1
Innovero Software Solutions B.V.;;;;1;;;;1
Instant Magazine B.V.;;;;1;;;;1
Insyde B.V.;;;1;;;;;1
Inter Access O.P. B.V.;;;;3;;;5;5
Intermax B.V.;1;;1;2;;;1;2
Intermax outsourcing;;;;;;;1;1
International Card Services B.V.;;;;;;1;;1
Internet Media B.V.;;;;;;;1;1
Internet Unie Services B.V.;;;;1;;;;1
Interscience B.V.;;1;;1;;;;1
Interstroom Informatietechnologie B.V.;;;;1;;;;1
Intimus International Netherlands B.V.;;2;;;;;4;4
IPMA Certificering B.V.;;;;1;;;;1
iQibt B.V.;;;;5;;;;5
iRev;;;;4;;;;4
IS Group B.V.;;;;5;;;2;5
Itcg Projects B.V.;;;;3;;;;3
IT-Staffing Nederland B.V.;;;;5;;;2;5
IT-Test;;;;2;;;;2
J.J.L. Wiggers Holding B.V.;;;1;;;;;1
Javaans Eetcafé Groningen B.V.;;;;1;;;;1
JR Horeca Company B.V.;;;;1;;;;1
Kessels & Smit Something B.V.;;;;1;;;;1
Kinderboekenweb;;;;;2;;;2
KPN B.V.;;;;2;;1;;2
KPN Contact lokatie Eindhoven;;;;5;4;4;3;6
KPN Corporate Market;;;;1;2;1;1;2
KPN HotSpots;7;6;;4;;;7;8
KPN XL;;;;4;;1;;4
KTC (Kiewiet Test Consultancy);;;;3;;;;3
Labeldirect;;;;1;;;;1
Land van Kokanje B.V.;;;;1;;;;1
LeaseWeb Netherlands B.V.;;;;;;;1;1
Leferink Office Works B.V.;;2;1;2;;1;4;4
Leukeleu B.V.;;;;;;;1;1
Lexmark International B.V.;;;;2;;;;2
LiveWords B.V.;;;;;1;;;1
LNR Globalcom B.V.;;;;;;1;;1
Locatienet B.V.;;;1;;;;;1
Log*in Consultants Nederland B.V.;;;;;;;4;4
Logic Level B.V.;;;;4;;;;4
Logicworks B.V.;;;1;;;;;1
Logopediepraktijk Renée Vennema;;;;1;;;;1
Lyreco Nederland B.V.;;;;1;;;;1
M & I /Partners B.V.;;;;3;;;;3
Maatschap Jager/Scholtens;;;;1;;;;1
Malengo B.V.;;;;1;;;;1
Manutan B.V.;;1;;;;;;1
Marc Seelen B.V.;;;;1;;;;1
Matchd;;;;2;;;;2
Matsu Consultancy;;;;1;;;;1
Mavim B.V.;;;3;4;;;;4
Mbits;;;;;;;2;2
Media Markt Arena B.V.;;;;;;2;;2
Media Markt Ede B.V.;;1;;;;;;1
MediaCaster B.V.;;;;;;;4;4
Mendix Technology B.V.;;;;;;;2;2
Metamatter;;;;1;;;;1
Michael Bailey Associates Limited;;;;4;;;;4
Micro Focus N.V.;;;;1;;;;1
Micromacro Consultants B.V.;;;1;;;;;1
Mindbus B.V.;;;;;;;1;1
MSP Nederland B.V.;;;;1;;;;1
Multi-Post Services B.V.;;1;;;;;;1
MyForms B.V.;;;1;;;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;;;1;1
Negometrix B.V.;;;;1;;;;1
Neuteboom Automatisering B.V.;1;;;;;;;1
New Nexus B.V.;;;;7;;;;7
Nieuwland Opleidingen B.V.;;;1;2;;;2;2
Nováccent Group B.V.;;;;2;;;;2
Nsecure B.V.;;;;1;;;;1
O&i management consultants B.V.;;;;2;;;;2
OCLC B.V.;;;;;;;3;3
Office Depot B.V.;;;2;;;;;2
Officeheart B.V.;;;1;5;;;;5
Okami;;;;1;;;;1
One Fox B.V.;;;;;;;3;3
Onestopsourcing B.V.;;;;7;;;1;7
Ontwerpwerk B.V.;;;;;;;1;1
Open Text Coöperatief U.A.;;;;;;;2;2
Ordina Technologie & Competenties B.V.;;;;8;;;3;8
Ormer ICT Outsourcing B.V.;;;;6;;;;6
Papyrus Groep Nederland B.V.;;;;1;;;;1
PBLQ B.V.;;;;3;;;;3
PCextreme;;;;1;;;;1
PensioenKompaan;;;;1;;;;1
Phi Methods;;;1;;;;;1
Picturae ICT B.V.;;;;6;;;;6
Planon B.V.;;1;;3;;;2;4
Plusine Systems B.V.;;;;1;;;;1
PQR B.V.;3;4;4;5;;;;6
Prakt. voor huid- en Haarverz. Loes vd Laan;;;;1;;;;1
Pricewaterhousecoopers B.V.;;;;1;;;;1
Prisma-IT B.V.;;;;2;;;2;2
Proevens;;;;1;;;;1
Protinus IT B.V.;6;7;;1;2;3;1;7
Provider;;;;;;;1;1
Proxy Managed Services B.V.;;;;2;;;;2
Q Delft B.V.;;;;;;;2;2
QNH Consulting Midden B.V.;;;;6;;;;6
QSM Nederland B.V.;;;;2;;;;2
Quintor B.V.;;;;7;;;;7
QuoVadis Trustlink B.V.;;;1;1;;;;1
Q-Vision B.V.;1;;;;;;;1
Redhotminute B.V.;;;;1;;;2;2
Reflex Online B.V.;;;;2;;1;;2
Reisinformatiegroep B.V.;;;;1;;;;1
Reisswolf Nederland B.V.;;;;1;;;;1
Rem Automatisering B.V.;;;;1;;;;1
Restaurant Wox;;;;1;;;;1
Ribhouse Bronco;;;;1;;;;1
Ricoh Nederland B.V.;;1;;2;;;2;3
Rolf Blijleven;;;;1;;;;1
Rulemanagement Group B.V.;;;;5;;;;5
