;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal;
7Digits B.V.;;1;;;;;;1;
ABB Holdings B.V.;;1;;;;;;1;
Academy Pictures B.V.;;;;;;;3;3;
Advisie Holding B.V.;;;;1;;;;1;
Aenova B.V.;;;;;;;1;1;
Aino Recruitment Services B.V.;;;;;1;;;1;
Allekabels B.V.;1;;;;;;;1;
A-Mac B.V.;1;;;;;;;1;
AMBRA B.V.;;;;;;;2;2;
Amtex;;;;1;;;;1;
Apples n Berrys B.V.;;;;;;1;;1;
Archivast Holland B.V.;;;;1;;;;1;
ArchiXL B.V.;;;2;;;;;2;
Arrow Holding B.V.;;;1;1;;;;1;
Atos Nederland B.V.;2;6;;7;;2;8;8;
Avex B.V.;;1;;1;;2;;2;
Bamadi Holding B.V.;;;;;;;3;3;
Bazelmans Audio Visual Rentals;;;;2;;;;2;
Bek Holding B.V.;;;;;;;1;1;
Belstore.Com B.V.;;;;;;2;2;3;
BHVstore.nl;;;;;;1;;1;
Bio-ITech B.V.;;;1;;;;;1;
Bit Direct;6;2;;;;2;2;6;
Bloemendaal Consultancy B.V.;;;;1;;;;1;
Bluedesk CRM B.V.;;;;;;;2;2;
Blueriq B.V.;;;;2;;;;2;
bol.com B.V.;1;1;;;;1;;1;
BPI Services B.V.;;;;1;;;;1;
Branchfire Inch.;;;;1;;;;1;
Breinmonster;;;;;;;1;1;
Brisk ICT B.V.;1;;;;;;;1;
Brunel CR B.V.;;;;;;;6;6;
Brunel Nederland B.V.;;;;5;;;;5;
Buyitdirect.com N.V.;5;7;;;;1;;7;
Bys Hosting B.V.;;;;;;;1;1;
Calendula B.V.;;;;;;;1;1;
Canon Nederland N.V.;1;4;1;3;;;1;4;
Capgemini Nederland B.V.;;;;8;;;7;8;
Capwell B.V.;;;1;;;;;1;
cegeka-dsa;;;1;;;;;1;
Centralpoint Amstelveen B.V.;1;;1;;;;;1;
Centralpoint Nijmegen B.V.;7;8;4;5;4;5;1;9;
Centric Netherlands B.V.;;;;7;;;;7;
CGI Nederland B.V.;;;;7;;;;7;
Chef marketing;;;1;;;;;1;
Cimsolutions;;1;;7;;;6;7;
Citrus Andriessen B.V.;;;;2;;;;2;
Claranet Benelux B.V.;;;;;;;1;1;
CM.COM Netherlands B.V.;;;;;;2;;2;
Combell B.V.;;;;1;;;;1;
Comcross;2;;;1;;;;2;
Community Network Groningen B.V.;;2;;;2;3;;4;
Company.Info B.V.;;;;;;;1;1;
COMPAREX Nederland B.V.;1;7;4;8;7;2;5;9;
Computacenter;;3;;2;;;;4;
Conferencing4All;;;;;;;2;2;
Connected Information Systems B.V.;;;1;;;;;1;
Coolblue B.V.;;;2;;;;;2;
Coöperatie De Betekenaar UA;;;;1;;;;1;
Coöperatie SURF UA;;;;2;;;;2;
Coosto B.V.;;;;1;;;;1;
Crewlink Ireland Ltd.;;;;;;;1;1;
Daliem;;;;2;;;;2;
DANS B.V.;;1;;1;;;;1;
De Argumentenfabriek B.V.;;;;;;;2;2;
De Telecom Adviseur;;;;;;1;;1;
De Wilt-Cyrox Groep B.V.;;1;;;;;;1;
Delaware Consulting B.V.;;;;;;;2;2;
Delving B.V.;;;;;;;2;2;
Denit Internet Services B.V.;;;;;;;2;2;
Detron Communication Solutions;;;;;;1;;1;
Detron Lifecycle Services;;2;;5;;;;5;
Digital Revolution B.V.;;1;;;;;;1;
Dimensional Insight Europe B.V.;;;1;;;;;1;
Disgover B.V.;;;;;;;2;2;
Docspro B.V.;;1;;;;;;1;
Doxis;;;;;;;1;1;
Drukkerij Gelderland;;;;3;;;;3;
DTG B.V.;;;;1;;;;1;
Dynatos B.V.;;;;1;;;;1;
E.M. Wooning;1;;;;;;;1;
Easy Dish B.V.;;;;;;1;;1;
EcoVadis SAS;;;;;;;3;3;
EIC B.V.;;;;3;;;2;3;
Eijsink Afrekensystemen;;;1;;;;;1;
Enrise B.V.;;;;2;;;;2;
ESN Automatisering B.V.;2;1;1;1;;;1;2;
ESN Service en Netwerkbeheer B.V.;;2;;2;;;2;3;
ESN Software B.V.;;1;1;1;;;1;1;
Esprit Telecom;;;;;;1;;1;
Esser Consulting B.V.;;;;2;;;;2;
Experian Nederland B.V.;;;;;;;1;1;
F. Haverkamp Holding B.V.;;;;;;;2;2;
FA ECOM;;1;;;;;;1;
Falco Networks;;;;2;;;;2;
Fast Flex B.V.;;;;6;;;;6;
Fee B.V.;;;;;;2;;2;
Fenicks Erfgoed;;;2;;;;;2;
Financieel Paspoort B.V.;;;2;;;;;2;
Foleon B.V.;;;;1;;;;1;
Forrester Research B.V.;;;;2;;;;2;
Fudura B.V.;1;;;;;;;1;
Future Communication Consultants B.V.;;;;;;;1;1;
g-company B.V.;;;;1;;;;1;
Gemnet B.V.;;;;;;1;;1;
Geodan B.V.;;;;1;;;;1;
Geodan Next B.V.;;;1;;;;;1;
Get There Business Solutions;;;;5;;;;5;
Get There ICT Solutions B.V.;;;;8;;;;8;
H&R Business IT Solutions;1;;;;;;;1;
Haddock Solutions B.V.;2;1;;;;;;2;
Harvey Nash B.V.;;;;4;;;;4;
HeadFirst B.V.;;;;;;;3;3;
Heuvelman Sound & Vision B.V.;;;;;;1;;1;
Hewlett-Packard Nederland B.V.;;1;;;;;;1;
Hostice;;1;;;;;;1;
iBabs B.V.;;;;2;;;;2;
Icorp.NL B.V.;;;;1;;;;1;
ICT Partners Noord B.V.;;;;;;;1;1;
ICTRecht Groningen;;;;;;;2;2;
IJsfontein Interactive Space B.V.;;;;1;;;;1;
Incentro Nederland B.V.;;;;1;;;;1;
Infoprojects;;;;;;;2;2;
Inforic;;;;;;;2;2;
Informatique Computers & Componenten;;1;;;;;;1;
ING Commercial Finance B.V.;;;;1;;;;1;
Ingenico e-Commerce Solutions B.V.;;;1;;;;;1;
Inkesta B.V.;;;1;;;;;1;
InnoValor B.V.;;;3;;;;;3;
Innovero Software Solutions B.V.;;;;1;;;;1;
Instituut Maatschappelijke Innovatie;;;;;;;1;1;
Insyde B.V.;;;;1;;;;1;
Intermax B.V.;1;;;1;;;2;2;
Internedservices;2;;;;2;1;6;6;
Interscience B.V.;;;;1;;;;1;
Interted B.V.;;;;;;;1;1;
Intimus International Netherlands B.V.;1;4;;;;;;4;
IPN Telecom N.V.;;;;;;3;;3;
ITR Uden B.V.;;;;;;;1;1;
IT-Staffing Nederland B.V.;;;;8;;;;8;
IT-to-IT West;;;;1;;;;1;
Jeol (Europe) B.V.;;2;;;;;;2;
Jolanda van der Burg Management Services;;;;;;;2;2;
JS Consultancy Detachering B.V.;;;;3;;;;3;
Kantar Netherlands B.V.;;;;;;;2;2;
Klantcontact Boosters B.V.;;;;;;1;;1;
KPN B.V.;;;;;3;2;3;4;
KPN Consulting B.V.;;;;7;1;;;7;
KPN HotSpots;7;;;;;;;7;
KSB Finance Nederland B.V.;1;;;;;;;1;
Kuri Koer B.V.;;;;2;;;1;2;
KWK;;;;;;;1;1;
Leukeleu Beheer B.V.;;;;;;;1;1;
LexisNexis Benelux;;;1;;;;;1;
LicenseConsult B.V.;;;;;;;1;1;
LINKIT B.V.;;;;5;;;7;7;
Linthorst Techniek B.V.;;;;1;;;;1;
LitStores;;;;2;;;;2;
Logicworks B.V.;;;;1;;;;1;
Lumage Managing Customer Relations B.V.;;;;1;;;;1;
Lupprian's Computer Express B.V.;1;;;;;;;1;
Manufacturing Investments B.V.;;;;;;2;;2;
Manutan B.V.;1;;;;;;;1;
Maqina;1;;;;;;;1;
Marosel B.V.;;;;2;;;;2;
Matraco Inc.;;;1;;;;;1;
MediaCaster B.V.;;4;;;;;;4;
Meetingselect B.V.;;;;1;;;;1;
Megekko;;1;;;;;;1;
Mendix Technology B.V.;;;;1;;;2;2;
MijnGemeenteDichtbij;;;1;;;;;1;
Mindbus B.V.;;;;1;;;;1;
Mobilem B.V.;;;;1;;;;1;
Money Europe B.V.;;;1;;;;;1;
Netcompany Netherlands B.V.;;;;;;;5;5;
Networking4all B.V.;;;;1;;;;1;
Nieuwland B.V.;;;;1;;;1;1;
NLO Shieldmark B.V.;;;;;;;1;1;
Nokavision Software B.V.;;;;;;;2;2;
NOW Import & Distribution B.V.;;;;1;;;;1;
OCLC B.V.;;;;1;;;;1;
Octrooibureau Lioc;;;;1;;;;1;
Odding & Polder B.V.;;;;1;;;;1;
Odyssey;;;2;;;;;2;
Office Depot B.V.;;1;;;;;;1;
onlinekabelshop.nl;1;;;;;;;1;
Ooxo.nl;;;;;;;1;1;
OrangeSmile B.V.;1;;;;;;;1;
Ordina Beheer & Outsourcing;;;;;;;5;5;
Ordina Business Consulting & Solutions B.V.;;;;;;;6;6;
Ordina N.V.;;;;7;;;;7;
Passionned Nederland B.V.;;;;;;;1;1;
PBLQ B.V.;;;;2;;;;2;
PCI Nederland B.V.;;;;;;3;4;5;
Picturae ICT B.V.;;;;4;;;;4;
Planon B.V.;;;;2;;;;2;
PostNL Data Solutions B.V.;;;1;1;;1;;1;
PQR B.V.;6;2;;3;;;;6;
Presenter B.V.;;;;;;;2;2;
Pro 10 B.V.;;;;1;;;;1;
ProConCoa;;;;;;;1;1;
Proserve B.V.;;;;;;;1;1;
Protinus IT B.V.;5;7;6;7;7;4;4;8;
