OBJECTID,HOUDER,NAAM,ADRES,POSTCODE,PLAATS,KVK,STARTDATUM,KINDPLAATS,OPVANG
1,Stichting Zonnehuizen,‘t Zonnehofje,Utrechtseweg 62,3700 AB,Zeist, ,1104537600000,0,GO
2,"Kono, Kinderopvang op Maat",Kono,Prof. Lorenzlaan 14 a,3701 CC,Zeist, ,820454400000,34,KDV
3,Kono Kinderopvang op maat,Kinderopvang Kono,Prof. Lorenzlaan 14 a,3701 CC,Zeist, ,820454400000,30,BSO
4,Skelt,Skelt,Prins Hendriklaan 23,3701 CL,Zeist, ,946684800000,12,BSO
5,SKON kinderopvang B.V.,De blauwe zee-egel,Steynlaan 69,3701 EC,Zeist, ,1136073600000,35,KDV
6,Kindercentra Midden Nederland Kind & Co,Het Spoor,Stationslaan 3,3701 EN,Zeist, ,1199145600000,60,BSO
7,Kindercentra Midden Nederland Kind & Co,Damiaan Centrum,Rozenstraat 21,3702 KC,Zeist, ,1191196800000,30,BSO
8,Kindercentra Midden Nederland Kind & Co,De Ark,Van Reenenweg 9a,3702 SB,Zeist, ,1235952000000,30,BSO
9,Kinderopvang ’t Mereltje Bilthoven B.V.,‘t Mereltje,Hortensialaan 32,3702 VH,Zeist, ,1041379200000,88,KDV
10,Kinderopvang ’t Mereltje Bilthoven BV,Anemoon,Hortensialaan 30,3702 VH,Zeist, ,1155600000000,35,BSO
11,Kinderopvang ’t Mereltje Bilthoven BV,’t Mereltje,Hortensialaan 32,3702 VH,Zeist, ,1041379200000,35,BSO
12,Kindercentra Midden Nederland Kind & Co,Griffensteyn,Laan van Cattenbroeck 76,3703 BP,Zeist, ,1210636800000,20,BSO
13,Kiekeboe Kinderopvang,Kiekeboe locatie Zinzendorflaan,Zinzendorflaan 2 b,3703 CG,Zeist, ,1188604800000,20,BSO
14,Kindercentra Midden Nederland Kind & Co,Kanjers,Sportpark achter ‘t Slot,3703 CV,Zeist, ,1147046400000,20,BSO
15,Gastouderbureau Babysit,Babysit,Couwenhoven 1601,3703 VG,Zeist, ,1149120000000,0,GO
16,Catalpa Kinderopvang B.V.,Robbedoes,Kroostweg-Noord 149,3704 DV,Zeist, ,599616000000,64,KDV
17,Kinderdagverblijf ‘t Rakkertje,‘t Rakkertje,Kroostweg 33 a,3704 EA,Zeist, ,788918400000,56,KDV
18,Kinderopvang De Geheime Tuin,De Geheime Tuin,Kwikstaartlaan 11,3704 GS,Zeist, ,1104537600000,30,KDV
19,Kindercentra Midden Nederland Kind & Co,Griffel,De Clomp 20-02,3704 KC,Zeist, ,1251763200000,20,BSO
20,Kindercentra Midden Nederland Kind & Co,Kids,De Clom 90-04,3704 KZ,Zeist, ,788918400000,20,BSO
21,Kindercentra Midden Nederland Kind & Co,Minoes,De Clomp 20-06,3704 KZ,Zeist, ,694224000000,50,BSO
22,Stichting Antroposofisch Kindercentrum Zeist,de Kroost,Crosestein 1402 a,3704 NE,Zeist, ,126230400000,52,KDV
23,Kiekeboe Kinderopvang,Ichthus,De Genestetlaan 19,3705 BT,Zeist, ,1270080000000,20,BSO
24,Kinderdagverblijf ‘t Kruimeltje,‘t Kruimeltje,Oude Arnhemseweg 234,3705 BJ,Zeist, ,1009843200000,32,KDV
25,Kindercentra Midden Nederland Kind & Co,Beestenboel,De Clomp 90-02,3705 KZ,Zeist, ,757382400000,58,KDV
26,Kiekeboe Kinderopvang,Kiekeboe locatie Burg. Patijnlaan 134 a,Burg. Patijnlaan 134 a,3705 CJ,Zeist, ,757382400000,30,KDV
27,Kiekeboe Kinderopvang,Kiekeboe locatie Jan Scheplaan 15,Jan Scheplaan 15,3705 LJ,Zeist, ,1041379200000,110,KDV
28,Kinderopvang de geheime tuin,Broertjes Sport BSO,Huis ter Heideweg 52-54,3705 LZ,Zeist, ,1258329600000,40,BSO
29,Kiekeboe Kinderopvang,Kiekeboe locatie Huis ter Heideweg,Huis ter Heideweg 19,3705 MA,Zeist, ,1185926400000,40,BSO
30,Kindercentra Midden Nederland Kind & Co,Ziezo,G.J. van de Veenlaan,3705 PE,Zeist, ,1072915200000,20,BSO
31,Kiekeboe Kinderopvang,Kiekeboe locatie Vrijheidsplein 61,Vrijheidsplein 61,3705 PR,Zeist, ,1117584000000,64,KDV
32,Kiekeboe Kinderopvang,Kiekeboe locatie Vrijheidsplein 61,Vrijheidsplein 61,3705 PR,Zeist, ,1117584000000,45,BSO
33,Kindercentra Midden Nederland Kind & Co,Sam Sam,L. Edelmanlaan 2,3705 PX,Zeist, ,378691200000,35,KDV
34,Kindercentra Midden Nederland Kind & Co,Krullevaar,L. Edelmanlaan 2,3705 PX,Zeist, ,599616000000,40,BSO
35,Kiekeboe Kinderopvang,Ichthus Lindehof,Nicolaas Beetslaan 2,3705 SW,Zeist, ,1270080000000,20,BSO
36,Kiekeboe Kinderopvang,Kiekeboe locatie Lievendaallaan,Lievendaallaan 23 a,3705 TA,Zeist, ,1188604800000,40,BSO
37,Kindercentra Midden Nederland Kind & Co,de Tovertuin,Van der Heydenlaan 90,3705EJ,Zeist, ,631152000000,46,KDV
38,Kiekeboe Kinderopvang,Kiekeboe locatie Laan van Vollenhove,Laan van Vollenhove 2193,3706 GW,Zeist, ,1291161600000,50,KDV
39,SKON BV,De blauwe dalmatiër,Verlengde Slotlaan 13,3707 CA,Zeist, ,1188777600000,40,BSO
40,Kindergarden Amsterdam,Kindergarden,Lindenlaan 25,3707 EP,Zeist, ,1266278400000,56,KDV
41,Stichting Kinderopvang vanuit antroposofie,De bosplaats,Socrateslaan 22,3707 GL,Zeist, ,978307200000,90,BSO
42,Kiekeboe Kinderopvang,Kiekeboe De Toverbal,Prof. Lorenzlaan 76,3707 HL,Zeist, ,1230768000000,24,KDV
43,Kinderopvang ’t Mereltje Bilthoven BV,Scharweijde,Krakelingseweg 5,3707 HM,Zeist, ,1270080000000,40,BSO
44,SKON BV,De blauwe dalmatier,Krakelingseweg 1,3707 HM,Zeist, ,1277942400000,40,BSO
45,Stichting Warande,In de Rups,Heideweg 2,3708 AT,Zeist, ,536457600000,68,KDV
46,Kiekeboe Kinderopvang,Kiekeboe locatie Padvinderslaantje,Padvinderslaantje 12,3708 BS,Zeist, ,1188604800000,40,BSO
47,Reinaerde Stichting,De Berk,Prinses Marijkelaan 44,3708 DG,Zeist, ,1254355200000,8,KDV
48,Reinaerde Stichting,Kindercentrum De Berk,Prinses Marijkelaan 44,3708 DG,Zeist, ,1191196800000,16,BSO
49,Kindercentra Midden Nederland Kind & Co,Kerkebosch,Graaf Lodewijklaan 4,3708 DM,Zeist, ,1191196800000,40,BSO
50,Conny Perk,Het kraaiennest,Graaf Lodewijklaan 3,3708 DM,Zeist, ,915148800000,50,BSO
51,Esther Holtrop & Esther de Boer-Versteeg,Sterrenbos,Prinses Irenelaan 71 e,3708 EB,Zeist, ,,40,BSO
52,Kindercentra Midden Nederland Kind & Co,Piraleon,Schoolweg 16,3711 BP,Austerlitz, ,1104537600000,20,BSO
53,Kindercentra Midden Nederland Kind & Co,Oud Zandbergen,Prins Alexanderweg 1 a,3712 AD,Huis ter Heide, ,1235952000000,30,BSO
54,Kiekeboe Kinderopvang,Kiekeboe ‘t Wentelwiekje,Hobbemalaan 5,3712 AZ,Huis ter Heide, ,1041379200000,40,KDV
55,Stichting Abrona,Abrona de kleine beer,Amersfoortseweg 56,3712 BE,Huis ter Heide, ,441763200000,52,KDV
56,Stichting Abrona,De kleine beer,Amersfoortseweg 56,3712 BE,Huis ter Heide, ,441763200000,34,BSO
57,Kindercentra Midden Nederland Kind & Co,De kleine Dennehoeve (Altrecht),Dolderseweg 164,3734 BN,Den Dolder, ,883612800000,53,KDV
58,Kindercentra Midden Nederland Kind & Co,Villa Kakelbont,Dr. Ramaerlaan 102,3734 EB,Den Dolder, ,725846400000,34,KDV
59,Kindercentra Midden Nederland Kind & Co,Spelonk,Schroeder van der Kolklaan 1,3734 VH,Den Dolder, ,978307200000,40,BSO
60,Kiekeboe Kinderopvang,Woudlopers,Padvinderslaantje 18,3708 BS,Zeist, ,1270080000000,20,BSO
