OBJECTID;NAME;ITEM_NUMBER;TYPE_LICHTMAST;YEAR_OF_CONSTRUCTION;EIGENAAR;HOOGTE_LICHTPUNT;STATUS_LICHTMAST;DATE_MODIFIED;BEHEERDER_OMS;STRAATNAAM_LICHTMASTNR;X;Y;LONG;LAT
38346;0523;0523;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2016-06-07;Gemeente Den Haag;Ambachtsgaarde 0523;77999.4481000006;450192.502099998;4.265022933996854;52.03471200725089
5294;0524;0524;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2012-06-20;Gemeente Den Haag;Ambachtsgaarde 0524;77949.9241000004;450246.119100001;4.264289239675993;52.035186967466004
26160;0001;0001;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amberhorst 0001;84561.9360999987;456735.0471;4.359297366460002;52.0943816410725
39713;0002;0002;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amberhorst 0002;84572.9351000004;456754.7511;4.359453780277114;52.09456011741954
19315;0003;0003;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amberhorst 0003;84595.1121000014;456758.551100001;4.359776577027326;52.09459708870289
33764;0004;0004;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amberhorst 0004;84605.2620999999;456779.9531;4.359920255196611;52.094790716102864
20735;0005;0005;Lichtmast;2023-02-02;Gemeente Den Haag;60;In bedrijf;2013-08-05;Gemeente Den Haag;Amberhorst 0005;84621.9699999988;456792.971999999;4.360161351518684;52.0949098395763
24655;0006;0006;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amberhorst 0006;84631.8990999982;456780.6021;4.360308780030688;52.094799935583445
9766;0007;0007;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amberhorst 0007;84653.4701000005;456769.721099999;4.360625766455906;52.094704891623444
12758;0008;0008;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amberhorst 0008;84655.7760999985;456749.974100001;4.360663487608648;52.09452772143313
31955;0009;0009;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amberhorst 0009;84675.8011000007;456741.005100001;4.360957519541891;52.09444966294311
11283;0010;0010;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amberhorst 0010;84679.9521000013;456719.1281;4.361022598466615;52.094253585044626
21357;0011;0011;Lichtmast;2023-02-02;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amberhorst 0011;84648.1810000017;456802.138;4.36054190410309;52.09499554508475
36092;0012;0012;Lichtmast;2023-02-02;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amberhorst 0012;84663.8440000005;456825.460999999;4.360765631088275;52.09520713587048
66835;0010;0010;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0010;77728.1810000017;456596.750999998;4.259621060998192;52.0922270188182
8268;0012;0012;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0012;77747.1240999997;456577.052099999;4.25990189858505;52.09205263652577
