Leveranciers;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
2 Know How;;1;;1
4Meetings & Events;;2;;2
7AM B.V.;;1;;1
Aal Restaurant en Wijnlokaal B.V.;;1;;1
Accor Hospitality Nederland N.V.;;1;;1
Achtienhonderdeenenvijftig (1851) B.V.;;1;;1
Acta Marine B.V.;1;;;1
Acta Marine Wind Services B.V.;;;1;1
ACTME B.V.;;1;;1
AdeHoon;;2;;2
Aebi Schmidt Nederland B.V.;7;;7;8
Albron Nederland B.V.;;1;;1
Alphatron Marine B.V.;;;1;1
anoniem;;2;1;2
Antropia B.V.;;1;;1
Apotheek Pleyler B.V.;;;1;1
Arendshoeve B.V.;;1;;1
Aristo Eindhoven B.V.;;1;;1
Aristo Utrecht B.V.;;1;;1
Ark van Noach B.V.;;1;;1
Art Centre Delft;;2;;2
Artikraak;;1;;1
Ass. Autofauteuils B.V.;;;1;1
Aswa Architecten B.V.;;1;;1
Athlon Car Lease Rental Services B.V.;;;1;1
Atlantic Hotel Exploitatie B.V.;;1;;1
Auto- en Bergingsbedr. Van den Boogaard B.V.;;;1;1
Auto Mondt B.V.;;;4;4
Autobedrijf R.H. Postema en Zn.;;;1;1
Automat Den Bosch;;;1;1
AutomotiveNL B.V.;;2;;2
AutoVerhuurLelystad B.V.;;;1;1
Avex B.V.;;1;;1
Aviodrome Exploitatie B.V.;;1;;1
B&S Autoaanpassing Uitgeest;;;1;1
B.V. 'Esbi';;;1;1
B.V. Rederij G. Doeksen en Zonen;;1;;1
B.V. Scheepswerf Maaskant;7;;7;7
B.V. Technisch Bureau Uittenbogaart;;;1;1
Banketbakkerij Nijstad;;1;;1
Barbarossa Beach B.V.;;1;;1
Bartmanz;;1;;1
Bastion Hotel Terbregseplein B.V.;;2;;2
Bastion Hotel Utrecht B.V.;;1;;1
Bastion Hotelgroep B.V.;;1;;1
BCN B.V.;;1;;1
BDGF B.V.;;1;;1
Be in Business B.V.;;1;;1
Beachclub Take Five;;1;;1
Beheermaatschappij BAB B.V.;;;1;1
Bek & Verburg B.V.;;;2;2
Belgisch Biercafé Olivier B.V.;;1;;1
Bellevue Groothoofd hotel culinair B.V.;;1;;1
Berlage Meet and Workspace B.V.;;1;;1
Beurs van Berlage C.V.;;2;;2
Bever Andelst B.V.;;;1;1
Bever Assen B.V.;;;1;1
Biesbosch Museum;;1;;1
BIGA Groep B.V.;;1;;1
Bilderberg Europa Hotel Scheveningen;;1;;1
Bilderberg Grand Hotel Wientjes;;1;;1
Bilderberg Hotel De Buunderkamp;;1;;1
Bilderberg Hotel Klein Zwitserland;;1;;1
Bloem & RI;;1;;1
blooming hotel en conferentielandgoed B.V.;;1;;1
Bluestream ROV B.V.;;;1;1
BMW Den Haag B.V.;;;1;1
Boeg B.V.;;;1;1
bol.com B.V.;;;1;1
Bommel;;1;;1
Booster Maritime;;;1;1
Bootservice Leeuwen;1;;2;2
Breed in Beeld Creaties;;;1;1
Brezan Automaterialen Epe;;;1;1
Brimos Techniek B.V.;;;3;3
Brunsmann Jacht- & ScheepsExperts;1;;1;1
BSE IJmond B.V.;;;2;2
Buba Entertainment B.V.;;1;;1
Budget Rent a Car;;;1;1
Buitengoed Hagenhorst Exploitatie B.V.;;1;;1
Buitengoed Uylenburg B.V.;;1;;1
Buitenlandsche Zaken B.V.;;1;;1
Bunkerstation 'Delta' Stolk & Berends B.V.;4;;;4
Bureau Veritas Marine Nederland B.V.;;;4;4
Bureau Zuidema B.V.;;1;;1
Buro M. Meij;;1;;1
C.I.V. Lauwerszee Harlingen B.V.;;;1;1
C.I.V. Lauwerszee Lauwersoog B.V.;;;1;1
C.I.V. Lauwerszee Technische Dienst B.V.;;;1;1
Café 'De Krom';;1;;1
Café Restaurant Land- en Zeezicht;;1;;1
Café Restaurant Luchthaven Lelystad;;1;;1
Café Zomerlust;;1;;1
Café-Restaurant Nieuw Land B.V.;;1;;1
Calimero;;1;;1
Came Nederland B.V.;;;1;1
Caravanlife Gorter B.V.;;;1;1
Carlton Beach Club;;2;;2
Carrier Transicold, Vego Trans;;;1;1
Carrosseriefabriek Veth Arnhem B.V.;;;1;1
Catering Oud London B.V.;;2;;2
Centre for Generative Leadership B.V.;;1;;1
Charissa's Lavanderia;;;1;1
Claushuis Aanhangwagens;;;1;1
CLI Conference Line International B.V.;;1;;1
Colex;;;3;3
Compass Group Nederland B.V.;;1;;1
Conferentiehotel Olaertsduyn beheer;;1;;1
Coolblue B.V.;;;2;2
Coöp. In- en Verkoopver. 'Den Oever' UA;;;1;1
Coöp. Inkoopver. van Visserijbenodigdheden UA;1;;1;1
Crowne Plaza Hotel Maastricht;;1;;1
CZAV;1;;1;1
Dam25 Exploitatie B.V.;;1;;1
Damen Shipyards Den Helder B.V.;7;;7;7
Datema Watersport B.V.;;;3;3
De Baak Noordwijk B.V.;;1;;1
De Bakkerswinkel Den Haag;;1;;1
De Bergse Bossen;;1;;1
de Bibliotheek aan de Vliet;;1;;1
De Brasserij Partycentrum;;1;;1
De Groene Zaak, Ond. voor een Duurz. Economie;;1;;1
De Haas Maassluis B.V.;7;;7;7
De Hamburgerstraat C.V.;;1;;1
De Harmonie;;1;;1
De Harmonie B.V.;;1;;1
De Heische Hoeve B.V.;;1;;1
De Hooge Vuursche B.V.;;1;;1
De Hoorneboeg B.V.;;1;;1
De Japanse Watertuin B.V.;;1;;1
De Klok Breda B.V.;;1;;1
De Klub;;1;;1
De Koperen Tuin B.V.;;1;;1
De Landgoederij B.V.;;1;;1
De Lindenhof;;1;;1
De Meerhoeve;;1;;1
De Parel van Zuilen;;2;;2
De Smockelaer B.V.;;1;;1
De Stee;;1;;1
De Verandercentrale B.V.;;1;;1
De Winkel van Sinkel B.V.;;1;;1
De Witte Vosch B.V.;;1;;1
De Zeetoren;;1;;1
De Zoete Inval B.V.;;1;;1
Dekker en Stam B.V.;4;;;4
Delflandhoeve;;1;;1
Destil;;;2;2
Diner Thuis;;1;;1
Diversey B.V.;;;1;1
Divide B.V.;;;1;1
DJ Stefan Thomas;;1;;1
DMG Holding IJmuiden B.V.;1;;3;3
Dogcenter;;1;;1
Down Under Horecaexploitatie B.V.;;1;;1
D'r Jochumhof B.V.;;1;;1
Du Nord Rijwielen;;;1;1
Duinisveld Architect;;1;;1
Dusseldorp Inzameling en Recycling B.V.;;;1;1
E.M. Toonen Holding B.V.;;1;;1
Eden Den Haag Hotel Exploitatie I B.V.;;1;;1
Eden Oranje Hotel B.V.;;1;;1
Eetcafe De Fabriek;;1;;1
Eldorado B.V.;;;1;1
Elisa Mutsaers;;1;;1
Engels Conference Center B.V.;;2;;2
Ernst Sillem Hoeve B.V.;;2;;2
Escape World B.V.;;1;;1
Escape010;;1;;1
Etef B.V.;;1;;1
Evert Koning B.V.;;;2;2
Exploit.maatsch. Seaport Beach Resort B.V.;;1;;1
Exploitatie Hotel Zeestraat Den Haag B.V.;;1;;1
Exploitatie Maatschappij Delta Hotel B.V.;;1;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;1;;1
Fa. A.G. Rutten-Hulst;;;1;1
Fa. P.H. Walinga;;;1;1
FDman B.V.;;;2;2
Filtersystemen Nederland B.V.;;;4;4
Firma J. Veenma;;;1;1
Fitland Suytkade B.V.;;1;;1
Fleetlogic B.V.;;;2;2
Fletcher Hotel Paleis Het Stadhouderlijk Hof;;1;;1
Fletcher Hotel-Restaurant Heiloo;;1;;1
Fort Voordorp B.V.;;1;;1
Gastheeren Bedrijfscatering;;1;;1
Gebr. Van Duijvenbode en Zonen;;;2;2
Geniet Arnhem B.V.;;1;;1
Geo B.V.;7;;3;7
Gerken Hoogwerkers Verhuur B.V.;;;1;1
Golden Tulip Hotel Central;;1;;1
Good Conditions B.V.;;;1;1
GrachtenAtelier;;1;;1
Grand Hôtel Amrâth Kurhaus B.V.;;1;;1
Grand Hotel De l'Empereur;;1;;1
