FID,locatie,shape_leng,jaar,type_ws,hoofdgeb,gebied,gdb_geomattr_data,shape
steilrand_maas_2017.1,Den Bosch Oude Schans,1.69063361,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (147471.1330000013 416733.72300000116, 147472.58199999854 416734.5940000005)"
steilrand_maas_2017.2,Beugen,14.84167724,2017,Rivieren,Maas,Zandmaas,,"LINESTRING (194862.3830000013 409883.8509999998, 194863.21400000155 409884.8220000006, 194863.08199999854 409885.1400000006, 194863.21400000155 409885.5009999983, 194863.28299999982 409886.05799999833, 194863.28700000048 409886.23600000143, 194863.10399999842 409886.54300000146, 194862.90199999884 409886.7899999991, 194862.7109999992 409887.08399999887, 194862.7109999992 409887.48600000143, 194862.7800000012 409887.9140000008, 194862.7650000006 409888.1090000011, 194862.60599999875 409888.3660000004, 194862.4990000017 409888.6039999984, 194862.51199999824 409888.868999999, 194862.625 409889.1279999986, 194862.87099999934 409889.4210000001, 194862.83199999854 409889.7520000003, 194862.77899999917 409890.188000001, 194862.73900000006 409890.5560000017, 194862.62799999863 409890.73600000143, 194862.313000001 409891.0379999988, 194862.20699999854 409891.1700000018, 194862.2749999985 409891.4239999987, 194862.45899999887 409891.6070000008, 194862.4549999982 409891.7569999993, 194862.38100000098 409891.9679999985, 194862.4840000011 409892.3269999996, 194862.51399999857 409892.65199999884, 194862.5309999995 409893.0780000016, 194862.39699999988 409893.4919999987, 194862.20699999854 409893.76999999955, 194862.21200000122 409894.03599999845, 194862.3350000009 409894.4279999994, 194862.3590000011 409894.84600000083, 194862.27899999917 409895.3020000011, 194862.1330000013 409895.6559999995, 194862.0390000008 409896.1220000014, 194861.91000000015 409896.5520000011, 194861.74700000137 409896.868999999, 194861.66200000048 409896.993999999, 194861.40799999982 409897.32400000095)"
steilrand_maas_2017.3,De Paaldere 't Wildt,7.64126364,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153246.1559999995 420308.39400000125, 153247.7250000015 420309.9140000008, 153248.75200000033 420310.3020000011, 153250.1339999996 420310.26199999824, 153251.63100000098 420310.74500000104, 153253.0159999989 420310.51900000125)"
steilrand_maas_2017.4,Bergen,2.00420199,2017,Rivieren,Maas,Zandmaas,,"LINESTRING (199793.49280000106 400417.8509000018, 199793.68039999902 400418.13919999823, 199793.3051000014 400418.9840000011, 199792.59329999983 400419.1704999991)"
steilrand_maas_2017.5,Batenburgse Oevers,4.98800933,2017,Rivieren,Maas,Bedijkte Maas,,"LINESTRING (172306.2674999982 425712.19640000165, 172305.4985000007 425712.5170000009, 172304.13949999958 425712.58889999986, 172303.3172999993 425713.1378000006, 172302.44289999828 425713.1561000012, 172301.6457999982 425713.6367000006)"
steilrand_maas_2017.6,Keentse oevers,2.98946262,2017,Rivieren,Maas,Bedijkte Maas,,"LINESTRING (176491.8216000013 421364.8546999991, 176491.51440000162 421365.3519000001, 176491.11140000075 421365.47349999845, 176490.56700000167 421366.8161999993, 176490.4985000007 421367.34699999914)"
steilrand_maas_2017.7,Zandmeren (bij Kerkdriel),1.70342602,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (152167.05739999935 418392.1906000003, 152168.6700000018 418392.7393999994)"
steilrand_maas_2017.8,De Paaldere 't Wildt,6.92336166,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153256.93389999866 419718.10339999944, 153257.04890000075 419717.97309999913, 153257.77010000125 419716.65100000054, 153258.60960000008 419715.56269999966, 153258.9998999983 419714.54839999974, 153258.57580000162 419713.5518999994, 153258.99920000136 419712.6512000002, 153259.10269999877 419711.95479999855)"
steilrand_maas_2017.9,De Paaldere 't Wildt,2.36923207,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153239.58900000155 419756.9129999988, 153239.71700000018 419756.0469999984, 153240.2490000017 419755.79300000146, 153240.7250000015 419755.41600000113, 153240.91899999976 419755.19099999964)"
steilrand_maas_2017.10,De Paaldere 't Wildt,8.19283707,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153927.23200000077 422523.8370000012, 153927.3999999985 422524.9230000004, 153927.78599999845 422526.53599999845, 153928.14299999923 422527.51099999994, 153928.7250000015 422527.9539999999, 153929.0159999989 422529.18299999833, 153929.40199999884 422530.0850000009, 153930.4840000011 422531.0069999993)"
