NAAM;ADRES;POSTCODE;HERKOMST;VOORZIENING;OPMERKINGEN;X;Y;LONG;LAT;COUNTER
Nolenshaghe;Mgr. Nolenslaan 22;25555X;Productgroep Participatie, september 2018;VERPLEEGHUIS;;76740.6875;453407.71875;4.245945291215616;52.06342975368522;1
WZH Nieuw Berkendael;Burgemeester Waldeckstraat 80;2552TX;Productgroep Participatie, september 2018;VERPLEEGHUIS;;76744.6796875;452377.0625;4.246239642265493;52.05416819965349;2
Domus Nostra;Mgr. Nolenslaan 20;2555XZ;Productgroep Participatie, september 2018;VERPLEEGHUIS;;76795.2421875;453421.625;4.246737528182538;52.06356242753654;3
Quintus;Nectarinestraat 11;2552LZ;Productgroep Participatie, september 2018;VERPLEEGHUIS;;76909.6328125;452999.40625;4.24850192878048;52.059784242334516;4
Verpleeghuis De Lozerhof;Randveen 64;2544RP;Productgroep Participatie, september 2018;VERPLEEGHUIS;;77052.0625;450705.40625;4.251101710469121;52.039188930376255;5
Verpleeghuis Dorestad (Parnassia);Passievruchtstraat 2;2552BJ;Productgroep Participatie, september 2018;VERPLEEGHUIS;;77130.9453125;453250.40625;4.251671233879606;52.06207103483342;6
Woonzorgcentrum Uitzicht;Zonnebloemstraat 383;2565RW;Productgroep Participatie, september 2018;VERPLEEGHUIS;;77253.6640625;454642.3125;4.253143460169292;52.07459681094166;7
Verpleeghuis Houtwijk;Architect Duikerstraat 19;2552ZV;Productgroep Participatie, september 2018;VERPLEEGHUIS;;77483.390625;452466.34375;4.2569877848061095;52.0550743642269;8
Verpleeghuis Vrederust - West;Schuttersdreef 125;2542XA;Productgroep Participatie, september 2018;VERPLEEGHUIS;;77710.28125;450251.90625;4.260796064445624;52.035205621428624;9
Expertisecentrum Gulden Huis;Steenhouwersgaarde 1;2542AA;Productgroep Participatie, september 2018;VERPLEEGHUIS;;78448.2109375;450933.1875;4.271396029399322;52.04143047441588;10
Verpleegcentrum Mechropa;Scheveningseweg 96;2584AC;Productgroep Participatie, september 2018;VERPLEEGHUIS;;79174.4375;457450.84375;4.280531652434707;52.10010245488032;11
Woonzorgcentrum Bosch en Duin;Scheveningseweg 76;2517KZ;Productgroep Participatie, september 2018;VERPLEEGHUIS;;79311.078125;457267.5625;4.282566264026485;52.09847407416415;12
WZH De Strijp;Polanenhof 525;2548MP;Productgroep Participatie, september 2018;VERPLEEGHUIS;;79661.75;451036.78125;4.289058425783853;52.042527694993574;13
WZH Sammersbrug;Lichtenbergweg 150;2532AK;Productgroep Participatie, september 2018;VERPLEEGHUIS;;79800.8046875;450970;4.291099649251795;52.0419464288995;14
Het Zamen;Esperantostraat 12;2518LH;Productgroep Participatie, september 2018;VERPLEEGHUIS;;79942.4140625;454607.84375;4.292363966543271;52.0746579702105;15
Rudolf Steiner - Tobiashuis;Nieuwe Parklaan 58;2597LD;Productgroep Participatie, september 2018;VERPLEEGHUIS;;80216.4609375;457648.40625;4.295693941730369;52.10201967589688;16
Verpleeghuis De Eshoeve;Doorniksestraat 150;2587AZ;Productgroep Participatie, september 2018;VERPLEEGHUIS;;80611.0234375;458239.65625;4.301322741250618;52.1073862371496;17
Verpleeghuis De Schildershoek;Jacob Catsstraat 325;2515GK;Productgroep Participatie, september 2018;VERPLEEGHUIS;;81403.3203125;453620.34375;4.313883005067027;52.06597959515868;18
Verpleeghuis De Stromenhof;Scheldestraat 76;2515TG;Productgroep Participatie, september 2018;VERPLEEGHUIS;;82255.0078125;454687.3125;4.326074417865892;52.075680725326094;19
Het Huis Nebo;Floris Arntzeniusplein 65;2597SP;Productgroep Participatie, september 2018;VERPLEEGHUIS;;83229.5625;457071.53125;4.339786214551911;52.09723440064246;20
Expertisecentrum Mariahoeve;Hofzichtlaan 115;2594XZ;Productgroep Participatie, september 2018;VERPLEEGHUIS;;84897.1328125;456509.8125;4.364234471652353;52.09240004421355;21
De Wiekslag;Molenbrink 68;2553GR;Productgroep Participatie;BUURTHUIS;;75963.2734375;451884.84375;4.234962784713259;52.049633928142136;22
