ID,SUBTYPE,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,RELATIEVEHOOGTELIGGING,STATUS,TIJDSTIP_REGISTRATIE
4015112,,Almere,G0034,bestaand,7.398,283,0,,2014/01/31 22:14:14+00
4015113,,Almere,G0034,bestaand,56.623,283,0,,2016/11/29 10:48:28+00
4015114,,Almere,G0034,bestaand,51.125,283,0,,2016/11/29 10:47:13+00
4015115,,Almere,G0034,bestaand,6.885,283,0,,2014/01/31 22:14:14+00
4015116,,Almere,G0034,bestaand,122.269,283,0,,2016/11/29 10:49:40+00
4015117,,Almere,G0034,bestaand,61.36,283,0,,2016/11/29 10:44:32+00
4015118,,Almere,G0034,bestaand,7.613,283,0,,2014/01/31 22:14:14+00
4015119,,Almere,G0034,bestaand,84.107,283,0,,2016/11/29 10:47:11+00
4015120,,Almere,G0034,bestaand,7.002,283,0,,2014/01/31 22:14:14+00
4015121,,Almere,G0034,bestaand,8.278,283,0,,2014/01/31 22:14:14+00
4015122,,Almere,G0034,bestaand,51.779,283,0,,2016/11/29 10:50:07+00
4015123,,Almere,G0034,bestaand,53.502,283,0,,2016/11/29 10:45:27+00
4015124,,Almere,G0034,bestaand,9.383,283,0,,2014/01/31 22:14:14+00
4015125,,Almere,G0034,bestaand,50.726,283,0,,2020/07/10 16:02:51+00
4015126,,Almere,G0034,bestaand,8.042,283,0,,2014/01/31 22:14:14+00
4015127,,Almere,G0034,bestaand,50.448,283,0,,2016/11/29 10:49:40+00
4015128,,Almere,G0034,bestaand,7.049,283,0,,2014/01/31 22:14:14+00
4015129,,Almere,G0034,bestaand,65.685,283,0,,2016/11/29 10:44:37+00
4015130,,Almere,G0034,bestaand,90.158,283,0,,2020/07/02 15:35:57+00
4015131,,Almere,G0034,bestaand,63.29,283,0,,2016/11/29 10:44:37+00
4015132,,Almere,G0034,bestaand,49.165,283,0,,2016/11/29 10:49:36+00
4015133,,Almere,G0034,bestaand,8.495,283,0,,2014/01/31 22:14:14+00
4015134,,Almere,G0034,bestaand,88.048,283,0,,2017/01/20 08:41:23+00
4015135,,Almere,G0034,bestaand,6.874,283,0,,2014/01/31 22:14:14+00
4015136,,Almere,G0034,bestaand,49.748,283,0,,2016/11/29 10:49:26+00
4015137,,Almere,G0034,bestaand,6.001,283,0,,2014/01/31 22:14:14+00
4015138,,Almere,G0034,bestaand,51.417,283,0,,2016/11/29 10:47:17+00
4015139,,Almere,G0034,bestaand,64.685,283,0,,2016/11/29 10:47:20+00
4015140,,Almere,G0034,bestaand,44.16,283,0,,2016/11/29 10:49:38+00
4015141,,Almere,G0034,bestaand,176.328,283,0,,2016/11/29 10:47:20+00
4015142,,Almere,G0034,bestaand,7.877,283,0,,2014/01/31 22:14:14+00
4015143,,Almere,G0034,bestaand,6.879,283,0,,2014/01/31 22:14:14+00
4015144,,Almere,G0034,bestaand,50.508,283,0,,2016/11/29 10:47:19+00
4015145,,Almere,G0034,bestaand,54.754,283,0,,2016/11/29 10:44:36+00
4015146,,Almere,G0034,bestaand,54.427,283,0,,2016/11/29 10:46:05+00
4015147,,Almere,G0034,bestaand,50.568,283,0,,2016/11/29 10:43:59+00
4015148,,Almere,G0034,bestaand,8.69,283,0,,2014/01/31 22:14:14+00
