;Gemeente:;;;;Zwijndrecht
Lijst;Partij;Kand.nr.;Kandidaat;;Stemmen
1;VVD;;;;
1;VVD;1;Rutte, M. (Mark) (m);;4422
1;VVD;2;Hennis-Plasschaert, J.A. (Jeanine) (v);;388
1;VVD;3;Zijlstra, H. (Halbe) (m);;44
1;VVD;4;van Ark, T. (Tamara) (v);;30
1;VVD;5;Dijkhoff, K.H.D.M. (Klaas) (m);;324
1;VVD;6;Dekker, S. (Sander) (m);;3
1;VVD;7;Visser, B. (Barbara) (v);;15
1;VVD;8;Harbers, M.G.J. (Mark) (m);;13
1;VVD;9;ten Broeke, J.H. (Han) (m);;6
1;VVD;10;Azmani, M. (Malik) (m);;5
1;VVD;11;Wiersma, A.D. (Dennis) (m);;3
1;VVD;12;Lodders, W.J.H. (Helma) (v);;9
1;VVD;13;van 't Wout, B. (Bas) (m);;0
1;VVD;14;Becker, B. (Bente) (v);;7
1;VVD;15;Duisenberg, P.J. (Pieter) (m);;2
1;VVD;16;Hermans, S.T.M. (Sophie) (v);;10
1;VVD;17;Mulder, A. (Anne) (m);;5
1;VVD;18;de Vries, A. (Aukje) (v);;5
1;VVD;19;Ye?ilgîz-Zegerius, D. (Dilan) (v);;11
1;VVD;20;Rutte, A.C.L. (Arno) (m);;7
1;VVD;21;Tellegen, O.C. (Ockje) (v);;4
1;VVD;22;Koerhuis, D.A.N. (Daniel) (m);;0
1;VVD;23;Ziengs, E. (Erik) (m);;1
1;VVD;24;Bosman, A. (AndrÇ) (m);;0
1;VVD;25;van den Bosch, A. (Albert) (m);;0
1;VVD;26;El Yassini, Z. (Zohair) (m);;3
1;VVD;27;Dijkstra, R.J. (Remco) (m);;5
1;VVD;28;Wîrsdîrfer, M. (Martin) (m);;3
1;VVD;29;Weverling, A. (Arne) (m);;5
1;VVD;30;Nijkerken-de Haan, C.N.A. (Chantal) (v);;17
1;VVD;31;Potters, S.C.C.M. (Sjoerd) (m);;0
1;VVD;32;van Oosten, F. (Foort) (m);;2
1;VVD;33;Koopmans, S.M.G. (Sven) (m);;0
1;VVD;34;Middendorp, J. (Jan) (m);;0
1;VVD;35;van der Linde, R.E. (Roald) (m);;2
1;VVD;36;van Keulen, J.M. (Joost) (m);;0
1;VVD;37;Laan-Geselschap, A.J.M. (Antoinette) (v);;8
1;VVD;38;Tielen, J.Z.C.M. (Judith) (v);;3
1;VVD;39;Veldman, H.S. (Hayke) (m);;0
1;VVD;40;Heerema, R.J. (Rudmer) (m);;4
1;VVD;41;van Haga, W.R. (Wybren) (m);;1
1;VVD;42;de Lange, L.A. (Leendert) (m);;0
1;VVD;43;van Gent, T. (Tobias) (m);;0
1;VVD;44;de Veth, A.A. (Jeroen) (m);;1
1;VVD;45;Van Wijngaarden, J. (Jeroen) (m);;0
1;VVD;46;Aartsen, A.A. (Thierry) (m);;1
1;VVD;47;Regterschot, K. (Kelly) (v);;0
1;VVD;48;Smals, B.M.G. (Bart) (m);;0
1;VVD;49;Pauwels-Paauw, M.S. (Mirjam) (v);;3
1;VVD;50;Bolkestein, M.N. (Martijn) (m);;1
1;VVD;51;Snoeren, M.A.J. (Mark) (m);;4
1;VVD;52;Heemskerk, J.J. (Jacco) (m);;0
1;VVD;53;Tînjann-Levert, W.E. (Wendelien) (v);;1
1;VVD;54;van Rijn, R.K. (Robert) (m);;0
1;VVD;55;de Reus, J. (Jan) (m);;0
1;VVD;56;Dral, R.M. (Rosemarijn) (v);;2
1;VVD;57;Korting, I.A. (Irene) (v);;3
1;VVD;58;Arends-Drijver, K. (Kathy) (v);;0
1;VVD;59;Lock, K.P. (Krijn) (m);;0
1;VVD;60;Hoekstra, F. (Falco) (m);;0
1;VVD;61;van Schie, A.G. (AndrÇ) (m);;0
1;VVD;62;Struijlaart, E. (Erik) (m);;0
1;VVD;63;Haseloop-Amsing, T.H. (Tanja) (v);;1
1;VVD;64;Jacobs, B. (Barry) (m);;1
1;VVD;65;Elbertsen, J. (Jenny) (v);;0
1;VVD;66;van Dijk, S. (Saskia) (v);;0
1;VVD;67;Mos, J. (Jasper) (m);;11
1;VVD;68;Bîcker, B.M. (Linda) (v);;0
1;VVD;69;de Rijk, R.H. (Roeland) (m);;0
1;VVD;70;Welter, Y. (Yvonne) (v);;0
1;VVD;71;Derks, N.G. (Nick) (m);;0
1;VVD;72;Joziasse, M. (Miranda) (v);;0
1;VVD;73;Bevers, H. (Harry) (m);;1
1;VVD;74;Prins, A.J. (Anja) (v);;1
1;VVD;75;Huisman-Peelen, H. (Hennie) (v);;2
1;VVD;76;Bonnevits-de Jong, L. (Laurine) (v);;8
1;VVD;77;Lochtenberg, D.S.K. (Dylan) (m);;0
1;VVD;78;Larson, C.R. (Crys) (v);;1
1;VVD;79;Zevenbergen, E.F.A. (Frederik) (m);;0
1;VVD;80;van der Weijden, M. (Maarten) (m);;7
;;TOTAAL 1 VVD;;;5416
2;Partij van de Arbeid (P.v.d.A.);;;;
2;Partij van de Arbeid (P.v.d.A.);1;Asscher, L.F. (Lodewijk) (m);;876
2;Partij van de Arbeid (P.v.d.A.);2;Arib, K. (Khadija) (v);;103
2;Partij van de Arbeid (P.v.d.A.);3;Dijsselbloem, J.R.V.A. (Jeroen) (m);;126
2;Partij van de Arbeid (P.v.d.A.);4;Dijksma, S.A.M. (Sharon) (v);;66
2;Partij van de Arbeid (P.v.d.A.);5;van Dijk, G.J. (Gijs) (m);;5
2;Partij van de Arbeid (P.v.d.A.);6;Kuiken, A.H. (Attje) (v);;6
2;Partij van de Arbeid (P.v.d.A.);7;Nijboer, H. (Henk) (m);;1
2;Partij van de Arbeid (P.v.d.A.);8;van den Hul, K.A.E. (Kirsten) (v);;3
2;Partij van de Arbeid (P.v.d.A.);9;Moorlag, W.J. (William) (m);;0
2;Partij van de Arbeid (P.v.d.A.);10;Ploumen, E.M.J. (Lilianne) (v);;26
2;Partij van de Arbeid (P.v.d.A.);11;Kerstens, J.W.M. (John) (m);;2
2;Partij van de Arbeid (P.v.d.A.);12;de Kock, J.C.M. (Joke) (v);;7
2;Partij van de Arbeid (P.v.d.A.);13;Marcouch, A. (Ahmed) (m);;2
2;Partij van de Arbeid (P.v.d.A.);14;Volp, M.J. (Marith) (v);;2
2;Partij van de Arbeid (P.v.d.A.);15;Moti, R. (Richard) (m);;8
2;Partij van de Arbeid (P.v.d.A.);16;YÅcel, K. (Keklik) (v);;8
2;Partij van de Arbeid (P.v.d.A.);17;Servaes, M. (Michiel) (m);;1
2;Partij van de Arbeid (P.v.d.A.);18;Bozkurt, E. (Emine) (v);;4
2;Partij van de Arbeid (P.v.d.A.);19;van der Linde, I.M. (Ilco) (m);;1
2;Partij van de Arbeid (P.v.d.A.);20;Oosterbaan, C. (Christa) (v);;1
2;Partij van de Arbeid (P.v.d.A.);21;Mohandis, M. (Mohammed) (m);;0
2;Partij van de Arbeid (P.v.d.A.);22;Ypma, L. (Loes) (v);;3
2;Partij van de Arbeid (P.v.d.A.);23;Recourt, J. (Jeroen) (m);;0
2;Partij van de Arbeid (P.v.d.A.);24;Maij, M.E. (Marit) (v);;4
2;Partij van de Arbeid (P.v.d.A.);25;de Kort, M.V. (Martijn) (m);;0
2;Partij van de Arbeid (P.v.d.A.);26;Roopram, R.D. (Reshma) (v);;10
2;Partij van de Arbeid (P.v.d.A.);27;Hoogland, D. (Duco) (m);;1
2;Partij van de Arbeid (P.v.d.A.);28;Schellekens, G.M.M. (Giselle) (v);;0
2;Partij van de Arbeid (P.v.d.A.);29;de Vries, A.A. (Albert) (m);;2
2;Partij van de Arbeid (P.v.d.A.);30;Biemans, M.S. (Mirthe) (v);;0
2;Partij van de Arbeid (P.v.d.A.);31;Brouwer, H. (Harm) (m);;0
2;Partij van de Arbeid (P.v.d.A.);32;Vos, M.L. (Mei Li) (v);;3
2;Partij van de Arbeid (P.v.d.A.);33;Reinaerts, J.L.H. (Joost) (m);;0
2;Partij van de Arbeid (P.v.d.A.);34;Dibi, B. (Bouchra) (v);;1
2;Partij van de Arbeid (P.v.d.A.);35;van Drooge, S.W. (Bas) (m);;0
2;Partij van de Arbeid (P.v.d.A.);36;Asante, A.A. (Amma) (v);;0
2;Partij van de Arbeid (P.v.d.A.);37;önver, E. (Emre) (m);;0
2;Partij van de Arbeid (P.v.d.A.);38;Vermue, J.G.P. (Joyce) (v);;0
2;Partij van de Arbeid (P.v.d.A.);39;van Dekken, T.R. (Tjeerd) (m);;0
2;Partij van de Arbeid (P.v.d.A.);40;Hedin-Penninx, A. (Anna-Lena) (v);;0
2;Partij van de Arbeid (P.v.d.A.);41;Deen, B. (Bob) (m);;0
2;Partij van de Arbeid (P.v.d.A.);42;Vorselman-Derksen, C.H.W.J. (Cindy) (v);;0
2;Partij van de Arbeid (P.v.d.A.);43;Pentenga, F. (Erik) (m);;0
2;Partij van de Arbeid (P.v.d.A.);44;van den Boogaard, A. (Anna) (v);;2
2;Partij van de Arbeid (P.v.d.A.);45;van Laar, R.P. (Roelof) (m);;0
2;Partij van de Arbeid (P.v.d.A.);46;Schrofer, T.T. (Tamar) (v);;0
2;Partij van de Arbeid (P.v.d.A.);47;van Houwelingen, H.E.F. (Heino) (m);;0
2;Partij van de Arbeid (P.v.d.A.);48;Mulder, M.A. (Marinka) (v);;1
2;Partij van de Arbeid (P.v.d.A.);49;Bolhuis, W.D. (Wimar) (m);;0
2;Partij van de Arbeid (P.v.d.A.);50;GÅnal-Gezer, S. (Sultan) (v);;0
2;Partij van de Arbeid (P.v.d.A.);51;Staal, J.J. (Jelmer) (m);;2
2;Partij van de Arbeid (P.v.d.A.);52;Boot, E. (Els) (v);;1
2;Partij van de Arbeid (P.v.d.A.);53;Chahim, M. (Mohammed) (m);;4
2;Partij van de Arbeid (P.v.d.A.);54;Koenders, P.T.C. (Petra) (v);;0
2;Partij van de Arbeid (P.v.d.A.);55;Breederveld, R. (Roy) (m);;0
2;Partij van de Arbeid (P.v.d.A.);56;Menenti, L.M.E. (Laura) (v);;0
2;Partij van de Arbeid (P.v.d.A.);57;van de Burgt, R.H.M. (Richard) (m);;0
2;Partij van de Arbeid (P.v.d.A.);58;Repetur, M.E. (Lou) (v);;0
2;Partij van de Arbeid (P.v.d.A.);59;Akrouh, S. (Saami) (m);;0
2;Partij van de Arbeid (P.v.d.A.);60;Engbers, A.H.M.G. (Anita) (v);;0
2;Partij van de Arbeid (P.v.d.A.);61;Ronnes, T.L. (Thomas) (m);;1
2;Partij van de Arbeid (P.v.d.A.);62;Wijntuin, P.M. (Peggy) (v);;1
2;Partij van de Arbeid (P.v.d.A.);63;Brouwers, L.W.L. (Luc) (m);;1
2;Partij van de Arbeid (P.v.d.A.);64;van Zantvoort, A.H.G. (Anja) (v);;0
2;Partij van de Arbeid (P.v.d.A.);65;Cohen, F. (Fred) (m);;0
2;Partij van de Arbeid (P.v.d.A.);66;Dankert, A.T. (Anne) (v);;0
2;Partij van de Arbeid (P.v.d.A.);67;Bouteibi, H. (Hafid) (m);;0
2;Partij van de Arbeid (P.v.d.A.);68;Voigt, I. (Ivonne) (v);;1
2;Partij van de Arbeid (P.v.d.A.);69;Schuurman Hess, J.N. (Jan) (m);;0
2;Partij van de Arbeid (P.v.d.A.);70;Klomp, B.C.D. (Denise) (v);;0
2;Partij van de Arbeid (P.v.d.A.);71;Keizer, H.M. (Marco) (m);;0
2;Partij van de Arbeid (P.v.d.A.);72;Houben, T.A.H. (Tirza) (v);;0
2;Partij van de Arbeid (P.v.d.A.);73;van 't Zelfde, E.R.M. (Eric) (m);;1
2;Partij van de Arbeid (P.v.d.A.);74;Doevendans, S.S. (Sandra) (v);;0
2;Partij van de Arbeid (P.v.d.A.);75;de Haan, F.G. (Foppe) (m);;1
2;Partij van de Arbeid (P.v.d.A.);76;van den Bergh, J. (Jacqueline) (v);;11
2;Partij van de Arbeid (P.v.d.A.);77;Koning, A.L. (Anne) (v);;0
2;Partij van de Arbeid (P.v.d.A.);78;Rensen, J.D. (Dick) (m);;0
2;Partij van de Arbeid (P.v.d.A.);79;Stam, M.X. (Mario) (m);;0
2;Partij van de Arbeid (P.v.d.A.);80;Struijk, W. (Wouter) (m);;2
;;TOTAAL 2 Partij van de Arbeid (P.v.d.A.);;;1301
3;PVV (Partij voor de Vrijheid);;;;
3;PVV (Partij voor de Vrijheid);1;Wilders, G. (Geert) (m);;4244
3;PVV (Partij voor de Vrijheid);2;Agema, M. (Fleur) (v);;266
3;PVV (Partij voor de Vrijheid);3;Maeijer, V. (Vicky) (v);;24
3;PVV (Partij voor de Vrijheid);4;Markuszower, G. (Gidi) (m);;1
3;PVV (Partij voor de Vrijheid);5;Fritsma, S.R. (Sietse) (m);;4
3;PVV (Partij voor de Vrijheid);6;Bosma, M. (Martin) (m);;24
3;PVV (Partij voor de Vrijheid);7;Madlener, B. (Barry) (m);;2
3;PVV (Partij voor de Vrijheid);8;van Dijck, A.P.C. (Teun) (m);;1
3;PVV (Partij voor de Vrijheid);9;Helder, L.M.J.S. (Lilian) (v);;3
3;PVV (Partij voor de Vrijheid);10;Beertema, H.J. (Harm) (m);;3
3;PVV (Partij voor de Vrijheid);11;de Graaf, M. (Machiel) (m);;3
3;PVV (Partij voor de Vrijheid);12;Graus, D.J.G. (Dion) (m);;12
3;PVV (Partij voor de Vrijheid);13;de Roon, R. (Raymond) (m);;0
3;PVV (Partij voor de Vrijheid);14;van Weerdenburg, V.D.D. (Danai) (v);;1
3;PVV (Partij voor de Vrijheid);15;Mulder, E. (Edgar) (m);;1
3;PVV (Partij voor de Vrijheid);16;Gerbrands, K. (Karen) (v);;2
3;PVV (Partij voor de Vrijheid);17;de Jong, L.W.E. (LÇon) (m);;0
3;PVV (Partij voor de Vrijheid);18;Popken, G.J.F. (Gabriâlle) (v);;2
3;PVV (Partij voor de Vrijheid);19;Kops, A. (Alexander) (m);;0
3;PVV (Partij voor de Vrijheid);20;van Aalst, R.R. (Roy) (m);;0
3;PVV (Partij voor de Vrijheid);21;van Dijk, E. (Emiel) (m);;1
3;PVV (Partij voor de Vrijheid);22;Housmans, R.W.P.E. (Robert) (m);;0
3;PVV (Partij voor de Vrijheid);23;Jansen, C.A. (Chris) (m);;1
3;PVV (Partij voor de Vrijheid);24;de Vree, J.H. (Henk) (m);;5
3;PVV (Partij voor de Vrijheid);25;Aardema, M. (Max) (m);;0
3;PVV (Partij voor de Vrijheid);26;van Dijk, A.J.A. (Toon) (m);;0
3;PVV (Partij voor de Vrijheid);27;de Winter, D. (Daniâlle) (v);;2
3;PVV (Partij voor de Vrijheid);28;Bezaan, I.A. (Ilse) (v);;0
3;PVV (Partij voor de Vrijheid);29;Kardol, J.C. (Joyce) (v);;0
3;PVV (Partij voor de Vrijheid);30;Vlottes, E. (Elmar) (m);;0
3;PVV (Partij voor de Vrijheid);31;de Jong, R.G.J. (Rob) (m);;2
3;PVV (Partij voor de Vrijheid);32;van Pijkeren, J. (An) (v);;0
3;PVV (Partij voor de Vrijheid);33;Rijken, J.J. (Jeffrey) (m);;3
3;PVV (Partij voor de Vrijheid);34;IJssennagger, H. (Han) (m);;0
3;PVV (Partij voor de Vrijheid);35;van De£n, H. (Henk) (m);;0
3;PVV (Partij voor de Vrijheid);36;Vermeer, T.F. (Tim) (m);;0
3;PVV (Partij voor de Vrijheid);37;Buitelaar, O.S.J. (Olaf) (m);;0
3;PVV (Partij voor de Vrijheid);38;Dulfer, T.F. (Tessa) (v);;13
3;PVV (Partij voor de Vrijheid);39;Boon, M.C.H. (Maikel) (m);;3
3;PVV (Partij voor de Vrijheid);40;Braam, E.G.T. (Ed) (m);;0
3;PVV (Partij voor de Vrijheid);41;Ludriks, M.S. (Menno) (m);;0
3;PVV (Partij voor de Vrijheid);42;Choenni, N.A. (Nathalie) (v);;1
