FID,mirtnr,mirtnrid,project,omschr,onderwerp,gebied,fase,ministerie,besluit,startreal,oplevering,f_mln,gdb_geomattr_data,shape
mirt_punten_modaliteit.1,1030,103001,Toekomstvast Spoor Zuidoost-Nederland,Helmond,Spoorwegen personen,Zuid-Nederland,Planning en studies,IenW, ,2026-2028, ,107,,POINT (174075.4549999982 387409.0859999992)
mirt_punten_modaliteit.2,1030,100302,Toekomstvast Spoor Zuidoost-Nederland,Eindhoven CS,Spoorwegen personen,Zuid-Nederland,Planning en studies,IenW, ,2026-2028, ,107,,POINT (161551.2049999982 383796.2250000015)
mirt_punten_modaliteit.3,1030,100300,Toekomstvast Spoor Zuidoost-Nederland,Venlo,Spoorwegen personen,Zuid-Nederland,Planning en studies,IenW, ,2026-2028, ,107,,POINT (209579.60399999842 375390.243999999)
mirt_punten_modaliteit.4,791,79101,Sluiscomplex Kornwerderzand, ,Regionale/lokale infrastructuur,Noord-Nederland,Aanleg,IenW, ,2020,2025-2028,113,,POINT (151656.21840000153 565155.697900001)
mirt_punten_modaliteit.5,701,70101,PHS Ede, ,Spoorwegen personen,Oost-Nederland,Aanleg,IenW, ,2017,2022-2024,61,,POINT (174547.82829999924 448870.55040000007)
mirt_punten_modaliteit.6,786,78601,Wilhelminakanaal Sluis II, ,Vaarwegen,Zuid-Nederland,Planning en studies,IenW, , , ,82,,POINT (127707.51469999924 400882.96599999815)
mirt_punten_modaliteit.7,1027,102701,PHS Amsterdam, ,Spoorwegen,Noordwest-Nederland,Aanleg,IenW,2021,2021,2030-2032,870,,POINT (121860.19999999925 488006.5)
mirt_punten_modaliteit.8,550,55001,"Amsterdam CS, Cuypershal", ,Spoorwegen personen,Noordwest-Nederland,Aanleg,IenW, ,2012-2024, ,27,,POINT (121860.19999999925 488006.5)
mirt_punten_modaliteit.9,764,76401,Reevesluis, ,Waterveiligheid,Noordwest-Nederland,Aanleg,IenW, , ,2021-2023,96,,POINT (186959.8178000003 503647.7672000006)
mirt_punten_modaliteit.10,615,61503,A10 Knooppunten De Nieuwe Meer en Amstel,KP. Amstel,Hoofdwegen,Noordwest-Nederland,Aanleg,IenW, , ,2032-2036,333,,POINT (122692.17029999942 482379.26089999825)
mirt_punten_modaliteit.11,615,61502,A10 Knooppunten De Nieuwe Meer en Amstel,KP. De Nieuwe Meer,Hoofdwegen,Noordwest-Nederland,Aanleg,IenW, , ,2032-2036,333,,POINT (117858.61719999835 483457.879900001)
mirt_punten_modaliteit.12,610,61001,Besluit beheer Haringvlietsluizen,Haringvlietsluizen,Zoetwater,Zuidwest-Nederland,Aanleg,IenW, , ,2018-2027,84,,POINT (62830.799400001764 427997.3520999998)
mirt_punten_modaliteit.13,576,57601,Capaciteit Volkaraksluizen, ,Hoofdvaarwegen,Zuidwest-Nederland,Planning en studies,IenW, , , ,165,,POINT (87391.5148999989 411753.00549999997)
mirt_punten_modaliteit.14,451,45101,Capaciteitsuitbreiding ligplaatsen Beneden-Lek, ,Hoofdvaarwegen,Zuidwest-Nederland,Aanleg,IenW, ,2021,2023,14,,POINT (114238.33350000158 437213.54769999906)
mirt_punten_modaliteit.15,514,51407,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Aanleg,IenW, , , ,239,,POINT (73307.23250000179 437655.73110000044)
mirt_punten_modaliteit.16,514,51406,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Aanleg,IenW, , , ,239,,POINT (99882.27309999987 426746.27639999986)
mirt_punten_modaliteit.17,514,51405,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Aanleg,IenW, , , ,239,,POINT (90200.68879999965 432730.2243000008)
mirt_punten_modaliteit.18,514,51404,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Aanleg,IenW, , , ,239,,POINT (84950.58399999887 433492.32239999995)
mirt_punten_modaliteit.19,514,51403,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Aanleg,IenW, , , ,239,,POINT (79912.2126000002 432617.3112999983)
mirt_punten_modaliteit.20,514,51402,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Aanleg,IenW, , , ,239,,POINT (62796.06850000098 439916.22509999946)
mirt_punten_modaliteit.21,514,51401,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Aanleg,IenW, , , ,239,,POINT (60988.082400001585 438577.76249999925)
mirt_punten_modaliteit.22,615,61501,A10 Knooppunten De Nieuwe Meer en Amstel,Zuidas,Hoofdwegen,Noordwest-Nederland,Aanleg,IenW, , ,2032-2036,333,,POINT (120011.01929999888 483607.25979999825)
mirt_punten_modaliteit.23,309,30901,Zuidasdok,Amsterdam Zuid,Hoofdwegen en Spoorwegen personen,Noordwest-Nederland,Aanleg,IenW, , ,2032-2036,1802,,POINT (120011.01929999888 483607.25979999825)
mirt_punten_modaliteit.24,454,45401,Emplacement Den Haag Centraal, ,Spoorwegen personen,Zuidwest-Nederland,Aanleg,IenW, ,2020,2023-2025,74,,POINT (82134.74060000107 455297.76359999925)
mirt_punten_modaliteit.25,453,45301,Nieuwe Sluis Terneuzen, ,Hoofdvaarwegen,Zuidwest-Nederland,Aanleg,IenW, , ,2023,1058,,POINT (45770.03519999981 373166.1596999988)
mirt_punten_modaliteit.26,491,49101,Nijmegen omarmt de Waal (Waalfront), ,Integrale gebiedsopgaven,Oost-Nederland,Aanleg,BZK, ,2009,2027,25,,POINT (186725.79940000176 429630.85489999875)
mirt_punten_modaliteit.27,518,51801,Lichteren Buitenhaven IJmuiden en Energiehaven, ,Hoofdvaarwegen,Noordwest-Nederland,Aanleg,IenW, , , ,39,,POINT (99562.83199999854 498280.1422000006)
mirt_punten_modaliteit.28,513,51301,Zeetoegang IJmond, ,Hoofdvaarwegen,Noordwest-Nederland,Aanleg,IenW, , ,2022,1220,,POINT (102093.67990000173 498036.36670000106)
mirt_punten_modaliteit.29,1045,104501,PHS Nijmegen, ,Spoorwegen personen,Oost-Nederland,Aanleg,IenW,2022, ,2027,10,,POINT (187084.21799999848 428451.9919999987)
