;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9540 - EZ specifiek;Eindtotaal
A. de Jong T.H. B.V.;1;;;;1
A. Jaggoe;;;1;;1
A. Ruyken Handelsonderneming B.V.;;;1;;1
A.G.F. Kerkdriel B.V.;;;1;;1
A.S. Watson B.V.;;;1;;1
Aardappelhandel Kruizinga B.V.;;;1;;1
Aartsen Breda B.V.;;;1;;1
Aartsen Venlo B.V.;;;1;;1
AB Vakwerk Agri B.V.;;;;2;2
AB Werkt;;;;1;1
Abeos Bedrijfsverzorging B.V.;;;;1;1
Abeos Zakelijke Dienstverlening B.V.;;;;3;3
Actifood B.V.;;;1;;1
Adri & Zn. Schaal- en Schelpdierenhandel B.V.;;;1;;1
Aerial Pro B.V.;;;;1;1
Afro Caribbean Food & Cosmetics B.V.;;;1;;1
Agdia EMEA;1;;;;1
AGF Overtoom Groothandel & Horecalever. B.V.;;;1;;1
Agf-online B.V.;;;1;;1
Agilent Technologies Netherlands B.V.;1;2;;;2
Agrar. Hand.bedr. P. Cevaal en Zonen V.O.F.;;;;1;1
Agrifirm Plant B.V.;;;;1;1
AGRITEST S.R.L.;1;;;;1
Agro Clean Nederland B.V.;;;;3;3
Air Cargo Netherlands;;;;1;1
Air Control Systems B.V.;1;;;;1
Air Products Nederland B.V.;1;;;;1
AKSA Medical;1;;;;1
Al Hoceima Import- Export B.V.;;;1;;1
Albert Heijn B.V.;;;1;;1
Aldi Drachten B.V.;;;1;;1
Aldi Ommen B.V.;;;1;;1
Aldi Roosendaal;;;1;;1
Aldi Zaandam B.V.;;;1;;1
All4Trade B.V.;;;1;;1
Alla Marca Food;;;1;;1
Aluminiumboten;;;;1;1
Alwafa Levensmiddelen;;;1;;1
Amar Import en Export B.V.;;;1;;1
Amb. Molenaarsbedrijf 'Molen Nooit Gedagt';;;1;;1
Ambelos B.V.;;;1;;1
ANNA Dutch B.V.;;;1;;1
APHA - Animal and Plant Health Agency;;;1;;1
Apotheker Gr.hand. in Groenten en Fruit B.V.;;;1;;1
Applied Biosystems;1;;;;1
Aqui Fruit & Greens B.V.;;;1;;1
Ariane Inden Cosmetics;;;1;;1
Arva Specerijen B.V.;;;1;;1
Asia Express Food;;;1;;1
Asianuts;;;1;;1
Asijah Europe;;;1;;1
ATL Seafood IJmuiden B.V.;;;1;;1
Atlas Food B.V.;;;1;;1
Ausnutria Heerenveen Hector B.V.;;;1;;1
Ausnutria Heerenveen Pluto B.V.;;;1;;1
AW Accu B.V.;;;;2;2
Axxent Masters in Tea B.V.;;;1;;1
Aygun Notenhandel;;;1;;1
B.V. Kwaliteitskeuring Dierlijke Sector;;;;7;7
B.V. Nettorama Verbruikersmarkten;;;1;;1
B.V. Peter van Halder Grootverbruik in A.G.F.;;;1;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;1;2;;;2
Badé Import Export Groothandel B.V.;;;1;;1
Bakker Barendrecht B.V.;;;1;;1
Bakker Centrale Inkoop B.V.;;;1;;1
Banketbakkerij De Vlaam B.V.;;;1;;1
BaseClear B.V.;1;;;;1
Basic Salon Products B.V.;;;1;;1
Bel Impex;;;1;;1
Bergbanket B.V.;;;1;;1
Bergfood B.V.;;;1;;1
Besli Import en Export B.V.;;;1;;1
Bestron Nederland B.V.;;;1;;1
BIJ12;;;;2;2
Bio-Connect B.V.;2;;;;2
Bio-Connect Services B.V.;4;;1;;4
Biogents AG;2;;;;2
bioMérieux Benelux B.V.;2;3;;;3
BioQuip Products;1;;;;1
Bio-Rad Laboratories B.V.;2;2;;;2
Biotage Sweden AB;;2;;;2
bioTRADING Benelux;4;;;;4
Biozymtc B.V.;1;;;;1
BIPEA;;;1;;1
bol.com B.V.;;;1;;1
Boni-Markten B.V.;;;1;;1
Boom B.V.;2;;;;2
Boomsma Distilleerderij/Wijnkoperij B.V.;;;1;;1
Boon Food Group B.V.;;;1;;1
Boumanfruit B.V.;;;1;;1
Bourmana B.V.;;;1;;1
Bouwmarkt Wageningen B.V.;1;;;;1
Brima Fruit B.V.;;;1;;1
Brocacef Supplies & Services B.V.;1;;;;1
Broekman Bedrijfsadministraties B.V.;;;;1;1
Bronson Incubator Services B.V.;;4;;;4
Bruker Nederland B.V.;2;;;;2
Bud Holland B.V.;;;1;;1
Butt International Import & Export;;;1;;1
C.O.H.E.;;;1;;1
C.V. Palinghandel Volendam;;;1;;1
Camposol Fresh B.V.;;;1;;1
Cannock Chase Public;;;;1;1
Carl Zeiss B.V.;;2;;;2
CCV Holland B.V.;;;;1;1
Cefas;;;1;;1
Charm Sciences;1;;;;1
Choconut;;;1;;1
Collalift;;;1;;1
Combilo B.V.;;;1;;1
Coop Groothandel B.V.;;;1;;1
Coöp. Vereniging Agrarische Bedrijfsverz. UA;;;;1;1
Covetrus B.V.;2;;;1;2
D. Koelewijn's Haringinleggerij B.V.;;;1;;1
D.A.P. Flevoland;;;;1;1
D.A.P. 't Groene Hart B.V.;;;;1;1
Dasselaar B.V.;;;1;;1
Dayseaday Fresh B.V.;;;1;;1
De Graafschap Dierenartsen B.V.;;;;1;1
De Groot van Dommele B.V.;;;1;;1
De Koningh Coding & Labeling B.V.;1;;;;1
De Kruidenaer B.V.;;;1;;1
De Nieuwe Band;;;1;;1
De Nootzaak Gotjé;;;1;;1
De Notenbeurs B.V.;;;1;;1
De Notenkraker Millingen B.V.;;;1;;1
De Notenshop;;;1;;1
De smaakspecialist;;;1;;1
De Weerd Specerijen B.V.;;;1;;1
De Westfriesche Pindabranderij B.V.;;;1;;1
Deen Supermarkten B.V.;;;1;;1
Delinuts B.V.;;;1;;1
Delta Wines Nederland;;;1;;1
Demir Fruit B.V.;;;1;;1
Denios B.V.;;2;;;2
Detailresult Logistiek B.V.;;;1;;1
Deva Food B.V.;;;1;;1
Diamond Flavours B.V.;;;1;;1
Dierenartsenpraktijk Kollum-Buitenpost;;;;1;1
Dierenartsenpraktijk Midden-Zeeland;;;;1;1
Dierenkliniek Winkelhof;;;;1;1
Dierenkliniek Zevenhuizen;;;;1;1
Dijkstra Koek en Banket;;;1;;1
Do It B.V.;;;1;;1
Domein Aldenborgh;;;1;;1
Doyenne B.V.;;;1;;1
Dr. M.J.L. Kik, dierenarts voor reptielen;;;;1;1
Dräger Nederland B.V.;1;;;;1
Dragon Herbs B.V.;;;1;;1
DRRR GmbH;;;1;;1
Drukkerij Modern B.V.;1;;;;1
DSMZ - Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH;1;;;;1
Dun Yong Foodservices B.V.;;;1;;1
Dusomos Vers B.V.;;;1;;1
E.F.P. International B.V.;;;1;;1
Eierencentrale West Nederland B.V.;;;1;;1
Elenbaas Zeegroenten;;;1;;1
E-Liquidwinkel B.V.;;;1;;1
Elscolab B.V.;1;;;;1
Eminent Food B.V.;;;1;;1
Enes Groothandel B.V.;;;1;;1
Engelhart Handelsonderneming B.V.;;;1;;1
Engels;1;;;;1
Entomologie-Speciaalzaak Vermandel V.O.F.;1;;;;1
Eosta International;;;1;;1
Esser Haringgroothandel en Rokerij B.V.;;;1;;1
EURL-FV Pesticides;;;1;;1
EURL-SRM;;;1;;1
Euro Meat Oss B.V.;;;1;;1
Eurofresh B.V.;;;1;;1
Eurogentec Nederland B.V.;2;;;;2
Excellent AGF B.V.;;;1;;1
Fa. C. van der Meij en Zn.;;;1;;1
Fa. W. van Wijk B.V.;;;1;;1
Fadie Food B.V.;;;1;;1
Fangoo B.V.;;;1;;1
Farnell (Netherlands) B.V.;1;;1;;1
FedEx Express Netherlands B.V.;1;;;1;1
Felix Cohen B.V.;;;1;;1
FERA SCIENCE LTD;;;2;;2
Firma Admiraal-de Witt;;;1;;1
Firma Gebr. De Boer;;;1;;1
Firma Jac. Korpershoek;1;;;;1
Firma Postuma-Kampen;;;1;;1
Fisher Emergo B.V.;4;;;;4
Fix-Fisch B.V.;;;1;;1
Flanderijn B.V.;;;;2;2
Flevosap B.V.;;;1;;1
FlexVet B.V.;;;;9;9
Flexxolutions B.V.;1;;;;1
FOOX - Willie Robben B.V.;;;1;;1
Fresh en Cash Groente- en Fruitmarkten B.V.;;;1;;1
Fresh-Care Convenience B.V.;;;1;;1
Friquez B.V.;;;1;;1
Fruit Factor B.V.;;;1;;1
Fruit-M Import-Export B.V.;;;1;;1
Frukar B.V.;;;1;;1
FZ Organic Food;;;1;;1
G. Bakker D. Jzn.;;;1;;1
G. Schönhage & Zn. B.V.;;;1;;1
G.H. Lukassen en Zoon B.V.;;;1;;1
G4S Cash Management B.V.;;;;1;1
G4S Cash Solutions B.V.;;;;1;1
Gaston Schul Customs B.V.;;;1;;1
GC Biotech B.V.;1;;;;1
Gebr. Dil Import-Export B.V.;;;1;;1
Gebr. Vlug Beheer B.V.;;;1;;1
Gebroeders De Mooy Amsterdam B.V.;;;1;;1
