MAST_NUMMER,ARMATUURTYPE_1,ARMATUURTYPE_2,ARMPLAATSINGSDATUM,LAMPPLAATSINGSDATUM,LAMPTYPENAAM
001 00010,KFK LED2WELL 1600lm,,20180715000000,20180715000000,LED 15W 3000K 1600lm
001 00020,2552 1xPLL 55 E IRIS SGS152,,20050101000000,20190704000000,310055 PL-L 55W/830 4P MASTER
001 00025,BDP102 GRN15 / 830 DRW PCC SI CLO D9 SRG10,,20210122000000,20210122000000,LED 13W 3000K 1500lm
001 00030,LW-SRDS2 2500 LM 16A 730 DAME CC,,20210224000000,20210224000000,LED 20W 3000K 2500lm
001 00035,LW-SRDS2 2500 LM 16A 730 DAME CC,,20190901000000,20190901000000,LED 20W 3000K 2500lm
001 00040,ALTRA-2 1xPLL 36 E,,20131112000000,20190724000000,310036 PL-L 36W/830 4P MASTER
001 00050,GAM L2WG4 Helder-LC-M-16LED 3000K 3000lm,,20210201000000,20210201000000,LED 25W 3000K 3000lm
001 00063,ALTRA-2 1xPLL 36 E,,20170501000000,20170501000000,310036 PL-L 36W/830 4P MASTER
001 00065,BDS711 Kegel 28LED 2400lm WW,,20151228000000,20151228000000,LED 27W 3000K 2400lm
001 00068,ALTRA-2 1xPLL 36 E,,20170501000000,20170501000000,310036 PL-L 36W/830 4P MASTER
001 00070,2000 1x PLL24 E,,20041201000000,20191009000000,310024 PL-L 24W/830 4P MASTER
001 00080,2160 1xPLL 18 E Mithra,,20100323000000,20191009000000,310018 PL-L 18W/830 4P MASTER
001 00085,BDS711 Kegel 28LED 2400lm WW,,20151228000000,20151228000000,LED 27W 3000K 2400lm
001 00090,LW-SRDS2 2000 LM 16A 730 DAME CC,,20210225000000,20210225000000,LED 16W 3000K 2000lm
001 00100,MC2 1xSON-T70,,20040301000000,20190701000000,220070 CDO-TT 070W/828 MASTER
001 00110,ALTRA-2 1xPLL 36 E,,20041101000000,20190722000000,310036 PL-L 36W/830 4P MASTER
001 00120,BDP102 GRN15 / 830 DRW PCC SI CLO D9 SRG10,,20210122000000,20210122000000,LED 13W 3000K 1500lm
001 00125,2000 1x PLL24 E,,20101024000000,20190805000000,310024 PL-L 24W/830 4P MASTER
001 00127,LW-SRDS2 2500 LM 16A 730 DAME CC,,20190901000000,20190901000000,LED 20W 3000K 2500lm
001 00130,2400 1xPLL 24 E Padvinder,,20070111000000,20190723000000,310024 PL-L 24W/830 4P MASTER
001 00140,2000 1xPLL36 E,,20140627000000,20190820000000,310036 PL-L 36W/830 4P MASTER
001 00145,2500 1xPLL36 E,,19990801000000,20190722000000,310036 PL-L 36W/830 4P MASTER
001 00150,MC2 1xSON-T70,,20040301000000,20190701000000,220070 CDO-TT 070W/828 MASTER
