FID,gebied,ribbelnr,jaar,utm_etrs89,utm_etrs_1,gdb_geomattr_data,shape
ribbelnummers_vaargeulen.1,NH,NH01,2013,485812,5750312,,POINT (485812 5750312.0001)
ribbelnummers_vaargeulen.2,AY,AY01,2013,550379.5973,5813076.5793,,POINT (550379.5972999996 5813076.579399999)
ribbelnummers_vaargeulen.3,EG,EG11,2013,532637.5,5760312.5,,POINT (532637.5 5760312.5)
ribbelnummers_vaargeulen.4,AY,AY06,2013,554987.5,5811462.5,,POINT (554987.5 5811462.5)
ribbelnummers_vaargeulen.5,NH,NH02,2013,484262.5,5748037.5,,POINT (484262.5 5748037.5)
ribbelnummers_vaargeulen.6,EG,EGDRAAI-1,2010,534962,5760587,,POINT (534962.0000999998 5760587)
ribbelnummers_vaargeulen.7,EG,EG-1,2010,531637,5760112,,POINT (531637 5760112)
ribbelnummers_vaargeulen.8,NHM,NHM01,2010,485812,5750312,,POINT (485812 5750312.0001)
ribbelnummers_vaargeulen.9,NHM,NHM02,2010,487462,5749912,,POINT (487462 5749912)
ribbelnummers_vaargeulen.10,NHZ,NHZ01,2010,484237,5748037,,POINT (484237 5748037)
ribbelnummers_vaargeulen.11,AGO,1,TM2009,511723.4792,5759784.622,,POINT (511723.47919999994 5759784.6219999995)
ribbelnummers_vaargeulen.12,AGO,2,TM2009,511622.48,5759904.6211,,POINT (511622.48000000045 5759904.621099999)
ribbelnummers_vaargeulen.13,AGO,3,TM2009,510419.4889,5760829.6142,,POINT (510419.48890000023 5760829.6142)
ribbelnummers_vaargeulen.14,AGO,4,TM2009,510347.4894,5757284.6406,,POINT (510347.4894000003 5757284.6406)
ribbelnummers_vaargeulen.15,AGO,4A,TM2009,509922.4925,5757264.6408,,POINT (509922.4924999997 5757264.640799999)
ribbelnummers_vaargeulen.16,AGO,5,TM2009,509212.4979,5759929.621,,POINT (509212.4978 5759929.620999999)
ribbelnummers_vaargeulen.17,AGO,6,TM2009,508762.5012,5760949.6134,,POINT (508762.5011999998 5760949.613399999)
