FID,name,gdb_geomattr_data,shape
rws_grond_uitbreiding.1,Utrecht Groot Merwede,,"POLYGON ((135768.7349999994 451999.69999999925, 135765.5639999993 452017.4219999984, 135755.0309999995 452022.40100000054, 135750.55200000107 452024.77699999884, 135741.00299999863 452029.48800000176, 135735.22300000116 452047.2969999984, 135726.1400000006 452075.2809999995, 135718.25 452099.4510000013, 135716.94799999893 452103.58399999887, 135741.6799999997 452107.85599999875, 135748.08900000155 452088.30099999905, 135752.16899999976 452075.9230000004, 135764.6099999994 452037.23099999875, 135767.07600000128 452030.6970000006, 135783.7969999984 451974.51099999994, 135787.6788999997 451961.75769999996, 135774.5636 451966.37029999867, 135768.7349999994 451999.69999999925))"
rws_grond_uitbreiding.2,Rotterdam Oostflank incl. FXL,,"POLYGON ((95894.42000000179 441021.9200000018, 95913.66299999878 441026.563000001, 95972.76099999994 440790.188000001, 95953.65100000054 440785.59099999815, 95902.26700000092 440990.6090000011, 95894.42000000179 441021.9200000018))"
rws_grond_uitbreiding.3,CID Binkhorst,,"POLYGON ((84666.59299999848 453660.25499999896, 84667.36100000143 453659.0769999996, 84673.42599999905 453649.68200000003, 84664.81599999964 453643.0789999999, 84657.3440000005 453652.8209999986, 84666.59299999848 453660.25499999896))"
rws_grond_uitbreiding.4,Rotterdam Oostflank incl. FXL,,"POLYGON ((95517.25 435418.80000000075, 95490.53000000119 435431.3599999994, 95491.10000000149 435436.0399999991, 95499.25 435432.4200000018, 95517.98000000045 435423.6799999997, 95517.25 435418.80000000075))"
rws_grond_uitbreiding.5,Havenstad Amsterdam,,"POLYGON ((117276.23800000176 489481.05999999866, 117276.23600000143 489479.05999999866, 117276.20300000161 489478.80099999905, 117276.09699999914 489478.561999999, 117275.92799999937 489478.36300000176, 117275.70899999887 489478.2199999988, 117275.45899999887 489478.1460000016, 117275.19799999893 489478.14499999955, 117274.94700000063 489478.2190000005, 117274.72800000012 489478.36199999973, 117274.55900000036 489478.55999999866, 117274.45300000161 489478.7989999987, 117274.41899999976 489479.05799999833, 117274.41699999943 489483.188000001, 117274.45100000128 489483.4470000006, 117274.55700000003 489483.686999999, 117274.72700000182 489483.88599999994, 117274.9459999986 489484.02800000086, 117275.19700000063 489484.1030000001, 117275.45899999887 489484.1030000001, 117275.7100000009 489484.02800000086, 117275.9290000014 489483.88599999994, 117276.09899999946 489483.686999999, 117276.20499999821 489483.4470000006, 117276.23900000006 489483.188000001, 117276.23800000176 489481.05999999866))"
rws_grond_uitbreiding.6,Havenstad Amsterdam,,"POLYGON ((116084.22500000149 489495.3520000018, 116084.34499999881 489495.5850000009, 116084.52600000054 489495.7749999985, 116084.75400000066 489495.90399999917, 116085.01000000164 489495.9629999995, 116085.27199999988 489495.9470000006, 116085.51799999923 489495.85599999875, 116085.72800000012 489495.69900000095, 116085.88399999961 489495.48800000176, 116085.97300000116 489495.2410000004, 116085.98800000176 489494.9789999984, 116085.85399999842 489492.8599999994, 116085.72700000182 489490.86400000006, 116085.67799999937 489490.60599999875, 116085.55700000003 489490.3729999997, 116085.375 489490.18400000036, 116085.14699999988 489490.0549999997, 116084.8909999989 489489.99599999934, 116084.62999999896 489490.01300000027, 116084.38300000131 489490.1030000001, 116084.17300000042 489490.26000000164, 116084.0159999989 489490.47100000083, 116083.92599999905 489490.7170000002, 116083.91000000015 489490.9789999984, 116084.17700000107 489495.0940000005, 116084.22500000149 489495.3520000018))"
rws_grond_uitbreiding.7,Utrecht Groot Merwede,,"POLYGON ((135281.27899999917 455167.8819999993, 135281.99399999902 455167.27800000086, 135284.77899999917 455164.9549999982, 135308.09800000116 455145.52899999917, 135316.62099999934 455138.36499999836, 135343.96200000122 455115.5210000016, 135366.3299999982 455097.0799999982, 135374.188000001 455090.7569999993, 135370.85500000045 455086.8509999998, 135360.29100000113 455073.9210000001, 135359.81500000134 455073.4360000007, 135314.81599999964 455111.20800000057, 135307.1240000017 455117.6339999996, 135306.35399999842 455118.2490000017, 135301.76700000092 455122.19900000095, 135301.34899999946 455122.4780000001, 135301.35300000012 455115.34699999914, 135273.77800000086 455138.27699999884, 135255.95820000023 455153.0954999998, 135273.36710000038 455174.5379999988, 135281.27899999917 455167.8819999993))"
rws_grond_uitbreiding.8,Havenstad Amsterdam,,"POLYGON ((119156.875 491425.66099999845, 119151.02899999917 491417.1240000017, 119137.08100000024 491397.30000000075, 119123.23999999836 491378.1339999996, 119109.42500000075 491359.40199999884, 119095.40199999884 491340.94200000167, 119080.8049999997 491322.1400000006, 119066.65399999917 491304.1620000005, 119066.06700000167 491303.4970000014, 119116.46299999952 491371.5859999992, 119111.82999999821 491375.0089999996, 119152.23999999836 491429.14400000125, 119156.875 491425.66099999845))"
rws_grond_uitbreiding.9,Havenstad Amsterdam,,"POLYGON ((116036.87299999967 489498.8440000005, 116036.93100000173 489499.09800000116, 116037.05900000036 489499.32499999925, 116037.24599999934 489499.506000001, 116037.47700000182 489499.6270000003, 116037.73200000077 489499.6779999994, 116037.99199999869 489499.65399999917, 116038.2340000011 489499.55700000003, 116038.43800000101 489499.3960000016, 116038.58900000155 489499.18400000036, 116038.67300000042 489498.936999999, 116038.68400000036 489498.6770000011, 116038.49199999869 489496.55900000036, 116038.31100000069 489494.56700000167, 116038.25699999928 489494.30799999833, 116038.13199999928 489494.07400000095, 116037.94399999827 489493.88699999824, 116037.7109999992 489493.76199999824, 116037.45100000128 489493.70899999887, 116037.18699999899 489493.7329999991, 116036.94099999964 489493.83100000024, 116036.7340000011 489493.99599999934, 116036.58300000057 489494.21400000155, 116036.5009999983 489494.46599999815, 116036.49500000104 489494.73099999875, 116036.87299999967 489498.8440000005))"
rws_grond_uitbreiding.10,Havenstad Amsterdam,,"POLYGON ((118079.75699999928 489785.3979999982, 118078.97899999842 489769.5320000015, 118081.50800000131 489724.8220000006, 118081.81599999964 489722.40199999884, 118100.10799999908 489585.4789999984, 118111.10500000045 489504.6629999988, 118049.375 489503.19900000095, 118024.40199999884 489502.60599999875, 117963.2659999989 489501.1559999995, 117968.01399999857 489577.15900000185, 117968.64400000125 489586.4239999987, 117972.21799999848 489630.69200000167, 117972.81399999931 489637.7960000001, 117977.21700000018 489679.3049999997, 117980.36400000006 489707.68499999866, 117983.90100000054 489732.8049999997, 117987.22700000182 489755.36300000176, 117989.11300000176 489765.7520000003, 117992.5700000003 489783.7190000005, 118079.75699999928 489785.3979999982))"
