FID,mirtnr,mirtnrid,project,omschr,locatie,onderwerp,gebied,fase,ministerie,besluit,startreal,oplevering,f_mln,gdb_geomattr_data,shape
mirt2018_point_mirtnr.1,697,69701,A67 / A73 Knooppunt Zaarderheiken,KP. Zaarderheiken, ,Hoofdwegen,Zuid-Nederland,Planuitwerking,IenW,2019,2020, ,5,,POINT (206566.1464000009 378538.76029999927)
mirt2018_point_mirtnr.2,537,53702,A4 Passage Den Haag,Aansluiting N14, ,Hoofdwegen,Zuidwest-Nederland,Planuitwerking,IenW,2019,vanaf 2023, ,453,,POINT (86992.90359999985 454376.6290999986)
mirt2018_point_mirtnr.3,537,53701,A4 Passage Den Haag,Delft, ,Hoofdwegen,Zuidwest-Nederland,Planuitwerking,IenW,2019,vanaf 2023, ,453,,POINT (82324.96240000054 444416.81390000135)
mirt2018_point_mirtnr.4,669,66901,Groningen – Leeuwarden Partiële Spooruitbreiding,Leeuwarden, ,Spoorwegen personen,"Noord-Nederland, Regionaal",Realisatie,IenW,2017,2018,2020,49,,POINT (182067 578907)
mirt2018_point_mirtnr.5,669,66902,Groningen – Leeuwarden Partiële Spooruitbreiding,Groningen, ,Spoorwegen personen,"Noord-Nederland, Regionaal",Realisatie,IenW,2017,2018,2020,49,,POINT (233710 581098)
mirt2018_point_mirtnr.6,675,67502,N33 Zuidbroek - Appingedam,Zuidbroek, ,Hoofdwegen,Noord-Nederland,Planuitwerking,IenW,2019,2019,2021-2023,97,,POINT (255751.33060000092 577044.1939999983)
mirt2018_point_mirtnr.7,675,67501,N33 Zuidbroek - Appingedam,Appingedam, ,Hoofdwegen,Noord-Nederland,Planuitwerking,IenW,2019,2019,2021-2023,97,,POINT (254781.27980000153 592682.0315999985)
mirt2018_point_mirtnr.8,679,67902,PHS Meteren - Boxtel,Boxtel, ,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW, , , ,10,,POINT (149834.07290000096 399976.92709999904)
mirt2018_point_mirtnr.9,679,67901,PHS Meteren - Boxtel,Meteren, ,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW, , , ,10,,POINT (147144.32519999892 432194.3251999989)
mirt2018_point_mirtnr.10,533,53304,SmartWayZ.NL: InnovA58,Eindhoven, ,Hoofdwegen,Zuid-Nederland,Planuitwerking,IenW,2020,2021,2022-2024,405,,POINT (156077.8280000016 387840.4686000012)
mirt2018_point_mirtnr.11,533,53303,SmartWayZ.NL: InnovA58,Tilburg, ,Hoofdwegen,Zuid-Nederland,Planuitwerking,IenW,2020,2021,2022-2024,405,,POINT (136724.65960000083 395823.9032000005)
