pc4;gemcode;jaar;lbrmtr;lbm9802;lbm9806;lbm9808;lbm9810;lbm0206;lbm0208;lbm0210;lbm0608;lbm0610;lbm0810;bev;lftsam;publ;veilig;vrz;won
1011;363;1998;matig positief; ; ; ; ; ; ; ; ; ; ;-28,44347;-31,99626;49,57861;-49,46837;45,00581;-15,34088
1011;363;2002;matig positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;7,53179;-16,42621;49,36824;-49,94687;44,53221;-15,09944
1011;363;2006;positief; ;beperkte positieve ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;11,34357;2,52494;49,60869;-49,46374;47,3833;-17,16534
1011;363;2008;positief; ; ;grote positieve ontwikkeling; ; ;beperkte positieve ontwikkeling; ;geen ontwikkeling; ; ;18,29887;4,96312;49,87666;-49,32117;47,7091;-9,86037
1011;363;2010;positief; ; ; ;grote positieve ontwikkeling; ; ;beperkte positieve ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;15,55949;6,70271;49,65558;-48,62321;47,32439;-8,29185
1012;363;1998;matig positief; ; ; ; ; ; ; ; ; ; ;-34,91957;-38,55638;45,07368;-49,99257;48,48758;23,1078
1012;363;2002;matig positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;-1,69732;-26,19616;44,52905;-50;48,68238;17,83616
1012;363;2006;matig positief; ;beperkte positieve ontwikkeling; ; ;beperkte positieve ontwikkeling; ; ; ; ; ;10,02293;-11,46905;44,91208;-49,99936;48,66745;20,41017
1012;363;2008;positief; ; ;beperkte positieve ontwikkeling; ; ;beperkte positieve ontwikkeling; ;geen ontwikkeling; ; ;18,84568;-7,94786;47,50635;-49,99967;48,67354;23,45609
1012;363;2010;positief; ; ; ;beperkte positieve ontwikkeling; ; ;beperkte positieve ontwikkeling; ;geen ontwikkeling;geen ontwikkeling;12,03404;-8,41827;45,46794;-49,99454;48,68427;21,68086
1013;363;1998;matig; ; ; ; ; ; ; ; ; ; ;-46,76792;-22,52574;36,50262;-42,43457;17,85312;-41,21457
1013;363;2002;matig positief;geen ontwikkeling; ; ; ; ; ; ; ; ; ;-31,56361;-18,63243;40,1398;-46,97224;18,30453;-40,2135
1013;363;2006;matig positief; ;beperkte positieve ontwikkeling; ; ;geen ontwikkeling; ; ; ; ; ;-29,4434;-10,62627;41,06462;-43,02056;18,29969;-39,93992
1013;363;2008;matig positief; ; ;grote positieve ontwikkeling; ; ;beperkte positieve ontwikkeling; ;geen ontwikkeling; ; ;-14,90767;-12,04681;44,64809;-40,67711;22,4549;-32,91384
