FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
B21.211,EHAM,Norra,281,,14.38524447,B21,,,"LINESTRING (620215.5433 5796865.454600001, 593778.3837000001 5800303.251)"
B21.212,Norra,NL2,349,,8.55266841,B21,,,"LINESTRING (593778.3837000001 5800303.251, 590539.4556999998 5815819.199100001)"
B21.213,NL2,NL3,0,,36.41722092,B21,,,"LINESTRING (590539.4556999998 5815819.199100001, 589288.6248000003 5883298.5502)"
B21.214,NL3,NL4,29,,24.80595298,B21,,,"LINESTRING (589288.6248000003 5883298.5502, 610671.0179000003 5923995.354499999)"
B21.215,NL4,G2,68,,62.03574887,B21,,,"LINESTRING (610671.0179000003 5923995.354499999, 716043.9116000002 5969978.204500001)"
B21.216,G2,G1,81,,66.38467672,B21,,,"LINESTRING (716043.9116000002 5969978.204500001, 836348.3547 5995725.2315)"
B21.217,G1,G4,321,,12.97694553,B21,,,"LINESTRING (836348.3547 5995725.2315, 819785.6200000001 6013162.775)"
B21.218,G4,NL15,273,,73.07648997,B21,,,"LINESTRING (819785.6200000001 6013162.775, 684356.2418999998 6012619.7535999995)"
B21.219,NL15,NL16,290,,26.05307824,B21,,,"LINESTRING (684356.2418999998 6012619.7535999995, 638370.4919999996 6027336.967599999)"
B21.220,NL16,NL17,311,,18.85729169,B21,,,"LINESTRING (638370.4919999996 6027336.967599999, 611257.2177999998 6049387.111)"
B21.221,NL17,NL18,360,,20.767947,B21,,,"LINESTRING (611257.2177999998 6049387.111, 610134.8839999996 6087859.357100001)"
B21.222,NL18,NL21,310,,17.48783381,B21,,,"LINESTRING (610134.8839999996 6087859.357100001, 584837.3071999997 6108118.177999999)"
B21.223,NL21,NL24,310,,17.49922325,B21,,,"LINESTRING (584837.3071999997 6108118.177999999, 559523.7783000004 6128390.8467999995)"
B21.224,NL24,NL23,193,,52.86069451,B21,,,"LINESTRING (559523.7783000004 6128390.8467999995, 539076.2514000004 6032583.398399999)"
B21.225,NL23,NL22,161,,21.3650805,B21,,,"LINESTRING (539076.2514000004 6032583.398399999, 552183.0581999999 5995220.362500001)"
B21.226,NL22,NL14,141,,16.65929691,B21,,,"LINESTRING (552183.0581999999 5995220.362500001, 571753.0584000004 5971340.877900001)"
B21.227,NL14,NL9,142,,16.39109545,B21,,,"LINESTRING (571753.0584000004 5971340.877900001, 590965.4144000001 5947811.000499999)"
B21.228,NL9,NL8,213,,35.47473007,B21,,,"LINESTRING (590965.4144000001 5947811.000499999, 555676.5664999997 5892340.2511)"
B21.229,NL8,NL7,176,,36.29163813,B21,,,"LINESTRING (555676.5664999997 5892340.2511, 561292.0471000001 5825316.879000001)"
B21.230,NL7,NL2,109,,16.5927703,B21,,,"LINESTRING (561292.0471000001 5825316.879000001, 590539.4556999998 5815819.199100001)"
B21.231,NL2,Norra,169,,8.55266841,B21,,,"LINESTRING (590539.4556999998 5815819.199100001, 593778.3837000001 5800303.251)"
B21.232,Norra,EHAM,101,,14.38524447,B21,,,"LINESTRING (593778.3837000001 5800303.251, 620215.5433 5796865.454600001)"
