OBJECTID,OVKIDENT,AVVBODDR,IWS_BESCHZONEBU,IWS_BESCHZONEBI,OVKSOORT,IWS_W_PLASBH_DL,IWS_W_PLASBH_DR,IWS_W_BRPLASBL,IWS_W_BRPLASBR,OSMOMSCH,AVVTALUL,AVVTALUR,AVVHOBOS,AVVHOBES,OVKLENGT,IWS_LEGGERSTATUS,IWS_CATEGORIEEN,IWS_AVVHOBOS_L,IWS_AVVHOBES_L,AVVTALL2_L,AVVTALR2_L,AVVKNKL_L,AVVKNKL2_L,AVVKNKR_L,AVVKNKR2_L,IWS_W_PLASBTALL,IWS_W_PLASBTALR,OWA_OWA_ID,OHCODE,OBJECTID_1,OVKIDENT_1,ONDERHOUDSPLICHTIGE_1,ONDERHOUDSVERPLICHTING_1,ONDERHOUDSPLICHTIGE_2,ONDERHOUDSVERPLICHTING_2,GlobalID,Shape__Length
1,S8327,,,,1,,,,,,,,,,898,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,e86d295d-ee73-4e53-89f4-f281d49aa16d,897.859246935144
2,S1869,,,,1,,,,,,,,,,107,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,5ba116a8-6f1b-4ce8-ba7b-4a19621a1744,107.259634202071
3,S8339,,,,1,,,,,,,,,,657,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,17e903f2-fc24-4513-886f-d3038184947f,656.529443028081
4,459480,,,,1,,,,,,,,,,450,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,ebf844b6-e3d9-4494-abb0-0954eb791afb,449.912782488744
5,S3444,,,,1,,,,,,,,,,374,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,cb1e342a-9227-4172-b045-48391c5eaa59,373.516404651963
6,S5710,,,,1,,,,,,,,,,542,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,c510589d-7cdc-423e-adda-3457cc167dd6,541.789425686793
7,459482,,,,1,,,,,,,,,,391,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,99b8044a-78a6-491a-8694-4635a2ef65ff,390.909100698712
8,S8326,,,,1,,,,,,,,,,908,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,15b0f531-f57f-4771-915c-8195f3ca8087,908.213719985464
9,S8336,,,,1,,,,,,,,,,942,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,a511ec61-6b91-4fba-a042-f60f49e4a5cb,920.356729066192
10,S11723,,,,1,,,,,,,,,,691,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,3392497a-4975-4ebb-a305-19d99723163d,690.952696966365
11,S3111,,,,1,,,,,,,,,,535,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,08730a09-9189-4e82-9a46-b5bb8f041039,535.232667548054
12,S12502,,,,1,,,,,,,,,,269,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,537ea1fc-3974-43b1-8a6a-8532b57f79cc,269.452661469717
13,S11757,,,,1,,,,,,,,,,545,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,2d99bf09-e797-4669-b67f-11e00361053e,544.804730117806
14,S12520,,,,1,,,,,,,,,,347,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,84b1f010-417c-4b26-9d78-8850b96d6726,346.557381575529
15,S6904,,,,1,,,,,,,,,,230,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,66e0cae3-d13f-425c-b320-aa838e07d2cf,229.79797948702
16,SZ2159-SZ2161,1,,,3,,,,,,1.5,1.5,,,164,1,2,0.4,0.3,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,2a214115-0351-4df5-b55e-4ab6823251a7,345.833904829574
17,S6799,,,,1,,,,,,,,,,645,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,9a5494a4-b3c6-446a-bd42-054a2cd358a0,643.620833995367
18,SZ0384-SZ0387,0.7,,,3,,,,,,1.5,1.5,,,38,2,2,2.4,2.4,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,ff545d2a-d53e-4c20-896f-cb3a67c24e1f,37.9371385243679
19,571175,0.7,,,3,,,,,,1.5,1.5,,,528,1,2,2.35,2.1,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,11ede120-2f93-44c7-928a-989980b25b64,527.687237699221
20,S4178,,,,1,,,,,,,,,,145,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,03b49090-e8e4-41b9-bbe1-f638b8948aa3,144.827077227978
21,S8498,,,,1,,,,,,,,,,877,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,efa5e029-7095-4065-a9c7-fffb03f18ea2,876.777351457231
22,S8897,,,,1,,,,,,,,,,1075,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,186c1fc5-3370-42ba-b78b-cf9a614df2b3,1073.97946117976
23,S8907,,,,1,,,,,,,,,,1102,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,902c9624-f435-407e-8448-70b9f2db8fe9,1092.47935421597
24,S4471,,,,1,,,,,,,,,,484,1,2,,,,,,,,,,,,,,,Aangeland,Onderhoud geheel bij linker aangeland,,,5eac8c1b-a357-4e6d-8075-768aeb79d7ec,484.310982458685
25,S6239,,,,1,,,,,,,,,,637,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,ac51fab7-5a45-48ce-9612-9457f20ca0f5,637.001346410204
26,KV5070-KV5080,0.7,,,3,,,,,,1,1,,,35,2,2,-2,-2,,,,,,,,,,,,,Gemeente,Gewoon en buitengewoon en constructie,,,8e5dd4e1-80bd-419d-b651-22d423f4bbe2,35.0989226588629
27,KV5060-KV5070,0.7,,,3,,,,,,1,1,,,332,2,2,-2,-2,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,157e2017-3d64-40da-9b81-85a94b539f44,332.414263289537
28,S13774,,,,1,,,,,,,,,,1059,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,7eb52afb-07d5-4d27-930a-46164e350335,1058.81696995445
29,S5572,,,,1,,,,,,,,,,554,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,9e2b918a-81ab-494a-85e2-b5f07d36720c,553.954956865292
30,S13573,,,,1,,,,,,,,,,133,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,ea5cbfbc-53b4-4cf7-9c49-6ca657551238,132.738175271259
31,S8330,,,,1,,,,,,,,,,933,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,64850d8d-38f4-4a43-a1a3-2c4b8c9daf63,934.705008066216
32,S12401,,,,1,,,,,,,,,,641,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,32b16008-f433-4cb2-938b-771df35833a2,632.166835845807
33,S11107,,,,1,,,,,,,,,,119,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,98f16745-36ea-4a3c-a727-e9a7c59f2485,118.559466271384
34,S13885,,,,1,,,,,,,,,,92,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,895e7604-29ae-41a9-91d6-17446fb0c77f,92.2120528035219
35,S6900,,,,1,,,,,,,,,,351,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,3029f469-45b0-46a5-9d2d-9abdf5c3b742,350.640867620838
36,S3081,,,,1,,,,,,,,,,238,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,6cb12898-a85d-4608-a977-406269d23c84,237.93679094001
37,S5927,,,,1,,,,,,,,,,2289,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,3ff78a92-ef03-44a0-a88e-2c2a7ad37bda,2289.09441716644
38,S1984,,,,1,,,,,,,,,,108,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,3440652f-bee3-41ae-8b64-2a3ac6cd0580,108.015953483512
39,S8648,,,,1,,,,,,,,,,1070,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,41dfd1dd-e22e-4730-9a14-3f59677f6cbd,1048.08613534905
40,S2185,,,,1,,,,,,,,,,260,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,eb7e9827-c636-4166-a66d-cead1a05576e,259.912884248319
41,S8920,,,,1,,,,,,,,,,559,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,891967c1-35ef-4cb3-b040-b1a99b5143df,559.316212959071
42,S12095,,,,1,,,,,,,,,,506,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,3e405d57-34c3-4c04-97d2-a9fecca3cb5d,505.692275737675
43,S4165,,,,1,,,,,,,,,,427,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,1e8e1ee6-8a68-419e-b038-81afb94b9269,427.064247018086
44,S8328,,,,1,,,,,,,,,,888,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,8d9e6336-56fe-40f7-b940-d70db4fb8f26,887.902567392179
45,S8572,,,,1,,,,,,,,,,821,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,9b75d9d0-228d-44b2-a018-7734d9e2b249,821.482112808482
46,S4125,,,,1,,,,,,,,,,438,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,f0effe6e-1ddd-445e-8e93-941516d67ada,437.770246973454
47,S13350,,,,1,,,,,,,,,,186,1,2,,,,,,,,,,,,,,,Aangeland,Gewoon en buitengewoon,,,3620de1e-04f0-4946-8a6c-c518983a72bb,185.501177321701
