OBJECTID;BRT_KOPPEL;BOUWBLOKNR;AREA_M2;SHAPE_LENG;SHAPE_AREA;AUTOBEZIT2015;AUTOSPERHECTARE2015;AUTOBEZIT2016;AUTOSPERHECTARE2016;AUTOBEZIT2017;AUTOSPERHECTARE2017;AUTOBEZIT2018;AUTOSPERHECTARE2018;AUTOBEZIT2019;AUTOSPERHECTARE2019;AUTOBEZIT2020;AUTOSPERHECTARE2020;AUTOBEZIT2021;AUTOSPERHECTARE2021
73;104 Lage Veld;10925;23737.1652065;768.347903306;23737.1652065;155;65.2984459819;148;62.3494839053;152;64.0346050919;0;0;0;0;0;0;0;0
74;104 Lage Veld;10928;7588.88889758;395.183643031;7588.88889758;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;104 Lage Veld;10930;11671.6909951;529.060659305;11671.6909951;70;59.9741717198;69;59.117397838;69;59.117397838;0;0;0;0;0;0;0;0
76;104 Lage Veld;10931;2972.35486748;225.724099446;2972.35486748;12;40.3720300402;10;33.6433583668;12;40.3720300402;0;0;0;0;0;0;0;0
77;104 Lage Veld;10938;1485.72894954;218.341272511;1485.72894954;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;104 Lage Veld;10940;4923.77987395;279.965015219;4923.77987395;31;62.9597601713;36;73.1145601989;37;75.1455202044;0;0;0;0;0;0;0;0
79;104 Lage Veld;10950;5151.09133391;287.103886855;5151.09133391;42;81.5361197801;40;77.6534474096;42;81.5361197801;0;0;0;0;0;0;0;0
80;104 Lage Veld;10951;2030.63076984;211.653700925;2030.63076984;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;104 Lage Veld;10958;4377.48727254;278.428910102;4377.48727254;32;73.1012976342;33;75.3857131853;38;86.8077909406;0;0;0;0;0;0;0;0
82;104 Lage Veld;10960;4338.6968709;264.783464272;4338.6968709;29;66.8403459908;30;69.1451855077;25;57.6209879231;0;0;0;0;0;0;0;0
83;104 Lage Veld;10964;8105.65134667;363.96493291;8105.65134667;76;93.7617431957;76;93.7617431957;68;83.8920860172;0;0;0;0;0;0;0;0
84;104 Lage Veld;10965;3021.09014814;230.763694345;3021.09014814;16;52.9610147842;16;52.9610147842;15;49.6509513602;0;0;0;0;0;0;0;0
85;104 Lage Veld;10969;5192.46853791;288.239341714;5192.46853791;45;86.6639820183;51;98.2191796207;53;102.070912155;0;0;0;0;0;0;0;0
86;104 Lage Veld;10984;11359.1511554;607.084560787;11359.1511554;46;40.4959836969;45;39.6156362253;51;44.8977210553;0;0;0;0;0;0;0;0
87;104 Lage Veld;10985;4939.27893246;281.453303541;4939.27893246;40;80.98348068;39;78.958893663;39;78.958893663;0;0;0;0;0;0;0;0
88;104 Lage Veld;10996;1161.36996805;209.233958884;1161.36996805;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;104 Lage Veld;11001;2863.22214754;214.67999651;2863.22214754;13;45.4033928564;12;41.9108241752;12;41.9108241752;0;0;0;0;0;0;0;0
90;104 Lage Veld;11006;5771.38267503;309.20969515;5771.38267503;33;57.1786725264;35;60.6440466189;40;69.3074818502;0;0;0;0;0;0;0;0
1;105 Zonne Veld;10612;2745.14641252;220.849284513;2745.14641252;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;105 Zonne Veld;10617;7194.75968121;368.492610431;7194.75968121;41;56.9859200538;42;58.375820543;38;52.8162185865;0;0;0;0;0;0;0;0
3;105 Zonne Veld;10622;5043.03557557;284.613434388;5043.03557557;19;37.6757207346;20;39.6586534049;22;43.6245187454;0;0;0;0;0;0;0;0
4;105 Zonne Veld;10639;2586.58884686;360.152547319;2586.58884686;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;105 Zonne Veld;10647;7817.78978251;387.529781612;7817.78978251;60;76.7480345074;56;71.6314988736;54;69.0732310567;0;0;0;0;0;0;0;0
6;105 Zonne Veld;10648;806.636084979;149.181534599;806.636084979;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;105 Zonne Veld;10649;5123.85701393;288.21697052;5123.85701393;22;42.9364050171;29;56.5979884317;30;58.5496432052;0;0;0;0;0;0;0;0
8;105 Zonne Veld;10652;8798.62520772;426.362436898;8798.62520772;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;105 Zonne Veld;10653;4375.51470102;339.404765161;4375.51470102;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;105 Zonne Veld;10658;4421.97134052;269.545631533;4421.97134052;18;40.7058269127;17;38.4443920842;19;42.9672617412;0;0;0;0;0;0;0;0
11;105 Zonne Veld;10660;8866.65989553;413.314437702;8866.65989553;65;73.3083266595;68;76.6917878899;72;81.2030695305;0;0;0;0;0;0;0;0
12;105 Zonne Veld;10661;823.252334055;147.303682303;823.252334055;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;105 Zonne Veld;10665;6703.75793052;334.963009769;6703.75793052;13;19.392108329;0;0;0;0;0;0;0;0;0;0;0;0
14;105 Zonne Veld;10675;4253.18878798;269.089532267;4253.18878798;34;79.9400207583;34;79.9400207583;34;79.9400207583;0;0;0;0;0;0;0;0
15;105 Zonne Veld;10676;8505.06255144;457.046320389;8505.06255144;13;15.2850139801;0;0;0;0;0;0;0;0;0;0;0;0
16;105 Zonne Veld;10677;945.550721491;147.531084185;945.550721491;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;105 Zonne Veld;10678;2211.09857161;189.681270773;2211.09857161;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;105 Zonne Veld;10684;5105.57020291;287.256483708;5105.57020291;39;76.3871584368;42;82.2630937012;43;84.2217387893;0;0;0;0;0;0;0;0
19;105 Zonne Veld;10686;2632.63703753;464.178537005;2632.63703753;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;105 Zonne Veld;10692;3309.81853426;470.688497871;3309.81853426;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;105 Zonne Veld;10695;2822.05919993;315.0782663;2822.05919993;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;105 Zonne Veld;10698;8980.78518942;417.711564812;8980.78518942;38;42.3125586444;39;43.4260470298;81;90.1925592157;0;0;0;0;0;0;0;0
23;105 Zonne Veld;10703;4071.53653055;264.335130734;4071.53653055;24;58.9458053978;27;66.3140310726;23;56.4897301729;0;0;0;0;0;0;0;0
24;105 Zonne Veld;10709;12267.5541905;530.295395614;12267.5541905;57;46.4640295163;100;81.5158412566;52;42.3882374535;0;0;0;0;0;0;0;0
25;105 Zonne Veld;10713;3366.38635103;232.748226446;3366.38635103;17;50.4992541774;18;53.4697985408;18;53.4697985408;0;0;0;0;0;0;0;0
26;105 Zonne Veld;10726;11574.8575314;513.307516439;11574.8575314;44;38.013426844;44;38.013426844;41;35.4216022865;0;0;0;0;0;0;0;0
27;105 Zonne Veld;10727;5556.68359649;296.524665346;5556.68359649;30;53.989037668;26;46.7904993123;28;50.3897684901;0;0;0;0;0;0;0;0
28;105 Zonne Veld;10737;5765.58072503;303.356516488;5765.58072503;30;52.0329198926;26;45.0951972403;31;53.7673505557;0;0;0;0;0;0;0;0
29;105 Zonne Veld;10740;6118.30685522;346.286748287;6118.30685522;22;35.9576603799;25;40.8609777044;23;37.5920994881;0;0;0;0;0;0;0;0
30;105 Zonne Veld;10741;2988.22703202;391.072177579;2988.22703202;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;105 Zonne Veld;10744;5874.75742483;315.942263613;5874.75742483;26;44.2571464995;28;47.6615423841;26;44.2571464995;0;0;0;0;0;0;0;0
32;105 Zonne Veld;10746;3615.71782495;271.297719622;3615.71782495;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;105 Zonne Veld;10753;5987.28892298;308.239001404;5987.28892298;30;50.1061505231;31;51.7763555405;26;43.4253304533;0;0;0;0;0;0;0;0
34;105 Zonne Veld;10763;1246.46907889;183.486682103;1246.46907889;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;105 Zonne Veld;10764;6641.79245696;326.63604709;6641.79245696;33;49.6853826943;35;52.6966180091;35;52.6966180091;0;0;0;0;0;0;0;0
36;105 Zonne Veld;10769;8713.78988717;407.873545176;8713.78988717;43;49.3470700542;48;55.0851014559;47;53.9374951756;0;0;0;0;0;0;0;0
37;105 Zonne Veld;10774;7145.15133449;343.267195342;7145.15133449;33;46.185165933;28;39.1874135189;37;51.7833678643;0;0;0;0;0;0;0;0
38;105 Zonne Veld;10782;7095.32391333;336.225486777;7095.32391333;42;59.1939149122;39;54.9657781327;34;47.9188835003;0;0;0;0;0;0;0;0
39;105 Zonne Veld;10786;1930.77942695;250.488129314;1930.77942695;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;105 Zonne Veld;10794;4967.17423114;378.870258792;4967.17423114;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;105 Zonne Veld;10797;5597.89436068;303.29200613;5597.89436068;37;66.0962812373;42;75.0282111342;37;66.0962812373;0;0;0;0;0;0;0;0
42;105 Zonne Veld;10798;9169.24706273;419.938948876;9169.24706273;49;53.4395023547;50;54.5301044436;51;55.6207065325;0;0;0;0;0;0;0;0
43;104 Lage Veld;10800;4960.95651703;284.173423168;4960.95651703;38;76.5981315691;36;72.5666509602;35;70.5509106557;0;0;0;0;0;0;0;0
44;105 Zonne Veld;10811;2656.74350205;198.091980351;2656.74350205;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;105 Zonne Veld;10819;6522.43690294;329.930017554;6522.43690294;32;49.0614174981;27;41.395571014;31;47.5282482013;0;0;0;0;0;0;0;0
46;105 Zonne Veld;10821;7331.58219847;346.0717277;7331.58219847;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;104 Lage Veld;10825;4287.85870339;263.549295237;4287.85870339;21;48.9754944196;18;41.9789952168;20;46.6433280187;0;0;0;0;0;0;0;0
48;104 Lage Veld;10832;6973.88082322;358.658443093;6973.88082322;36;51.6211861266;40;57.356873474;45;64.5264826582;0;0;0;0;0;0;0;0
49;105 Zonne Veld;10837;7753.21070794;372.597619524;7753.21070794;37;47.7221649118;40;51.5915296343;38;49.0119531526;0;0;0;0;0;0;0;0
50;105 Zonne Veld;10838;4786.96564899;280.407086571;4786.96564899;28;58.4921682191;28;58.4921682191;32;66.8481922505;0;0;0;0;0;0;0;0
51;105 Zonne Veld;10844;7655.52538643;780.719938026;7655.52538643;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;104 Lage Veld;10847;434.856729485;84.2391572991;434.856729485;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;104 Lage Veld;10851;5008.4697979;283.850881308;5008.4697979;43;85.8545658357;42;83.8579480256;40;79.8647124053;0;0;0;0;0;0;0;0
54;104 Lage Veld;10854;3142.51939656;225.288567334;3142.51939656;7;22.2751210626;5;15.910800759;6;19.0929609108;0;0;0;0;0;0;0;0
55;104 Lage Veld;10868;974.639770467;140.213412585;974.639770467;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;104 Lage Veld;10874;7455.53155398;384.604216334;7455.53155398;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;105 Zonne Veld;10875;6923.92148116;354.983014516;6923.92148116;34;49.1051206928;33;47.6608524372;36;51.9936572042;0;0;0;0;0;0;0;0
58;105 Zonne Veld;10876;9542.97879768;390.248863746;9542.97879768;49;51.3466508088;44;46.1071966446;51;53.4424324744;0;0;0;0;0;0;0;0
59;104 Lage Veld;10880;11311.0050136;500.53605105;11311.0050136;54;47.7411157851;54;47.7411157851;56;49.5093052586;0;0;0;0;0;0;0;0
60;104 Lage Veld;10885;4991.21153038;282.370984946;4991.21153038;39;78.1373415304;36;72.1267767973;34;68.1197336419;0;0;0;0;0;0;0;0
61;104 Lage Veld;10886;1728.91211596;167.661087926;1728.91211596;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;104 Lage Veld;10890;3098.57396793;222.548709443;3098.57396793;14;45.1820745443;15;48.4093655832;15;48.4093655832;0;0;0;0;0;0;0;0
63;104 Lage Veld;10897;10178.79307;428.30886574;10178.79307;94;92.3488662689;95;93.3313010164;97;95.2961705115;0;0;0;0;0;0;0;0
64;105 Zonne Veld;10902;6964.10876869;353.809587393;6964.10876869;40;57.4373567797;40;57.4373567797;42;60.3092246187;0;0;0;0;0;0;0;0
65;104 Lage Veld;10906;1451.85619801;153.753090966;1451.85619801;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;104 Lage Veld;10910;2803.38792049;212.411043967;2803.38792049;16;57.0737994662;16;57.0737994662;16;57.0737994662;0;0;0;0;0;0;0;0
67;104 Lage Veld;10912;5163.37784904;288.492018614;5163.37784904;46;89.0889672321;45;87.1522505531;43;83.2788171952;0;0;0;0;0;0;0;0
68;105 Zonne Veld;10913;26293.6565542;740.964420524;26293.6565542;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;104 Lage Veld;10914;1012.91883362;195.464171513;1012.91883362;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;104 Lage Veld;10918;839.928628004;141.145360849;839.928628004;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;104 Lage Veld;10919;3074.54311745;231.252842342;3074.54311745;16;52.0402524498;13;42.2827051155;13;42.2827051155;0;0;0;0;0;0;0;0
72;104 Lage Veld;10922;4962.47220854;281.889464632;4962.47220854;43;86.6503593229;44;88.6654839583;40;80.6049854167;0;0;0;0;0;0;0;0
104;104 Lage Veld;11084;1385.41868404;241.407583424;1385.41868404;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;103 Parkbuurt Oosteinde;11091;13962.3468886;488.549498244;13962.3468886;67;47.9862021296;67;47.9862021296;64;45.8375662134;0;0;0;0;0;0;0;0
106;104 Lage Veld;11095;10360.4721894;525.122550224;10360.4721894;29;27.9910022148;31;29.9214161607;31;29.9214161607;0;0;0;0;0;0;0;0
107;104 Lage Veld;11101;582.296370036;167.381474329;582.296370036;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;103 Parkbuurt Oosteinde;11104;7803.73396459;374.435216191;7803.73396459;41;52.5389514635;43;55.1018271447;39;49.9760757824;0;0;0;0;0;0;0;0
109;103 Parkbuurt Oosteinde;11110;15650.450287;628.200875477;15650.450287;93;59.4232103834;92;58.784251132;92;58.784251132;0;0;0;0;0;0;0;0
110;103 Parkbuurt Oosteinde;11112;1584.03981699;280.130647111;1584.03981699;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;103 Parkbuurt Oosteinde;11117;2603.50557829;357.925502549;2603.50557829;0;0;0;0;0;0;0;0;0;0;0;0;0;0
