TITEL;STRAAT;PLAATS;LOCATIEOMSCHRIJVING;WEBSITE;FOTO;X;Y;LONG;LAT;COUNTER
Buurtstalling Den Haag;BOSSCHESTRAAT 58;Den Haag;;;;79652.947;458727.411;4.287231780374024;52.11164029791404;1
Buurtstalling Den Haag;ALTINGSTRAAT 3;Den Haag;;;;83403.724;455776.72;4.3425993020852225;52.085621164371496;2
Buurtstalling Den Haag;BEGONIASTRAAT 246A;Den Haag;;;;77614.399;454755.072;4.258378803458125;52.075660960055494;3
Buurtstalling Den Haag;GOUDSBLOEMLAAN;Den Haag;geschatte locatie;;;77642.9;454881.7;4.258765761082451;52.0768029040971;4
BIESIEKLETTE;Amsterdamse Veerkade 30;Den Haag;;https://www.biesieklette.nl/stallingen/;;81561.144;454651.297;4.315962449932162;52.07526589442428;5
BIESIEKLETTE;Anna van Buerenstraat 120;Den Haag;;https://www.biesieklette.nl/stallingen/;;82295.758;455196.169;4.326560255373857;52.08025948394807;6
Buurtstalling Den Haag;ABEELSTRAAT 38;Den Haag;;;;78287.173;454962.042;4.268144234802278;52.077614556488435;7
Buurtstalling Den Haag;ACACIASTRAAT 182;Den Haag;;;;78376.941;454848.243;4.269479057654782;52.076604313512426;8
BIESIEKLETTE;Buitenhof 4;Den Haag;;https://www.biesieklette.nl/stallingen/;;81188.319;455006.764;4.310448132348372;52.07841082581838;9
Buurtstalling Den Haag;EGELANTIERSTRAAT;Den Haag;geschatte locatie;;;78182.65;454799.02;4.266656473874388;52.07613503959486;10
Buurtstalling Den Haag;GOUDENREGENSTRAAT 184;Den Haag;;;;77951.298;454909.561;4.263257361327173;52.07709628621727;11
Buurtstalling Den Haag;POPULIERSTRAAT 138;Den Haag;;;;78399.976;455327.299;4.269707449542466;52.08091261898572;12
BIESIEKLETTE;Denneweg 128;Den Haag;;https://www.biesieklette.nl/stallingen/;;81290.053;455833.787;4.311753245434095;52.08585664075593;13
Buurtstalling Den Haag;VALKENBOSKADE;Den Haag;geschatte locatie;;;78172.64;454894.9;4.26648889300694;52.076995292073725;14
Buurtstalling Den Haag;BUITENHOF 5;Den Haag;;;;81182.529;455007.359;4.310363554190461;52.07841540108299;15
Buurtstalling Den Haag;GEDEMPTE GRACHT 26;Den Haag;;;;81383.78;454823.318;4.3133385920646345;52.07678825890792;16
Buurtstalling Den Haag;KRANESTRAAT 14;Den Haag;;;;81568.877;454743.421;4.316055405211207;52.076094818576784;17
Buurtstalling Den Haag;PRINSEGRACHT 274;Den Haag;;;;80493.801;454320.184;4.3004682575380455;52.072147685159514;18
Buurtstalling Den Haag;TORENSTRAAT 126;Den Haag;;;;80832.435;454940.869;4.3052717563718055;52.07777108823454;19
Buurtstalling Den Haag;WAGENSTRAAT 186;Den Haag;;;;81606.893;454538.598;4.316653911110144;52.074259157633854;20
BIESIEKLETTE;Groenteweg 1;Den Haag;;https://www.biesieklette.nl/stallingen/;;80550.578;453253.313;4.3015289344317695;52.062567600848126;21
BIESIEKLETTE;grote halstraat 9;Den Haag;;https://www.biesieklette.nl/stallingen/;;81021.718;454964.961;4.30802725748805;52.0780129184546;22
Buurtstalling Den Haag;PLUVIERSTRAAT 178;Den Haag;;;;77718.172;456495.473;4.259497898605063;52.09131580567676;23
Buurtstalling Den Haag;VAN SWIETENSTRAAT 122;Den Haag;;;;79616.122;455289.854;4.287454582330662;52.080743051770995;24
BIESIEKLETTE;Herman Costerstraat 258;Den Haag;;https://www.biesieklette.nl/stallingen/;;80247.696;453648.62;4.2970263077044315;52.0660793387351;25
Buurtstalling Den Haag;VOLTASTRAAT 109;Den Haag;;;;78875.588;455270.348;4.276657478795081;52.08046642552007;26
Buurtstalling Den Haag;VAN HOORNESTRAAT 15;Den Haag;;;;78301.377;456530.799;4.267998591335348;52.09171440267354;27
Buurtstalling Den Haag;VISSERSHOF 1;Den Haag;;;;78632.096;457165.899;4.272681358255636;52.09746756002693;28
Buurtstalling Den Haag;JASMIJNSTRAAT 49;Den Haag;;;;78555.275;454107.788;4.272245872124814;52.06997472843099;29
BIESIEKLETTE;laan 9;Den Haag;;https://www.biesieklette.nl/stallingen/;;80987.819;454744.123;4.307580737857856;52.076023769449755;30
BIESIEKLETTE;Leyweg 914;Den Haag;;https://www.biesieklette.nl/stallingen/;;78646.464;451930.239;4.274062508051122;52.05041829484214;31
Buurtstalling Den Haag;DELTAPLEIN 148;Den Haag;;;;75142.601;454063.427;4.222491470316117;52.06909443076392;32
Buurtstalling Den Haag;DAMASSTRAAT 9A;Den Haag;;;;82435.837;452681.758;4.329137989313661;52.0576812752325;33
BIESIEKLETTE;Nobelstraat 2D;Den Haag;;https://www.biesieklette.nl/stallingen/;;80956.73;455034.962;4.307064198779927;52.078633314237685;34
Buurtstalling Den Haag;VREESWIJKSTRAAT 537;Den Haag;;;;78656.61;452638.492;4.274052119675044;52.0567845711147;35
Buurtstalling Den Haag;TROELSTRAKADE 3;Den Haag;;;;80044.765;452792.063;4.294255334460627;52.05835424040734;36
