GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,STATUS,PUIC,TIJDSTIP_REGISTRATIE,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,RELATIEVEHOOGTELIGGING,FYSIEK_VOORKOMEN,OPPERVLAKTE,DOCUMENT,POSITIONELE_NAUWKEURIGHEID_MM,OP_TALUD,ID,Shape__Area,Shape__Length
087,,87,087__,Weesp Aansl. - Hilversum,Asd-Zp,Amsterdam Centraal - Zutphen ,23.798735,"23,798735",Randstad Noord,RN,139675.362,475316.835771,52.2656611293993,5.1627151598692,gerealiseerd,ae799b89b20d0a8fe0530b29a8c0674b,2020/09/14 11:32:02+00,Prorail,L0004,bestaand,0,open verharding,181.95187,,283,,120358,0,0
118,,118,118__,Geldermalsen - Dordrecht,Gdm-Ddr,Geldermalsen - Dordrecht ,51.267561,"51,267561",Zuid,Z,141825.304874,434567.1205,51.899458833298,5.1957819840522,gerealiseerd,a3ef1d8c05a24dd7a577a2259f0fff2d,2021/12/22 16:15:17+00,Prorail,L0004,bestaand,0,open verharding,41.086561,,283,Nee,121001,0,0
127,a,127,127_a,Roosendaal - Vlissingen,Rsd-Vs,Roosendaal - Vlissingen ,64.512974,"64,512974",Zuid,Z,35730.326991,391677.3125,51.5014671234577,3.6693582806696,gerealiseerd,7e5e8292b523464fbde0c45f87b45c29,2020/05/18 14:47:23+00,Prorail,L0004,bestaand,0,open verharding,46.033551,,283,Nee,121715,0,0
132,,132,132__,Moordrecht Aansl. - Rotterdam Kleiweg,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,43.913953,"43,913953",Randstad Zuid,RZ,99730.806151,440934.255,51.9540961982377,4.5831858897085,gerealiseerd,d8f03f6c2f4f4ecfa8ce2f0aade48748,2022/02/17 16:15:38+00,Prorail,L0004,bestaand,0,open verharding,29.500763,,283,Nee,126184,0,0
038,,38,038__,Velperbroek Aansl. - Zevenaar,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,101.271337,"101,271337",Noord-Oost,NO,198107.649233,439653.0105,51.9436552200226,6.0141528277755,gerealiseerd,2939b19154d045849bfddbfc436f1c2d,2016/12/08 13:35:14+00,Prorail,L0004,bestaand,0,open verharding: tegels,50.712941,,283,Nee,131561,0,0
017,,17,017__,Amersfoort Aansl. - Hattemerbroek,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,27.007556,"27,007556",Randstad Noord,RN,158151.073183,467111.6735,52.1921185484883,5.4332871124199,gerealiseerd,42f5d09aee6c47008df798711fbb3fea,2016/12/21 12:20:56+00,Prorail,L0004,bestaand,0,open verharding: tegels,28.792731,,283,Nee,135009,0,0
127,a,127,127_a,Roosendaal - Vlissingen,Rsd-Vs,Roosendaal - Vlissingen ,72.00639,"72,006390",Zuid,Z,30481.9505,387718.70922,51.4647625498479,3.5952016257407,gerealiseerd,438403f5087c4a3da18cdcabdf012da3,2019/11/28 13:34:15+00,Prorail,L0004,bestaand,0,open verharding: tegels,33.585321,,283,Nee,135898,0,0
618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,51.279778,"51,279778",Zuid,Z,161719.959137,383817.7925,51.4434141098482,5.4838590789163,gerealiseerd,02b7d28d03e9419fb87ae403bf7bce0b,2022/12/13 13:43:46+00,Prorail,L0004,bestaand,3,open verharding,56.543027,,283,,137912,0,0
517,b,517,517_b,Venlo,Mt-Vl,Maastricht - Venlo ,69.796606,"69,796606",Zuid,Z,209554.5815,375168.439952,51.3630738501781,6.1705290249637,gerealiseerd,9a3c867a74db4ba4951e3f8d531ea6f9,2015/03/12 08:39:14+00,Prorail,L0004,bestaand,0,open verharding: tegels,260.013176,,283,Nee,142271,0,0
047,,47,047__,s Hertogenbosch - Nijmegen,Ht-Nm,s-Hertogenbosch - Nijmegen ,28.784771,"28,784771",Zuid,Z,153792.91429,414042.1475,51.7151270516196,5.3697352255424,gerealiseerd,a3e2b7a568464ce7a2450eff9a6f7ee7,2020/03/11 14:27:04+00,Prorail,L0004,bestaand,0,open verharding: tegels,45.318096,,283,Nee,146509,0,0
