OBJECTID,PUIC,PROCESCONTRACTGEBIED_TYPE,NUMMER,NUMMER_T,NAAM,PCA,PGO_GEBIED,PGO_GEBIED_NR
3,f9b869b0-318f-4cad-aaf9-2e6ec0f913ad,Telecom,26,26,Maastricht,Strukton Rail,Limburg,340
6,6440b0c6-264d-4991-a9c4-97eea245ff6a,Telecom,25,25,Roermond,Strukton Rail,Limburg,340
15,ceeb3b9e-571a-4f4b-b71e-72ebf5dd0c40,Telecom,8,8,Haarlem,Strukton Rail,Kennemerland,240
25,6d130f5f-787c-4091-b649-2b75c40fab94,Telecom,70,70,HSL,Infraspeed,,
32,97c1e465-5abf-4f44-95e2-55f7f34c653e,Telecom,5,5,Dordrecht,ASSET Rail,Dordrecht,140
42,5896485f-8947-4a2f-a23f-081178e8e8af,Telecom,4,4,Europoort,VolkerRail,Zee-Zevenaar,130
47,1e64ac3d-6d4c-4931-bb9e-ff2c70ce2760,Telecom,99,99,Kijfhoek,VolkerRail,Zee-Zevenaar,130
59,3f55fcb5-8301-4d60-9ecd-9500fb4cf85e,Telecom,14,14,Woerden,ASSET Rail,Neerlands Midden,250
65,3d959b01-8f77-48a6-a994-189e3e7dc82e,Telecom,15,15,Driebergen,ASSET Rail,Neerlands Midden,250
70,8ad6f431-bd76-44b4-ba26-6007e5d28e2a,Telecom,13,13,Utrecht,ASSET Rail,Neerlands Midden,250
76,1ec46502-e52e-4115-b2bf-a78237904d8c,Telecom,37,37,Groningen,Strukton Rail,Wadden,420
83,c282b1ea-ca6d-43d0-9cac-a2868f6653ac,Telecom,35,35,Drenthe,ASSET Rail,Drenthe,440
85,bee6ebec-eefd-467a-949c-6da3c808aaf3,Telecom,71,71,A15trace,VolkerRail,Zee-Zevenaar,130
98,3c6eb344-bea4-4605-8b7f-9d9096309707,Telecom,30,30,Achterhoek,ASSET Rail,Gelre,400
111,74ce3da8-6bab-4387-a237-1b5e28139229,Telecom,11,11,Weesp,Strukton Rail,Amstelsepoort,230
114,044a888e-0d92-422d-a810-88284343c6d3,Telecom,33,33,Gelderland,Strukton Rail,Veluwe,430
115,82d9c6ce-675c-4741-b010-511740e8d55c,Telecom,34,34,Overijssel,ASSET Rail,Drenthe,440
126,18df3287-c3a9-4ce2-97f5-fd16ab60ad92,Telecom,20,20,Breda,ASSET Rail,Brabant,330
133,69375f07-4e4a-4c63-8c87-8d89380df51a,Telecom,23,23,Boxtel,ASSET Rail,Brabant,330
139,4c035411-29e3-4385-9228-277ed3b71b5d,Telecom,22,22,Geldermalsen,Strukton Rail,Betuwe,320
146,33f7f8e0-2cec-4c54-8aa9-c7da079d34e2,Telecom,21,21,Den Bosch,Strukton Rail,Betuwe,320
148,981ff418-0f70-496b-9b60-f79ef4d98d41,Telecom,24,24,Eindhoven,ASSET Rail,De Peel,300
150,eac48da0-e345-4604-a7fc-13d32e982957,Telecom,3,3,Rotterdam,VolkerRail,Rotterdam,120
159,30d2f70a-3cb4-4f09-8875-e9666323ea77,Telecom,29,29,Gelderse Vallei,Strukton Rail,Veluwe,430
178,c1b2425a-7830-4214-816c-42c7cd564a30,Telecom,16,16,Maarn,ASSET Rail,Eemland,200
180,a05e48e3-16b6-4680-9b80-18b0f2c6f38c,Telecom,32,32,Twente,VolkerRail,Twente,410
181,1360047a-ab40-4619-90d0-19a7885d2110,Telecom,18,18,Goes,Strukton Rail,Zeeland,310
186,d6637497-04d2-406d-b559-054536527cf3,Telecom,2,2,Den Haag,VolkerRail,Den Haag,110
205,c3a36e49-69f0-4a0d-8622-64a62821e5b7,Telecom,7,7,Alkmaar,VolkerRail,Hollands Noorderkwartier,210
209,1fa4d3db-d5c1-4b9c-ae77-8f7d1e2b482f,Telecom,81,81,Rijn en Gouwe,BAM Rail,Rijn en Gouwe,100
210,d2ce3a09-8a71-4bb8-ade5-796cd476c3d5,Telecom,31,31,IJsselstreek,Strukton Rail,Veluwe,430
217,f8dd2940-fe5c-44b4-a089-75b81c171cd1,Telecom,6,6,Heerhugowaard,VolkerRail,Hollands Noorderkwartier,210
223,39a6ecea-17f1-465e-b801-30eb771fc989,Telecom,19,19,Roosendaal,Strukton Rail,Zeeland,310
226,91649d5b-0b1b-40e0-9c26-0f8e978a11ca,Telecom,1,1,Leiden,BAM Rail,Rijn en Gouwe,100
238,56cd781a-8abe-41c6-bd36-6db206f4eb02,Telecom,36,36,Friesland,Strukton Rail,Wadden,420
242,6da97e9e-3747-4c91-814a-c1dbf978fdfd,Telecom,27,27,Venlo,ASSET Rail,De Peel,300
245,bfe82100-2e00-47ed-959d-a6add94031c3,Telecom,12,12,Amersfoort,ASSET Rail,Eemland,200
251,8a321a79-1f86-4273-af29-54ec11574ed2,Telecom,9,9,Amsterdam,VolkerRail,Amsterdam,220
261,9f32c0e9-dbbd-4bd8-a2f7-27efd5a7c36a,Telecom,10,10,Duivendrecht,Strukton Rail,Amstelsepoort,230
264,23beb1ce-e080-42c3-8df4-ab5fc3efb625,Telecom,28,28,Maas en Waal,ASSET Rail,Gelre,400
