Stembureau_naam;Stembureau_nummer;Stembureau_adres;Stembureau_plaats;CDA;PvdA;SP;VVD;PVV;GL;CU;D66;PvdD;SGP;NwNed;TON;MenS;HeelN;P één;blanc;Pirat;Geldig;Blanco;Ongeldig;Oproep
1 Stadhuis;1;ingang Voorstraat 367;Dordrecht;56;199;95;204;94;126;27;114;28;9;0;2;5;0;0;0;4;963;0;0;1420
2 Stadskantoor;2;Spuiboulevard 300;Dordrecht;134;288;152;315;175;140;48;143;35;36;0;4;4;0;0;1;3;1478;4;10;1371
3 Het Praathuis;3;Mariënbornstraat 3a;Dordrecht;19;145;63;77;69;51;14;40;16;2;0;1;0;1;5;0;0;503;1;2;1131
4 Centrum Stapal;4;Otto Dickeplein 1;Dordrecht;66;217;83;168;162;84;25;81;16;3;0;4;1;0;0;0;0;910;0;2;1263
5 School Vest;5;Vest 92;Dordrecht;34;215;133;151;106;137;19;94;17;5;0;4;3;0;1;1;0;920;3;0;1263
6 Wielborgh, het Stadswiel;6;Beverwijckstraat 49;Dordrecht;92;187;87;209;108;85;32;82;18;8;1;7;3;0;0;1;1;921;0;0;1363
7 Bavinckschool;7;Singel 140;Dordrecht;65;124;70;121;54;105;39;63;14;16;0;0;0;0;0;0;5;676;1;5;1257
8 Kunstkerk;8;Museumstraat 65;Dordrecht;39;172;81;120;82;110;10;66;8;5;0;2;3;0;0;1;1;700;1;2;1373
9 Regiokantoor;9;Noordendijk 250;Dordrecht;34;249;118;129;90;73;15;71;15;1;0;1;2;0;1;3;1;803;2;2;1351
10 School Noordhove;10;Oranje Vrijstaatplein 2;Dordrecht;54;167;129;134;132;109;51;77;15;32;0;1;6;1;0;1;5;914;2;0;1249
11 Stadhuis (extra);11;ingang Voorstraat 367;Dordrecht;40;111;102;164;75;81;16;75;13;7;1;3;1;0;0;0;7;696;0;3;0
15 Buurthuis de Driesprong;15;Bankastraat 10;Dordrecht;64;199;128;140;123;107;58;102;30;22;0;4;3;0;0;0;2;982;1;0;1123
17 Lokalencomplex;17;Aalscholverstraat 2;Dordrecht;22;97;61;37;83;31;20;22;8;13;0;0;0;0;1;0;0;395;0;1;881
