"Gemeente","Jaar","Periode","Beleidsprogramma","Organisatie","Subsidie beschikt","Bekostigd uit rijksinkomsten","Wettelijke taak","Globaal overzicht gesubsidieerde activiteiten"
"Vlaardingen",2016,"Q1","Programma Kunst en Cultuur","Toneelvereniging Varia","1.200,00","nee","nee","Welzijnssubsidie: repetitieactiviteiten en toneelvoorstelling."
"Vlaardingen",2016,"Q1","Programma Kunst en Cultuur","Toneelvereniging Het Masker","1.500,00","nee","nee","Welzijnssubsidie: het aanbieden van toneelvoorstellingen."
"Vlaardingen",2016,"Q1","Programma Kunst en Cultuur","Tamboer-, Trompetter- en Marjorettekorps Libertﾂ / Haringkoppen","1.900,00","nee","nee","Welzijnssubsidie: repeteren en optreden."
"Vlaardingen",2016,"Q1","Programma Kunst en Cultuur","Angelique van Woerkom Fotografie","3.000,00","nee","nee","Fotografieproject De Verbeelding voor jongeren van 12-18 jaar. Subsidie loopt tot einde 2016."
"Vlaardingen",2016,"Q1","Programma Kunst en Cultuur","Stichting Internationale Orgelweek Vlaardingen","3.475,00","nee","nee","Welzijnssubsidie: verzorgen van diverse concerten en educatie."
"Vlaardingen",2016,"Q1","Programma Kunst en Cultuur","Stichting Buitenbios / Filmtheater het Zeepaard","13.000,00","nee","nee","Welzijnssubsidie: Aanbieden culturele filmvertoningen en aanbieden van cultuureducatie."
"Vlaardingen",2016,"Q1","Programma Kunst en Cultuur","Vlaardings Centrum voor Amateurtoneel","14.450,00","nee","nee","Welzijnssubsidie: het aanbieden van repetitieruimte, podium en voorstellingen en een festival."
"Vlaardingen",2016,"Q1","Programma Kunst en Cultuur","Stichting Stadspodium","470.000,00","nee","nee","Het aanbieden van podiumkunsten volgens het Plan van Aanpak nieuwe invulling Stadsgehoorzaal zoals in juni 2015 is aangeboden aan de raad."
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","Stichting Aanzet","1.300,00","ja","nee","Het organiseren van een NT2 middag."
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","Mister Dutch B.V. ","4.920,00","ja","ja","Taaltoets voor 29 pedagogisch medewerkers."
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","Stichting Aanzet","7.500,00","nee","nee","Vlaardingse Zomerschool 2016 (betaling geschiedt middels reserve aanwezig bij de stichting)."
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","Stichting Aanzet","14.000,00","ja","nee","Extra leerkracht en onderwijsassistent opvang Neveninstroom De Globe. Aanvulling op reguliere subsidie schooljaar 2015-2016)."
"Vlaardingen",2016,"Q1","Programma Onderwijs, Economie en Haven","Stichting Aanzet","21.802,50","ja","ja","Subsidie uit 2015 mag besteedt worden tot 31-7-2016 voor de onderdelen VVE Scholingstraject en begeleding van kinderopvangorganisaties."
