FID,verkeersongeval_nummer,jaar_ongeval,verkeersongeval_afloop,aantal_partijen,partij_1_objecttype,partij_1_objecttype_overig,partij_2_objecttype,partij_2_objecttype_overig,aard_ongeval,niveau_koppelen,wegsituatie,bebouwde_kom,maximum_snelheid,wegverlichting,wegverharding,wegdek,lichtgesteldheid,zichtafstand,weersgesteldheid,bijz_verkeersmaatregel,bijz_verkeersmaatregel_overig,bijz_infrastructuur,bijz_infrastructuur_overig,bijz_tijdelijke_aard,bijz_tijdelijke_aard_overig,junctie_id,wegvak_id,hectometer,straatnaam,woonplaats,actueel,wegbeheerder,gemeente,provincie,dienstnaam,districtnaam,indicatie_alcohol,gdb_geomattr_data,shape
ongevallen_2021.4613,20210047471,2021,Uitsluitend materiele schade,2,Personenauto,,Personenauto,,Onbekend,Ongeval gekoppeld op straat niveau.,,,50,,,,Daglicht,,,,,,,,,,390290054,,Hoofdstraat,Velp,Ja,Gemeente,Rheden,Gelderland,,,,,POINT (195335.02800000086 445446.9930000007)
ongevallen_2021.1577,20210000440,2021,Dodelijk,1,Bromfiets,,,,Eenzijdig,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Buiten,60,Niet aanwezig,Overig asfalt,Droog,Duisternis,,,,,,,,,,114253004,,Goereeseweg,Goedereede,Ja,Waterschap,Goeree-Overflakkee,Zuid-Holland,,,Ja,,POINT (57047.666999999434 426867.4149999991)
ongevallen_2021.1579,20210075590,2021,Letsel,2,Personenauto,,Personenauto,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,70,Brandend,Overig asfalt,Nat,Duisternis,,Droog,,,,,,,463513023,,,Europaweg-Zuid,Assen,Ja,Gemeente,Assen,Drenthe,,,,,POINT (231850.2335000001 556678.6770000011)
ongevallen_2021.1580,20210077893,2021,Letsel,2,e-bike,,Fiets,,Onbekend,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 3 takken",Binnen,,Niet brandend,Klinkers,Nat,Daglicht,,Droog,,,Brug/viaduct,,,,188304154,,,Dorpsstraat,Zoetermeer,Ja,Gemeente,Zoetermeer,Zuid-Holland,,,,,POINT (94032.01949999854 452304.2441000007)
ongevallen_2021.1581,20210078473,2021,Uitsluitend materiele schade,1,Personenauto,,,,Kop/staart,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Rechte weg, gescheiden rijbanen",Buiten,100,Niet brandend,Overig asfalt,Nat,Duisternis,,Droog,,,Tunnel,,,,,,540,Wâldwei,Leeuwarden,Ja,Rijk,Leeuwarden,Friesland,RWS Noord-Nederland,NN District West,,,POINT (185669.7148000002 576049.5830000006)
ongevallen_2021.1582,20210080244,2021,Uitsluitend materiele schade,1,Bromfiets,,,,Eenzijdig,Ongeval gekoppeld op straat niveau.,Rechte weg,Buiten,100,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,66177059,,Sloeweg Noord,Ritthem,Ja,Provincie,Vlissingen,Zeeland,,,Ja,,POINT (33449.004000000656 388884.41600000113)
ongevallen_2021.1583,20210081159,2021,Uitsluitend materiele schade,2,Personenauto,,Personenauto,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Buiten,60,Niet aanwezig,,Droog,Daglicht,,Droog,,,,,,,,375194003,,Twistweg,Vredepeel,Ja,Gemeente,Venray,Limburg,,,,,POINT (188277.98099999875 396093.91600000113)
ongevallen_2021.1584,20210081446,2021,Uitsluitend materiele schade,2,Personenauto,,Personenauto,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rotonde,Buiten,50,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,231433016,,,Provincialeweg,Heerhugowaard,Ja,Provincie,Dijk en Waard,Noord-Holland,,,,,POINT (115681.18699999899 516951.1020000018)
ongevallen_2021.1585,20210082477,2021,Uitsluitend materiele schade,2,Personenauto,,Personenauto,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50,Brandend,Overig asfalt,Droog,Duisternis,,,,,,,,,167292119,,,Westlandseweg,Delft,Ja,Gemeente,Delft,Zuid-Holland,,,,,POINT (83670.27699999884 446338.6330000013)
ongevallen_2021.1591,20210000075,2021,Dodelijk,2,Personenauto,,Bromfiets,,Kop/staart,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,600044923,,,Heilooër Zeeweg,Egmond-Binnen,Ja,Gemeente,Bergen (NH.),Noord-Holland,,,,,POINT (107113 513673)
