Ministerie;Leverancier ;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
AZ;Routs, Laeven en Partners B.V.;1;;;;;;;1
AZ;Ruigrok NetPanel;2;;;;;;;2
AZ;St. Nationaal Comite 4 en 5 Mei;2;;;;;;;2
AZ;Starsound Productions;1;;;;;;;1
AZ;Stg Kenniscenter CfPB;2;;;;;;;2
AZ;Sticht. Internet Domeinregistratie Nederland;2;;;;;;;2
AZ;Stichting ABC;1;;;;;;;1
AZ;Stichting Accessibility;2;;;;;;;2
AZ;Stichting Internat. Perscentrum 'Nieuwspoort';2;;;;;;;2
AZ;The Courseware Company B.V.;1;;;;;;;1
AZ;Things To Make And Do B.V.;2;;;;;;;2
AZ;TNS Nipo B.V.;2;;;;;;;2
AZ;TrueTalk B.V.;2;;;;;;;2
AZ;Uptrends B.V.;1;;;;;;;1
AZ;USG Capacity;3;;;;;;;3
AZ;VoorMeerWaarde B.V.;1;;;;;;;1
AZ;Webhelp Nederland B.V.;7;;;;;;;7
AZ;Weolcan B.V.;3;;;;;;;3
AZ;Xerox (Nederland) B.V.;2;;;;;;;2
BZ;A. Pietersen;;;1;;;;;1
BZ;ADP International Services B.V.;;;;;;;4;4
BZ;Advocatenkantoor Dijkgraaf B.V.;;;;;1;;;1
BZ;AON Nederland C.V.;;;;;;;1;1
BZ;DAS;;;;;1;;;1
BZ;EDGE NEXT Management B.V.;;2;;;;;;2
BZ;Edith van Ewijk;;;2;;;;;2
BZ;Fischer Advocaten B.V.;;;;;1;;;1
BZ;FNV Veiligheid;;;;;1;;;1
BZ;HaskoningDHV Nederland B.V.;;;;;1;;;1
BZ;Joris Sprakel Advocaat;;;;;1;;;1
BZ;Lectric Opleidingen B.V.;;;;1;;;;1
BZ;Len Middelbeek Communicatie Support;;;1;;;;;1
BZ;Mentorjam B.V.;;;1;;;;;1
BZ;OnePlanet Journalistiek;;;1;;;;;1
BZ;Part-up B.V.;;2;2;;;;;2
BZ;Purfacts B.V.;;;2;;;;;2
BZ;Quest Consult;;;1;;;;;1
BZ;Rob D. van den Berg;;;1;;;;;1
BZ;SD Worx Nederland B.V.;;;;;;;1;1
BZ;SEO Economisch Onderzoek;;;1;;;;;1
BZ;Siebe Weide advies;;;;;2;;;2
BZ;St. Beheer Derdengelden Fischer Advocaten BV;;;;;2;;;2
BZ;Stg Kenniscenter CfPB;;;;2;;;;2
BZ;Sticht. Info.voorzien. Ontwikkel.sam.werk.;;;1;;;;;1
BZ;Stichting Beheer Derdengelden de Binnenstad;;;;;1;;;1
BZ;Stichting NBTC Holland Marketing;;;1;;;;;1
BZ;Stuiver & Weijling B.V.;;;;;1;;;1
BZ;Sweco Nederland B.V.;;;;;1;;;1
BZ;TMF Netherlands B.V.;;;;;;;7;7
BZ;TODAY DESIGNERS B.V.;;;2;;;;;2
