Leveranciers;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9550 - FIN specifiek;Eindtotaal
A Priori B.V.;;;1;1
A. Xhepa;;;1;1
ABN AMRO Bank N.V.;;;1;1
AC Analytical Controls B.V.;;1;;1
Academie voor Vastgoed B.V.;;;1;1
Adaptics Health & Performance B.V.;;;2;2
Adlib Gebruikersgroep;;;1;1
Administratiekantoor De Vlam;;;1;1
A-Fusion B.V.;;;1;1
Air Products Nederland B.V.;;1;;1
Alarmpoint B.V.;;;1;1
Alice Stoffen & Handwerkhuis;;;1;1
Alkmaarse Rugby Union Football Club;;;1;1
Allpremiums;;;1;1
Allurepark De Lucht;;;1;1
Alpha Webdesign;;;1;1
Amaze Escape Events;;;1;1
Ambten. Sport- en Ontspanningsver. A.S.O.V.;;;1;1
'Amor' (Amusement Onder Rijkspersoneel);;;1;1
Ankomm'n;;;1;1
Antalis B.V.;;;1;1
Anton Paar Benelux BVBA;;1;;1
Applied Biosystems;;4;;4
Arntz - van Helden;;;1;1
Art Company;;;1;1
Artform internet professionals;;;1;1
Artro Printmedia B.V.;;;1;1
Artxtra B.V.;;;1;1
Atletiek Vereniging Haarlemmermeer;;;1;1
Audion Elektro B.V.;;1;;1
Augustijn Auto Expertise;;;1;1
Autotelex B.V.;;;1;1
AVR-Afvalverwerking B.V.;;;2;2
B.V. Argentum;;;1;1
B.V.D.A. International B.V.;;1;;1
B+B Vakmedianet B.V.;;;1;1
Bacchus Utrecht B.V.;;;1;1
Bakkerij 'Den Soeten Inval';;;1;1
Banketbakkerij Jansen-de Koning;;;1;1
Barendregt Vastgoed B.V.;;;1;1
BC & O Advies B.V.;;;1;1
Beaufair Expositiesystemen;;;1;1
Belfleur;;;1;1
Berging Regio Leiden;;;1;1
Berkman Forwarding B.V.;;;1;1
Beroepsvereniging Vide;;;1;1
Betapress B.V.;;;1;1
Beun- de Ronde B.V.;;2;;2
Bever Assen B.V.;;;1;1
Bij Aaltje aan de Linie;;;1;1
Bilt en Bahadoer Opleidingsinstituut B.V.;;;1;1
Biozym Holding B.V.;;1;;1
Bistro Bodega Graaf Otto;;;1;1
Bistro Bouillabaisse;;;1;1
Bistro De Rotonde;;;1;1
Boels Verhuur Venlo;;;1;1
