FID,datummutatie,naammuteerder,bron,status,genormeerd,type,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,objectcode,kerendehoogte,capaciteit,profielurl,opmerkingen,gdb_geomattr_data,shape
gemaal_legger.1,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Vleutense Wetering Gemaal,MN,Amsterdam-Rijnkanaal,31H-356-02,,-99,0.53,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/31H-356-02.html,,,"POLYGON ((133690.73900000006 456478.5370000005, 133691.3509999998 456478.13699999824, 133691.5799999982 456478.6229999997, 133694.47399999946 456476.2569999993, 133694.69000000134 456476.46499999985, 133697.31700000167 456480.0460000001, 133701.4299999997 456476.8660000004, 133698.43100000173 456472.8269999996, 133698.88500000164 456472.58399999887, 133694.18100000173 456466.55900000036, 133689.18499999866 456470.493999999, 133686.90399999917 456472.29300000146, 133689.23000000045 456475.4050000012, 133688.20699999854 456476.17599999905, 133685.44000000134 456478.4050000012, 133687.4290000014 456481.2340000011, 133690.73900000006 456478.5370000005))"
gemaal_legger.2,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Gemaal Ravenswaay,MN,Amsterdam-Rijnkanaal,39B-001-05,,-99,24,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/39B-001-05.html,,,"POLYGON ((152897.35599999875 440769.1339999996, 152900.51399999857 440767.0399999991, 152900.65199999884 440767.2490000017, 152901.34800000116 440766.7419999987, 152900.9539999999 440766.1700000018, 152887.82299999893 440747.0799999982, 152887.6000000015 440746.75499999896, 152887.47199999914 440746.5709999986, 152885.30000000075 440748.01300000027, 152883.7190000005 440749.0489999987, 152883.11300000176 440749.4470000006, 152879.89600000158 440751.6160000004, 152879.22199999914 440752.0780000016, 152877.77899999917 440753.06700000167, 152875.52299999818 440754.62099999934, 152875.7190000005 440754.92599999905, 152889.11199999973 440774.98999999836, 152889.7960000001 440774.48999999836, 152889.6559999995 440774.27699999884, 152892.85799999908 440772.1640000008, 152893.49399999902 440771.743999999, 152894.2109999992 440771.25499999896, 152896.05299999937 440770.01199999824, 152896.811999999 440769.49500000104, 152897.35599999875 440769.1339999996))"
gemaal_legger.3,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Oude gemaal Eefde,ON,Twentekanalen," TK1.KG.L.3,300",,-99,5,"https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/_TK1.KG.L.3,300.html",,,"POLYGON ((212958.40700000152 463805.6490000002, 212952.01999999955 463803.9770000018, 212952.01199999824 463804.0170000009, 212951.93499999866 463804.3370000012, 212944.3449999988 463835.05900000036, 212944.41699999943 463835.07499999925, 212950.57600000128 463836.5159999989, 212958.34600000083 463805.88899999857, 212958.40700000152 463805.6490000002))"
gemaal_legger.4,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Gemaal Delden,ON,Twentekanalen,34E-001-03,,-99,13.97,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/34E-001-03.html,,,"MULTIPOLYGON (((243104.29899999872 473870.57400000095, 243110.8590000011 473860.98099999875, 243110.77899999917 473860.93400000036, 243110.4539999999 473860.7170000002, 243110.34600000083 473860.58399999887, 243107.8599999994 473858.9210000001, 243105.9450000003 473857.6429999992, 243105.56899999827 473858.1950000003, 243105.44900000095 473858.3720000014, 243098.48699999973 473868.61300000176, 243097.9530000016 473869.3990000002, 243095.29100000113 473873.31599999964, 243094.16699999943 473874.9690000005, 243097.60599999875 473877.26199999824, 243098.2250000015 473877.7410000004, 243099.01700000092 473878.3570000008, 243099.08399999887 473878.256000001, 243100.6000000015 473875.9820000008, 243104.29899999872 473870.57400000095)), ((243110.8590000011 473860.98099999875, 243110.938000001 473860.98099999875, 243110.88899999857 473860.9439999983, 243110.8590000011 473860.98099999875)))"
gemaal_legger.5,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Gemaal Zedemuden,ON,Meppelerdiep,21E-400-01,,-97,-97,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/21E-400-01.html,,,"MULTIPOLYGON (((201847.9759999998 516927.36400000006, 201854.4849999994 516944.4219999984, 201901.74300000072 516925.33900000155, 201895.55600000173 516908.8040000014, 201885.65799999982 516913.0789999999, 201883.0700000003 516912.40399999917, 201847.9759999998 516927.36400000006)), ((201854.4849999994 516944.4219999984, 201854.38699999824 516944.4609999992, 201854.5 516944.4609999992, 201854.4849999994 516944.4219999984)))"
gemaal_legger.6,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Nieuw gemaal Eefde,ON,Twentekanalen,"TK1.KG.R.3,32",,-99,90,"https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/TK1.KG.R.3,32.html",,,"POLYGON ((212934.94999999925 463848.4979999997, 212934.94000000134 463848.55099999905, 212934.91000000015 463848.6279999986, 212930.02899999917 463868.9360000007, 212938.6640000008 463871.0879999995, 212940.81899999827 463871.63599999994, 212946 463851.1330000013, 212945.87900000066 463851.1039999984, 212941.6090000011 463850.1009999998, 212941.22100000083 463850.0029999986, 212938.58100000024 463849.3770000003, 212937.63100000098 463849.1499999985, 212937.33900000155 463849.08199999854, 212934.94999999925 463848.4979999997))"
gemaal_legger.7,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Onbekend,Oude aflaat Eefde,ON,Twentekanalen," TK1.KR.L.3,299",,-99,-98,"https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/_TK1.KR.L.3,299.html",,,"POLYGON ((212952.01199999824 463804.0170000009, 212942.82600000128 463801.66699999943, 212942.7199999988 463802.1009999998, 212937.33900000155 463824.063000001, 212935.2589999996 463832.5769999996, 212935.24300000072 463832.631000001, 212935.22399999946 463832.71599999815, 212944.3449999988 463835.05900000036, 212944.41699999943 463835.07499999925, 212951.93499999866 463804.3370000012, 212952.01199999824 463804.0170000009))"
gemaal_legger.8,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Onbekend,Nieuwe aflaat Eefde,ON,Twentekanalen,34F-001-04,,-99,90,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/34F-001-04.html,,,"POLYGON ((212964.13699999824 463777.3539999984, 212957.8500000015 463775.7719999999, 212953.48800000176 463793.561999999, 212953.5549999997 463793.5789999999, 212959.6889999993 463795.14400000125, 212964.07400000095 463777.6070000008, 212964.13699999824 463777.3539999984))"
gemaal_legger.9,2014-10-13T00:00:00,Fugro,Aangeleverd: ON,Vastgesteld,1,Onbekend,Gemaal Hengelo,ON,Twentekanalen,34F-001-04,,-99,5.7,https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/34F-001-04_1.html,,,"POLYGON ((251759.72700000182 474021.52600000054, 251764.71200000122 474020.7430000007, 251768.79100000113 474020.01199999824, 251765.4990000017 473998.7650000006, 251764.55700000003 473998.90399999917, 251760.85599999875 473999.54199999943, 251759.39799999818 473999.8189999983, 251751.7580000013 474001.2740000002, 251752.31799999997 474004.868999999, 251750.7109999992 474005.13899999857, 251753.54199999943 474022.57499999925, 251759.72700000182 474021.52600000054))"
gemaal_legger.10,2014-10-13T00:00:00,Fugro,CIV:BKN,Vastgesteld,1,Overig,Gemaal,WNN,Noordzeekanaal,"NZK5.KG.-.0,502.vh",,-97,-97,"https://downloads.rijkswaterstaatdata.nl/rws_legger/dwarsprofielen/NZK5.KG.-.0,502.vh.html",,,"POLYGON ((101622.65199999884 498430.05099999905, 101628.63720000163 498480.80490000173, 101652.01199999824 498478.4310000017, 101651.64400000125 498474.9759999998, 101651.19299999997 498470.73900000006, 101650.59200000018 498465.1020000018, 101650.48099999875 498464.08300000057, 101649.1959999986 498452.23699999973, 101648.58999999985 498446.5850000009, 101647.91099999845 498440.26000000164, 101646.47899999842 498427.13699999824, 101646.20800000057 498427.16699999943, 101632.23800000176 498428.813000001, 101630.53700000048 498428.9829999991, 101630.03500000015 498424.02699999884, 101628.29399999976 498424.2280000001, 101628.6959999986 498429.28500000015, 101622.65199999884 498430.05099999905))"
