WKT,id,buurtcode,straatnaam,type,soort,e_type,aantal
"POLYGON ((119881.94 490369.92,119876.14 490367.95,119875.3 490370.51,119881.09 490372.47,119881.94 490369.92))","119879490370",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119881.56 490114.15,119883.33 490108.91,119880.91 490108.09,119879.15 490113.33,119881.56 490114.15))","119881490111",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119883.33 490108.91,119885.1 490103.68,119882.68 490102.85,119880.91 490108.09,119883.33 490108.91))","119883490106",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119881.09 490372.47,119886.88 490374.42,119887.75 490371.89,119881.94 490369.92,119881.09 490372.47))","119884490372",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119885.1 490103.68,119886.87 490098.44,119884.45 490097.62,119882.68 490102.85,119885.1 490103.68))","119885490101",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119886.87 490098.44,119888.38 490093.99,119888.64 490093.21,119886.21 490092.38,119885.87 490093.39,119884.45 490097.62,119886.87 490098.44))","119887490095",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119888.64 490093.21,119890.41 490087.97,119887.98 490087.15,119886.21 490092.38,119888.64 490093.21))","119888490090",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119890.41 490087.97,119892.17 490082.74,119889.76 490081.91,119887.98 490087.15,119890.41 490087.97))","119890490085",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119892.17 490082.74,119893.94 490077.5,119891.53 490076.68,119889.76 490081.91,119892.17 490082.74))","119892490080",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119893.94 490077.5,119895.71 490072.27,119893.3 490071.44,119891.53 490076.68,119893.94 490077.5))","119894490074",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119895.71 490072.27,119897.48 490067.03,119895.07 490066.21,119893.3 490071.44,119895.71 490072.27))","119895490069",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119897.48 490067.03,119899.24 490061.8,119896.84 490060.98,119895.07 490066.21,119897.48 490067.03))","119897490064",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119899.24 490061.8,119900.71 490057.44,119901.01 490056.56,119898.6 490055.74,119898.29 490056.68,119896.84 490060.98,119899.24 490061.8))","119899490059",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119901.01 490056.56,119902.77 490051.32,119900.37 490050.5,119898.6 490055.74,119901.01 490056.56))","119901490054",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119902.77 490051.32,119904.54 490046.09,119902.13 490045.27,119900.37 490050.5,119902.77 490051.32))","119902490048",B10a,Archangelkade,Langs,FISCAAL,,1
