objectid;id;stadsdeel;buurt;straat;eigenaar;beheerder;onderhouder;soort;voet;kleur;aanleg_jaar;standplaats;locatie;inhoud;geo_shape;geo_point_2d
8767;12216.0;Gestel;Hanevoet;;BOR;BOR Stedelijk;BOR Stedelijk;Falco Jona;Staal;Grijs;2019;Verharding;Plein;50;"{""coordinates"": [5.438995146411934, 51.41684179822476], ""type"": ""Point""}";51.41684179822476, 5.438995146411934
8769;12228.0;Woensel noord 1;Woenselse Heide;;BOR;BOR Stedelijk;BOR Stedelijk;Falco Jona;Staal;Grijs;2020;Verharding;Winkel;50;"{""coordinates"": [5.463271675401256, 51.47761415204108], ""type"": ""Point""}";51.47761415204108, 5.463271675401256
8771;12235.0;Centrum;Binnenstad;;BOR;BOR Stedelijk;BOR Stedelijk;;;;;;;;"{""coordinates"": [5.482175212812199, 51.436806999920776], ""type"": ""Point""}";51.436806999920776, 5.482175212812199
8777;12051.0;Gestel;Schrijversbuurt;;BOR;BOR Stedelijk;BOR Stedelijk;Falco Jona;Staal;Grijs;2015;Verharding;Overig;50;"{""coordinates"": [5.468970146778123, 51.43106607099503], ""type"": ""Point""}";51.43106607099503, 5.468970146778123
8778;12122.0;Gestel;Genderdal;;Particulier;Particulier;BOR Stedelijk;Bammens Prestige;Staal;Geel;2011;Beplanting;Overig;50;"{""coordinates"": [5.4550840580634175, 51.42566530717532], ""type"": ""Point""}";51.42566530717532, 5.4550840580634175
8779;12165.0;Woensel zuid;Generalenbuurt;;BOR;BOR Stedelijk;BOR Stedelijk;Falco Jona;Staal;Grijs;2018;Verharding;Abri;50;"{""coordinates"": [5.476422092070226, 51.46097151146477], ""type"": ""Point""}";51.46097151146477, 5.476422092070226
8781;12208.0;Woensel noord 2;'t Hool;;BOR;BOR Stedelijk;BOR Stedelijk;Bammens Prestige;Staal;Groen;2020;Verharding;Abri;50;"{""coordinates"": [5.479455541759945, 51.47465596511486], ""type"": ""Point""}";51.47465596511486, 5.479455541759945
8782;12029.0;Tongelre;Tongelresche Akkers;;BOR;BOR Stedelijk;BOR Stedelijk;Bammens Prestige;Staal;Groen;2014;Anders;Overig;50;"{""coordinates"": [5.520915725275661, 51.436592386026824], ""type"": ""Point""}";51.436592386026824, 5.520915725275661
8783;12017.0;Stratum;Gijzenrooi;;BOR;BOR Stedelijk;BOR Stedelijk;Bammens Prestige;Staal;Groen;2006;Verharding;Park;50;"{""coordinates"": [5.5122018561682316, 51.41898514084131], ""type"": ""Point""}";51.41898514084131, 5.5122018561682316
8784;12056.0;Stratum;Nieuwe Erven;;BOR;BOR Stedelijk;BOR Stedelijk;Bammens Prestige;Staal;Grijs;2018;Verharding;Overig;50;"{""coordinates"": [5.493780697073459, 51.42301859401541], ""type"": ""Point""}";51.42301859401541, 5.493780697073459
