FID,nwbversie,nwbwvkid,netwerkcategorie,netwerkschakelcode,netwerkschakelnaam,systeemdeelnr,systeemdeelnaam,systeemdeelpositie,vkwegvaknaam,vkwegvakwegcat,vkwegvakfunctie,vkwegvakobjectnaam,nwbwegnummer,nwbwegdeellttr,nwbhectoletter,nwbrpecode,nwbbstcode,nwbbeginkm,nwbeindkm,nwbgmenaam,nwbdistrnaam,nwbdienstnaam,nwbwvklengte,nwbwegnraw,nwbwegnrhmp,vkwegvakeersteinstdl,vkwegvaklaatsteinstdl,vkwegvakmaatgevendint,vkwegvakknooppunt,vkwegvakhmbegin,vkwegvakhmeind,vildtrajectnaam,weg,last_update,se_anno_cad_data,verkeerskundigwegvakcode,kleurcodeverkeerskundigwegvak,gdb_geomattr_data,shape
hwn_netwerkcategorieen.1,202210,145273003,B,015-0010,A15 Maasvlakte - Brielle (N57)(v.v.),015-0010-R,Steenen Baakplein  - Brielle (N57),405,verzorgingsplaats Staaldiep,vpl,verzorgingsplaats,Staaldiep (Texaco),015,R,m,R,PKB,33.856,33.987,Rotterdam,WNZ District Zuid,RWS West-Nederland Zuid,132,RW15,A15,0,0,0,0,33696,34382,A15 Rotterdam Maasvlakte - Ridderkerk,A15R,2022-12-01T08:38:08,,015-0010-R_405,015-0010_405,,"LINESTRING (72599.11100000143 436848.1469999999, 72700.7490000017 436763.77699999884)"
hwn_netwerkcategorieen.2,202210,600200222,B,006-0020,A6 Hollandse Brug - Almere Buiten-West v.v.,006-0020-L-par,pararallebaan Almere Stad - beheersgrens MN/WNN,105,parallelbaan Almere-Haven(4) - Almere-Stedenwijk(3),asw,parallelbaan,,006,R,d,L,PST,49.998,49.888,Almere,MN District Noord,RWS Midden-Nederland,110,RW6,A6,0,0,0,0,52061,49259,A6 Lelystad - Muiden,A6L,2022-12-01T08:38:12,,006-0020-L-par_105,006-0020_105,,"LINESTRING (142757.27419999987 485102.7523000017, 142719.41950000077 485087.8398000002, 142679.95870000124 485072.23910000175, 142656.745099999 485058.4967)"
hwn_netwerkcategorieen.3,202210,128217017,A,059-0040,N59 Bruinisse Westkop - Philipsdam (N257) v.v.,059-0040-R,N59R3 Bruinisse Westkop - Philipsdam (N257) (R),1,Bruinisse-Westkop - Bruinisse-Grevelingensluis,aw,hoofdrijbaan,,059,B,#,R,NRB,26.421,26.426,Schouwen-Duiveland,ZD District Noord,RWS Zee en Delta,22,RW59,N59,1,0,1,0,26409,27837,N59 Zierikzee - Hellegatsplein,N59R,2022-12-01T08:38:12,,059-0040-R_001,059-0040_001,,"LINESTRING (64370.95100000128 408661.7250000015, 64369.625 408670.5450000018, 64366.91099999845 408676.81599999964, 64362.232000000775 408681.4910000004)"
hwn_netwerkcategorieen.4,202210,600145340,A,079-0015,A79 KP A2/A79 - KP Kunderberg v.v.,079-0015-L,KP Kunderberg - KP A2/A79,4,Hulsberg(4) - Valkenburg(3),asw,hoofdrijbaan,,079,R,c,L,PST,7.334,7.259,Valkenburg aan de Geul,ZN District Zuid-Oost,RWS Zuid-Nederland,75,RW79,A79,0,0,0,0,9900,6700,A79 Heerlen - Maastricht,A79L,2022-12-01T08:38:12,,079-0015-L_004,079-0015_004,,"LINESTRING (185594.24190000072 320707.72260000184, 185520.7928000018 320693.57360000163)"
hwn_netwerkcategorieen.5,202210,178263048,D,015-0030,A15 KP Benelux - KP Ridderkerk-Noord,015-0030-R-par,parallelbaan KP Benelux - KP Ridderkerk-Noord,102,parallelbaan KP Benelux - Rotterdam-Charlois(19),asw,parallelbaan,,015,R,a,R,AFR,54.016,54.125,Rotterdam,WNZ District Zuid,RWS West-Nederland Zuid,107,RW15,A15,0,0,0,0,51856,55058,A15 Rotterdam Maasvlakte - Ridderkerk,A15R,2022-12-01T08:38:12,,015-0030-R-par_102,015-0030_102,,"LINESTRING (89416.24100000039 431568.80900000036, 89437.10099999979 431563.8049999997, 89492.74199999869 431551.5799999982, 89520.25899999961 431544.1345000006)"
hwn_netwerkcategorieen.6,202210,366062013,B,002-0175,A2 KP Kerensheide - KP Kruisdonk v.v.,002-0175-L,KP Kruisdonk - KP Kerensheide,302,verbindingsboog KP Kerensheide verbindingsboog -k van A2HRL naar A76HRL,asw,verbindingsboog,,002,R,k,L,PST,241.313,241.253,Sittard-Geleen,ZN District Zuid-Oost,RWS Zuid-Nederland,49,RW2,A2,0,0,0,1,241303,240854,A2 Maastricht - Eindhoven,A2L,2022-12-01T08:38:12,,002-0175-L_302,002-0175_302,,"LINESTRING (183139.1735999994 331001.8579000011, 183147.01940000057 331018.61030000076, 183148.48380000144 331028.4576999992, 183150.29659999907 331038.2921000011, 183151.46709999815 331043.15940000117, 183153.16450000182 331048.8616999984)"
hwn_netwerkcategorieen.7,202210,600135802,B,027-0090,A27 KP Eemnes - KP Almere  v.v.,027-0100-L,KP Almere - Stichte Brug,1,Almere Haven - Stichtse brug (districtgrens),asw,hoofdrijbaan,Stichtse brug,027,R,c,L,AFR,109.32,108.997,Almere,MN District Noord,RWS Midden-Nederland,314,RW27,A27,0,1,1,0,109424,107635,A27 Almere - Utrecht,A27L,2022-12-01T08:38:12,,027-0100-L_001,027-0090_001,,"LINESTRING (151123.62299999967 480575.4523999989, 151117.30380000174 480571.1365999989, 151110.74940000102 480567.5403999984, 151104.62139999866 480564.9734000005, 151097.79410000145 480562.9657999985, 151090.90729999915 480561.76399999857, 151085.9400999993 480561.3493999988, 151081.01680000126 480561.35880000144, 151073.25439999998 480562.2467, 151066.2595999986 480563.9087000005, 151059.58190000057 480566.38109999895, 151052.6136999987 480569.93400000036, 151048.5036999993 480572.67159999907, 151044.53290000185 480575.67390000075, 151039.03079999983 480580.95650000125, 151033.78350000083 480587.5238999985, 151031.10570000112 480591.71229999885, 151029.0476000011 480595.51729999855, 151025.89510000125 480603.3016999997, 151024.47960000113 480608.0639999993, 151023.5011 480613.21979999915, 151022.7692000009 480620.9651999995, 151022.88589999825 480625.9400999993, 151023.49819999933 480631.91010000184, 151024.4814000018 480636.77859999985, 151026.48169999942 480642.83850000054, 151028.4699999988 480647.39719999954, 151031.09059999883 480652.48160000145, 151033.58300000057 480656.7292000018, 151036.44790000096 480661.1460000016, 151044.65929999948 480672.8269000016, 151096.73939999938 480748.43189999834, 151111.6649999991 480770.9670000002)"
hwn_netwerkcategorieen.8,202210,600137502,C,002-0133,A2 KP Leenderheide - KP Het Vonderen v.v.,002-0133-L,KP Het Vonderen - KP Leenderheide,1,Valkenswaard(34) - KP Leenderheide,asw,hoofdrijbaan,,002,R,#,L,HR,174.403,172.936,Valkenswaard,ZN District Midden,RWS Zuid-Nederland,1467,RW2,A2,0,1,1,0,177022,170566,A2 Maastricht - Eindhoven,A2L,2022-12-01T08:38:12,,002-0133-L_001,002-0133_001,,"LINESTRING (164732.71330000088 375306.5443000011, 164298.14559999853 376038.36630000174, 163983.65419999883 376568.3541000001)"
hwn_netwerkcategorieen.9,202210,600278749,C,012-0040,A12 KP Gouwe - KP Bodegraven,012-0040-R,KP Gouwe - Bodegraven (R),1,KP Gouwe - Gouda(11),asw,hoofdrijbaan,Gouweaquaduct,012,R,b,R,OPR,28.152,28.342,Gouda,WNZ District Noord,RWS West-Nederland Zuid,216,RW12,A12,1,0,1,0,26904,28563,A12 Den Haag - Utrecht,A12R,2022-12-01T08:38:12,,012-0040-R_001,012-0040_001,,"LINESTRING (106718.11080000177 448990.56159999967, 106701.81870000064 449002.1777999997, 106695.15689999983 449006.64169999957, 106676.05370000005 449021.17379999906, 106663.48999999836 449031.0811999999, 106594.55790000036 449086.5337000005, 106586.91629999876 449092.98860000074, 106579.77580000088 449099.85610000044, 106573.1875 449107.3878999986, 106568.46889999881 449112.8029999994, 106563.25019999966 449121.9536000006, 106559.06839999929 449132.90210000053)"
hwn_netwerkcategorieen.10,202210,394190021,A,073-0055,A73 KP Zaarderheiken - KP Rijkevoort v.v.,073-0055-L,KP Rijkevoort - KP Zaarderheiken,6,Venray-Noord(8) - Venray(9),asw,hoofdrijbaan,,073,R,#,L,HR,65.81,63.282,Venray,ZN District Zuid-Oost,RWS Zuid-Nederland,2532,RW73,A73,0,0,0,0,65810,63282,A73 Nijmegen - Maasbracht,A73L,2022-12-01T08:38:12,,073-0055-L_006,073-0055_006,,"LINESTRING (197307.8099000007 395018.79560000077, 197319.11740000173 394984.1975999996, 197330.8322999999 394945.9461000003, 197347.61059999838 394888.34270000085, 197355.0084999986 394861.7232000008, 197360.24700000137 394842.4386, 197370.41710000113 394803.7529999986, 197382.96389999986 394754.01729999855, 197392.37110000104 394715.1369000003, 197402.71189999953 394669.5500999987, 197406.99599999934 394650.0124000013, 197408.18070000038 394644.2380999997, 197411.01559999958 394630.42060000077, 197415.38650000095 394610.9006999992, 197419.35390000045 394591.2980999984, 197428.4813000001 394544.26089999825, 197430.64299999923 394533.1207000017, 197437.71059999987 394493.73739999905, 197444.39759999886 394454.3002999984, 197453.28920000046 394398.3887999989, 197461.76410000026 394338.9855000004, 197466.89409999922 394299.3158, 197471.66220000014 394259.5991999991, 197474.6325000003 394233.1812000014, 197478.7415000014 394193.35990000144, 197482.44299999997 394153.5315999985, 197486.54569999874 394103.12420000136, 197489.41450000182 394063.2085000016, 197492.87040000036 394006.8555999994, 197493.08729999885 394003.3194999993, 197495.0639999993 393966.0817000009, 197496.19440000132 393940.0251000002, 197498.3200000003 393891.0313999988, 197501.04529999942 393811.0773999989, 197503.46139999852 393717.9299999997, 197503.66629999876 393710.0304000005, 197506.91539999843 393550.0599000007, 197507.88109999895 393510.07140000165, 197508.93409999833 393477.93730000034, 197510.54419999942 393437.99500000104, 197511.49810000136 393418.0159999989, 197511.96319999918 393409.92720000073, 197513.0511999987 393391.0031000003, 197515.86730000004 393351.0987999998, 197517.59980000183 393331.1739999987, 197519.54430000111 393311.26740000024, 197523.56870000064 393275.06819999963, 197526.08260000125 393255.23889999837, 197528.82499999925 393235.4255999997, 197534.8060999997 393196.96649999917, 197538.17760000005 393177.24529999867, 197538.73800000176 393174.21020000055, 197541.80900000036 393157.57730000094, 197547.56679999828 393128.9107999988, 197551.76089999825 393109.34870000184, 197560.84169999883 393070.3902999982, 197570.48939999938 393032.76740000024, 197575.7248999998 393013.46449999884, 197581.19579999894 392994.22679999843, 197592.120099999 392958.3467999995, 197598.25030000135 392939.34329999983, 197604.57880000025 392920.370099999, 197614.59299999848 392891.21079999954, 197621.2960000001 392872.37359999865, 197635.00919999927 392834.7976000011, 197681.51419999823 392710.2512000017, 197718.18180000037 392612.59230000153, 197744.60970000178 392542.2054999992)"
