Leverancier;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financiën;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9590 - V&J specifiek;Eindtotaal
Anoniem_J & V_10139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10144;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10148;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10149;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_1015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10150;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10151;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10152;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10155;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10156;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10157;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10160;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10164;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10165;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Anoniem_J & V_10167;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10169;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_1017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10170;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10172;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10174;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10175;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10176;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10177;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10179;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_1018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10180;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10183;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10187;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10203;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10204;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10205;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1021;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10210;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10213;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10214;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10216;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10217;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1022;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10224;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10229;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_1023;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Anoniem_J & V_10231;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10237;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10238;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1024;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10240;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10243;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10245;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10246;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1025;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Anoniem_J & V_10250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10254;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10255;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10258;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10259;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_1026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10263;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10265;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10266;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10268;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10269;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_1027;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10271;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10273;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10275;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10276;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10290;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10292;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10294;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10295;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10298;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10299;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_103;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_1030;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Anoniem_J & V_10304;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10305;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10306;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1031;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10310;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10312;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10313;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10315;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10318;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Anoniem_J & V_10320;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10322;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10323;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10324;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10325;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10326;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10329;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_1033;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10330;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10331;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10336;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10337;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_1034;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10341;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10347;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10348;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10349;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_1035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10350;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10352;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10353;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10354;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10355;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10356;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10357;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem_J & V_10358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem_J & V_10359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
