Leveranciers;9410 - Lokale belastingen - waterschapslasten;9570 - OCW specifiek;Eindtotaal
AGC Gerechtsdeurwaarders & Incasso Drenth;;1;1
AGC Gerechtsdeurwaarders & Incasso Groningen;;1;1
Bureau voor Interculturele Evaluatie B.V.;;2;2
Coöperatieve Bosgroep Zuid-Nederland UA;2;;2
DCM Exploitatie Lomm B.V.;2;;2
De Museumvereniging;1;;1
Dedicon B.V.;;5;5
Exonet B.V.;;1;1
Exsilia Internet Services;;1;1
Gameservers;;2;2
Hic et Nunc B.V.;;1;1
Hotel Contact B.V.;;3;3
Huf & Go;;1;1
IHC Holland B.V.;;4;4
Intermax Hosting B.V.;;1;1
J & M Zweerts Fotografie;;1;1
Joh. Enschedé Stamps B.V.;;5;5
Landelijke Vereniging van Schoonrijders;2;;2
Landgoed Zonnestraal B.V.;4;;4
Mindbus B.V.;;1;1
nai010 uitgevers/publishers;3;;3
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;4;;4
OCLC B.V.;;2;2
Pels Rijcken & Droogleever Fortuijn N.V.;;1;1
Philippus Corts Stichting TCF;;1;1
Recreatieschap Drenthe;2;;2
Regardz Business Center;;1;1
Rent a Pin B.V.;;1;1
Speciaaldrukkerij Lijnco Groningen B.V.;;3;3
Stg. Nationale Coalitie Digitale Duurzaamheid;;2;2
Stichting Cultureel Erfgoed Zeeland;1;;1
Stichting Erfgoedhuis Zuid-Holland;2;;2
Stichting Museum het Valkhof-Kam;3;;3
Stichting Probos;1;;1
Stichting Ruimtevolk;2;;2
Stichting Vrienden Van Nellefabriek;4;;4
Studio Buitenhof 5;;2;2
Teylers Museum;3;;3
Uitgeverij THOTH B.V.;3;;3
uNiek-Design;1;;1
Vereniging De Hollandsche Molen;2;;2
Vereniging tot Behoud van Natuurmonumenten;4;;4
Video Duplication Holland B.V.;;4;4
WBooks B.V.;1;;1
Eindtotaal;7;7;7
