Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
A3MC Management & Consultancy B.V.;;;4;;;;;4
Aapeha B.V.;;;2;;;;;2
ABT B.V.;;4;;;;;;4
AEVES B.V.;;;1;;;;;1
Airport Maintenance Services B.V.;;;2;;;;;2
Akro Consult B.V.;;;2;;;;;2
Altavilla B.V.;;;4;;;;;4
AMI Maastricht;2;;;;;;;2
Anoniem 11;;;1;;;;;1
Anoniem 159;;;1;;;;;1
Anoniem 207;;;1;;;;;1
Anoniem 228;;;1;;;;;1
Anoniem 237;;;1;;;;;1
Anoniem 263;;;1;;;;;1
Anoniem 282;;1;;;;;;1
Anoniem 328;;2;;;;;;2
Anoniem 334;;;1;;;;;1
Anoniem 355;;;1;;;;;1
Anoniem 359;;;1;;;;;1
Anoniem 366;;;1;;;;;1
Anoniem 374;;;1;;;;;1
Anoniem 381;;;1;;;;;1
Anoniem 387;;;1;;;;;1
Anoniem 41;;;2;;;;;2
Anoniem 498;;;;;1;;;1
Anoniem 515;;;;2;;;;2
Anoniem 540;;;1;;;;;1
Anoniem 548;;;1;;;;;1
Anoniem 64;;;1;;;;;1
Anoniem 91;;;1;;;;;1
Anoniem 92;;;2;;;;;2
ANP Photo;1;;;;;;;1
Anthago Intellectual Property B.V.;;;1;;;;;1
Architectuurstudio HH;;;2;;;;;2
Ardis Organisatieontwikkeling B.V.;;;1;;;;;1
Arenda Oomen Fotografie;1;;;;;;;1
Arnicon Projecten B.V.;;;1;;;;;1
art of change B.V.;2;;;;;;;2
Asp4all Hosting B.V.;;;;;;6;;6
Atelier Boetzkes;;;1;;;;;1
Atos Nederland B.V.;;;;;;4;;4
Backup Transport & Depot Services B.V.;;;;;;2;;2
Balans & Impuls B.V.;;;1;;;;;1
BedrijfsMotivaties B.V.;4;;;;;;;4
Berenschot B.V.;3;;;;;;;3
Berenschot International B.V.;;;3;;;;;3
Berkel Projectontwikkeling B.V.;1;;;;;;;1
BIM Media B.V.;1;;;;;;;1
Blauw Research B.V.;;;1;;;;;1
Bouwadvies;;3;;;;;;3
Bouwstart;;;2;;;;;2
Brasserie Leon;;;1;;;;;1
Brink Groep B.V.;;;3;;;;;3
BSA Schaderegeling B.V.;;;;;1;;;1
BUROBEB B.V.;;;2;;;;;2
Burrough B.V.;1;;;;;;;1
Buschman Consultancy B.V.;;;;;;1;;1
Bvsadvies;;2;;;;;;2
CAD & Company Projects B.V.;;;;;;1;;1
Cafe/Restaurant De Eeuwige Jachtvelden;1;;;;;;;1
Capgemini Nederland B.V.;6;4;;;;7;;7
