OBJECTID,KVDKRHOO,KVDBREED,KVDLENGT,XXXMATER,KWKDATUM,OSMOMSCH,IWS_LEGGERSTATUS,KVDIDENT,OBJECTID_1,KVDIDENT_1,ONDERHOUDSPLICHTIGE_1,ONDERHOUDSVERPLICHTING_1,ONDERHOUDSPLICHTIGE_2,ONDERHOUDSVERPLICHTING_2,Shape__Length
1,,,,,,Vaste dam,1,VR.00-PKD213,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98966932970482
2,,,,,,Vaste dam,1,RA.00-PKD202,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.28528790461935
3,,,,,,Vaste dam,1,VR.00-PKD202,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.99066729224356
4,,,,,,Vaste dam,1,NW.10.84-PKD4,,,Waterschap,Gewoon en buitengewoon en constructie,,,12.251071943381
5,,,,98,,Vaste dam,1,SW.20.90-PKD10,,,Waterschap,Gewoon en buitengewoon en constructie,,,4.98953773837292
6,,,,98,,Vaste dam,1,MW.50-PKD18,,,Aangeland,Gewoon en buitengewoon en constructie,,,0.830820950774572
7,,,,,,Vaste dam,1,KO.55.48-PKD8,,,Aangeland,Gewoon en buitengewoon en constructie,,,25.9126288493329
8,,,,98,,Vaste dam,1,SW.20.82-PKD12,,,Waterschap,Gewoon en buitengewoon en constructie,,,3.21586053613402
9,,,,98,,Vaste dam,1,DV.195-PKD9,,,Gemeente,Gewoon en buitengewoon en constructie,,,2.17489714708847
10,,,,98,,Vaste dam,1,OK.5.4-PKD3,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.06779992939143
11,,,,98,,Vaste dam,1,DV.5.10-PKD6,,,Waterschap,Gewoon en buitengewoon en constructie,,,1.94518626377825
12,,,,,,Vaste dam,1,V169,,,Aangeland,Gewoon en buitengewoon en constructie,,,3.68318771425258
13,,,,,,Vaste dam,1,DV.30.280-PKD2,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.38516229844426
14,,,,,,Vaste dam,1,VR.10.66-PKD203,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.98967378838312
15,,,,,,Vaste dam,1,KO.55.134-PKD4,,,Aangeland,Gewoon en buitengewoon en constructie,,,14.4353842432638
16,,,,,,Vaste dam,1,SZ.220.70-PKD3,,,Aangeland,Gewoon en buitengewoon en constructie,,,9.56151029676252
17,,,,,,Vaste dam,1,KO.55.191-PKD3,,,Aangeland,Gewoon en buitengewoon en constructie,,,8.87690904472286
18,,,,,,Vaste dam,1,KO.55.136-PKD5,,,Aangeland,Gewoon en buitengewoon en constructie,,,10.2030421171742
19,,,,,,Vaste dam,1,KO.55.116-PKD6,,,Aangeland,Gewoon en buitengewoon en constructie,,,13.4756878996494
20,,,,,,Vaste dam,1,DV.215.73-PKD10,,,Aangeland,Gewoon en buitengewoon en constructie,,,1.07792123999878
21,,,,,,Vaste dam,1,KV.190-PKD12,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.05768250722676
22,,,,,,Vaste dam,1,RB.10.44-PKD37,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.87944514402719
23,,,,,,Vaste dam,1,KV.70.52-PKD151,,,Aangeland,Gewoon en buitengewoon en constructie,,,6.09568044600454
24,,,,98,,Vaste dam,1,RV.00-PKD63,,,Aangeland,Gewoon en buitengewoon en constructie,,,5.65144649301538
25,,,,98,,Vaste dam,1,RB.10.46-PKD38,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.38443431135467
26,,,,98,,Vaste dam,1,RB.10.136-PKD49,,,Aangeland,Gewoon en buitengewoon en constructie,,,4.49983924238882
27,,,,98,,Vaste dam,1,RB.10.136-PKD19,,,Aangeland,Gewoon en buitengewoon en constructie,,,2.27582500695492
28,,,,98,,Vaste dam,1,RB.5.22-PKD12,,,Aangeland,Gewoon en buitengewoon en constructie,,,2.79446809508426
29,,3,2,99,,Vaste dam,1,V279,,,Waterschap,Gewoon en buitengewoon en constructie,,,4.75422928132399
