OBJECTID,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,M02_GRONDSLAGPUNT,KENPUNT_WATER,KENPUNT_STEIGER,KENPUNT_TRAP,Shape__Length
1,Insert,Soort_Punt_aanduiding,4,Continuous,10.88,25,M02_GRONDSLAGPUNT,Q39,,,,0.156880336890331
2,Insert,Soort_Punt_aanduiding,4,Continuous,12.06,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
3,Insert,Soort_Punt_aanduiding,4,Continuous,10.97,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
4,Insert,Soort_Punt_aanduiding,4,Continuous,10.94,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
5,Insert,Soort_Punt_aanduiding,4,Continuous,10.98,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
6,Insert,Soort_Punt_aanduiding,4,Continuous,11.72,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
7,Insert,Soort_Punt_aanduiding,4,Continuous,12.2,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
8,Insert,Soort_Punt_aanduiding,4,Continuous,11.04,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
9,Insert,Soort_Punt_aanduiding,4,Continuous,11.01,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
10,Insert,Soort_Punt_aanduiding,4,Continuous,11.09,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
11,Insert,Soort_Punt_aanduiding,4,Continuous,12.06,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
12,Insert,Soort_Punt_aanduiding,4,Continuous,12.34,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
13,Insert,Soort_Punt_aanduiding,4,Continuous,11.2,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
14,Insert,Soort_Punt_aanduiding,4,Continuous,11.18,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
15,Insert,Soort_Punt_aanduiding,4,Continuous,11.33,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
16,Insert,Soort_Punt_aanduiding,4,Continuous,12.11,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
17,Insert,Soort_Punt_aanduiding,4,Continuous,11.89,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
18,Insert,Soort_Punt_aanduiding,4,Continuous,12.26,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
19,Insert,Soort_Punt_aanduiding,4,Continuous,11.24,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
20,Insert,Soort_Punt_aanduiding,4,Continuous,11.22,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
21,Insert,Soort_Punt_aanduiding,4,Continuous,11.25,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
22,Insert,Soort_Punt_aanduiding,4,Continuous,12.09,25,M02_GRONDSLAGPUNT,Q06,,,,0.156880336890331
23,Insert,Soort_Punt_aanduiding,4,Continuous,12.14,25,M02_GRONDSLAGPUNT,Q06,,,,0.156880336890331
24,Insert,Soort_Punt_aanduiding,4,Continuous,12.19,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
25,Insert,Soort_Punt_aanduiding,4,Continuous,11.36,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
26,Insert,Soort_Punt_aanduiding,4,Continuous,11.35,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
27,Insert,Soort_Punt_aanduiding,4,Continuous,11.39,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
28,Insert,Soort_Punt_aanduiding,4,Continuous,12.17,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
29,Insert,Soort_Punt_aanduiding,4,Continuous,12.15,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
30,Insert,Soort_Punt_aanduiding,4,Continuous,11.29,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
31,Insert,Soort_Punt_aanduiding,4,Continuous,11.3,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
32,Insert,Soort_Punt_aanduiding,4,Continuous,11.31,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
33,Insert,Soort_Punt_aanduiding,4,Continuous,12.13,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
34,Insert,Soort_Punt_aanduiding,4,Continuous,11.3,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
35,Insert,Soort_Punt_aanduiding,4,Continuous,11.26,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
36,Insert,Soort_Punt_aanduiding,4,Continuous,11.25,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
37,Insert,Soort_Punt_aanduiding,4,Continuous,12,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
38,Insert,Soort_Punt_aanduiding,4,Continuous,12.24,25,M02_GRONDSLAGPUNT,T09,,,,0.156880336890331
39,Insert,Soort_Punt_aanduiding,4,Continuous,12.26,25,M02_GRONDSLAGPUNT,T09,,,,0.156880336890331
40,Insert,Soort_Punt_aanduiding,4,Continuous,12.34,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
41,Insert,Soort_Punt_aanduiding,4,Continuous,11.44,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
42,Insert,Soort_Punt_aanduiding,4,Continuous,11.41,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
43,Insert,Soort_Punt_aanduiding,4,Continuous,11.45,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
44,Insert,Soort_Punt_aanduiding,4,Continuous,12.35,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
45,Insert,Soort_Punt_aanduiding,4,Continuous,12.41,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
46,Insert,Soort_Punt_aanduiding,4,Continuous,11.58,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
47,Insert,Soort_Punt_aanduiding,4,Continuous,11.54,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
48,Insert,Soort_Punt_aanduiding,4,Continuous,11.56,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
49,Insert,Soort_Punt_aanduiding,4,Continuous,12.2,25,M02_GRONDSLAGPUNT,Q19,,,,0.156880336890331
50,Insert,Soort_Punt_aanduiding,4,Continuous,11.61,25,M02_GRONDSLAGPUNT,Q39,,,,0.156880336890331
51,Insert,Soort_Punt_aanduiding,4,Continuous,12.3,25,M02_GRONDSLAGPUNT,Q39,,,,0.156880336890331
52,Insert,Soort_Punt_aanduiding,4,Continuous,12.43,25,M02_GRONDSLAGPUNT,T09,,,,0.156880336890331
53,Insert,Soort_Punt_aanduiding,4,Continuous,12.41,25,M02_GRONDSLAGPUNT,T09,,,,0.156880336890331
