FID,run,date_,start_time,end_time,boot_file,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2005.1,001, ,12:52:59,12:53:57,0333013,,,"LINESTRING (58006.199999999255 429978.30999999866, 60743.37999999896 430258.7899999991, 58006.199999999255 429978.30999999866)"
vlieglijnen_kust_2005.2,002, ,22:19:41,22:21:23,0332012,,,"LINESTRING (56045.69000000134 429466.91000000015, 61022.699999999255 429976.44999999925, 56045.69000000134 429466.91000000015)"
vlieglijnen_kust_2005.3,003, ,12:43:45,12:45:32,0333011,,,"LINESTRING (54584.85000000149 429006.3299999982, 61303.44000000134 429695.2100000009, 54584.85000000149 429006.3299999982)"
vlieglijnen_kust_2005.4,004, ,12:39:00,12:41:17,0333010,,,"LINESTRING (53373.78000000119 428570.0300000012, 61335.60000000149 429387.48000000045, 53373.78000000119 428570.0300000012)"
vlieglijnen_kust_2005.5,005, ,12:33:31,12:35:54,0333009,,,"LINESTRING (52162.51999999955 428135.12999999896, 61614.300000000745 429105.19000000134, 52162.51999999955 428135.12999999896)"
vlieglijnen_kust_2005.6,006, ,12:28:16,12:31:10,0333008,,,"LINESTRING (51196.35000000149 427725.48000000045, 61646.5 428798.55999999866, 51196.35000000149 427725.48000000045)"
vlieglijnen_kust_2005.7,007, ,12:22:30,12:25:24,0333007,,,"LINESTRING (49984.66000000015 427289.98999999836, 61927.32999999821 428516.25, 49984.66000000015 427289.98999999836)"
vlieglijnen_kust_2005.8,008, ,12:16:42,12:20:08,0333006,,,"LINESTRING (49022.26000000164 426879.5700000003, 61957.48000000045 428209.6700000018, 49022.26000000164 426879.5700000003)"
vlieglijnen_kust_2005.9,009, ,12:10:54,12:14:03,0333005,,,"LINESTRING (49052.32999999821 426572.8900000006, 61991.050000000745 427900.80000000075, 49052.32999999821 426572.8900000006)"
vlieglijnen_kust_2005.10,010, ,12:05:06,12:08:31,0333004,,,"LINESTRING (49333.30999999866 426290.9699999988, 62021.210000000894 427594.2199999988, 49333.30999999866 426290.9699999988)"
vlieglijnen_kust_2005.11,011, ,11:59:43,12:02:43,0333003,,,"LINESTRING (49614.289999999106 426007.94999999925, 62053.4299999997 427286.48999999836, 49614.289999999106 426007.94999999925)"
vlieglijnen_kust_2005.12,012, ,11:03:29,11:07:40,0326004,,,"LINESTRING (31270.129999998957 384641.8599999994, 19105.26000000164 397009.66000000015, 31270.129999998957 384641.8599999994)"
vlieglijnen_kust_2005.13,013, ,11:10:42,11:15:12,0326005,,,"LINESTRING (19654.920000001788 396020.1000000015, 31231.420000001788 384253.26999999955, 19654.920000001788 396020.1000000015)"
vlieglijnen_kust_2005.14,014, ,11:17:41,11:21:35,0326006,,,"LINESTRING (19265.379999998957 395989.3599999994, 30841.75 384220.51000000164, 19265.379999998957 395989.3599999994)"
vlieglijnen_kust_2005.15,015, ,11:24:43,11:29:07,0326007,,,"LINESTRING (18875.769999999553 395956.4299999997, 30452.079999998212 384187.7800000012, 18875.769999999553 395956.4299999997)"
vlieglijnen_kust_2005.16,016, ,11:32:10,11:35:56,0326008,,,"LINESTRING (18836.879999998957 395569.0300000012, 29888.719999998808 384334.08999999985, 18836.879999998957 395569.0300000012)"
vlieglijnen_kust_2005.17,017, ,11:38:35,11:42:45,0326009,,,"LINESTRING (18800.66000000015 395178.2100000009, 29499.10000000149 384303.66000000015, 18800.66000000015 395178.2100000009)"
vlieglijnen_kust_2005.18,018, ,11:45:24,11:48:55,0326010,,,"LINESTRING (18759.679999999702 394790.8599999994, 29109.420000001788 384271.0300000012, 18759.679999999702 394790.8599999994)"
vlieglijnen_kust_2005.19,019, ,10:58:06,11:00:40,0326003,,,"LINESTRING (22931.289999999106 390121.26000000164, 28720.39999999851 384237.30000000075, 22931.289999999106 390121.26000000164)"
vlieglijnen_kust_2005.20,020, ,11:51:58,11:54:05,0326011,,,"LINESTRING (22184.530000001192 398932.55000000075, 28209.429999999702 402503.94999999925, 22184.530000001192 398932.55000000075)"
vlieglijnen_kust_2005.21,021, ,21:18:18,21:21:33,0368017,,,"LINESTRING (19106.550000000745 396768.30999999866, 29004.30999999866 402635.3999999985, 19106.550000000745 396768.30999999866)"
vlieglijnen_kust_2005.22,022, ,21:23:59,21:27:00,0368018,,,"LINESTRING (19040.170000001788 396390.55000000075, 29799.109999999404 402765.87000000104, 19040.170000001788 396390.55000000075)"
vlieglijnen_kust_2005.23,023, ,21:29:29,21:33:10,0368019,,,"LINESTRING (18973.719999998808 396010.55999999866, 30377.980000000447 402770.44999999925, 18973.719999998808 396010.55999999866)"
vlieglijnen_kust_2005.24,024, ,21:35:45,21:41:29,0368020,,,"LINESTRING (18907.320000000298 395632.80000000075, 30956.820000000298 402774, 18907.320000000298 395632.80000000075)"
vlieglijnen_kust_2005.25,025, ,21:48:25,21:51:55,0368022,,,"LINESTRING (18694.829999998212 395165.5700000003, 31954.730000000447 403047.1400000006, 18694.829999998212 395165.5700000003)"
vlieglijnen_kust_2005.26,026, ,21:59:09,22:01:01,0368024,,,"LINESTRING (30150.69000000134 402492.26999999955, 37388.55999999866 402948.26000000164, 30150.69000000134 402492.26999999955)"
vlieglijnen_kust_2005.27,027, ,22:04:39,22:07:27,0368025,,,"LINESTRING (37406.710000000894 402656.26000000164, 26998.41000000015 402001.91000000015, 37406.710000000894 402656.26000000164)"
vlieglijnen_kust_2005.28,028, ,22:10:15,22:12:19,0368026,,,"LINESTRING (29437.030000001192 401863.33999999985, 37424.85000000149 402364.25, 29437.030000001192 401863.33999999985)"
vlieglijnen_kust_2005.29,029, ,22:15:11,22:17:22,0368027,,,"LINESTRING (30206.01000000164 401618.3299999982, 37443.69000000134 402072.23000000045, 30206.01000000164 401618.3299999982)"
vlieglijnen_kust_2005.30,030, ,22:20:01,22:21:45,0368028,,,"LINESTRING (30970.920000001788 401373.5399999991, 37461.87000000104 401781.3299999982, 30970.920000001788 401373.5399999991)"
vlieglijnen_kust_2005.31,031, ,22:25:06,22:27:19,0368029,,,"LINESTRING (31490.75 401112.6000000015, 35983.87000000104 401395.2899999991, 31490.75 401112.6000000015)"
vlieglijnen_kust_2005.32,032, ,11:01:01,11:01:49,0371003,,,"LINESTRING (32255.120000001043 400869.1400000006, 34004.98999999836 400978.25, 32255.120000001043 400869.1400000006)"
vlieglijnen_kust_2005.33,033, ,12:20:54,12:22:11,0326015,,,"LINESTRING (36176.199999999255 405173.6000000015, 38347.76999999955 407919.6499999985, 36176.199999999255 405173.6000000015)"
vlieglijnen_kust_2005.34,034, ,12:24:26,12:25:34,0326016,,,"LINESTRING (36419.67000000179 404980.8900000006, 38748.01999999955 407922.6400000006, 36419.67000000179 404980.8900000006)"
vlieglijnen_kust_2005.35,035, ,12:28:31,12:30:11,0326017,,,"LINESTRING (36663.82999999821 404787.0700000003, 39146.89999999851 407926.80999999866, 36663.82999999821 404787.0700000003)"
vlieglijnen_kust_2005.36,036, ,11:11:47,11:13:12,0371005,,,"LINESTRING (37064.35000000149 404791.0399999991, 39391.03000000119 407734.23000000045, 37064.35000000149 404791.0399999991)"
vlieglijnen_kust_2005.37,037, ,12:56:53,12:57:37,0326023,,,"LINESTRING (36914.8200000003 411588.98000000045, 37957.289999999106 410183.48999999836, 36914.8200000003 411588.98000000045)"
vlieglijnen_kust_2005.38,038, ,12:52:59,12:54:22,0326022,,,"LINESTRING (36699.92000000179 412365.2899999991, 38939.5700000003 409355, 36699.92000000179 412365.2899999991)"
vlieglijnen_kust_2005.39,039, ,12:48:52,12:50:17,0326021,,,"LINESTRING (36487.14999999851 413141.55999999866, 39621.92000000179 408927.5399999991, 36487.14999999851 413141.55999999866)"
vlieglijnen_kust_2005.40,040, ,12:44:19,12:46:11,0326020,,,"LINESTRING (36274.46999999881 413917.83999999985, 39706.66000000015 409302.87999999896, 36274.46999999881 413917.83999999985)"
vlieglijnen_kust_2005.41,041, ,12:40:15,12:41:41,0326019,,,"LINESTRING (36358.699999999255 414293.1400000006, 39942.51999999955 409477.7800000012, 36358.699999999255 414293.1400000006)"
vlieglijnen_kust_2005.42,042, ,12:35:37,12:37:32,0326018,,,"LINESTRING (36315.35000000149 414840.2199999988, 40026.539999999106 409853.12999999896, 36315.35000000149 414840.2199999988)"
vlieglijnen_kust_2005.43,043, ,14:11:39,14:12:19,0337002,,,"LINESTRING (37193.460000000894 416010.80999999866, 38511.960000000894 417514.8200000003, 37193.460000000894 416010.80999999866)"
vlieglijnen_kust_2005.44,044, ,14:15:00,14:16:23,0337003,,,"LINESTRING (36752.32999999821 415065.1499999985, 39555.98999999836 418261.98000000045, 36752.32999999821 415065.1499999985)"
vlieglijnen_kust_2005.45,045, ,14:18:28,14:20:20,0337004,,,"LINESTRING (36148.94000000134 413931.9299999997, 40270.60000000149 418634.01999999955, 36148.94000000134 413931.9299999997)"
vlieglijnen_kust_2005.46,046, ,14:22:52,14:24:49,0337005,,,"LINESTRING (36368.46999999881 413739.7800000012, 40656.71999999881 418630.7800000012, 36368.46999999881 413739.7800000012)"
vlieglijnen_kust_2005.47,047, ,14:27:03,14:29:13,0337006,,,"LINESTRING (36588.699999999255 413547.62000000104, 41203.1799999997 418813.1400000006, 36588.699999999255 413547.62000000104)"
vlieglijnen_kust_2005.48,048, ,14:31:36,14:33:56,0337007,,,"LINESTRING (35986.92000000179 412414.94000000134, 41425.4299999997 418621.1400000006, 35986.92000000179 412414.94000000134)"
vlieglijnen_kust_2005.49,049, ,13:31:54,13:34:02,0333023,,,"LINESTRING (40395.17000000179 418219.3999999985, 49446.21999999881 418737.9600000009, 40395.17000000179 418219.3999999985)"
vlieglijnen_kust_2005.50,050, ,13:36:35,13:38:48,0333024,,,"LINESTRING (40160.859999999404 417913.12999999896, 47651.51000000164 418342.9200000018, 40160.859999999404 417913.12999999896)"
vlieglijnen_kust_2005.51,051, ,13:41:27,13:43:24,0333025,,,"LINESTRING (39928.58999999985 417606.8299999982, 47419.039999999106 418036.2800000012, 39928.58999999985 417606.8299999982)"
vlieglijnen_kust_2005.52,052, ,13:45:41,13:47:54,0333026,,,"LINESTRING (39696.300000000745 417300.5300000012, 47185.1799999997 417730.80000000075, 39696.300000000745 417300.5300000012)"
vlieglijnen_kust_2005.53,053, ,13:50:17,13:52:14,0333027,,,"LINESTRING (39461.9299999997 416995.41000000015, 46952.64999999851 417424.19000000134, 39461.9299999997 416995.41000000015)"
