FID,omschr,aant_msk,beginwdl,beginkm,eindwdl,eindkm,kantcode,wegnummer,fk_veld4,izi_side,ibn,vnrwol,gdb_geomattr_data,shape
mengstroken_kenmerk.1,Uitrijstrook,1 -> 1,R,72.52700043,R,72.78800201,H,006,KLK0007582455,R,I,3,,"LINESTRING (160668.49240000173 497320.24109999835, 160690.2950000018 497341.9629999995, 160779.1790000014 497428.09099999815, 160851.6235000007 497497.50979999825)"
mengstroken_kenmerk.2,Uitrijstrook,1 -> 1,R,38.29499817,R,38.32600021,H,016,KLK0007655377,R,I,2,,"LINESTRING (104029.08080000058 420878.7049999982, 104025.32220000029 420871.39660000056, 104015.40029999986 420858.2996999994, 104012.77580000088 420856.2162999995)"
mengstroken_kenmerk.3,Uitrijstrook,1 -> 1,R,7.07800007,R,7.12400007,T,001,KLK0008046810,L,I,3,,"LINESTRING (128035.35000000149 483286.1810000017, 128018.50470000133 483299.91739999875, 128003.78330000117 483314.65029999986)"
mengstroken_kenmerk.4,Weefstrook,1 -> 1,R,48.27299881,R,48.47800064,T,032,KLK0007590677,L,I,3,,"LINESTRING (190417.65150000155 554446.0808999985, 190431 554436, 190491 554385, 190516 554364, 190534 554350, 190571.61300000176 554318.2650000006)"
mengstroken_kenmerk.5,Invoegstrook,1 -> 1,R,8.96700001,R,9.09200001,H,009,KLK0007551231,R,I,2,,"LINESTRING (126591.89809999987 480135.2934000008, 126591.61050000042 480134.8696999997, 126591.3200000003 480134.4481000006, 126591.02659999952 480134.0284000002, 126590.7303000018 480133.61089999974, 126590.43100000173 480133.1953999996, 126590.128800001 480132.7820000015, 126589.8236999996 480132.3707999997, 126589.51579999924 480131.96169999987, 126589.20499999821 480131.55469999835, 126588.89139999822 480131.1499999985, 126588.57490000129 480130.7474000007, 126588.25569999963 480130.3471000008, 126587.93360000104 480129.94900000095, 126587.60880000144 480129.55319999903, 126587.28119999915 480129.1596999988, 126586.95080000162 480128.76850000024, 126586.61769999936 480128.37959999964, 126586.28189999983 480127.9930000007, 126585.94339999929 480127.60880000144, 126585.60229999945 480127.2270000018, 126585.25840000063 480126.84760000184, 126584.91189999878 480126.4706000015, 126584.56280000135 480126.09600000083, 126584.21110000089 480125.7239000015, 126583.85680000111 480125.3542000018, 126583.49980000034 480124.9871000014, 126583.14039999992 480124.6224000007, 126582.78350000083 480124.2762000002, 126582.42399999872 480123.93279999867, 126582.06179999933 480123.59219999984, 126581.69689999893 480123.25450000167, 126581.32939999923 480122.91959999874, 126580.95930000022 480122.5876000002, 126580.58659999818 480122.2584999986, 126580.21139999852 480121.9323000014, 126579.83359999955 480121.60909999907, 126579.45329999924 480121.28880000114, 126579.07050000131 480120.9715999998, 126578.68519999832 480120.65729999915, 126578.2974999994 480120.34600000083, 126577.90740000084 480120.0377999991, 126577.51480000094 480119.73270000145, 126577.11989999935 480119.4305999987, 126576.72269999981 480119.13159999996, 126576.32310000062 480118.83579999954, 126575.92119999975 480118.5430999994, 126575.51700000092 480118.25349999964, 126575.11059999838 480117.96709999815, 126574.70190000162 480117.68389999866, 126574.2910999991 480117.4039000012, 126573.87810000032 480117.1270999983, 126573.46290000156 480116.85350000113, 126573.04560000077 480116.5832999982, 126572.62620000169 480116.3161999993, 126572.20470000058 480116.05249999836, 126571.78119999915 480115.7921000011, 126571.35559999943 480115.53500000015, 126570.92810000107 480115.28119999915, 126570.49850000069 480115.03079999983, 126570.06709999964 480114.7837000005, 126569.63369999826 480114.5401000008, 126569.19839999825 480114.2998000011, 126568.7613000013 480114.0628999993, 126568.32229999825 480113.8295000009, 126567.88149999827 480113.5995000005, 126567.43890000135 480113.3729999997, 126566.99460000172 480113.14990000054, 126566.54850000143 480112.93030000106, 126566.10069999844 480112.7142000012, 126508.06210000068 480079.3156999983, 126481.54940000176 480064.5841999985)"
mengstroken_kenmerk.6,Weefstrook,1 -> 1,R,1.70000005,R,2.05800009,H,028,KLK0007587905,R,I,2,,"LINESTRING (140223.36300000176 456011.7030000016, 140227.1339999996 456012.5529999994, 140258 456018, 140350 456032, 140376 456035, 140468 456043, 140529 456045, 140578.17110000178 456045.9277999997)"
mengstroken_kenmerk.7,Uitrijstrook,1 -> 1,R,37.9640007,R,38.15399933,H,016,KLK0007655340,R,I,2,,"LINESTRING (104104.99590000138 421200.2362000011, 104104.01689999923 421195.2045999989, 104098.87759999931 421168.4486999996, 104094.378800001 421145.0273000002, 104091.78029999882 421131.4990000017, 104085.74680000171 421099.6143000014, 104079.91770000011 421068.6576000005, 104075.53940000013 421045.4059999995, 104069.40399999917 421012.82279999927)"
mengstroken_kenmerk.8,Uitrijstrook,1 -> 1,R,8.75,R,8.85700035,H,009,KLK0007551214,R,I,2,,"LINESTRING (126778.29190000147 480228.250500001, 126756.28290000185 480216.1341000013, 126684.55829999968 480176.4849999994)"
mengstroken_kenmerk.9,Invoegstrook,1 -> 1,R,9.94799995,R,10.26599979,T,001,KLK0008046892,L,I,1,,"LINESTRING (130701.23600000143 482660.94209999964, 130738.57679999992 482651.5804999992, 130825.68939999864 482628.97459999844, 130883.66679999977 482613.52639999986, 130941.17610000074 482597.8319000006, 130979.5111999996 482586.4109000005, 131028.21570000052 482571.6479000002)"
mengstroken_kenmerk.10,Invoegstrook,1 -> 1,R,8.79500008,R,8.90699959,T,009,KLK0007729126,L,I,2,,"LINESTRING (126657.9087000005 480106.254900001, 126677.31199999899 480120.05779999867, 126727.47709999979 480147.1512000002, 126756.43629999831 480163.3341999985)"
