FID,cte,datum,dtm,eignam,gradenhoek,hecto,layer,omschr,thema,themb,se_anno_cad_data
dtb2000_2000_2007_punt.1,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.2,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.3,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.4,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.5,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.6,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.7,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.8,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.9,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.10,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.11,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.12,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.13,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.14,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.15,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.16,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.17,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.18,MD18,2000-05-05T00:00:00,N, ,0, ,1,nok(plat),p, ,
dtb2000_2000_2007_punt.19,B0305,1999-04-29T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.20,B0305,1999-04-29T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.21,B0305,2001-05-02T00:00:00,N, ,72, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.22,B0305,2001-05-02T00:00:00,N, ,72, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.23,B0305,2001-05-03T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.24,B0305,2001-05-03T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.25,B0305,2001-05-03T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.26,B0305,2001-05-03T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.27,B0305,2001-05-03T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.28,B0305,2001-05-03T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.29,B0305,2001-05-03T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.30,B0305,2001-05-03T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.31,B0305,2002-03-27T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.32,B0305,2002-03-27T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
dtb2000_2000_2007_punt.33,B0305,2003-01-16T00:00:00,N, ,0, ,1,watermolen,bem.inst, ,
