FID,NITG,INTERN_NR,DATUM_MIN_MAX,MV_TOV_NAP,FILTERSTELLING_TOV_NAP,OPMERKINGEN,MONITORINGNETWERK,EIGENAAR_CONTACTPERSOON,GRONDWATERSTANDEN_TNO_JANEE,GRONDWATERSTANDEN_TNO_LINK,META_DATA_TNO_LINK,GRONDWATERSTANDEN_NMG_JANEE,GRONDWATERSTANDEN_NMG,WION_JANEE,GEOMETRIE
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_be4,B40C0329,-,1951 t/m 2000,9.01000023,"F1: 2,01 tot -14,99",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0329"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0329"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (181510 430560)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_be5,B40C0330,-,1951 t/m 2000,8.69999981,"F1: 0,50 tot -17,50",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0330"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0330"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (181880 430580)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_be6,B40C0331,-,1951 t/m 2000,8.93999958,"F1: 3,44 tot -8,46",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0331"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0331"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (184482 429593)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_be7,B40C0332,-,1951 t/m 2010,9.77999973,"F1: 3,78 tot -15,22",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0332"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0332"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (184552 430052)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_be8,B40C0345,-,1956 t/m 2003,8.53999996,"F1:  ?? tot -9,86",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0345"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0345"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (180160 426040)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_be9,B40C0391,-,1974 t/m 1985,8.43999958,"F1: 2,65 tot 1,65",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0391"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0391"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (181480 434610)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bea,B40C0392,-,1974 t/m 1996,8.92000008,"F1: 0,7 tot6 -0,24",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0392"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0392"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (184570 434840)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_beb,B40C0393,-,1975 t/m 2010,9.30000019,"F1: 1,30 tot -0,70 F2: -22,70 tot -24,70 F3: -52,70 tot -54,70 F4: -9,270 tot -94,70 F5: -153,70 tot -155,70",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0393"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0393"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (189700 435300)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bec,B40C0404,-,1975 t/m 1981,7.38000011,"F1: -37,62 tot -38,62 F2: -53,62 tot -54,62",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0404"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0404"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (180220 428580)
MIL_WAT_GWMONITOR.fid-36cc8544_1861f90ef02_bed,B40C0406,-,1975 t/m 1996,8.93000031,"F1: -14,40 tot -15,40 F1: -62,40 tot -63,40",-,Monitoring (overig),onbekend,ja,"<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/gws_hyd_graph/start.jsp?hideButtons=false&nitgNumber=B40C0406"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>","<A HREF=""http://www2.dinoloket.nl/dinoLks/minisite/Entry?datatype=gws&queryProperty=NitgNumber&id=B40C0406"" TARGET= ""_blank"" STYLE=""font-style:bold; text-decoration: underline; color: blue"">Klik hier</A>",nee,,nee,POINT (184500 437120)
