objectid,identificatie,type_bedrijf,validatiecode,locatie,woonplaats,gemeente
2,000820-detailhandel,detailhandel,000820,Bavel Centrum,Breda,Breda
5,000170-bedrijven,bedrijven,000170,Moskes,Breda,Breda
13,000570-kantoren,kantoren,000570,Stationskwartier,Breda,Breda
15,000550-kantoren,kantoren,000550,Princenhagelaan-noord,Breda,Breda
16,000190-bedrijven,bedrijven,000190,Krogten-noord,Breda,Breda
17,000470-kantoren,kantoren,000470,Verlengde Poolseweg - Claudius Prinsenlaan,Breda,Breda
22,000500-kantoren,kantoren,000500,Claudius Prinsen - kantorenpark,Breda,Breda
26,000390-bedrijven,bedrijven,000390,Haagweg,Breda,Breda
27,001290-kantoren,kantoren,001290,Langendijk 34,Breda,Breda
29,000200-bedrijven,bedrijven,000200,Krogten-zuid - B,Breda,Breda
33,000360-bedrijven,bedrijven,000360,Emer-noord,Breda,Breda
37,000700-detailhandel,detailhandel,000700,Hoge Vucht,Breda,Breda
41,001410-detailhandel,detailhandel,001410,Mastlanddreef 9,Prinsenbeek,Breda
42,000620-kantoren,kantoren,000620,Moleneind-oost - K,Breda,Breda
43,000540-kantoren,kantoren,000540,Westerhage,Breda,Breda
48,000350-bedrijven,bedrijven,000350,Oosterhoutseweg/Heistraat - B,Teteringen,Breda
50,000720-detailhandel,detailhandel,000720,De Donk,Breda,Breda
54,000050-bedrijven,bedrijven,000050,Faam,Breda,Breda
55,000940-detailhandel,detailhandel,000940,Woonboulevard,Breda,Breda
57,001040-gemengd kantoren / bedrijven,gemengd kantoren / bedrijven,001040,Druivenstraat - GK,Breda,Breda
64,000130-bedrijven,bedrijven,000130,Koele Mei,Breda,Breda
66,000970-detailhandel,detailhandel,000970,Edisonplein,Breda,Breda
69,000600-kantoren,kantoren,000600,Fellenoord,Breda,Breda
72,001300-kantoren,kantoren,001300,Annastede,Breda,Breda
73,001170-kantoren,kantoren,001170,Weilustlaan 441,Breda,Breda
75,000280-bedrijven,bedrijven,000280,Breepark - B,Breda,Breda
78,001140-kantoren,kantoren,001140,Erasmusweg 34,Breda,Breda
79,000780-detailhandel,detailhandel,000780,Mgr. Nolensplein,Breda,Breda
82,000760-detailhandel,detailhandel,000760,Graaf Hendrik III plein,Breda,Breda
85,000030-bedrijven,bedrijven,000030,De Bunder,Bavel,Breda
86,000450-kantoren,kantoren,000450,Drie Hoefijzers-zuid,Breda,Breda
88,000610-kantoren,kantoren,000610,Burg. Guljélaan,Breda,Breda
100,000330-bedrijven,bedrijven,000330,Chaamsebaan,Ulvenhout,Breda
104,000480-kantoren,kantoren,000480,Heerbaan,Breda,Breda
109,001200-kantoren,kantoren,001200,Burg. Kerstenslaan 16,Breda,Breda
