Rijlabels;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
1.2.3. Sloten Service B.V.;1;;;;1
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;;1;;1
A. Agterberg B.V.;2;;;;2
A. Timmerman's IJzerhandel B.V.;1;;;;1
A.J.K. Schild.- en Wandafwerkingsbedr. V.O.F.;2;;;;2
AAFM Facility Management B.V.;1;;;;1
Aakwadraat Networks B.V.;2;;;;2
Aalbers B.V.;1;;;;1
Aannemersbedrijf G.B. van Hoek B.V.;1;;;;1
Aannemingsbedrijf Vermeulen Benthuizen B.V.;2;;;;2
Aardgasservice Noord B.V.;;1;;;1
Advin B.V.;3;;;;3
Advisafe Risk Management B.V.;1;;;;1
Aebi Schmidt Nederland B.V.;3;;;;3
AEVES B.V.;2;;;;2
AH to go Eindhoven Airport;;;;2;2
Ahrend Inrichten;1;;;5;5
Ahrend Nederland B.V.;1;;;;1
Alarma 33;4;;;;4
Alvero Kantoormeubelverhuur B.V.;2;;;1;2
Ambius B.V.;4;;;;4
Anoniem 1;;;;1;1
Anoniem 10;;;;1;1
Anoniem 129;;;;8;8
Anoniem 20;1;;;;1
Anoniem 203;1;;;;1
Anoniem 21;1;;;;1
Anoniem 210;1;;;;1
Anoniem 212;;;;3;3
Anoniem 232;;;;1;1
Anoniem 291;1;;;;1
Anoniem 305;1;;;;1
Anoniem 311;1;;;;1
Anoniem 314;;;;1;1
Anoniem 373;1;;;;1
Anoniem 382;;;;1;1
Anoniem 422;1;;;;1
Anoniem 428;1;;;;1
Anoniem 474;1;;;;1
Anoniem 489;1;;;;1
Anoniem 506;1;;;;1
Anoniem 508;;;;1;1
Anoniem 520;;;;1;1
Anoniem 530;;;;1;1
Anoniem 537;;;;1;1
Anoniem 62;1;;;;1
Anoniem 630;2;;;;2
Anoniem 692;;;;1;1
Anoniem 694;1;;;;1
Antea Nederland B.V.;1;;;;1
Aqua Vision B.V.;;;;4;4
ARCADIS Nederland;1;;;;1
ARCADIS Nederland B.V.;4;2;;;4
Arpalight Projektverlichting B.V.;1;;;;1
Art de Co;2;;;2;2
Artona Asset Management B.V.;;;;1;1
Asecos B.V.;1;;;;1
Asfalt Combinatie Oost-Nederland B.V.;1;;;;1
At Osborne B.V.;2;;;;2
ATK Grootkeukentechniek B.V.;1;;;;1
Atlas Landkaartenbedrijf;1;;;;1
Axent Groen B.V.;1;;;;1
B.V. Bouwbedrijf Kooi Appingedam;1;;;;1
B.V. Princeville Exploitatie;;1;;;1
B.V. S. de Jong & Zonen;;;;1;1
BAM Accommodatie Asset Management B.V.;2;;;;2
BAM Bouw en Techniek B.V.;8;;;;8
BAM Infraconsult B.V.;1;;;1;2
BBA Binnenmilieu, Feelgoodbuild. Consultants;1;;;;1
Beenen B.V.;1;;;;1
Beheer&Water2 B.V.;2;;;;2
Belgisch Biercafé Olivier B.V.;1;;;;1
Benegas;2;1;;;2
Berkx maatwerk voor woning en bedrijf;1;;;;1
Beun- de Ronde B.V.;;;;2;2
Beurs van Berlage C.V.;;;;1;1
Biljoen Groen Velp N.V.;2;;;;2
Bilthoven Biologicals B.V.;5;;;;5
Bingham Schiedam B.V.;1;;;;1
Bluestream;;;;3;3
Boeve en Hop Houthandel B.V.;2;;;;2
Boon Edam B.V.;1;;;;1
Bosch & Van Rijn B.V.;;1;;;1
Bouwbedrijf A.H. Visser en Zn. B.V.;1;;;;1
Bouwbedrijf Meliskerke B.V.;4;;;5;5
Bouwgroep Dijkstra Draisma;1;;;;1
Bovenregionaal kantoor;1;1;;;1
Brabant Water N.V.;;2;;;2
Breijer Contractonderhoud B.V.;2;;;;2
Breur IJzerhandel Vlietlaan B.V.;1;;;;1
Breustedt Chemie;1;;;;1
Broadcast Technology & Development (B.T.D.);1;;;;1
Brood- en Banketbakkerij P.A. Bliek;1;;;;1
Buro Desk;1;;;;1
BVI Services B.V.;2;;;;2
Camelot Vastgoedbeheer B.V.;1;;;;1
Cameraland B.V.;1;;;;1
Campus SUI MOVEO B.V.;4;;;4;5
Capgemini Nederland B.V.;4;;;;4
Catec B.V.;1;;;;1
CBRE B.V.;2;;;;2
Ceka Office Group Nederland B.V.;;;;1;1
Cenlau B.V.;1;;;;1
Chair Repair;1;;;;1
Chubb Fire & Security Alkmaar;4;;;2;4
Climaintenance B.V.;2;;;;2
CO2 Management B.V.;;2;;;2
Cogas Infra en Beheer B.V.;;2;;;2
Conrad Electronic Benelux B.V.;1;;;;1
ContrAll Inspectie B.V.;1;;;;1
Coöperatie PreventPartner UA;1;;;;1
Cornelissen Aannemingsbedrijf B.V.;1;;;;1
Croon Elektrotechniek B.V.;2;;;;2
Croonen;1;;;;1
Damen Shiprepair Rotterdam;;;;2;2
Damen Vastgoed Pernis;;;;3;3
Dassen Bouw B.V.;2;;;;2
Datawell B.V.;;;;3;3
De Jong Zuurmond Infrabeheer;2;;;;2
De Kabath Vastgoedbescherming B.V.;1;;;;1
De Rie IJzerwaren en Gereedschappen B.V.;1;;;;1
De Sleutelspecialist Leeuwarden V.O.F.;1;;;;1
De Vries Projekt Design B.V.;3;;;;3
De Wilt-Cyrox Groep B.V.;1;;;;1
Decolux Holding B.V.;2;;;;2
DELTA Comfort B.V.;1;1;;;1
DELTA Energy B.V.;;7;;;7
Delta Infra B.V.;;1;;;1
DELTA N.V.;;6;;;6
Destil;1;;;;1
Dijkstra-Vereenigde B.V.;;;;1;1
Discountoffice.nl B.V.;1;;;;1
Donkergroen B.V.;2;;;;2
Doornenbal Klussenbedrijf;1;;;;1
Dorigo-Wierper B.V.;1;;;;1
Drentea Kantoormeubelen;3;;;7;7
Dunea N.V.;;1;;;1
Dura Vermeer Infrastructuur Noord West;4;;;;4
Dutch Eko Solutions B.V.;1;;;;1
Dutch Property Company Rembrandt 4 B.V.;;;;2;2
DuurzaamNL B.V.;1;;;;1
Dynamic No-Break B.V.;2;;;;2
E.A.L. Electronic Application Laboratory B.V.;3;;;2;4
Eden Springs Nederland B.V.;;1;;;1
eekel architect&bureau;1;;;;1
Eijkelboom B.V.;1;;;;1
Electro-Techn. Inst.bedr. 'Leerkes' B.V.;1;;;;1
Elektro-Four B.V.;2;;;;2
Elementbouwtechniek P.B.S. Holland B.V.;1;;;;1
Endinet;;3;;;3
Enduris B.V.;;2;;;2
Eneco Services B.V.;1;7;;;7
Eneco Zakelijk;1;7;;;7
Enexis B.V.;;5;;;5
Enexis Meetbedrijf B.V.;1;1;;;1
Engbers Trainingen;1;;;;1
ENGIE Energie Nederland N.V.;;2;;;2
ENGIE Serv. Zuid vestiging Maastricht-Airport;1;;;;1
ENGIE Services Noord B.V.;1;;;;1
ENVIEM Oil Nederland B.V.;;1;;;1
Equipe Quality Products B.V.;1;;;;1
Ergolift B.V.;1;;;;1
Essent Energie Verkoop Nederland B.V.;;4;;;4
Eureka Internationaal B.V.;1;;;;1
European Energy Auction B.V.;;6;;;6
EV-Box;1;;;;1
Evident Projectstoffering B.V.;4;;;;4
Evides N.V.;;2;;;2
Expresscenter;;;;1;1
Fabory Centre Amsterdam-West;1;;;;1
Farnell (Netherlands) B.V.;1;;;;1
Farwick Groenspecialisten;3;;;;3
Flanderijn en v. Eck Gerechtsdeurwaard. B.V.;;1;;;1
Fleurop-Interflora Nederland B.V.;4;;;;4
FM Projekten B.V.;1;;;2;2
Fonq.nl B.V.;1;;;;1
FraVin International B.V.;1;;;;1
Frisia Bergum B.V.;2;;;;2
Friso Totaalbouw B.V.;1;;;;1
Frisse Lucht B.V.;1;;;;1
Fujitsu Technology Solutions B.V.;;;1;;1
Gasned B.V.;1;1;;;1
Gemeente Enkhuizen;;1;;;1
Geotherm E.S.;1;;;;1
Gijs de Haan;1;;;;1
Gispen Groningen;2;;;;2
Goudappel;;;;4;4
Gouweloos Elektrotechniek B.V.;1;;;;1
Groenburgwal B.V.;;;;2;2
Groenewegen B.V.;2;;;;2
Groningen Seaports N.V.;;;;2;2
Groothandelsgebouwen N.V.;2;;;;2
GS1 Nederland B.V.;;1;;;1
Guy Wolfs Hoveniersbedrijf;1;;;;1
H. v/d Galiën-F. Verbeek/I QUIT SMOKING;1;;;;1
H.J.L.J. Swanenberg Beheermaatschappij B.V.;;;;5;5
H.O.D. Nederland B.V.;1;;;;1
Hacousto Security Systems;1;;;;1
Hakkers B.V.;1;;;;1
Handicare Stairlifts B.V.;1;;;;1
Hans Cox V.O.F.;1;;;;1
HaskoningDHV Nederland B.V.;5;;;;5
Havenbedrijf Rotterdam N.V.;;;;2;2
Heijmans Utiliteit;4;;;;4
Heijmans Wegen;4;;;;4
Heijmans Wegen B.V.;;;1;;1
Hekwerken Lisserbroek B.V.;1;;;;1
Hiemstra Installatie-Techniek B.V.;1;;;;1
High Security International B.V.;4;;;;4
Hiltra Verhuur B.V.;;;;1;1
Hinowa Nederland B.V.;1;;;;1
Hobrand B.V.;1;;;;1
Holding R. Doppegieter B.V.;;;;2;2
Holland Floor International B.V.;2;;;;2
Holland Floor Projectstoffering B.V.;1;;;;1
Hollandse Nieuwe Concepts & Design B.V.;1;;;;1
Homij Technische Installaties B.V.;;;;2;2
Hornbach Bouwmarkt (Nederland) B.V.;1;;;;1
Hovek Projectinrichting B.V.;2;;;;2
Hoveniersbedrijf Jkh;1;;;;1
Hoveniersbedrijf Kees de Bruin B.V.;3;;;;3
Hovers;1;;;;1
HUBO Bossenbroek;1;;;;1
Huizer Bouw B.V.;4;;;;4
I.T.C. Alles voor Uw Kantoor N.V.;1;;;;1
I.T.O. Vaarwegmarkering B.V.;1;;;;1
IBM Nederland B.V.;;;;3;3
IHC Krimpen Vastgoed B.V.;1;;;;1
IJzerhandel Zwaard B.V.;1;;;;1
Infolutions;2;;;;2
Infram Participatie B.V.;2;;;;2
Ingenieursbureau Ebatech B.V.;;2;;;2
Installatiebedrijf J.C. Barendse;1;;;;1
Instituut voor Veiligheid en Milieu B.V.;1;;;;1
Int. Verhuisbedr. Joh. van Buuren & Zn. B.V.;1;;;;1
Interdaad B.V.;2;;;;2
IXBLUE B.V.;;;;6;6
J. Feitsma Tuinaanleg en Groenvoorziening;2;;;;2
Jaap Overdevest Aanneming en Realisering B.V.;1;;;;1
Jan Tabak N.V.;;1;;;1
Jar Luchtreiniging;1;;;;1
Jordans Automatisering B.V.;1;;;;1
Jos Scholman Handelsmaatschappij B.V.;3;;;3;4
