LOCATIENUMMER;LOCATIENAAM;PERIODE_1;PERIODE_2;PERIODE_3;PERIODE_4;PERIODE_5;PERIODE_6;PERIODE_7;PERIODE_8;PERIODE_9;PERIODE_10;PERIODE_11;PERIODE_12;PERIODE_13;GEM;LONG;LAT;X;Y
82;082 Lijnbaan;31.4;44.1;37.8;42.5;33;29;22.8;29.1;25.5;29.5;39.5;37.5;33.6;33.5;4.299470311937861;52.073116210585084;80427;454429
83;083 Wald.Pyrm./Kon. Emmakade;30.9;44.1;37.8;39;34;32.4;31.1;35.9;27.6;29.7;41;36.6;32.6;34.8;4.294147935201696;52.07721975627814;80069;454891
84;084 RIVM De Constant Rebecquestraat;24.3;34;28.1;31.7;22.3;16.4;11.7;17.3;16.1;21.1;31.8;34;28.3;24.4;4.294147935201696;52.07721975627814;80069;454891
85;085 Weteringkade hoog;33.1;43.8;42.7;45.8;42.6;31.5;31.1;37.8;32.6;38.3;49;42.5;36.5;39;4.327190255848417;52.074141901937004;82329;454515
86;086 Pr Bernhard viadukt François Valentijnstraat;27;38.5;28.1;35;22.9;20;15.1;20.7;21.1;25.3;33.5;33.9;29.5;27;4.328788960175598;52.08055623447729;82449;455227
87;087 A12 François Valentijnstraat / Utrechtsebaan (1) 30 meter;29.9;40.8;28.1;34;29.7;20;18.8;25;23.1;28.5;35.7;34;29.5;29;4.330745206589643;52.08050188064725;82583;455219
88;088 A12 François Valentijnstraat / Utrechtsebaan (2) Railing;33.9;46.8;34.8;39;34.9;27.3;22.8;29.6;27.6;33.5;41.5;35.6;35.1;34;4.331698185114723;52.080303681027765;82648;455196
89;089 A12 François Valentijnstraat / Utrechtsebaan (3) 8 meter;29.9;40.8;32.5;38;30.9;21;15.1;25;23.1;29.5;36.8;37.1;30.5;30;4.332398355134011;52.07968973071108;82695;455127
90;090 A12 Prins Clauslaan / Utrechtsebaan A Noord;31.9;45.2;34.8;41;31;27;18.9;22.9;25;30.6;40;36.6;35.6;32.3;4.3275987626177645;52.083376978829754;82372;455542
91;091 A12 Prins Clauslaan / Utrechtsebaan B Zuid;38.1;50.6;36.8;46.3;49.1;38.3;38.9;39.8;34.8;39.3;50;44.5;41.1;42.1;4.327302974372827;52.083545103981365;82352;455561
92;092 Bosweg;30.9;40.8;28.1;39;32;28;20;22.9;24;30.6;37.8;32.9;32.6;30.7;4.3228708472892245;52.08647142731874;82053;455891
93;093 Leidsestraatweg / Marlotlaan;20.7;31.9;20.8;26.2;21.9;16;12.6;17.4;15.5;18.4;26.7;28.3;25.3;21.7;4.35553306599494;52.103238095649964;84318;457724
94;094 Amsterdamse Veerkade thv nr 17;30.4;0;37.3;39;32;27;17;27.8;25;27.4;39.5;37.1;30;30.8;4.315733984882503;52.07497310035199;81545;454619
95;095 Amsterdamse Veerkade RIVM;32.3;42.8;34.1;39;31;24.1;18.9;26.2;25;29.7;38;35.6;33.3;31.6;4.315777307326169;52.07499147177969;81548;454621
96;096 Elandstraat thv nr 180-182;30.9;0;35.3;38.5;33.7;24.5;20.7;25.6;24;31.6;0;38.5;35.1;30.8;4.294875174018996;52.07969840678858;80123;455166
97;097 Torenstraat;28.9;0;32;35.5;26.9;18.5;16.3;24;21.6;27.9;0;36.1;33.1;27.3;4.305648323811802;52.0776225132445;80858;454924
98;098 Prinsegracht;29.9;0;30;36;26.9;27;15.7;17.4;24;30.1;40;35.5;31;28.6;4.3035017106523785;52.07349493380425;80704;454467
99;099 Korte Voorhout;26;0;33.6;34.5;34.3;27;20.5;27.8;22.1;26.4;37.8;36.6;29;29.6;4.316969961202735;52.083065193524035;81643;455518
100;100 Hoefkade thv nr 391A;35.3;43.3;35.8;39.9;37.1;32.8;25.5;27.7;29.4;37.8;42.5;38.5;39.7;35.8;4.3082210633180225;52.06591579358223;81015;453619
101;101 Loosduinsekade thv nr 27;28.9;41.3;34.8;39.5;32.5;24;20.1;26.1;23.5;30.1;37.8;36.1;35.1;31.5;4.295086889418826;52.07341723179014;80127;454467
102;102 Koningstraat;33.9;44.1;32.5;40;32;26;23.3;29.1;25.9;33.5;40;36.6;34.6;33.2;4.315068946803423;52.06802774846701;81488;453847
103;103 Uithofslaan;26;36.3;25.5;30.6;20;12.6;11.3;13.3;15.5;21.1;30.2;34.5;27.5;23.4;4.245868923239442;52.031718853931714;76680;449880
104;104 Rockanjelaan;20.7;30.1;21.3;25.7;19.3;11.4;9.8;14.5;10.3;15;23.8;31.1;24.2;19.8;4.218401834500193;52.06506784769449;74855;453620
105;105 Mecklenburglaan 6;15.3;24.6;18.2;19.1;12.2;10.3;7;8.5;8.2;10.9;18.6;26.6;18.2;15.2;4.355386506373787;52.123497169225395;84340;459978
