OBJECTID,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,SUBTYPE,LENGTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,MATERIAAL,HOOGTE,Shape__Length
1,2015/08/18 12:10:10+00,W0646,Waterschap Hunze en Aa's,bestaand,0,walbescherming,100.361,283,,,,100.361481284986
2,2015/05/20 14:48:06+00,L0004,Prorail,bestaand,0,muur,3.745,283,,,,3.74454833475161
3,2015/05/20 14:47:58+00,L0004,Prorail,bestaand,0,muur,4.643,283,,,,4.64324340679554
4,2022/10/25 10:34:05+00,L0004,Prorail,bestaand,0,muur,6.438,283,,,,6.43844305713734
5,2015/05/20 14:47:55+00,L0004,Prorail,bestaand,0,muur,4.381,283,,,,4.38066387662875
6,2014/07/11 17:03:05+00,L0004,Prorail,bestaand,0,muur,10.535,283,,,,10.5353231084766
7,2020/08/18 15:17:41+00,L0004,Prorail,bestaand,0,muur,2.94,283,,,,2.93969839317499
8,2014/07/14 09:47:12+00,L0004,Prorail,bestaand,0,muur,12.918,283,,,,12.9176392563846
9,2020/09/18 17:43:47+00,L0004,Prorail,bestaand,0,muur,5.573,283,,,,5.57268523249025
10,2014/07/14 09:47:19+00,L0004,Prorail,bestaand,0,muur,20.86,283,,,,20.8595341184924
11,2015/05/20 14:48:05+00,L0004,Prorail,bestaand,0,muur,3.882,283,,,,3.8823003357783
12,2014/07/14 09:44:32+00,L0004,Prorail,bestaand,0,muur,49.336,283,,,,49.3355410157567
13,2021/01/22 18:17:09+00,L0004,Prorail,bestaand,0,muur,4.533,283,,,,4.53336532190844
14,2015/05/20 14:48:04+00,L0004,Prorail,bestaand,0,muur,4.133,283,,,,4.13320081776823
15,2015/05/20 14:47:57+00,L0004,Prorail,bestaand,0,muur,4.329,283,,,,4.32893566595763
16,2015/05/20 14:48:04+00,L0004,Prorail,bestaand,0,muur,14.464,283,,,,14.4639912221837
17,2014/07/11 16:55:40+00,L0004,Prorail,bestaand,0,muur,11.565,283,,,,11.5646916452771
18,2021/09/16 07:23:10+00,G0363,Amsterdam,bestaand,0,muur,39.303,283,,,,39.3027380324506
19,2015/05/20 14:48:03+00,L0004,Prorail,bestaand,0,muur,4.263,283,,,,4.26268424821731
20,2021/09/16 07:23:10+00,G0363,Amsterdam,bestaand,0,muur,39.229,283,,,,39.2289235613047
21,2015/05/19 14:16:28+00,L0004,Prorail,bestaand,0,muur,9.934,283,,,,9.9344819784662
22,2005/12/23 16:57:21+00,G0363,Amsterdam,bestaand,0,walbescherming,8.932,283,,,,8.93152758490954
23,2007/11/14 11:50:29+00,G0363,Amsterdam,bestaand,0,muur,15.301,283,,,,15.3010610075843
24,2022/10/24 09:02:07+00,L0004,Prorail,bestaand,0,muur,3.075,283,,,,3.0748211330092
25,2022/01/21 09:14:47+00,L0004,Prorail,bestaand,0,muur,3.671,283,,,,3.67057314662952
26,2015/05/20 14:47:57+00,L0004,Prorail,bestaand,0,muur,4.713,283,,,,4.71268656742314
27,2015/05/20 14:48:05+00,L0004,Prorail,bestaand,0,muur,13.956,283,,,,13.9563478740553
28,2020/01/28 08:46:46+00,L0004,Prorail,bestaand,0,muur,10.516,283,,,,10.5164746947844
29,2014/07/14 09:47:09+00,L0004,Prorail,bestaand,0,muur,5.43,283,,,,5.43044210604641
30,2014/07/14 09:47:04+00,L0004,Prorail,bestaand,0,muur,5.671,283,,,,5.67142087814719
31,2015/02/20 10:37:43+00,W0650,Waterschap Zuiderzeeland,bestaand,0,walbescherming,512.938,283,,,,512.938122118584
32,2014/10/24 15:52:06+00,G0995,Lelystad,bestaand,0,damwand,39.961,283,,,,39.9608043629843
33,2014/10/24 15:52:06+00,W0650,Waterschap Zuiderzeeland,bestaand,0,walbescherming,23.305,283,,,,23.3047512592618
