Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financi�n;Eindtotaal
2CoolMonkeys B.V.;;;1;;;;;1
Aaaaha! The Actor Factory B.V.;;1;;;;;;1
Abrandis!;;1;;;;;;1
Agel Adviseurs B.V.;;1;;;;;;1
Albron Nederland B.V.;;1;;;;;;1
Altares - Dun & Bradstreet;;;1;;;;;1
Anna Vastgoed Beheer B.V.;;1;;;;;;1
anoniem 267;;;1;;;;;1
anoniem 287;;;1;;;;;1
anoniem 296;;1;;;;;;1
anoniem 299;;1;;;;;;1
Artikraak;;1;;;;;;1
Atrivé B.V.;;;1;;;;;1
Balance Ervaring op Projectbasis B.V.;;;1;;;;;1
Bart Bossink Innovatie;;;1;;;;;1
Be-public Consultancy;;;;1;;;;1
Bestuursacademie Nederland BV;;;1;;;;;1
BMT Consultants;;1;;;;;;1
Boom B.V.;;;;1;;;;1
Bouwregelgev. Informatiesystemen (Bris) B.V.;;;1;;;;;1
BRIGHT Coöperatie UA;;;1;;;;;1
Brinkhof N.V.;;;1;;;;;1
Broesli;;1;;;;;;1
Buck Consultants International B.V.;;;1;;;;;1
Bureau Beunders Media Analyse;;;1;;;;;1
Business in Balance B.V.;1;;;;;;;1
CAG;;1;;;;;;1
CAG AMned Group B.V.;;;1;;;;;1
Cao-recht Advies en Opleiding;;;;;1;;;1
Caraad Belastingadviseurs West B.V.;;;;;1;;;1
Carla van Lomwel - communicatie;;1;;;;;;1
Cimsolutions;;;;;;1;;1
Coöp. Adv.centr. Besch. Vit. Infrastruct. UA;;;1;;;;;1
Contour;;;;;1;;;1
Contracto B.V.;;;1;;;;;1
Cooperatieve Vereniging HDN Beheer BA;;;1;;;;;1
Crisisplan B.V.;;;1;;;;;1
De Federatie B.V.;;1;;;;;;1
de Groeifabriek;;1;;;;;;1
De Raat Security Products B.V.;;1;;;;;;1
De Toekomstbus;;;1;;;;;1
DEFACTO Architectuur en Stedenbouw;;;1;;;;;1
Dotweb Systems B.V.;;;;;;1;;1
Douglas Consultancy;;;1;;;;;1
DSP-Groep B.V.;;;1;;;;;1
Eigenarenvereniging Binnenstad Den Haag;;1;;;;;;1
Ergatis B.V.;;1;;;;;;1
EURS B.V.;;1;;;;;;1
Faasen Advies;;;1;;;;;1
Fac. Governance & Glb. Affairs vd Univ. Leid.;;;1;;;;;1
Facevalue B.V.;;;1;;;;;1
Ffact Management Consultants B.V.;;1;;;;;;1
FonVis B.V.;;1;;;;;;1
Forensic Services Nederland;;;1;;;;;1
GITP B.V.;;1;;;;;;1
Groene Bij;;;1;;;;;1
H.R. Guest Fotografie;;;;1;;;;1
H+N+S B.V.;;;1;;;;;1
Harvey Nash B.V.;;;1;;;;;1
Holland Consulting Group;;1;;;;;;1
ICOP B.V.;;1;;;;;;1
ICTRecht B.V.;;;1;;;;;1
IdeeVersa B.V.;;;1;;;;;1
Igluu B.V.;;1;;;;;;1
IMI Aero-Dynamiek B.V.;;1;;;;;;1
Impeccable Communicatie Evenementen;;;1;;;;;1
Improofit;;;1;;;;;1
Insights;;;1;;;;;1
JonkersenKo;;1;;;;;;1
Jont Groenendaal;;1;;;;;;1
Kessels & Smit, Publishers B.V.;;;1;;;;;1
Knippenberg Coachend Interim Management;;1;;;;;;1
Koers Onderzoek & Advies;;;1;;;;;1
Koffie & Bubbels;;1;;;;;;1
Kotteman B.V.;;1;;;;;;1
Krachtig Lokaal Bestuur;;;1;;;;;1
Land-ID B.V.;;;1;;;;;1
Leeuwendaal Advies B.V.;;1;;;;;;1
Legal Infra B.V.;;;1;;;;;1
Lloyd's Register Nederland B.V.;;1;;;;;;1
Loyens & Loeff N.V.;;1;;;;;;1
M. Consult;;;1;;;;;1
maartenrienks coaching en organisatieontwikk.;;;1;;;;;1
Marion Sagon;;;1;;;;;1
Marketresponse Nederland B.V.;;;1;;;;;1
MDX communicatie;;1;;;;;;1
Meetingselect B.V;;;1;;;;;1
Meetingselect B.V.;;;1;;;;;1
Michiel van Iersel;;;1;;;;;1
Mobility Mixx B.V.;;1;;;;;;1
Monitori B.V.;;1;;;;;;1
MWM2 B.V.;;;1;;;;;1
Naeff Consult B.V.;;;1;;;;;1
Narvic Media en Communicatie;;;1;;;;;1
NautaDutilh N.V.;;1;;;;;;1
Navigator;;;1;;;;;1
Netcreators B.V.;;1;1;;;;;1
Nieman-Kettlitz Gevel- en Dakadvies B.V.;;1;;;;;;1
Noordzee Helikopters Nederland B.V.;;;1;;;;;1
NORD Architectuur;;1;;;;;;1
OnlyHuman Groep B.V.;;;1;;;;;1
Optima Forma B.V.;;;1;;;;;1
Orange IT B.V.;;;1;;;;;1
Org.-id B.V.;;;1;;;;;1
Paardekooper Organisatieadvies;;;1;;;;;1
Percuris B.V.;;;;1;;;;1
Pragmavision B.V.;;1;;;;;;1
PRiMAN Talent Management;;;;;;1;;1
Privacy Company B.V.;1;;1;;;;;1
Proeflokaal Hoop Doet Eten B.V.;;1;;;;;;1
Public Cinema B.V.;;;1;;;;;1
Publiec B.V.;;;1;;;;;1
Punctualis Real Estate C.V.;;1;;;;;;1
Radar Advies B.V.;;;1;;;;;1
Radna Rumping - Cultural Projects & Strategy;;;1;;;;;1
Randoe Verandermanagement B.V.;;;1;;;;;1
RuimTeUtrecht B.V.;;1;;;;;;1
Shared Business B.V.;;1;;;;;;1
Sodexo B.V.;;1;;;;;;1
Solau Music;;1;;;;;;1
Spatie;;;1;;;;;1
SPIE Nederland B.V.;;;1;;;;;1
SPPS Consultants B.V.;;;1;;;;;1
Stadkwadraat B.V.;;1;;;;;;1
Statisfact B.V.;;;1;;;;;1
Stichting A.S.P.T.;;;1;;;;;1
Stichting Accessibility;;;1;;;;;1
Stichting bij BIND;;1;;;;;;1
Stichting Centrum voor Arbeidsverhoudingen Overheidspersoneel;1;;;;;;;1
Stichting Code Verantwoordelijk Marktgedrag;;;1;;;;;1
Stichting De Nieuwe Kaart van Nederland;;;1;;;;;1
Stichting Hoger Beroepsonderwijs Haaglanden;;;1;;;;;1
Stichting Holland Property Plaza;;1;;;;;;1
Stichting IJsselbiënnale;;;1;;;;;1
Stichting Kafkabrigade;;1;;;;;;1
Stichting Kennis Gebiedsontwikkeling (SKG);;1;;;;;;1
Stichting MVO Nederland;;1;;;;;;1
Stichting Stad en Regio;;;1;;;;;1
Strict Holding B.V.;;;1;;;;;1
Strootman Landschapsarchitecten B.V.;;;1;;;;;1
Studio Ronald van der Heide;;;1;;;;;1
Sustainable Change B.V.;;1;;;;;;1
Tecis;;1;;;;;;1
The Embedding Company B.V.;;1;;;;;;1
Things To Make And Do B.V.;;1;;;;;;1
Tie Nederland B.V.;;;1;;;;;1
Tilkema Horeca B.V.;;1;;;;;;1
TiltShift B.V.;;;1;;;;;1
Twynstra Gudde;;1;;;;;;1
Uneto-VNI;;1;;;;;;1
Unique Sources Advies;;1;;;;;;1
University Traders;;;1;;;;;1
V.O.C. Café;;1;;;;;;1
Vakmedianet BouwCommunities B.V.;;1;;;;;;1
Vakwerk Architecten B.V.;;1;;;;;;1
Van der Loo Consulting;;1;;;;;;1
Van Genechten Beheer B.V.;;;1;;;;;1
Van Lunteren Consulting;;1;;;;;;1
Van Meer Juridisch zaken & advies;;;1;;;;;1
Van Vlier Media B.V.;;1;;;;;;1
Vening;;;1;;;;;1
Vereniging Facility Management Nederland;;;1;;;;;1
Visie op leren;;;1;;;;;1
Visio Het Loo Erf;;1;;;;;;1
W/E adviseurs duurzaam bouwen;;1;;;;;;1
WorkWire B.V.;;;1;;;;;1
anoniem 1215;;1;;;;;;1
.FABRIC;;;2;;;;;2
2KNOWHOW, art of change B.V.;;2;;;;;;2
31Volts;;;;2;;;;2
ABC Nova Republiq B.V.;;2;;;;;;2
Adviesbureau Hollander en van der Mey B.V.;;;2;;;;;2
AKD N.V.;;2;;;;;;2
Amsterdam School of Real Estate B.V.;;2;;;;;;2
anoniem 273;;;2;;;;;2
anoniem 283;;2;;;;;;2
anoniem 285;;2;;;;;;2
anoniem 286;;2;;;;;;2
Antea Nederland B.V.;;;2;;;;;2
Ardis Opleidingen B.V.;;;2;;;;;2
Ardis Organisatieontwikkeling B.V.;;2;;;;;;2
Automotive Publishing B.V.;;;;2;;;;2
BedrijfsMotivaties B.V.;;2;;;;;;2
Benschop Proces & Managementadvies B.V.;;;2;;;;;2
Blauw Research B.V.;;;2;;;;;2
Brandchart;;;2;;;;;2
BreinStijl at Work;;2;;;;;;2
Bureau Beke;;;2;;;;;2
Bureau BlauwGeel B.V.;;;2;;;;;2
BUSBA;;;2;;;;;2
Buyitdirect.com N.V.;;;;;;2;;2
Bvsadvies;;2;;;;;;2
Can you imagine;;;2;;;;;2
Carthago ICT;;;;;;2;;2
Centrum voor Civiliseren en Innoveren;;;2;;;;;2
CGI;;;;;;2;;2
CHvV Associates;;;2;;;;;2
Cocoon Riskmanagement B.V.;;;2;;;;;2
Computest Services B.V.;;;2;;;;;2
Dataland B.V.;;;2;;;;;2
De Argumentenfabriek Groep B.V.;;;2;;;;;2
