FID,wvk_id,wvk_begdat,nwb_versie,pve_code,gme_id,gme_naam,wpsnaam,stt_naam,wegnummer,wegbehsrt,wegbehcode,wegbehnaam,lengte,maxshd,dat_maxshd,begintijd,eindtijd,maxshd_alt,van,naar,maxshd_str,maxshd_adv,kenm_richt,fk_veld1,betrwbheid,gdb_geomattr_data,shape
max_snelheden_overdag.1,58170097,1999-03-03T00:00:00,2022-12-01T00:00:00,ZL,718,Vlissingen,Vlissingen,Plein Vierwinden, ,G,718,Vlissingen,9,30,2022-09-26T00:00:00,0,0,0,0,9,0,0,B,005817009719990303,100%,,"LINESTRING (29051.050999999046 385290.3530000001, 29055.96700000018 385282.72100000083)"
max_snelheden_overdag.2,64178048,1997-12-13T00:00:00,2022-12-01T00:00:00,ZL,687,Middelburg,Middelburg,Rondeel, ,G,687,Middelburg,22,30,2022-05-30T00:00:00,0,0,0,0,22,0,0,B,006417804819971213,100%,,"LINESTRING (32205 389338, 32217 389356)"
max_snelheden_overdag.3,77203005,1998-01-22T00:00:00,2022-12-01T00:00:00,ZL,1695,Noord-Beveland,Kamperland,Ostrea, ,G,1695,Noord-Beveland,56,60,2022-09-26T00:00:00,0,0,0,0,56,0,0,B,007720300519980122,100%,,"LINESTRING (38964 401810, 38975 401785, 38981 401777, 38988 401772, 38998 401770)"
max_snelheden_overdag.4,90175059,1998-02-16T00:00:00,2022-12-01T00:00:00,ZL,654,Borsele,Heinkenszand,Steenloperstraat, ,G,654,Borsele,93,30,2022-05-30T00:00:00,0,0,0,0,93,0,0,B,009017505919980216,100%,,"LINESTRING (45391 387620, 45404 387621, 45466 387636, 45469 387638, 45474 387649)"
max_snelheden_overdag.5,117170095,2000-02-01T00:00:00,2022-12-01T00:00:00,ZL,703,Reimerswaal,Hansweert,Kerklaan, ,G,703,Reimerswaal,133,30,2022-05-30T00:00:00,0,0,0,0,133,0,0,B,011717009520000201,100%,,"LINESTRING (58943 385229, 58978.56199999899 385280.5529999994, 59003.70199999958 385315.11199999973, 59015.32699999958 385339.97199999914)"
max_snelheden_overdag.6,154302027,1982-01-01T00:00:00,2022-12-01T00:00:00,ZH,518,'s-Gravenhage,'s-Gravenhage,Beresteinlaan, ,G,518,'s-Gravenhage,34,50,2022-05-30T00:00:00,0,0,0,0,34,0,0,B,015430202719820101,100%,,"LINESTRING (77231 451031, 77255 451007)"
max_snelheden_overdag.7,168272059,1999-06-01T00:00:00,2022-12-01T00:00:00,ZH,622,Vlaardingen,Vlaardingen,Schiedamseweg, ,G,622,Vlaardingen,67,30,2022-09-26T00:00:00,0,0,0,0,67,0,0,B,016827205919990601,100%,,"LINESTRING (84212 436163, 84242 436223)"
max_snelheden_overdag.8,170261056,1993-12-07T00:00:00,2022-12-01T00:00:00,ZH,599,Rotterdam,Hoogvliet Rotterdam,Klaproos, ,G,599,Rotterdam,55,15,2022-09-26T00:00:00,0,0,0,0,55,0,0,B,017026105619931207,100%,,"LINESTRING (85089 430534, 85096 430562, 85100 430571, 85110 430584)"
max_snelheden_overdag.9,169261100,1990-09-19T00:00:00,2022-12-01T00:00:00,ZH,599,Rotterdam,Hoogvliet Rotterdam,Kattestaart, ,G,599,Rotterdam,68,Onbekend,2022-09-26T00:00:00,0,0,0,0,68,0,0,B,016926110019900919,100%,,"LINESTRING (84880 430858, 84943 430832)"
max_snelheden_overdag.10,169279134,1996-06-18T00:00:00,2022-12-01T00:00:00,ZH,606,Schiedam,Schiedam,Jan Kijnestraat, ,G,606,Schiedam,20,30,2022-05-30T00:00:00,0,0,0,0,20,0,0,B,016927913419960618,100%,,"LINESTRING (84920 439911, 84940 439912)"
max_snelheden_overdag.11,169295142,1997-01-28T00:00:00,2022-12-01T00:00:00,ZH,503,Delft,Delft,SCHREIBRUG, ,G,503,Delft,15,30,2022-09-26T00:00:00,0,0,0,0,15,0,0,B,016929514219970128,100%,,"LINESTRING (84514 447654, 84522 447667)"
max_snelheden_overdag.12,187276116,1999-06-01T00:00:00,2022-12-01T00:00:00,ZH,599,Rotterdam,Rotterdam,Boezemstraat, ,G,599,Rotterdam,30,50,2022-09-13T00:00:00,0,0,0,0,30,0,0,B,018727611619990601,100%,,"LINESTRING (93773 438353, 93779 438382)"
max_snelheden_overdag.13,186283057,1985-04-24T00:00:00,2022-12-01T00:00:00,ZH,599,Rotterdam,Rotterdam,Apollostraat, ,G,599,Rotterdam,55,30,2022-09-13T00:00:00,0,0,0,0,55,0,0,B,018628305719850424,100%,,"LINESTRING (93426 441866, 93426 441921)"
max_snelheden_overdag.14,185264050,1982-01-01T00:00:00,2022-12-01T00:00:00,ZH,599,Rotterdam,Rotterdam,Meyenhage, ,G,599,Rotterdam,32,30,2022-09-13T00:00:00,0,0,0,0,32,0,0,B,018526405019820101,100%,,"LINESTRING (92811 432079, 92818 432048)"
max_snelheden_overdag.15,185264080,1999-06-01T00:00:00,2022-12-01T00:00:00,ZH,599,Rotterdam,Rotterdam,Espelo, ,G,599,Rotterdam,32,30,2022-09-26T00:00:00,0,0,0,0,32,0,0,B,018526408019990601,100%,,"LINESTRING (92504 432251, 92509 432283)"
max_snelheden_overdag.16,183274119,1996-12-06T00:00:00,2022-12-01T00:00:00,ZH,599,Rotterdam,Rotterdam,Batavierenstraat, ,G,599,Rotterdam,10,50,2022-09-26T00:00:00,0,0,0,0,10,0,0,B,018327411919961206,100%,,"LINESTRING (91818 437285, 91821 437275)"
max_snelheden_overdag.17,182263029,1996-12-06T00:00:00,2022-12-01T00:00:00,ZH,599,Rotterdam,Rotterdam,Sliedrechtstraat, ,G,599,Rotterdam,17,30,2022-09-26T00:00:00,0,0,0,0,17,0,0,B,018226302919961206,100%,,"LINESTRING (91320 431995, 91337 431992)"
max_snelheden_overdag.18,182263044,1996-12-06T00:00:00,2022-12-01T00:00:00,ZH,599,Rotterdam,Rotterdam,Yersekestraat, ,G,599,Rotterdam,113,Onbekend,2022-09-26T00:00:00,0,0,0,0,113,0,0,B,018226304419961206,100%,,"LINESTRING (91149 431921, 91162 431926, 91181 432023)"
