Leveranciers;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
&Maes B.V.;;;2;;;;2
2CoolMonkeys B.V.;;1;2;;;;3
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;;3;;;;3
4KELVIN;;1;;;;;1
A. Booth B.V.;;;1;;;;1
Aaaaha! The Actor Factory B.V.;;;1;;;;1
Aannemersbedrijf J. ter Horst;;1;;;;;1
Aannemersbedrijf Van de Sande B.V.;;1;;;;;1
Abeln Advocaten;;;;1;;;1
ABF Research B.V.;;2;;;;;2
Accenture B.V.;;1;;;;;1
Advies Talent B.V.;;2;;;;;2
Aeclipse;;;1;;;;1
Ahoy Rotterdam N.V.;;;1;;;;1
Alsare B.V.;;3;;;;;3
Alting Montage Vollenhove;;1;;;;;1
Antoine Productions;;;1;;;;1
APE Public Economics B.V.;;5;;;3;;5
ARCO Sociale Zekerheid;1;;;;;;1
Ardis Organisatieontwikkeling B.V.;;2;1;;;;2
Arenda Oomen Fotografie;;;1;;;;1
ARISTO UTRECHT BV;;1;;;;;1
Artiestenverloningen B.V.;;;1;;;;1
Asstex;;;1;;;;1
Atlas voor Gemeenten B.V.;;2;;;;;2
Atos Nederland B.V.;;1;;;;;1
Atrium Groep B.V.;;2;;;;;2
AukjeNauta.eu;;1;;;;;1
AVEQ Creatieve Producties B.V.;;1;;;;;1
AWVN (Algemene Werkg.ver. Nederland);2;2;1;;;;3
Axum Import/Export;;1;;;;;1
B&A Werk;;3;;;;;3
B.V. Algemeen Nederlands Persbureau ANP;;;1;;;;1
BAM Techniek - Fire Protection;;1;;;;;1
Bartolomeus Productions;;1;;;;;1
Beauty Instituut Nina K;1;;;;;;1
BECO Groep B.V.;;2;;;;;2
Beeldinzicht;;;1;;;;1
Beleidstheater;;;1;;;;1
Berenschot Interim Management B.V.;;5;1;;;;5
Best Western Hotel 't Loo;;1;;;;;1
Between B.V.;;;;;3;;3
Bex*communicatie;;3;3;;;;4
BKFF bas kijzers fotografie en film;;;1;;;;1
BMC Management B.V.;;3;;;;;3
Bobbe International B.V.;;;1;;;;1
Boom B.V.;;2;;;;;2
Boom uitgevers Den Haag;;5;;;;;5
Bourgonje Geluid- en Lichtservice B.V.;1;;;;;;1
Bouwbedrijf Jacobs B.V.;;1;;;;;1
Bouwbedrijf Wessels Rijssen B.V.;;1;;;;;1
Bouwgroep Dijkstra Draisma;;1;;;;;1
BS&F B.V.;;1;;;;;1
Buchen ICS B.V.;;1;;;;;1
Buitenhek Management & Consult B.V.;;1;;;;;1
Bureau Bartels B.V.;;4;;;;;4
Bureau op zolder;;;2;;;;2
Bureau voor Interculturele Evaluatie B.V.;;7;;;;;7
Buschman Consultancy B.V.;2;;;;;;2
Capgemini Nederland B.V.;2;7;;;;;7
Carat Nederland B.V.;;;3;;;;3
Carpe CarrièrePerspectief;;2;;;;;2
Cebeon Centr. Beleidsadviserend Onderz. B.V.;;3;;;;;3
Cedin B.V.;;2;;;;;2
Cees Media Communicatie Advies CMCA;;2;;;;;2
Celal Altuntas;;1;;;;;1
Cendris Dataconsulting B.V.;;;1;;;;1
Centraal Boekhuis B.V.;;1;;;;;1
Change2Result;;;1;;;;1
Chris Bos Teksten & Boeken;;;1;;;;1
CINOP Publieke Programma's en Projecten B.V.;;3;;;;;3
Clineschrijft;;;1;;;;1
Cloetta Holland B.V.;;1;;;;;1
Code d'Azur Interactive B.V.;;4;;;;;4
Coform B.V.;;;3;;;;3
CoJobs;;;;;1;;1
Comic House Amsterdam B.V.;;1;;;;;1
COMPAREX Nederland B.V.;;;4;;;;4
Concorde Group B.V.;;5;;;;;5
Condubouw B.V.;;1;;;;;1
Coöperatief Congrestolkensecretariaat UA;;;1;;;1;1
Coopr;;;2;;;;2
Cosanta B.V.;;;2;;;;2
Coursepath B.V.;1;1;;;;;1
CREM B.V.;;2;;;;;2
DAS;;1;;;;;1
De Argumentenfabriek B.V.;;2;;;;;2
De Nieuwe Lijn B.V.;;;1;;;;1
De Onderzoekspartner;;;2;;;;2
de Persgroep Nederland B.V.;;;1;;;;1
De Vos Bedrijfsdiensten B.V.;;1;;;;;1
Debi-Carz;;1;;;;;1
Defabrique Evenementen B.V.;;;1;;;;1
Delta Berging & Transport B.V.;;1;;;;;1
Den Hartogh Liquid Logistics B.V.;;1;;;;;1
Diversity Inc.;;2;;;;;2
Dols Consult;1;;;;;;1
Doom & Dickson B.V.;;;2;;;;2
DPI Animation House B.V.;;;1;;;;1
Drijber en Partners B.V.;;1;;;;;1
DSP-Groep B.V.;;2;;;;;2
Duidingsdienst B.V.;;2;;;;;2
DutchAndFamous;;;1;;;;1
Duwtje;2;;1;;;;2
ECORYS Nederland B.V.;;4;;;;;4
Edward Severin Onderz., adv. en projectleid.;;1;;;;;1
EMMA Communicatie B.V.;;3;3;;;;4
