FID,mirtnr,mirtnrid,project,omschr,onderwerp,gebied,fase,ministerie,besluit,startreal,oplevering,f_mln,gdb_geomattr_data,shape
mirt2020_punten_modaliteit.1,764,76401,Reevesluis, ,Waterveiligheid,Noordwest-Nederland,Realisatie,IenW,2017,2017,2022,95,,POINT (186959.8178000003 503647.7672000006)
mirt2020_punten_modaliteit.2,667,66701,PHS: Overweg Veenendaal Klompersteeg, ,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2016,2019,9,,POINT (166755.78669999912 451155.8115000017)
mirt2020_punten_modaliteit.3,670,67001,PHS Spooromgeving Geldermalsen, ,Spoorwegen personen,Oost-Nederland,Realisatie,IenW,2017,2019,2021,138,,POINT (147022.20699999854 432709.34910000116)
mirt2020_punten_modaliteit.4,615,61503,A10 Knooppunten De Nieuwe Meer en Amstel,KP. Amstel,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2016,2019,2028,309,,POINT (122692.17029999942 482379.26089999825)
mirt2020_punten_modaliteit.5,615,61502,A10 Knooppunten De Nieuwe Meer en Amstel,KP. De Nieuwe Meer,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2016,2019,2028,309,,POINT (117858.61719999835 483457.879900001)
mirt2020_punten_modaliteit.6,610,61001,Besluit beheer Haringvlietsluizen,Haringvlietsluizen,Zoetwater,Zuidwest-Nederland,Realisatie,IenW,2014,2015, ,76,,POINT (62830.799400001764 427997.3520999998)
mirt2020_punten_modaliteit.7,576,57601,Capaciteit Volkaraksluizen, ,Hoofdvaarwegen,Zuidwest-Nederland,Planuitwerking,IenW, , ,2017/2024-2026,151,,POINT (87391.5148999989 411753.00549999997)
mirt2020_punten_modaliteit.8,451,45101,Capaciteitsuitbreiding ligplaatsen Beneden-Lek, ,Hoofdvaarwegen,Zuidwest-Nederland,Realisatie,IenW,2016, ,2023,13,,POINT (114238.33350000158 437213.54769999906)
mirt2020_punten_modaliteit.9,514,51407,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,225,,POINT (73307.23250000179 437655.73110000044)
mirt2020_punten_modaliteit.10,514,51406,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,225,,POINT (99882.27309999987 426746.27639999986)
mirt2020_punten_modaliteit.11,514,51405,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,225,,POINT (90200.68879999965 432730.2243000008)
mirt2020_punten_modaliteit.12,514,51404,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,225,,POINT (84950.58399999887 433492.32239999995)
mirt2020_punten_modaliteit.13,514,51403,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,225,,POINT (79912.2126000002 432617.3112999983)
mirt2020_punten_modaliteit.14,514,51402,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,225,,POINT (62796.06850000098 439916.22509999946)
mirt2020_punten_modaliteit.15,514,51401,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2020, ,225,,POINT (60988.082400001585 438577.76249999925)
mirt2020_punten_modaliteit.16,615,61501,A10 Knooppunten De Nieuwe Meer en Amstel,Zuidas,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW,2016,2019,2028,309,,POINT (120011.01929999888 483607.25979999825)
mirt2020_punten_modaliteit.17,309,30901,Zuidasdok,Amsterdam Zuid,Hoofdwegen en Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW,2016,2019,2028,1671,,POINT (120011.01929999888 483607.25979999825)
mirt2020_punten_modaliteit.18,399,39901,Breda Centraal (t.b.v. Nieuw Sleutelproject),Amsterdam Zuid,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW/BZK, ,2012,2022,111,,POINT (120011.01929999888 483607.25979999825)
mirt2020_punten_modaliteit.19,399,39902,Breda Centraal (t.b.v. Nieuw Sleutelproject),Den Haag CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW/BZK, ,2012,2022,111,,POINT (82134.74060000107 455297.76359999925)
mirt2020_punten_modaliteit.20,399,39903,Breda Centraal (t.b.v. Nieuw Sleutelproject),Rotterdam CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW/BZK, ,2012,2022,111,,POINT (91858.9908999987 437794.2670000009)
mirt2020_punten_modaliteit.21,399,39904,Breda Centraal (t.b.v. Nieuw Sleutelproject),Utrecht CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW/BZK, ,2012,2022,111,,POINT (136001.34659999982 455787.3548000008)
mirt2020_punten_modaliteit.22,399,39905,Breda Centraal (t.b.v. Nieuw Sleutelproject),Arnhem CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW/BZK, ,2012,2022,111,,POINT (190215.07820000127 444180.4404999986)
mirt2020_punten_modaliteit.23,399,39906,Breda Centraal (t.b.v. Nieuw Sleutelproject),Breda Station NS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW/BZK, ,2012,2022,111,,POINT (112918.86199999973 400888.4232000001)
mirt2020_punten_modaliteit.24,95,9501,"Vleuten - Geldermalsen (inclusief Randstadspoor, fase 1)",Vathorst,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW,2002,vanaf 2003,vanaf 2005,898,,POINT (157587.87079999968 466577.0062999986)
mirt2020_punten_modaliteit.25,453,45301,Nieuwe Sluis Terneuzen, ,Hoofdvaarwegen,Zuidwest-Nederland,Realisatie,IenW,2016,2018,2022,194,,POINT (45770.03519999981 373166.1596999988)
mirt2020_punten_modaliteit.26,618,61801,Capaciteitsuitbreiding sluis Eefde,Sluis Eefde,Hoofdvaarwegen,Oost-Nederland,Realisatie,IenW,2015,2017,2020,157,,POINT (212956.6810999997 463826.0436999984)
mirt2020_punten_modaliteit.27,491,49101,Nijmegen omarmt de Waal (Waalfront), ,Integrale gebiedsopgaven,Oost-Nederland,Realisatie,BZK, ,2009,2027,25,,POINT (186725.79940000176 429630.85489999875)
mirt2020_punten_modaliteit.28,518,51801,Lichteren Buitenhaven IJmuiden, ,Hoofdvaarwegen,Noordwest-Nederland,Planuitwerking,IenW, , , ,65,,POINT (99562.83199999854 498280.1422000006)
mirt2020_punten_modaliteit.29,513,51301,Zeetoegang IJmond, ,Hoofdvaarwegen,Noordwest-Nederland,Realisatie,IenW, , ,2022,1021,,POINT (102093.67990000173 498036.36670000106)
