objectid;automaatnummer;tariefcode;mobiliteitstoeslag;uurtarief;maximum_dagtarief;gsm_code;betaaaldagen;koopavond;koopzondag;betaaltijd;betaaltijd_koopavond;betaaltijd_koopzondag;straatnaam;locatie;geo_shape;geo_point_2d
325;9205;C1;nvt;1,80;nvt;5192;Maandag t/m zondag;;;09.00 - 21.00;;;Beukenlaan;thv huisnr 41;"{""coordinates"": [5.44986563277343, 51.447169839820596], ""type"": ""Point""}";51.447169839820596, 5.44986563277343
326;8247;B2;0,20;1,90;6,60;5182;Maandag t/m zondag;;;09.00 - 21.00;;;Tongelresestraat;hoek Dommelhoefstraat;"{""coordinates"": [5.491744879847531, 51.43781650836956], ""type"": ""Point""}";51.43781650836956, 5.491744879847531
327;9410;C1;nvt;1,80;nvt;5194;Maandag t/m vrijdag;;;09.00 - 18.00;;;Zanddreef;thv huisnr 122;"{""coordinates"": [5.407148734828475, 51.44705365145392], ""type"": ""Point""}";51.44705365145392, 5.407148734828475
332;5769;B1;0,20;1,90;nvt;5157;Maandag t/m zondag;;;09.00 - 21.00;;;Strijpsestraat;thv huisnr 38;"{""coordinates"": [5.46148025777553, 51.438777965086274], ""type"": ""Point""}";51.438777965086274, 5.46148025777553
334;8358;B2;0,20;1,90;6,60;5183;Maandag t/m zondag;;;09.00 - 21.00;;;Hoogstraat;St. Lambertusstraat (terrein);"{""coordinates"": [5.4711535173369485, 51.43342500153609], ""type"": ""Point""}";51.43342500153609, 5.4711535173369485
339;7727;B2;0,20;1,90;6,60;5177;Maandag t/m zondag;;;09.00 - 21.00;;;Bergmannstraat;thv huisnr 41;"{""coordinates"": [5.470238465856347, 51.43012243927479], ""type"": ""Point""}";51.43012243927479, 5.470238465856347
340;8248;B2;0,20;1,90;6,60;5182;Maandag t/m zondag;;;09.00 - 21.00;;;Valklaan;hoek Pauwlaan;"{""coordinates"": [5.4942141351999805, 51.44043602311382], ""type"": ""Point""}";51.44043602311382, 5.4942141351999805
347;1410;A3;0,20;2,60;10,30;5114;Maandag t/m zondag;;;09.00 - 21.00;;;Stationsweg;P-terrein oost;"{""coordinates"": [5.483700733577545, 51.44256732450508], ""type"": ""Point""}";51.44256732450508, 5.483700733577545
351;1610;A3;0,20;2,60;10,30;5116;Maandag t/m zondag;;;09.00 - 21.00;;;Tramstraat;terrein achter Dorint (Pullmann);"{""coordinates"": [5.482811772660963, 51.43925462693371], ""type"": ""Point""}";51.43925462693371, 5.482811772660963
352;1710;A2;0,20;2,60;nvt;5117;Maandag t/m zondag;;;09.00 - 21.00;;;Tramstraat;thv huisnr 33/35;"{""coordinates"": [5.483576690812834, 51.43913202804976], ""type"": ""Point""}";51.43913202804976, 5.483576690812834
354;1920;A1;0,30;3,70;nvt;5119;Maandag t/m zondag;;;09.00 - 21.00;;;Zwembadweg;thv huisnr 15;"{""coordinates"": [5.4775325221559354, 51.433848850396885], ""type"": ""Point""}";51.433848850396885, 5.4775325221559354
356;2020;A1;0,30;3,70;nvt;5120;Maandag t/m zondag;;;09.00 - 21.00;;;Paradijslaan;thv huisnr 14;"{""coordinates"": [5.478142417830844, 51.43556702370279], ""type"": ""Point""}";51.43556702370279, 5.478142417830844
358;2210;A1;0,30;3,70;nvt;5122;Maandag t/m zondag;;;09.00 - 21.00;;;Kleine Berg;thv huisnr 68 (tussen Grote Berg en Pr. Hendrikstr);"{""coordinates"": [5.4740181311952645, 51.435895949535755], ""type"": ""Point""}";51.435895949535755, 5.4740181311952645
366;4025;A2;0,20;2,60;nvt;5140;Maandag t/m zondag;;;09.00 - 21.00;;;Jan Smitzlaan;thv huisnr 41;"{""coordinates"": [5.4834650829568305, 51.433234164353294], ""type"": ""Point""}";51.433234164353294, 5.4834650829568305
367;4030;A2;0,20;2,60;nvt;5140;Maandag t/m zondag;;;09.00 - 21.00;;;Stratumsedijk;thv huisnr 24;"{""coordinates"": [5.4844251749831265, 51.433067844590965], ""type"": ""Point""}";51.433067844590965, 5.4844251749831265
376;6350;B1;0,20;1,90;nvt;5163;Maandag t/m zondag;;;09.00 - 21.00;;;Aalsterweg;thv huisnr 71E;"{""coordinates"": [5.48634607808974, 51.4260957012998], ""type"": ""Point""}";51.4260957012998, 5.48634607808974
379;6901;C1;nvt;1,80;nvt;5169;Maandag t/m zondag;;;09.00 - 21.00;;;Luxemburglaan;nabij huisnr 119;"{""coordinates"": [5.478045636009961, 51.47092363695323], ""type"": ""Point""}";51.47092363695323, 5.478045636009961
380;6902;C1;nvt;1,80;nvt;5169;Maandag t/m zondag;;;09.00 - 21.00;;;Luxemburglaan;nabij huisnr 99;"{""coordinates"": [5.478077631342206, 51.4715806375252], ""type"": ""Point""}";51.4715806375252, 5.478077631342206
381;7410;B2;0,20;1,90;6,60;5174;Maandag t/m zondag;;;09.00 - 21.00;;;Marconilaan;to huisnr 203 (Lunchroom Dinnertime);"{""coordinates"": [5.45849768764901, 51.44986666962032], ""type"": ""Point""}";51.44986666962032, 5.45849768764901
382;7510;B2;0,20;1,90;6,60;5175;Maandag t/m zondag;;;09.00 - 21.00;;;Alberdingk Thijmlaan;terrein Parktheater;"{""coordinates"": [5.483997769218883, 51.427889598747505], ""type"": ""Point""}";51.427889598747505, 5.483997769218883
385;7620;B2;0,20;1,90;6,60;5176;Maandag t/m zondag;;;09.00 - 21.00;;;Ericastraat;t/o 15;"{""coordinates"": [5.488021390515193, 51.42508512676791], ""type"": ""Point""}";51.42508512676791, 5.488021390515193
386;7630;B2;0,20;1,90;6,60;5176;Maandag t/m zondag;;;09.00 - 21.00;;;Anna Bijnsweg;thv huisnr 2;"{""coordinates"": [5.485774266135305, 51.42659602761128], ""type"": ""Point""}";51.42659602761128, 5.485774266135305
387;7701;B2;0,20;1,90;6,60;5177;Maandag t/m zondag;;;09.00 - 21.00;;;Edenstraat;thv huisnr 16;"{""coordinates"": [5.474628925463839, 51.43354596773174], ""type"": ""Point""}";51.43354596773174, 5.474628925463839
391;4910;B2;0,20;1,90;6,60;5149;Maandag t/m zondag;;;09.00 - 21.00;;;Prof. Dr. Dorgelolaan;terrein I;"{""coordinates"": [5.484601135138856, 51.44478401281496], ""type"": ""Point""}";51.44478401281496, 5.484601135138856
394;5001;B2;0,20;1,90;6,60;5150;Maandag t/m zondag;;;09.00 - 21.00;;;Montgomerylaan;thv huisnr 639 (lm 157);"{""coordinates"": [5.477283961888768, 51.45144076563833], ""type"": ""Point""}";51.45144076563833, 5.477283961888768
396;5006;B2;0,20;1,90;6,60;5150;Maandag t/m zondag;;;09.00 - 21.00;;;Weverstraat;to Spinnerstraat;"{""coordinates"": [5.475470664569539, 51.448729969792566], ""type"": ""Point""}";51.448729969792566, 5.475470664569539
399;5050;B2;0,20;1,90;6,60;5150;Maandag t/m zondag;;;09.00 - 21.00;;;Montgomerylaan;thv huisnrs 11-45;"{""coordinates"": [5.4763308942339535, 51.44573175512386], ""type"": ""Point""}";51.44573175512386, 5.4763308942339535
400;5070;B2;0,20;1,90;6,60;5150;Maandag t/m zondag;;;09.00 - 21.00;;;Montgomerylaan;thv huisnrs 287-329;"{""coordinates"": [5.476518082507159, 51.44717225940611], ""type"": ""Point""}";51.44717225940611, 5.476518082507159
405;5610;B1;0,20;1,90;nvt;5156;Maandag t/m zondag;;;09.00 - 21.00;;;Boschdijk;thv huisnr 24;"{""coordinates"": [5.4709148073936085, 51.44545896412642], ""type"": ""Point""}";51.44545896412642, 5.4709148073936085
409;5774;B1;0,20;1,90;nvt;5157;Maandag t/m zondag;;;09.00 - 21.00;;;Frederiklaan;thv huisnr 33 (hoek Hulstlaan);"{""coordinates"": [5.465834191824582, 51.44135906482401], ""type"": ""Point""}";51.44135906482401, 5.465834191824582
412;5752;B1;0,20;1,90;nvt;5157;Maandag t/m zondag;;;09.00 - 21.00;;;Plataanlaan;to huisnr 34;"{""coordinates"": [5.4565451296132235, 51.44396412384365], ""type"": ""Point""}";51.44396412384365, 5.4565451296132235
413;5753;B1;0,20;1,90;nvt;5157;Maandag t/m zondag;;;09.00 - 21.00;;;Populierenweg / Kleinakkerweg;thv lm 09;"{""coordinates"": [5.45364216868984, 51.444136100163576], ""type"": ""Point""}";51.444136100163576, 5.45364216868984
508;8357;B2;0,20;1,90;6,60;5183;Maandag t/m zondag;;;09.00 - 21.00;;;Hagenkampweg Zuid;thv huisnr 136;"{""coordinates"": [5.467121895453706, 51.43260577550765], ""type"": ""Point""}";51.43260577550765, 5.467121895453706
513;8385;B2;0,20;1,90;6,60;5183;Maandag t/m zondag;;;09.00 - 21.00;;;Lodewijk Napoleonlaan;thv huisnr 21a (hoek 't Vonderke);"{""coordinates"": [5.467667530671214, 51.43739452108101], ""type"": ""Point""}";51.43739452108101, 5.467667530671214
