FID,aanlegjaar,type,soortnaam_lat,soortnaam_ned,categorie,geometrie
O10002_Bomenkaart_OD.186,1975,Straat- / laanboom,Tilia vulgaris,Linde,Boom,MULTIPOINT ((175639.753 495966.21))
O10002_Bomenkaart_OD.187,2002,Straat- / laanboom,Fraxinus excelsior 'Altena',Es,Boom,MULTIPOINT ((175939.593 496757.806))
O10002_Bomenkaart_OD.188,1995,Straat- / laanboom,Quercus cerris,Moseik,Boom,MULTIPOINT ((172030.391 509323.363))
O10002_Bomenkaart_OD.189,1985,Solitaire boom,Pyrus calleryana 'Chanticleer',Peer,Boom,MULTIPOINT ((172233.729 509433.5))
O10002_Bomenkaart_OD.190,2006,Solitaire boom,Gymnocladus dioicus,Doodsbeenderenboom,Boom,MULTIPOINT ((171924.017 508722.658))
O10002_Bomenkaart_OD.191,1994,Straat- / laanboom,Tilia europaea,Hollandse linde,Boom,MULTIPOINT ((175607.226 495798.62))
O10002_Bomenkaart_OD.192,1975,Straat- / laanboom,Tilia vulgaris,Linde,Boom,MULTIPOINT ((175580.271 496019.738))
O10002_Bomenkaart_OD.193,1985,Solitaire boom,Pyrus calleryana 'Chanticleer',Peer,Boom,MULTIPOINT ((172266.119 509412.26))
O10002_Bomenkaart_OD.194,1975,Straat- / laanboom,Tilia vulgaris,Linde,Boom,MULTIPOINT ((175621.814 495974.346))
O10002_Bomenkaart_OD.195,1978,Straat- / laanboom,Platanus acerifolia,Plataan,Boom,MULTIPOINT ((175866.879 496337.536))
O10002_Bomenkaart_OD.196,1997,Solitaire boom,Acer platanoides 'Columnare',Esdoorn,Boom,MULTIPOINT ((176876.102 497425.083))
O10002_Bomenkaart_OD.197,1998,Straat- / laanboom,Fraxinus amer. 'Autumn Applause',Amerikaanse es,Boom,MULTIPOINT ((175675.089 496258.24))
O10002_Bomenkaart_OD.198,1996,Straat- / laanboom,Aesculus pavia 'Atrosanguinea',Kastanje,Boom,MULTIPOINT ((176110.209 495769.826))
O10002_Bomenkaart_OD.199,1998,Straat- / laanboom,Tilia plat. 'Delft',Grootbladige linde,Boom,MULTIPOINT ((176250.671 497144.353))
O10002_Bomenkaart_OD.200,1994,Straat- / laanboom,Tilia europaea,Hollandse linde,Boom,MULTIPOINT ((175757.708 495755.657))
