FID,aanlegjaar,type,soortnaam_lat,soortnaam_ned,categorie,geometrie
O10002_Bomenkaart_OD.44,1999,Solitaire boom,Quercus robur 'Fastig. Koster',Zuileik,Boom,MULTIPOINT ((176001.069 496264.585))
O10002_Bomenkaart_OD.45,1996,Solitaire boom,Quercus robur 'Fastig. Koster',Zuileik,Boom,MULTIPOINT ((172038.096 508889.484))
O10002_Bomenkaart_OD.46,2005,Straat- / laanboom,Carpinus betulus 'Frans Fontaine',Haagbeuk,Boom,MULTIPOINT ((172200.393 508375.734))
O10002_Bomenkaart_OD.47,2006,Straat- / laanboom,Acer campestre 'Red Shine',Veldesdoorn,Boom,MULTIPOINT ((172111.077 509323.777))
O10002_Bomenkaart_OD.48,2000,Straat- / laanboom,Pyrus calleryana 'Chanticleer',Peer,Boom,MULTIPOINT ((172272.162 508328.162))
O10002_Bomenkaart_OD.49,2003,Boomgroep boom,Tilia cordata 'Rancho',Kleinbladige linde,Boom,MULTIPOINT ((172577.339 508085.971))
O10002_Bomenkaart_OD.50,1965,Straat- / laanboom,Quercus robur,Zomereik,Boom,MULTIPOINT ((172116.549 509172.224))
O10002_Bomenkaart_OD.51,2001,Straat- / laanboom,Fraxinus excelsior 'Altena',Es,Boom,MULTIPOINT ((176550.553 496653.004))
O10002_Bomenkaart_OD.52,2001,Straat- / laanboom,Fraxinus excelsior 'Altena',Es,Boom,MULTIPOINT ((176265.907 496728.86))
O10002_Bomenkaart_OD.53,2000,Lei- / vormboom,Catalpa bignonioides 'Nana',Trompetboom,Boom,MULTIPOINT ((172269.911 508025.632))
O10002_Bomenkaart_OD.54,2003,Boomgroep boom,Liquidambar styraciflua 'Worplesdon',Amberboom,Boom,MULTIPOINT ((172433.534 508144.618))
O10002_Bomenkaart_OD.55,2003,Boomgroep boom,Alnus glutinosa 'Imperialis',Els,Boom,MULTIPOINT ((172395.109 508070.479))
O10002_Bomenkaart_OD.56,1990,Straat- / laanboom,Acer pseudoplatanus,Esdoorn,Boom,MULTIPOINT ((172388.811 508720.889))
O10002_Bomenkaart_OD.57,2003,Boomgroep boom,Aesculus hippocastanum,Witte paardekastanje,Boom,MULTIPOINT ((172486.525 508148.902))
O10002_Bomenkaart_OD.58,1997,Solitaire boom,Acer platanoides 'Columnare',Esdoorn,Boom,MULTIPOINT ((176609.162 497117.655))
O10002_Bomenkaart_OD.59,2006,Straat- / laanboom,Platanus acerifolia 'Digitata',Plataan,Boom,MULTIPOINT ((176656.293 496964.528))
O10002_Bomenkaart_OD.60,2009,Straat- / laanboom,Acer pseudoplatanus,Esdoorn,Boom,MULTIPOINT ((175497.543 496257.477))
O10002_Bomenkaart_OD.61,1997,Straat- / laanboom,Fraxinus excelsior 'Altena',Es,Boom,MULTIPOINT ((176056.144 496074.148))
O10002_Bomenkaart_OD.62,2009,Solitaire boom,Juglans nigra,Zwarte noot,Boom,MULTIPOINT ((175252.349 496442.93))
O10002_Bomenkaart_OD.63,1996,Straat- / laanboom,Paulownia tomentosa,Anna Paulownaboom,Boom,MULTIPOINT ((175954.527 495923.64))
O10002_Bomenkaart_OD.64,1970,Straat- / laanboom,Tilia europaea,Hollandse linde,Boom,MULTIPOINT ((176154.611 497047.101))
O10002_Bomenkaart_OD.65,1970,Straat- / laanboom,Tilia cordata,Kleinbladige linde,Boom,MULTIPOINT ((175929.84 496819.206))
O10002_Bomenkaart_OD.66,1975,Straat- / laanboom,Acer pseudopl. 'Negenia',Esdoorn,Boom,MULTIPOINT ((175566.215 495948.897))
O10002_Bomenkaart_OD.67,1975,Straat- / laanboom,Tilia vulgaris,Linde,Boom,MULTIPOINT ((175537.129 496040.81))
O10002_Bomenkaart_OD.68,2014,Boomgroep boom,Betula pendula,Berk,Boom,MULTIPOINT ((175740.314 496594.57))
O10002_Bomenkaart_OD.69,1985,Straat- / laanboom,Populus canadensis 'Robusta',Canadapopulier,Boom,MULTIPOINT ((178264.139 504055.09))
O10002_Bomenkaart_OD.70,2005,Straat- / laanboom,Quercus robur,Zomereik,Boom,MULTIPOINT ((176335.616 503905.903))
O10002_Bomenkaart_OD.71,1992,Solitaire boom,Acer platanoides,Esdoorn,Boom,MULTIPOINT ((176612.299 503163.61))
O10002_Bomenkaart_OD.72,1992,Straat- / laanboom,Pyrus calleryana 'Chanticleer',Peer,Boom,MULTIPOINT ((176653.049 503288.01))
O10002_Bomenkaart_OD.73,1994,Knotboom,Salix alba,Wilg,Boom,MULTIPOINT ((176345.909 503427.22))
O10002_Bomenkaart_OD.74,1994,Straat- / laanboom,Quercus cerris,Moseik,Boom,MULTIPOINT ((176358.199 503357.54))
O10002_Bomenkaart_OD.75,1990,Straat- / laanboom,Populus alba,Witte abeel,Boom,MULTIPOINT ((176385.505 503426.512))
O10002_Bomenkaart_OD.76,2014,Lei- / vormboom,Platanus acerifolia,Plataan,Boom,MULTIPOINT ((175795.156 496547.779))
O10002_Bomenkaart_OD.77,1999,Solitaire boom,Acer platanoides 'Columnare',Esdoorn,Boom,MULTIPOINT ((177934.046 505334.352))
O10002_Bomenkaart_OD.78,2014,Straat- / laanboom,Gleditsia triacanthos 'Skyline',Valse christusdoorn,Boom,MULTIPOINT ((175820.059 496622.233))
O10002_Bomenkaart_OD.79,2014,Boomgroep boom,Betula pendula,Berk,Boom,MULTIPOINT ((175714.439 496664.968))
O10002_Bomenkaart_OD.80,2008,Straat- / laanboom,Quercus cerris,Moseik,Boom,MULTIPOINT ((175748.341 505154.341))
