Veiling;Van;Tot;Lokatie;Sluiting;Afhalen
2019-0005;6-5-2019 10:00;6-5-2019 15:00;Soesterberg;09 mei 10:00 uur;13-17 mei
2019-0501;6-5-2019 10:00;6-5-2019 15:00;Soesterberg;09 mei 10:00 uur;13-17 mei
2019-0005;7-5-2019 10:00;6-5-2019 12:00;Hoogeveen;09 mei 10:00 uur;13-17 mei
2019-0005;7-5-2019 13:00;6-5-2019 15:00;Bleiswijk;09 mei 10:00 uur;13-17 mei
2019-0006;3-6-2019 10:00;3-6-2019 15:00;Soesterberg;06 jun 10:00 uur;11-17 jun
2019-0601;3-6-2019 10:00;3-6-2019 15:00;Soesterberg;06 jun 10:00 uur;11-17 jun
2019-0007;1-7-2019 10:00;1-7-2019 15:00;Soesterberg;04 jul 10:00 uur;08-12 jul
2019-0701;1-7-2019 10:00;1-7-2019 15:00;Soesterberg;04 jul 10:00 uur;08-12 jul
2019-0008;5-8-2019 10:00;5-8-2019 15:00;Soesterberg;08 aug 10:00 uur;12-16 aug
2019-0801;5-8-2019 10:00;5-8-2019 15:00;Soesterberg;08 aug 10:00 uur;12-16 aug
2019-0009;2-9-2019 10:00;2-9-2019 15:00;Soesterberg;05 sep 10:00 uur;09-13 sep
2019-0901;2-9-2019 10:00;2-9-2019 15:00;Soesterberg;05 sep 10:00 uur;09-13 sep
2019-0010;7-10-2019 10:00;7-10-2019 15:00;Soesterberg;10 okt 10:00 uur;14-18 okt
2019-1001;7-10-2019 10:00;7-10-2019 15:00;Soesterberg;10 okt 10:00 uur;14-18 okt
2019-0011;4-11-2019 10:00;4-11-2019 15:00;Soesterberg;07 nov 10:00 uur;11-15 nov
2019-1101;4-11-2019 10:00;4-11-2019 15:00;Soesterberg;07 nov 10:00 uur;11-15 nov
2019-0012;2-12-2019 10:00;2-12-2019 15:00;Soesterberg;05 dec 10:00 uur;09-13 dec
2019-1201;2-12-2019 10:00;2-12-2019 15:00;Soesterberg;05 dec 10:00 uur;09-13 dec
2020-0001;6-1-2020 10:00;6-1-2020 15:00;Soesterberg;09 jan 10:00 uur;13-17 jan
2020-0101;6-1-2020 10:00;6-1-2020 15:00;Soesterberg;09 jan 10:00 uur;13-17 jan
