FID,fotonaam,fotonummer,fotodatum,fototijd,camera,diafragma,sluitertijd,x,y,z,roll,pitch,yaw,gdb_geomattr_data,shape
beeldmiddenoverzicht_hrl_2017.1,2017_04_09_13_36_24_262000091_RGB_hrl,262000091,2017-04-09,13:36:24,UC-E-1-30912269,6.7,250,220789.484,425451.906,1878.212,-0.121,0.098,179.6258,,POINT (220787.0720999986 425455.8885000013)
beeldmiddenoverzicht_hrl_2017.2,2017_04_09_13_36_29_262000092_RGB_hrl,262000092,2017-04-09,13:36:29,UC-E-1-30912269,6.7,250,220302.156,425454.688,1878.647,-0.0356,0.1045,179.7173,,POINT (220299.66910000145 425458.55849999934)
beeldmiddenoverzicht_hrl_2017.3,2017_04_09_13_36_35_262000093_RGB_hrl,262000093,2017-04-09,13:36:35,UC-E-1-30912269,6.7,250,219807.609,425456.031,1879.994,0.0168,0.1226,-179.9192,,POINT (219805.2670999989 425459.77050000057)
beeldmiddenoverzicht_hrl_2017.4,2017_04_09_13_36_40_262000094_RGB_hrl,262000094,2017-04-09,13:36:40,UC-E-1-30912269,6.7,250,219320.547,425456.281,1881.458,0.0043,0.1469,179.9902,,POINT (219318.24909999967 425459.9074999988)
beeldmiddenoverzicht_hrl_2017.5,2017_04_09_13_36_46_262000095_RGB_hrl,262000095,2017-04-09,13:36:46,UC-E-1-30912269,6.7,250,218834.672,425460.969,1884.53,-0.1706,0.1964,179.4908,,POINT (218832.38210000098 425464.4864999987)
beeldmiddenoverzicht_hrl_2017.6,2017_04_09_13_36_52_262000096_RGB_hrl,262000096,2017-04-09,13:36:52,UC-E-1-30912269,6.7,250,218342.781,425464.844,1886.805,-0.1063,0.196,179.9896,,POINT (218340.48710000142 425468.3145000003)
beeldmiddenoverzicht_hrl_2017.7,2017_04_09_13_36_57_262000097_RGB_hrl,262000097,2017-04-09,13:36:57,UC-E-1-30912269,6.7,250,217853.547,425462.875,1888.945,0.0377,0.1796,-179.3972,,POINT (217851.28409999982 425466.1944999993)
beeldmiddenoverzicht_hrl_2017.8,2017_04_09_13_37_03_262000098_RGB_hrl,262000098,2017-04-09,13:37:03,UC-E-1-30912269,6.7,250,217363.453,425457.875,1891.326,-0.1086,0.167,-179.0778,,POINT (217361.28409999982 425461.0405000001)
beeldmiddenoverzicht_hrl_2017.9,2017_04_09_13_37_09_262000099_RGB_hrl,262000099,2017-04-09,13:37:09,UC-E-1-30912269,6.7,250,216873.188,425453.156,1893.246,-0.0936,0.1828,-179.3351,,POINT (216871.12409999967 425456.30750000104)
beeldmiddenoverzicht_hrl_2017.10,2017_04_09_13_37_14_262000100_RGB_hrl,262000100,2017-04-09,13:37:14,UC-E-1-30912269,6.7,250,216390.563,425453.156,1895.389,0.0994,0.1492,179.9121,,POINT (216388.4151000008 425456.2335000001)
beeldmiddenoverzicht_hrl_2017.11,2017_04_09_13_37_20_262000101_RGB_hrl,262000101,2017-04-09,13:37:20,UC-E-1-30912269,6.7,250,215898.953,425460.094,1895.521,-0.0466,0.1556,179.3285,,POINT (215896.83810000122 425463.06650000066)
beeldmiddenoverzicht_hrl_2017.12,2017_04_09_13_37_26_262000102_RGB_hrl,262000102,2017-04-09,13:37:26,UC-E-1-30912269,6.7,250,215407.297,425462,1895.308,0.0031,0.0775,-179.5301,,POINT (215405.24709999934 425464.83150000125)
beeldmiddenoverzicht_hrl_2017.13,2017_04_09_13_37_31_262000103_RGB_hrl,262000103,2017-04-09,13:37:31,UC-E-1-30912269,6.7,250,214923.047,425451.938,1896.702,0.1522,0.0957,-178.4136,,POINT (214921.0870999992 425454.64350000024)
beeldmiddenoverzicht_hrl_2017.14,2017_04_09_13_37_37_262000104_RGB_hrl,262000104,2017-04-09,13:37:37,UC-E-1-30912269,6.7,250,214431.031,425447.969,1899.533,-0.1224,0.1421,179.8857,,POINT (214429.1251000017 425450.54349999875)
beeldmiddenoverzicht_hrl_2017.15,2017_04_09_13_37_43_262000105_RGB_hrl,262000105,2017-04-09,13:37:43,UC-E-1-30912269,6.7,250,213929.656,425454.844,1901.435,-0.003,0.1364,179.445,,POINT (213927.76509999856 425457.3425000012)
beeldmiddenoverzicht_hrl_2017.16,2017_04_09_13_37_48_262000106_RGB_hrl,262000106,2017-04-09,13:37:48,UC-E-1-30912269,6.7,250,213454.938,425456.438,1902.358,0.1601,0.1215,-179.665,,POINT (213453.13610000163 425458.8885000013)
beeldmiddenoverzicht_hrl_2017.17,2017_04_09_13_37_54_262000107_RGB_hrl,262000107,2017-04-09,13:37:54,UC-E-1-30912269,6.7,250,212962.844,425455.219,1903.973,0.0716,0.2022,-179.9748,,POINT (212961.03510000184 425457.55249999836)
beeldmiddenoverzicht_hrl_2017.18,2017_04_09_13_38_00_262000108_RGB_hrl,262000108,2017-04-09,13:38:00,UC-E-1-30912269,6.7,250,212470.969,425463.531,1906.108,-0.1031,0.2665,178.8598,,POINT (212469.3051000014 425465.6955000013)
beeldmiddenoverzicht_hrl_2017.19,2017_04_09_13_38_06_262000109_RGB_hrl,262000109,2017-04-09,13:38:06,UC-E-1-30912269,6.7,250,211978.703,425470.656,1907.06,0.069,0.1956,179.742,,POINT (211977.0500999987 425472.76850000024)
beeldmiddenoverzicht_hrl_2017.20,2017_04_09_13_38_11_262000110_RGB_hrl,262000110,2017-04-09,13:38:11,UC-E-1-30912269,6.7,250,211495.313,425471.188,1906.814,0.2112,0.163,-179.9105,,POINT (211493.88610000163 425473.249499999)
beeldmiddenoverzicht_hrl_2017.21,2017_04_09_13_38_17_262000111_RGB_hrl,262000111,2017-04-09,13:38:17,UC-E-1-30912269,6.7,250,211002.469,425473.688,1908.105,0.2318,0.1496,179.7884,,POINT (211001.1411000006 425475.59750000015)
beeldmiddenoverzicht_hrl_2017.22,2017_04_09_13_38_22_262000112_RGB_hrl,262000112,2017-04-09,13:38:22,UC-E-1-30912269,6.7,250,210518.203,425472.469,1910.017,0.1523,0.1853,-179.3261,,POINT (210516.8460999988 425474.32349999994)
beeldmiddenoverzicht_hrl_2017.23,2017_04_09_13_38_28_262000113_RGB_hrl,262000113,2017-04-09,13:38:28,UC-E-1-30912269,6.7,250,210027.266,425462.906,1911.211,0.0513,0.1761,-178.6395,,POINT (210026.02309999987 425464.6565000005)
beeldmiddenoverzicht_hrl_2017.24,2017_04_09_13_38_34_262000114_RGB_hrl,262000114,2017-04-09,13:38:34,UC-E-1-30912269,6.7,250,209534.234,425456.375,1913.563,0.0664,0.2108,-179.3322,,POINT (209532.9611000009 425458.0014999993)
beeldmiddenoverzicht_hrl_2017.25,2017_04_09_13_38_39_262000115_RGB_hrl,262000115,2017-04-09,13:38:39,UC-E-1-30912269,6.7,250,209051.766,425457.594,1914.52,0.1426,0.1812,179.8888,,POINT (209050.54410000145 425459.0714999996)
beeldmiddenoverzicht_hrl_2017.26,2017_04_09_13_38_45_262000116_RGB_hrl,262000116,2017-04-09,13:38:45,UC-E-1-30912269,6.7,250,208558.516,425460.813,1913.849,0.0108,0.0987,179.897,,POINT (208557.4310999997 425462.2274999991)
beeldmiddenoverzicht_hrl_2017.27,2017_04_09_13_38_51_262000117_RGB_hrl,262000117,2017-04-09,13:38:51,UC-E-1-30912269,6.7,250,208073.422,425457.938,1912.774,0.1317,0.0221,-179.3145,,POINT (208072.37110000104 425459.3125)
beeldmiddenoverzicht_hrl_2017.28,2017_04_09_13_38_56_262000118_RGB_hrl,262000118,2017-04-09,13:38:56,UC-E-1-30912269,6.7,250,207578.984,425457.688,1912.752,0.0851,0.1447,179.7389,,POINT (207577.8850999996 425458.9525000006)
