FID,soort_kuns,globalid,codebpn,disk_beh_o,districtna,objectnaam,objecttype,nummer,risicoaand,materiaal,status,beheersreg,contract,opmerking,info1,info2,info3,info4,info5,stichtings,muteerder,mutatie,geobron,hoofdwater,watersyste,watersys_1,subcat,zijde,km,element,beheerder,eigenaar,onderhoude,monument,se_anno_cad_data,gdb_geomattr_data,shape
kunstwerk_punt.1,35,{ACBBAEF0-742D-4E77-B9F0-5E909D69E06D},"109A.KM.-.971,639",44B-001-01,WNZ Z,Dukdalf Binnenhoofd R1 Biesboschsluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,2008,haakj,2012-02-20T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,KM,-,971.639,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (119796.20199999958 423951.09699999914)
kunstwerk_punt.2,35,{AC7FD6A1-FA12-4333-ABEC-1D70775CFC20},"109A.KM.-.971,64",44B-001-01,WNZ Z,Dukdalf Binnenhoofd L3 Biesboschsluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,2008,haakj,2012-02-20T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,KM,-,971.64,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (119771.0309999995 423951.09699999914)
kunstwerk_punt.3,35,{2985563B-E88A-4B74-B169-06F46CE6733D},"109A.KM.-.971,641",44B-001-01,WNZ Z,Dukdalf Binnenhoofd L2 Biesboschsluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,2008,haakj,2012-02-20T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,KM,-,971.641,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (119770.56300000101 423966.31700000167)
kunstwerk_punt.4,35,{91996165-0D0F-45BA-AFB3-05A7F9C5B292},"109A.KM.-.971,642",44B-001-01,WNZ Z,Dukdalf Binnenhoofd L1 Biesboschsluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,2008,haakj,2012-10-23T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,KM,-,971.642,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (119770.4459999986 423981.18499999866)
kunstwerk_punt.5,35,{020FA3DB-4E5E-412B-843D-5665DF33ED7B},"109A.KM.-.971,643",44B-001-01,WNZ Z,Dukdalf Buitenhoofd L6 Biesboschsluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,2008,haakj,2012-02-22T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109A,KM,-,971.643,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (119768.12700000033 424261.9310000017)
kunstwerk_punt.6,35,{FD54AE28-AB68-4F51-A624-8601F96F13D8},"109A.KM.-.971,644",44B-001-01,WNZ Z,Dukdalf Buitenhoofd L1 Biesboschsluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,2008,haakj,2012-02-22T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109A,KM,-,971.644,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (119768.88300000131 424186.8839999996)
kunstwerk_punt.7,35,{29677C53-12C8-4B65-A49C-48A978962084},"109A.KM.-.971,645",44B-001-01,WNZ Z,Dukdalf Buitenhoofd L2 Biesboschsluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,2008,haakj,2012-02-22T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109A,KM,-,971.645,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (119768.75299999863 424201.84800000116)
kunstwerk_punt.8,35,{7B32CDB6-72D7-40BE-9CAF-1EE97DFE0DED},"109A.KM.-.971,646",44B-001-01,WNZ Z,Dukdalf Buitenhoofd L3 Biesboschsluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,2008,haakj,2013-12-16T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109A,KM,-,971.646,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (119768.59899999946 424216.8660000004)
kunstwerk_punt.9,35,{370D154A-78F7-4084-9457-5A0B97806005},"109A.KM.-.971,647",44B-001-01,WNZ Z,Dukdalf Buitenhoofd L4 Biesboschsluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,2008,haakj,2013-12-16T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109A,KM,-,971.647,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (119768.38300000131 424231.6030000001)
kunstwerk_punt.10,35,{ABB60DAB-E2BB-4D44-9F5B-D85A52854A56},"109A.KM.-.971,648",44B-001-01,WNZ Z,Dukdalf Buitenhoofd L5 Biesboschsluis,Remmingswerk, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,2008,haakj,2013-12-16T00:00:00,Luchtfoto 2011,Rijn-Maasmonding,Middendeel,109A,KM,-,971.648,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (119768.27100000158 424246.7890000008)
kunstwerk_punt.11,30,{87D54EAE-969B-418E-9168-99805CE34DE8},"109A.KA.-.971,661",44B-002-01,WNZ Z,Meerpaal 1 van 7 loswal binnenzijde Spieringsluis,Meerpaal, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-03-25T00:00:00,DTB,Rijn-Maasmonding,Middendeel,109A,KA,-,971.661,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (112009.20199999958 421237.26300000027)
kunstwerk_punt.12,30,{ED8C6425-4568-4E6E-A9D9-9D1291EFCCCE},"109A.KA.-.971,662",44B-002-01,WNZ Z,Meerpaal 2 van 7 loswal binnenzijde Spieringsluis,Meerpaal, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-03-25T00:00:00,DTB,Rijn-Maasmonding,Middendeel,109A,KA,-,971.662,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (112015.52800000086 421233.6409999989)
kunstwerk_punt.13,30,{F275C3CB-9D22-4933-B864-EED96156FE4A},"109A.KA.-.971,663",44B-002-01,WNZ Z,Meerpaal 3 van 7 loswal binnenzijde Spieringsluis,Meerpaal, ,Niet bekend, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-03-25T00:00:00,DTB,Rijn-Maasmonding,Middendeel,109A,KA,-,971.663,--,Niet bekend,Niet bekend,Niet bekend,nee,,,POINT (112022.15700000152 421230.2120000012)
