;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
A30 Trucks B.V.;;1;1
Academisch Genootschap;1;;1
Amaze Escape Events;1;;1
Amazing Bread Company B.V.;1;;1
Antropia B.V.;2;;2
Athlon Car Lease Nederland B.V.;;4;4
Auto Muntstad Molensteyn;;1;1
Autobedrijf Van Hugten B.V.;;1;1
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;1;1
Bever Assen B.V.;;1;1
BIGA Groep B.V.;;2;2
Brabanthallen;1;;1
BTA Trailers & Aanhangers;;1;1
Bubbles and Blessings B.V.;1;;1
BVO Opleidingen B.V.;1;;1
Café van Miltenburg;1;;1
Carrosseriefabriek Harderwijk B.V.;;1;1
Conrad Electronic Benelux B.V.;;1;1
Cuisine Royale B.V.;1;;1
De Hof van Eden Pure Catering;1;;1
De keuken van Thijs;1;;1
De Utrechter;1;;1
De Winkel van Sinkel B.V.;2;;2
De Witte Zwaan B.V.;1;;1
Den Boer Business Transportation Solutions;;1;1
Deskbookers B.V.;1;;1
Dyzle Operations B.V.;;1;1
E-bike2work B.V.;;1;1
Eenhoorn Meeting Center;1;;1
Eetcafe Joos;1;;1
Elinex Power Solutions B.V.;;1;1
Erinevate Tubade Klubi OÃœ;1;;1
Europcar Autoverhuur Nederland, Den Haag;;2;2
Exploitatiemij. Grand Hotel Karel V B.V.;1;;1
EYE - Bar Restaurant B.V.;1;;1
Fletcher Hotel Restaurant Elzenduin;1;;1
Floris Technisch servicebedrijf;;1;1
Garage de Jong Leerbroek B.V.;;1;1
Gebr. Barendsen B.V.;1;;1
Gran Mercado B.V.;1;;1
Grand Cafe Brasserie Brocante;1;;1
Het Kookplein;1;;1
Het Muntgebouw-Utrecht B.V.;2;;2
Hilton International Nederland B.V.;1;;1
Holiday Inn Eindhoven;1;;1
Hotel Contact B.V.;1;;1
HR Via Care B.V.;;2;2
Instock Den Haag;1;;1
Intersafe Groeneveld B.V.;;1;1
Jaarbeurs Ontwikkeling B.V.;2;;2
King Arthur B.V.;1;;1
Ko van den Berg Aanhangwagencentrum;;1;1
Koelgroep Dijkstra Geelhoed bv D&G Airco-Service;;1;1
Landgoed de Horst;1;;1
Landgoed Duin & Kruidberg B.V.;1;;1
Leaseplan Nederland N.V.;;7;7
LEN Leren en Ontwikkelen;1;;1
Linq Europe Limited;;1;1
MBO Raad;1;;1
Meetingselect B.V.;7;;7
Moving Intelligence B.V.;;1;1
Munckhof Reizen B.V.;;1;1
N.V. Luchthaven Schiphol;1;;1
New Babylon Meeting Center B.V.;1;;1
Nieuwe Luxor Theater;1;;1
NVKC Ver. v. Klin. Chem. & Laborat.geneesk.;1;;1
NWC Events B.V.;1;;1
Oudaen B.V.;1;;1
PK Bar & Kitchen SR-Horeca bv;1;;1
Plein 9 A B.V.;1;;1
Plein 9 Den Haag Horeca B.V.;1;;1
Profile René De Fietsspecialist;;1;1
Protestantse gemeente te 's-Gravenhage;1;;1
Real-life Xcape;1;;1
Restaurant De Basiliek B.V.;1;;1
Rooijakkers Exploitatie B.V.;;1;1
Sancy Tres B.V.;1;;1
Scheel Nederland B.V.;;1;1
Schevers Schalkwijk BV Carrosseriebedrijf;;1;1
Schuttelaar & Partners, Maatsch. Comm. B.V.;1;;1
Sodexo Nederland B.V.;3;;3
St. Museum voor Communicatie;2;;2
Steenstraat B.V.;1;;1
Stern Auto;;1;1
SternPoint;;3;3
Sticht. behoud en expl. van Fort aan de Klop;1;;1
Stichting Administratiekantoor Kropman;;3;3
Stichting Akoesticum;1;;1
Stichting De Hoven;1;;1
Stichting HCO;1;;1
Stichting Humanity House;1;;1
Stichting Internat. Perscentrum 'Nieuwspoort';1;;1
Stichting Sekondant;1;;1
Stichting The Hague Humanity Hub;1;;1
Stichting Vilans;1;;1
Stichting Vrienden Museum Meermanno;1;;1
TB Truck & Trailer Service (alle vestigingen);;1;1
Teka Groep B.V.;1;;1
V Business BV - Vitam;2;;2
Van der Ham Beheer B.V.;;1;1
Vereniging LFB;1;;1
Vermaat Leisure BV;1;;1
Vitam Catering;1;;1
Webfleet Solutions Sales B.V.;;1;1
Werkspoor Café De Leckere;1;;1
Worldmeetings International B.V.;1;;1
Worldmeetings.com B.V.;1;;1
Zzamen;1;;1
Eindtotaal;7;7;7
