FID,GML_ID,ID,CODE,NAAM,LAT,LON,ACTIEF,PLAATSNAAM,RDX,RDY,GEMEENTE,WIJK,PLAATS,HUISNUMMERS,POSTCODE,STRAAT,AANDUIDING,BOUWJAAR,LEVENSDUUR,VERVANGJAAR,FOTO,DD_BIJGEWERKT,GEOMETRIE
SPL_SPEELPLEKKEN.75877,Speelplekken.fid--26bbd5c6_18613012ba5_5255,75877,11.06,School de Hazensprong 2 sportplaats (MV),51.82555752,5.84607438,true,Nijmegen Midden,186633.89,426428.01,Nijmegen,11 Hazenkamp,Nijmegen Midden,4,6531VD,Pandastraat,Schoolplein de Hazensprong 2 Dingostraat,2007,15,2022,https://www.absweb.nu/Fotos/gemeentenijmegen/75877/JPEG_20220120_125710_8994415852827377885.jpg,2023-02-03,POINT (186633.89 426428.01)
SPL_SPEELPLEKKEN.75833,Speelplekken.fid--26bbd5c6_18613012ba5_5256,75833,12.06,Sportpark Vossendijk (van acomodaties),51.81612978,5.81455732,true,Nijmegen Midden,184467.33,425365.89,Nijmegen,12 Goffert,Nijmegen Midden,206,6534AP,Winkelsteegseweg,Oostkanaaldijk,1998,20,2018,https://www.absweb.nu/Fotos/gemeentenijmegen/75833/JPEG_20220621_075611_7963859138879684538.jpg,2023-02-03,POINT (184467.33 425365.89)
SPL_SPEELPLEKKEN.75793,Speelplekken.fid--26bbd5c6_18613012ba5_5257,75793,12.09,Jaap van Leeuwenlaan sportplaats Jeu de Boules,51.81774608,5.83660007,true,Nijmegen Midden,185986.12,425554.88,Nijmegen,12 Goffert,Nijmegen Midden,37,6532CP,Antoinette van Pixterenlaan,Jeu de Boulebaan in bossage bij appartem,2007,15,2022,https://www.absweb.nu/Fotos/gemeentenijmegen/75793/JPEG_20220621_103819_7918524475760632016.jpg,2023-02-03,POINT (185986.12 425554.88)
SPL_SPEELPLEKKEN.75623,Speelplekken.fid--26bbd5c6_18613012ba5_5258,75623,12.11,Toermalijnstraat deels sportplaats (EV),51.81081275,5.81718678,true,Nijmegen Midden,184652.13,424775.42,Nijmegen,12 Goffert,Nijmegen Midden,27,6534SH,Toermalijnstraat,Steegerpark,2008,15,2023,https://www.absweb.nu/Fotos/gemeentenijmegen/75623/JPEG_20220621_080828_6376841917197018890.jpg,2023-02-03,POINT (184652.13 424775.42)
SPL_SPEELPLEKKEN.75624,Speelplekken.fid--26bbd5c6_18613012ba5_5259,75624,12.10,Goffertpark sportplaats (EV),51.82871817,5.83332304,true,Nijmegen Midden,185752.68,426774.17,Nijmegen,12 Goffert,Nijmegen Midden,438,6532TP,Muntweg,Paralel aan Muntweg in het park,2009,10,2019,https://www.absweb.nu/Fotos/gemeentenijmegen/75624/JPEG_20220705_132157_49847510697320790.jpg,2023-02-03,POINT (185752.68 426774.17)
SPL_SPEELPLEKKEN.75625,Speelplekken.fid--26bbd5c6_18613012ba5_525a,75625,12.02,Marga Klompélaan,51.81433816,5.83085309,true,Nijmegen Midden,185592.18,425173.3,Nijmegen,12 Goffert,Nijmegen Midden,48,6532SB,Harriët Freezerlaan,Harriët Freezerlaan 88,2006,15,2021,https://www.absweb.nu/Fotos/gemeentenijmegen/75625/JPEG_20220621_101401_8486899319508383562.jpg,2023-02-03,POINT (185592.18 425173.3)
SPL_SPEELPLEKKEN.75627,Speelplekken.fid--26bbd5c6_18613012ba5_525c,75627,12.01,Joke Smitlaan,51.81535322,5.8324115,true,Nijmegen Midden,185698.95,425286.89,Nijmegen,12 Goffert,Nijmegen Midden,30,6532SJ,Joke Smitlaan,Achter huisnummer 32,2006,15,2021,https://www.absweb.nu/Fotos/gemeentenijmegen/75627/JPEG_20220621_102959_6610794062478383882.jpg,2023-02-03,POINT (185698.95 425286.89)
SPL_SPEELPLEKKEN.75628,Speelplekken.fid--26bbd5c6_18613012ba5_525d,75628,12.04,Kolpingstraat / Manningstraat,51.8289439,5.83119258,true,Nijmegen Midden,185605.66,426798.38,Nijmegen,12 Goffert,Nijmegen Midden,37,6532VT,Kolpingstraat,Hoek Manningstraat,2019,20,2039,https://www.absweb.nu/Fotos/gemeentenijmegen/75628/JPEG_20220705_131608_2668866908524886500.jpg,2023-02-03,POINT (185605.66 426798.38)
SPL_SPEELPLEKKEN.75629,Speelplekken.fid--26bbd5c6_18613012ba5_525e,75629,12.05,Leo XIII e straat deels sportplaats,51.82795852,5.82945323,true,Nijmegen Midden,185486.43,426688.03,Nijmegen,12 Goffert,Nijmegen Midden,11,6532WB,Leo XIII e straat,LEO Xlll e straat op pleintje,2019,20,2039,https://www.absweb.nu/Fotos/gemeentenijmegen/75629/JPEG_20220705_130653_7397151406433281996.jpg,2023-02-03,POINT (185486.43 426688.03)
SPL_SPEELPLEKKEN.75630,Speelplekken.fid--26bbd5c6_18613012ba5_525f,75630,12.08,Goffertweg sportplaats (MV),51.82789595,5.83747937,true,Nijmegen Midden,186039.75,426684.46,Nijmegen,12 Goffert,Nijmegen Midden,,6532AA,Goffertweg ,Goffertweg,2005,15,2020,https://www.absweb.nu/Fotos/gemeentenijmegen/75630/JPEG_20220711_142154_7231025897364635605.jpg,2023-02-03,POINT (186039.75 426684.46)
SPL_SPEELPLEKKEN.330927,Speelplekken.fid--26bbd5c6_18613012ba5_5260,330927,12.03,Engelstraat.,51.82749373,5.82826551,true,Nijmegen Midden,185404.87,426635.82,Nijmegen,12 Goffert,Nijmegen Midden,12,,Engelstraat,Engelstraat.,,0,,https://www.absweb.nu/Fotos/gemeentenijmegen/330927/JPEG_20220705_130509_5457238986260316493.jpg,2023-02-03,POINT (185404.87 426635.82)
SPL_SPEELPLEKKEN.75631,Speelplekken.fid--26bbd5c6_18613012ba5_5261,75631,13.05,Kastanjehof deels sportplaats (EV),51.82371967,5.8551122,true,Nijmegen Midden,187258.25,426227.51,Nijmegen,13 St. Anna,Nijmegen Midden,37,6533 BX,Kastanjehof,Kastanjehof,2005,15,2020,https://www.absweb.nu/Fotos/gemeentenijmegen/75631/JPEG_20220711_123806_3773856197602219619.jpg,2023-02-03,POINT (187258.25 426227.51)
SPL_SPEELPLEKKEN.75632,Speelplekken.fid--26bbd5c6_18613012ba5_5262,75632,13.06,Zebrastraat,51.82160372,5.84661867,true,Nijmegen Midden,186674.19,425988.37,Nijmegen,13 St. Anna,Nijmegen Midden,33,6531TW,Zebrastraat,Zebrastraat in groenvoorziening,2004,15,2019,https://www.absweb.nu/Fotos/gemeentenijmegen/75632/JPEG_20220711_133154_6404143390414120678.jpg,2023-02-03,POINT (186674.19 425988.37)
SPL_SPEELPLEKKEN.75864,Speelplekken.fid--26bbd5c6_18613012ba5_5263,75864,13.01,Kastanjelaan / Knollenpad deels sportplaats (EV),51.82473428,5.85439452,true,Nijmegen Midden,187208.05,426340.07,Nijmegen,13 St. Anna,Nijmegen Midden,56,6533BD,Kastanjelaan,Kastanjelaa Knollenpad,2007,10,2017,https://www.absweb.nu/Fotos/gemeentenijmegen/75864/JPEG_20220711_123254_8643702660929637384.jpg,2023-02-03,POINT (187208.05 426340.07)
SPL_SPEELPLEKKEN.75865,Speelplekken.fid--26bbd5c6_18613012ba5_5264,75865,13.03,Schoolplein de Akker deels sportplaats (EV),51.82258053,5.85368617,true,Nijmegen Midden,187160.75,426100.15,Nijmegen,13 St. Anna,Nijmegen Midden,30,6533BL,Akkerlaan,Akkerlaan,2007,10,2017,https://www.absweb.nu/Fotos/gemeentenijmegen/75865/JPEG_20221103_133128_4149567433174155951.jpg,2023-02-03,POINT (187160.75 426100.15)
SPL_SPEELPLEKKEN.75857,Speelplekken.fid--26bbd5c6_18613012ba5_5265,75857,13.02,St. Annamolen,51.82812272,5.8557967,true,Nijmegen Midden,187302.29,426717.67,Nijmegen,13 St. Anna,Nijmegen Midden,1,6531NJ,Vossenlaan,Vossenlaan / Hatertseweg,2008,10,2018,https://www.absweb.nu/Fotos/gemeentenijmegen/75857/JPEG_20220711_115820_8884140317360153481.jpg,2023-02-03,POINT (187302.29 426717.67)
SPL_SPEELPLEKKEN.75903,Speelplekken.fid--26bbd5c6_18613012ba5_5266,75903,13.04,Enkstraat,51.82034718,5.84888233,true,Nijmegen Midden,186831.14,425849.57,Nijmegen,13 St. Anna,Nijmegen Midden,2,6533CL,Enkstraat,Enkstraat 1,2008,15,2023,https://www.absweb.nu/Fotos/gemeentenijmegen/75903/JPEG_20220711_132253_5269289643656575143.jpg,2023-02-03,POINT (186831.14 425849.57)
SPL_SPEELPLEKKEN.75822,Speelplekken.fid--26bbd5c6_18613012ba5_5267,75822,14.02,Krekel- Heidebloemstraat JOP sportplaats (EV),51.81596452,5.84662368,true,Nijmegen Zuid,186678.5,425360.99,Nijmegen,14 Hatertse hei,Nijmegen Zuid,16,6533RS,Honingpot,Plantsoen Krekelstaat bij torenflat,2004,15,2019,https://www.absweb.nu/Fotos/gemeentenijmegen/75822/JPEG_20220712_093133_6824654089115190754.jpg,2023-02-03,POINT (186678.5 425360.99)
SPL_SPEELPLEKKEN.75633,Speelplekken.fid--26bbd5c6_18613012ba5_5268,75633,14.01,Heidebloem-Hommelstr.gedeetelijk sportplaats (EV),51.8162201,5.84697853,true,Nijmegen Zuid,186702.79,425389.58,Nijmegen,14 Hatertse hei,Nijmegen Zuid,9,6533RX,Honingpot,Hoek Heidebloemstraat.,1996,25,2021,https://www.absweb.nu/Fotos/gemeentenijmegen/75633/JPEG_20220712_093348_5947765550604117215.jpg,2023-02-03,POINT (186702.79 425389.58)
SPL_SPEELPLEKKEN.75634,Speelplekken.fid--26bbd5c6_18613012ba5_5269,75634,14.14,Libellenstraat deels sportplaats (EV),51.81786992,5.844622,true,Nijmegen Zuid,186539.15,425572.11,Nijmegen,14 Hatertse hei,Nijmegen Zuid,6,6533RR,Libellenstraat,Goudetorrenstraat,2008,15,2023,https://www.absweb.nu/Fotos/gemeentenijmegen/75634/JPEG_20220712_095049_6249564236100168272.jpg,2023-02-03,POINT (186539.15 425572.11)
SPL_SPEELPLEKKEN.406928,Speelplekken.fid--26bbd5c6_18613012ba5_51ff,406928,50.19,Lavinia Fontanahof,51.869299,5.852693,true,Lent,187059,431297.31,Nijmegen,,Lent,10,,Lavinia Fontanahof,Lavinia Fontanahof,2021,20,2041,https://www.absweb.nu/Fotos/gemeentenijmegen/406928/JPEG_20220718_094408_5685504265810997911.jpg,2023-02-03,POINT (187052.18 431287.27)
SPL_SPEELPLEKKEN.75575,Speelplekken.fid--26bbd5c6_18613012ba5_5201,75575,00.10,Spinthuisplaats,51.84806553,5.865806,true,Nijmegen Centrum,187977.66,428940.88,Nijmegen,00 Benedenstad,Nijmegen Centrum,24,6511VD,Spinthuisplaats,Binnenterrein 2 niveau's,2005,15,2020,https://www.absweb.nu/Fotos/gemeentenijmegen/75575/JPEG_20220706_084615_2915516634889769965.jpg,2023-02-03,POINT (187977.66 428940.88)
