FID,OVW_STARTDATUM,METING_ID,MAAIVELD_STAND,NAP_BUISRAND,PEILBUIS_ID,NAP_MAAIVELD,NAP_STAND,MEETWAARDE

Peilbuizen_metingen.6286957,2023-02-03,A35FE74E-6C28-41F7-A034-03EDEC6C4525,1.77,3.47,0B9D8AF2-2542-42B4-B532-020FA58D6727,3.52,1.75,1.72

Peilbuizen_metingen.6286958,2023-02-03,5994959C-0634-439A-8808-E586942CB125,1.6,2.46,C4C5D7CA-4F09-42CE-AE97-9CC1441A29C3,2.57,0.97,1.49

Peilbuizen_metingen.6286959,2023-02-03,388FCA73-35EE-4BBC-99CB-1B2787E64BF7,1.95,3.26,4AD51441-5A36-4B94-A713-FA35B6D51B8F,3.34,1.39,1.87

Peilbuizen_metingen.6286960,2023-02-03,5B79BA21-6AEA-4740-AD6B-3D4D85D2BFD0,1.48,2.38,991266E2-996C-45CC-9DAB-F38B856CBB97,2.46,0.98,1.4

Peilbuizen_metingen.6286961,2023-02-03,3F64D175-C007-4E7B-A7DB-DE454A838370,1.67,2.63,AAA4EBBE-994F-43EF-8471-E62EFED2F02F,2.73,1.06,1.57

Peilbuizen_metingen.6286962,2023-02-03,82103995-AF81-4D80-81EC-4D4E1FE268FB,1.65,2.8,4EE2DB9B-98D9-430C-80CA-AE9F5AE081A3,2.88,1.23,1.57

Peilbuizen_metingen.6286963,2023-02-03,AD074A8C-8ABA-4E03-8EB5-36FD004C91B0,1.62,2.92,B2794754-8680-4555-A72D-93EC09DA555D,3.03,1.41,1.51

Peilbuizen_metingen.6286964,2023-02-03,9F642F1B-3417-4F0F-9791-279C18D68932,1.58,2.34,424802CC-DFF7-4F15-B356-2824B86E3BD2,2.43,0.85,1.49

Peilbuizen_metingen.6286965,2023-02-03,4686420B-87D9-4E5E-948F-1AF8F268BD0A,1.7,2.79,334AA6A3-10D7-4F98-B17A-E1BEDF1CD409,2.88,1.18,1.61

Peilbuizen_metingen.6286966,2023-02-03,64BC0D1A-E18E-438D-94EE-5D42C8E279E8,2,3.23,AEE4C30F-2195-46F2-9E86-6C99B06545EE,3.34,1.34,1.89

Peilbuizen_metingen.6286967,2023-02-03,F0C358B2-9ADE-44E3-9A7D-635D20AF124D,2.98,3.62,DD05D6CB-5490-4E4D-B43C-7012131DC64B,3.71,0.73,2.89

Peilbuizen_metingen.6286968,2023-02-03,BAF4EC7B-544F-494E-8C1F-A14EEAF39642,1.11,2.56,43944016-C279-4EF6-8F04-8F470E3F5EE6,2.45,1.34,1.22

Peilbuizen_metingen.6286969,2023-02-03,4D23101C-B750-41DD-84F3-41B3D51894A0,0.91,2.44,7EAB5CCE-1463-4DCF-8907-FCA323162F96,2.53,1.62,0.82

Peilbuizen_metingen.6286970,2023-02-03,659363EC-9F94-4C92-A98E-E64644112E5E,1.38,3.12,D95997DF-8BB5-47F6-BDDF-8DA34A8D9342,3.21,1.83,1.29

Peilbuizen_metingen.6286971,2023-02-03,8A580557-23C3-4983-9DF4-B1E4CC279BC0,1.34,2.81,DDE86CE9-B97E-428A-A6A8-6A25749DC34C,2.92,1.58,1.23

