Handelsnaam;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
anp management consulting GmbH;;2;;;;;2
ANP Pers Support Benelux B.V.;;1;;;;;1
Anses - Agence nationale de sécurité sanitaire;;1;;;;;1
Antea Group;;1;;;;;1
Antea Nederland B.V.;;2;;;;;2
Antea Realisatie B.V.;;2;;;;;2
Antonissen Agrarisch Advies;;1;;;;;1
Antonissen Consultancy;;2;;;;;2
Apparel Tech Corporation;;1;;;;;1
APPM Management Consultants B.V.;;3;;;;;3
Appolt Advies- en Organisatiebureau;;1;;;;;1
APS Consulting Services;;2;;;;;2
AQSCERT;;1;;;;;1
Arc Sustainable Energy Solutions;;2;;;;;2
ARCADIS Nederland;;7;;;;;7
Ardis Opleidingen B.V.;;1;;;;;1
Ardis Organisatieontwikkeling B.V.;;1;;;;;1
Arenda Oomen Fotografie;;1;;;;;1
Arjan Klopstra;;2;;;;;2
Arko Sports Media B.V.;;2;;;;;2
Art 4 You Decorations;;1;;;;;1
Arthur van Beurden;;1;;;;;1
Arthur Verdellen;;1;;;;;1
Arturo Sosa Fotografia;;1;;;;;1
ASEPEX;;1;;;;;1
Asian Glories B.V.;;1;;;;;1
Ask;;2;;;;;2
Astrium Services;;5;;;;;5
AS-Vastgoed B.V.;;2;;;;;2
At Osborne B.V.;;3;;;;;3
Atelier Groenblauw / Opmaat;;2;;;;;2
ATG Europe B.V.;;4;;;;;4
Atlantic Hotel Exploitatie B.V.;;1;;;;;1
Atlantico Business Development;;1;;;;;1
Atomos Applications;;1;;;;;1
Atos Nederland B.V.;9;3;;;;;9
Atriensis B.V.;;1;;;;;1
Atrion Information Technology B.V.;;2;;;;;2
Atrivé B.V.;;1;;;;;1
Atticus B.V.;;1;;;;;1
Auditconnect B.V.;;1;;;;;1
Aurea Imaging bvba;;1;;;;;1
Aurika Ltd.;;3;;;;;3
Auroville Consulting;;2;;;;;2
Austrian Energy Agency;;2;;;;;2
Automotive Publishing B.V.;;2;;;;;2
AutomotiveNL B.V.;;2;;;;;2
Avans Hogeschool;;1;;;;;1
Avans Hogeschool B.V.;;2;;;;;2
Avante Consultancy B.V.;;1;;;;;1
Avantgarde Hotel Kft.;;1;;;;;1
Aventuras;;2;;;;;2
Aviareps B.V.;;2;;;;;2
B Oudomvilay;;1;;;;;1
B.V. Kwaliteitskeuring Dierlijke Sector;;9;;;;;9
B3partners B.V.;;2;;;;;2
Baay& B.V.;;3;;;;;3
Babette Porcelijn;;1;;;;;1
Baker Tilly Berk N.V.;;2;;;;;2
Bakkerij Henk Post;;1;;;;;1
Bakkerij Schuurmans;;1;;;;;1
BAM Internationaal;;2;;;;;2
Banctec B.V.;;2;;;;;2
Barbafilms;;1;;;;;1
Barbara Alberts Office Support;;1;;;;;1
Barnel B.V.;;1;;;;;1
Bart Bremmer Innovatiesocioloog;;1;;;;;1
Bart Kiewiet Consultancy;;1;;;;;1
Bart Poel Consultancy B.V.;;2;;;;;2
Bart van Vliet Freelance Fotograaf;;1;;;;;1
Bas Haring;;1;;;;;1
Bas van Horn;;1;;;;;1
BaseClear B.V.;;2;;;;;2
Basis & Beleid Organisatie-Adviseurs B.V.;;2;;;;;2
Bastiaan Bijl Consultancy;;2;;;;;2
Bastiaan Bijl Consultancy GmbH;;2;;;;;2
Bawa la Tumaini Ltd;;1;;;;;1
BBA Binnenmilieu B.V.;;1;;;;;1
BBM Ledlight Products B.V.;1;;;;;;1
BDO Audit & Assurance B.V.;;1;;;;;1
BE Vital;;2;;;;;2
Beagle Sustainable Solutions;;3;;;;;3
Beatex;;3;;;;;3
BECO Groep B.V.;;1;;;;;1
Behavioural Insights Team;;2;;;;;2
Beheer- en Expl.mij. Westergasfabriek B.V.;;2;;;;;2
Behind the Story;;1;;;;;1
Beleidstheater;;2;;;;;2
Bemeko B.V.;;2;;;;;2
Ben Koenen B.V.;;1;;;;;1
Beneden ! bvba;;1;;;;;1
Benraad Hernieuwt;;2;;;;;2
Berenschot B.V.;;4;;;;;4
Berenschot Groep B.V.;4;6;;;;;6
Bernadette Botman Consult;;2;;;;;2
Beroepsorganisatie Nederlandse Ontwerpers;;1;;;;;1
Bert Hellinger Instituut Nederland;;1;;;;;1
Best Value Group B.V.;;1;;;;;1
Between B.V.;7;;;;;;7
Bev. der Bouwk. Bond v. Nederland. Arch. BNA;;2;;;;;2
Bewonersbedrijf Kamperpoorterij (Wijkcentrum Ons Eigen Huis);;1;;;;;1
Bezoekerscentrum de Kennemerduinen;;1;;;;;1
Bibliotheek Franeker;;1;;;;;1
Bibo Expression;;2;;;;;2
Bierens;;1;;;;;1
BigData Republic B.V.;;2;;;;;2
BIJ12;1;;;;;;1
Bikker & Company B.V.;;5;;;;;5
Bilderberg Hotel De Keizerskroon;;1;;;;;1
Bio Intelligence Service SA;;2;;;;;2
Bio Refinery Development B.V.;;1;;;;;1
BioAware SA N.V.;;1;;;;;1
Biomass Research B.V.;;2;;;;;2
BIOnetWORKS;;2;;;;;2
Bionext;;3;;;;;3
Birch Consultants B.V.;;2;;;;;2
Bita Bina Semesta, PT;;1;;;;;1
BK Ingenieurs Holding B.V.;;2;;;;;2
Blaauwendraad Advies;;2;;;;;2
Blackwood Advies;;2;;;;;2
Blauw Research B.V.;;2;;;;;2
BLIK51;;1;;;;;1
Blink2Blinked;;1;;;;;1
BLIX Consultancy B.V.;;6;;;;;6
Bloc B.V.;;2;;;;;2
Bloem Doze Nienhuis B.V.;;1;;;;;1
Blok;;2;;;;;2
Blom;;2;;;;;2
Blonk Milieu Advies B.V.;;3;;;;;3
Bloomberg Finance L.P.;;3;;;;;3
Blue Collar Hotel;;1;;;;;1
Blue Skies Consultancy UK Ltd;;4;;;;;4
Blueconomy B.V.;;1;;;;;1
BMC Advies B.V.;;3;;;;;3
BMC Implementatie;;1;;;;;1
Bodec B.V.;;1;;;;;1
BodemenergieNL;;2;;;;;2
Boekel De Nerée;;1;;;;;1
Boekhandel Van der Velde B.V.;;1;;;;;1
Boer & Croon Corporate Finance B.V.;;4;;;;;4
Boer & Croon Management B.V.;;3;;;;;3
Boer Bos Management van Natuurtalent;;1;;;;;1
Boer Brunia;;1;;;;;1
Boerdam;;2;;;;;2
bol.com B.V.;;1;;;;;1
BOM;;2;;;;;2
Bomendienst;;1;;;;;1
Bons Negocios!;;2;;;;;2
Bont Interior Design;;1;;;;;1
Boot Coffee;;1;;;;;1
Borgman Beheer Advies V.O.F.;;2;;;;;2
Bosch & Van Rijn B.V.;;2;;;;;2
Bosch en Slabbers Den Haag B.V.;;1;;;;;1
Boslaan B.V.;;1;;;;;1
Bourgonje Geluid- en Lichtservice B.V.;;1;;;;;1
Bouwbedrijf Tadema Groningen;;1;;;;;1
Bouwen en Milieu;;1;;;;;1
Bouwkennis B.V.;;1;;;;;1
Bouwstenen voor Sociaal;;1;;;;;1
Bouzy;;1;;;;;1
Bovenkamers;;2;;;;;2
BPRvisie Rental Solutions;;1;;;;;1
Brabant Water N.V.;;3;;;;;3
Brabantse Populieren Vereniging;;2;;;;;2
Braber Infinitus Energy Solutions;;1;;;;;1
Branche Vereniging Organische Reststoffen;;2;;;;;2
Brand Project & Advies B.V.;;1;;;;;1
Brand! communicatie B.V.;;2;;;;;2
Brandwijk Sales B.V.;;2;;;;;2
Brandwise B.V.;;4;;;;;4
Braveheart Shipping B.V.;;2;;;;;2
Bregman Advisering B.V.;;2;;;;;2
Breijer Contractonderhoud B.V.;2;;;;;;2
Brein - communicatieadvies & tekst;;1;;;;;1
BRESSER BOUW B.V.;;1;;;;;1
Brightface Enterprises;;1;;;;;1
Brink Management/Advies;;2;;;;;2
BRO;;5;;;;;5
Bruggink & vd Velden Advocaten. Bel.adv. B.V.;;2;;;;;2
Brunel Nederland B.V.;;;;2;;;2
Bruno Steiner Advies;;2;;;;;2
BSA Schaderegeling B.V.;;;;2;;;2
BSD Consulting;;2;;;;;2
BSI Management Systems CIS, LLC;;1;;;;;1
BT Nederland N.V.;;;4;;;;4
BT Professional Services Nederland B.V.;8;2;;;;;8
BTC Mediatest B.V.;;2;;;;;2
Bubbles Company B.V.;;1;;;;;1
Buck Consultants International;;2;;;;;2
Buck Consultants International B.V.;;2;;;;;2
BügelHajema Adviseurs B.V.;;2;;;;;2
Buijsse Consultancy B.V.;;1;;;;;1
BuildDesk Benelux B.V.;;1;;;;;1
Building Vision B.V.;;2;;;;;2
Buildsight B.V.;;3;;;;;3
Bureau A tot Z;;1;;;;;1
Bureau Bartels B.V.;;2;;;;;2
Bureau Berdt;;2;;;;;2
Bureau BlauwGeel B.V.;;1;;;;;1
Bureau Brand;;1;;;;;1
Bureau Buitenkans;;2;;;;;2
Bureau De Heer;;2;;;;;2
Bureau Europeen des Unions de Consommateurs;;1;;;;;1
Bureau Leeters;;4;;;;;4
Bureau Mozaiek;;2;;;;;2
Bureau Mulder-Natuurlijk;;2;;;;;2
Bureau Onderweg;;1;;;;;1
Bureau Van de Wetering;;3;;;;;3
Bureau van Veen;;2;;;;;2
Bureau voor Overheidscommunicatie B.V.;3;;;;;;3
Bureau Waardenburg B.V.;;4;;;;;4
Bureau ZET;;2;;;;;2
BureauSierteelt.nl B.V.;;2;;;;;2
Bureautaal B.V.;;1;;;;;1
Burke Agro de Nicaragua, S.A.;;1;;;;;1
Buro Beeld B.V.;;1;;;;;1
Buro Blauw B.V.;;1;;;;;1
Buro Brands;;1;;;;;1
Buro del Rey;;1;;;;;1
Burosa;;2;;;;;2
Business Bridge;;2;;;;;2
Business Development Group;;1;;;;;1
Business Development Holland B.V.;;1;;;;;1
Business Management Concepts;;1;;;;;1
Business Openers B.V.;;3;;;;;3
BuzzMaster B.V.;;1;;;;;1
BViT Noordwijk;;1;;;;;1
C. Franke;1;;;;;;1
C. Verhoef;1;;;;;;1
C.N. Min Beheer B.V.;;2;;;;;2
C22C B.V.;;2;;;;;2
Cabinet Audit et Conseil CAC Ousseynou Lagnane;;1;;;;;1
CADEX - Cámara de Exportadores Santa Cruz;;2;;;;;2
Cailin Partners;;2;;;;;2
Callaghan;;1;;;;;1
Can you imagine;;1;;;;;1
Canal Digitaal;;;1;;;;1
CanCreate Concepts & Productions;;1;;;;;1
Candour & Partners;;2;;;;;2
Capgemini Nederland B.V.;4;4;;;;;5
Capricorn Projekt B.V.;;1;;;;;1
Carat Nederland B.V.;;3;;;;;3
Caribbean Netherlands Science Institute (CNSI);;2;;;;;2
Caring4Cars;1;;;;;;1
Carla van Gotum Ontwikkeling & Theater;;1;;;;;1
carli-d;;1;;;;;1
CARMABI Foundation;;1;;;;;1
Carnegie Consult B.V.;;3;;;;;3
Carsten RÖH Consulting;;1;;;;;1
Carver;;2;;;;;2
Carwei Communications;;2;;;;;2
Casa Academica Amsterdam B.V.;;1;;;;;1
Cause & Affect Speeches;;1;;;;;1
cc:K;;4;;;;;4
CC4U&Me - Cultural Creatives for U&Me;;1;;;;;1
CE Delft;;5;;;;;5
Cedla;;2;;;;;2
Cees Bavius Allerlei;;1;;;;;1
Cees van Casteren;;4;;;;;4
Cees Vulto Consulting B.V.;;2;;;;;2
Cefas;;4;;;;;4
CelSian Glass & Solar B.V.;;3;;;;;3
CEM Benchmarking;;2;;;;;2
CENER Centro Nacional De Energias Renovables;;1;;;;;1
Center For Organizational Performance B.V.;;2;;;;;2
Centrale Organisatie voor de Vleessector;;2;;;;;2
Centrum voor mindfulness Leiden;;1;;;;;1
Certifield International B.V.;;2;;;;;2
Certios;;2;;;;;2
CertiQ B.V.;;3;;;;;3
CGI Nederland B.V.;;4;;;;;4
Charles River Laboratories Den Bosch B.V.;;1;;;;;1
Chatik International;;2;;;;;2
Chef Catering;;1;;;;;1
Chinees Restaurant 'Paradijs';;1;;;;;1
ChiPro GmbH;;4;;;;;4
Chris Westra Consulting B.V.;;2;;;;;2
Chubb Fire & Security B.V.;;1;;;;;1
Ciconia Aviation Services B.V.;;2;;;;;2
Cimsolutions;7;;;;;;7
Cinop Advies B.V.;;2;;;;;2
Ciran Nederland B.V.;;1;;;;;1
Circular Landscapes;;1;;;;;1
Cirkelstad;;1;;;;;1
Cit Industriell Energi Ab;;1;;;;;1
Citaat V.O.F.;;3;;;;;3
Citigate First Financial B.V.;;2;;;;;2
Cityförster;;2;;;;;2
CL Venture Partners B.V.;;1;;;;;1
Clipit News B.V.;;1;;;;;1
CLM Onderzoek en Advies B.V.;;2;;;;;2
clothing connect B.V.;;4;;;;;4
CloudVPS;;1;;;;;1
Club van Delft;;1;;;;;1
CMS Derks Star Busmann;;;;2;;;2
Co.-Motion Consult;;3;;;;;3
Coastal & Marine Union;;1;;;;;1
COCOCAN;;2;;;;;2
Coffee a Cup Cooperative Society Ltd.;;1;;;;;1
CO-Laboratory . ltd;;2;;;;;2
College van Gedeputeerde Staten van de provincie Limburg;2;;;;;;2
Common Wadden Sea Secretariat;;5;;;;;5
Communicatie Bureau Podium B.V.;;1;;;;;1
Communicatiebureau De Lynx;;2;;;;;2
"Companen: Adviesgr. Beleid; Onderz./Plann. BV";;1;;;;;1
Compas Q;;1;;;;;1
COMPASS GmbH;;4;;;;;4
Compass Group Nederland B.V.;;1;;;;;1
Competa It B.V.;;2;;;;;2
Concept7 B.V.;;2;;;;;2
Concepts To Go;;2;;;;;2
Concorde Group B.V.;;;1;;;;1
ConFusion Matching;;1;;;;;1
Conico Valves B.V.;;1;;;;;1
Conoship International B.V.;;2;;;;;2
Conquaestor B.V.;;4;;;;;4
Consolair B.V.;;1;;;;;1
Consorcio Ecuatoriano para la Responsabilidad Social;;2;;;;;2
Consulaat-Generaal in Dubai;;1;;;;;1
Consultancy Bureau Santema;;2;;;;;2
CONSULTING SERVICES;;1;;;;;1
ConsultingKids;;2;;;;;2
ConsumerView Group Ltd;;2;;;;;2
Contenemos;;1;;;;;1
Content to Image B.V.;;2;;;;;2
Coöperat. Ver. Nuttig Landschap Nederland UA;;1;;;;;1
Coöperatie ACS partners UA;;1;;;;;1
coöperatie ADMONDO UA;2;3;;;;;4
Coöperatie Dutch Creative Industries UA;;2;;;;;2
Coöperatie Hoeve Biesland BA;;1;;;;;1
Coöperatie NoorderlandMelk UA;;1;;;;;1
Coöperatief Congrestolkensecretariaat UA;;2;;;;;2
Coöperatief Nevasco UA;;2;;;;;2
Coöperatieve Circle Economy UA;;5;;;;;5
Coöperatieve Publieke Versnellers UA;;1;;;;;1
Coöperatieve Rabobank Haarlem en omstreken U.A.;;1;;;;;1
Coöperatieve Vereniging SAMEEN UA;;1;;;;;1
Cooperativa la Dulce Miel R.L.;;1;;;;;1
Coördesign B.V.;2;;;;;;2
Coppens Advies;;1;;;;;1
Copper8 B.V.;;2;;;;;2
Cornelissen Consulting Services B.V.;;2;;;;;2
Cornelius Mzezewa;;2;;;;;2
Corporate Hotel Connections;;;;1;;;1
Corrino Films B.V.;;1;;;;;1
Corten Marine Research B.V.;;2;;;;;2
Courage, Stichting Innovatie Rundveehouderij;;1;;;;;1
Couriers Sneltransport;;;1;;;;1
Cownexxion;;2;;;;;2
Cowsignals Training Company B.V.;;1;;;;;1
Craft Afrika;;1;;;;;1
Cramer Milieuadvies;;1;;;;;1
Cre-Aid B.V.;;1;;;;;1
Créaset S.A.;;4;;;;;4
Creating Perspective;;1;;;;;1
Creatz;;2;;;;;2
CREM B.V.;;4;;;;;4
Crisislab;;3;;;;;3
Crisisplan B.V.;;3;;;;;3
Crowd Support B.V.;;1;;;;;1
Customerfactory B.V.;;2;;;;;2
CWF B.V.;1;;;;;;1
Cynthia Boll Photography;;2;;;;;2
D.J. Joustra;;2;;;;;2
D.K.J. Tommel Adv., Directievoer. & Toez.;;1;;;;;1
D7 archeologie;;1;;;;;1
Daccle B.V.;;4;;;;;4
Dagvoorzitter.nl;;1;;;;;1
Daily Business;;2;;;;;2
Damen Bemiddeling;;;;1;;;1
Dammers Interaction;;3;;;;;3
Data B. Mailservice B.V.;1;;;;;;1
DatacenterAdvies.nl;;2;;;;;2
David Redeker;;2;;;;;2
DBvT;;1;;;;;1
DDFA B.V.;;1;;;;;1
De Advocaten van Van Riet B.V.;;1;;;;;1
De Architectencombinatie Oeverzaaijerlyongo;;1;;;;;1
De Argumentenfabriek B.V.;;3;;;;;3
De Boer Onderzoek & Projectmanagement;;2;;;;;2
De Boerenstee;;1;;;;;1
De Booij Party en Congresarchitekten;;2;;;;;2
De Brauw Blackstone Westbroek N.V.;;;;4;;;4
De Bruijn Diensten;;1;;;;;1
De Economen;;1;;;;;1
De Eiland Pers;;1;;;;;1
De Galan Groep B.V.;;5;;;5;;6
De Gemeynt Coöperatie UA;;3;;;;;3
De Groene Zaak;;4;;;;;4
De Heus Opleidingsconsultancy;;2;;;;;2
De investeringsmaatschappij;;3;;;;;3
De Jong & Verder B.V.;;1;;;;;1
De keuken van Thijs;;1;;;;;1
De Klantcontact Monitor B.V.;;2;;;;;2
De Kleijn Energy Consulting B.V.;;2;;;;;2
De Kooi;;1;;;;;1
De Kwartiermakers Huub Janssen;;5;;;;;5
de la Vieter Consultancy;;1;;;;;1
De Laar B.V.;;2;;;;;2
De Lof der Zotheid (Breitner);;1;;;;;1
De Merkplaats B.V.;;1;;;;;1
De Natuurverdubbelaars;;2;;;;;2
De Nieuwe Karmeliet;;1;;;;;1
De Ruijter Strategie B.V.;;2;;;;;2
De schaal van Kampen;;2;;;;;2
De SeniorenMakelaar;;1;;;;;1
De Staffing Groep B.V.;;3;;;;;3
De Tombe Consultancy B.V.;;1;;;;;1
De Vlinderstichting;;2;;;;;2
De Waard Eetbaar Landschap;;2;;;;;2
DE WATERMOLEN van Opwetten B.V.;;1;;;;;1
de Wijkondernemer;;1;;;;;1
De Wijkplaats B.V.;;1;;;;;1
De Wikel B.V.;;2;;;;;2
De Zevensprong Coöperatie UA;;1;;1;;;2
De Zwarte Vosch B.V.;;1;;;;;1
Debbee Dale Development Limited;;4;;;;;4
Decisio B.V.;;4;;;;;4
Decoded;;2;;;;;2
Deerns Nederland B.V.;;1;;;;;1
Degen en Leideritz;1;;;;;;1
DEKRA Certification B.V.;2;2;;;;;3
Delft Research Group B.V.;;1;;;;;1
Delftechniek;;1;;;;;1
Delight Products B.V.;;1;;;;;1
Deloitte Accountants;;1;;;;;1
Deloitte Consulting B.V.;;4;;;5;;5
Deloitte Group Support Center B.V.;;2;;;;;2
Delphy B.V.;;3;;;;;3
DELTA N.V.;;2;;;;;2
Deltares Indonesia;;2;;;;;2
Demi Sec;;1;;;;;1
Den Haag Centrum v. Strategische Studies B.V.;;2;;;;;2
Den Hollander Advocaten B.V.;;;;1;;;1
Department of the Future B.V.;;1;;;;;1
Design & Development;;1;;;;;1
Det Norske Veritas - GL Energy;;2;;;;;2
Det Norske Veritas B.V.;;1;;;;;1
Det Norske Veritas Danmark;;2;;;;;2
Detron Telecom Enterprise;2;;;;;;2
Deutsche Gesellschaft Für Internationale Zusammenarbeit GmbH;;5;;;;;5
Deutsche Windguard;;3;;;;;3
Development Analysis and Research Team DART;;1;;;;;1
DGMR Bouw B.V.;;4;;;;;4
DGMR Raadgevende Ingenieurs B.V.;;3;;;;;3
DHI;;4;;;;;4
Diabel NDAW;;2;;;;;2
Dialogic Innovatie & Interactie;;5;;;;;5
Dialogic Innovatie & Interactie B.V.;;3;;;;;3
Dierenartsenpraktijk Ell;;1;;;;;1
Dietz Dröge & van Loo B.V.;;1;;;;;1
Difco International B.V.;;3;;;;;3
DIG - Design Innovation Group B.V.;;1;;;;;1
Dinalog;;2;;;;;2
Dionar B.V.;;;1;;;;1
Direct Teleservice B.V.;;;2;;;;2
Dirks Water Advisory Services;;2;;;;;2
Display Concepts B.V.;;1;;;;;1
Ditty Blom Plan+Project;;2;;;;;2
DLV Intensief Advies B.V.;;1;;;;;1
DM Frigo;;2;;;;;2
DMT GmbH & Co. KG;;2;;;;;2
DNV GL Generators B.V.;;4;;;;;4
DNV GL Netherlands B.V.;;2;;;;;2
Docfactory B.V.;;2;;;;;2
Doekle Terpstra Advies;;4;;;;;4
Domucantus B.V.;;2;;;;;2
Donki Gotte;;1;;;;;1
Dorine Spanjers;;2;;;;;2
Dorpshuis Ten Post;;1;;;;;1
DotEcon Ltd;5;;;1;;;5
Douw & Koren B.V.;;2;;;;;2
Down to Earth B.V.;;1;;;;;1
Doxis;;2;;;;;2
Dr. G.L. Sporre;;1;;;;;1
Dr. Holly Alexandra Ritchie;;2;;;;;2
Dr. van Haeringen Laboratorium B.V.;;1;;;;;1
Driven By Values B.V.;;2;;;;;2
Dröge & Van Drimmelen, C.C. & Publ. Aff. B.V.;;3;;;;;3
Dröge&V. Drimmelen, Corp.Comm.&Publ.Aff. B.V.;;3;;;;;3
Droom van Zwolle;;1;;;;;1
DRRR GmbH;;1;;;;;1
Drs. Irma van Leeuwen MRE;;2;;;;;2
DucaRes B.V.;;;;1;;;1
Dudok Den Haag B.V.;;1;;;;;1
Duijvestijn Energie B.V.;;;;;;1;1
Duke University;;1;;;;;1
Dun & Bradstreet B.V.;;2;;;;;2
DuneWorks B.V.;;2;;;;;2
Dutch Association Geothermal Operators (DAGO);;3;;;;;3
Dutch Digital Agencies (DDA);;2;;;;;2
Dutch Innovation Centre for Electric Road Transport;;3;;;;;3
Dutch Moldovan Business Council (DMBC) B.V.;;2;;;;;2
Dutch Operat. Train. Equipm. Services (DOTES);;2;;;;;2
Dutch Research Institute for Transitions B.V.;;2;;;;;2
Duurzaam Vooruit;;1;;;;;1
DuurzaamGebouw B.V.;;2;;;;;2
Dvelop Advies Management;;1;;;;;1
DWA Installatie- en energieadvies;;3;;;;;3
Dwarsverband;;2;;;;;2
E & M Exportmanagement B.V.;;2;;;;;2
E Coltdgroup;;1;;;;;1
E.H. Struik Holding B.V.;;2;;;;;2
E.J.J. Koopman Management B.V.;;4;;;;;4
E.K.A. Energie Klimaat Advies;;1;;;;;1
E.T. Ebbens Wateradvies & Projecten;;2;;;;;2
E4 Consulting;;2;;;;;2
EASSI Ltd. Events And Show Services International;;2;;;;;2
EBSCO Information Services B.V.;;2;;;;;2
ECEE;;1;;;;;1
EcoAgriculture International;;3;;;;;3
Ecobus Consult;;1;;;;;1
Eco-Call Services;;1;;;;;1
Ecocert SA;;1;;;;;1
EcoChain Technologies B.V.;;2;;;;;2
Ecofys Investments B.V.;;2;;;;;2
Ecofys Netherlands B.V.;;5;;;;;5
Eco-movement B.V.;;2;;;;;2
Economic Consulting Associates ECA;;4;;;;;4
Economic Point of View B.V.;;2;;;;;2
Ecorys B.V.;;1;;;;;1
ECORYS Nederland B.V.;;6;;;;;6
Ecospace;;1;;;;;1
EcoVision N.V.;;2;;;;;2
EDC Environmental & Dredging Consultancy;;2;;;;;2
EDM-Competence Centre B.V.;;;;;3;;3
Ednoco LLC;;2;;;;;2
Edurne Quincoces;;2;;;;;2
EED Advisory;;1;;;;;1
Eelerwoude B.V.;;2;;;;;2
Eemflow Energy;;2;;;;;2
Eemlandhoeve;;1;;;;;1
Eemshotel;;1;;;;;1
Eenmooietoekomst B.V.;;2;;;;;2
Effectory B.V.;1;2;;;;;2
EG Media;;1;;;;;1
Eggink van Manen B.V.;;2;;;;;2
EGN Nederland B.V.;;1;;;;;1
EH Kidane;;2;;;;;2
Eiffel B.V.;2;;;;;;2
Ekopart Kees Water Advies;;1;;;;;1
El Qatarijne;;1;;;;;1
Elannet B.V.;;1;;;;;1
Elastomer Research Testing B.V.;;1;;;;;1
Elba-Rec;;2;;;;;2
