Datum zaak start;Stap;Zaakstatus;Datum zaak uiterste;Hoofdcategorie (zaaktype mor);Subcategorie (zaaktype mor);straat (zaaktype mor);Ter hoogte van (zaaktype mor);Wijk (zaaktype mor)
30-12-2016 15:29;Definitief afgesloten;Afgesloten;30-12-2016 15:29;Afvaldumping;Afvaldumping;Fazantenplein;;Zeist West
30-12-2016 11:31;Definitief afgesloten;Afgesloten;6-1-2017 11:31;Wegen en fietspaden;Gebreken fiets-/voetpaden;Slotlaan;ingang Hema bij fietsoversteekplaats;Zeist Centrum
30-12-2016 10:37;Definitief afgesloten;Afgesloten;30-12-2016 10:37;;;;;
30-12-2016 0:00;Definitief afgesloten;Afgesloten;30-12-2016 0:00;Overig;;Krakelingweg;Locatie Hoek Krakelingenweg en Verlengde Slotlaan Zeist;Zeist Oost
30-12-2016 0:00;Definitief afgesloten;Afgesloten;30-12-2016 0:00;Openbare verlichting;;;0351-0006;
30-12-2016 0:00;Definitief afgesloten;Afgesloten;6-1-2017 0:00;Openbare verlichting;Lamp defect;Zeisteroever;3806-0017;Zeist West
30-12-2016 0:00;Definitief afgesloten;Afgesloten;6-1-2017 0:00;Openbare verlichting;Lamp defect;Badmeester Schenkpad;2926-0003, 2926-0004 en 2926-0005;Zeist Noord
30-12-2016 0:00;Definitief afgesloten;Afgesloten;30-12-2016 0:00;Afvaldumping;Afvaldumping;Laan van Vollenhove;Locatie Laan van Vollenhove t.h.v. 373.;Zeist Noord
29-12-2016 15:49;Definitief afgesloten;Afgesloten;29-12-2016 15:49;Handhaving;Handhaving;Prins Alexanderweg;;Den Dolder e.o.
29-12-2016 14:23;Definitief afgesloten;Afgesloten;5-1-2017 14:23;Riolering;Verstopping straatkolk;Brugakker;;Zeist West
29-12-2016 12:16;Definitief afgesloten;Afgesloten;29-12-2016 12:16;Handhaving;Handhaving;;;
29-12-2016 11:24;Definitief afgesloten;Afgesloten;5-1-2017 11:24;Wegen en fietspaden;Gebreken fiets-/voetpaden;Nijenheim;;Zeist West
29-12-2016 9:25;Definitief afgesloten;Afgesloten;29-12-2016 9:25;Afvaldumping;Afvaldumping;Boulevard;voorbij shellstation;Zeist Centrum
29-12-2016 9:05;Definitief afgesloten;Afgesloten;29-12-2016 9:05;Milieu;Mileu;Couwenhoven;;Zeist West
29-12-2016 0:00;Definitief afgesloten;Afgesloten;29-12-2016 0:00;Openbare verlichting;;;Locatie De lantaarn bij prof. Lorentzlaan 71 (zeist) is defect Mastnummer;
29-12-2016 0:00;Definitief afgesloten;Afgesloten;29-12-2016 0:00;Afvaldumping;;;Locatie test Mastnummer;
28-12-2016 15:39;Definitief afgesloten;Afgesloten;4-1-2017 15:39;Groen;Overig (Groen);Nijenheim;;Zeist West
28-12-2016 15:07;Definitief afgesloten;Afgesloten;28-12-2016 15:07;Handhaving;;Arnhemse Bovenweg;;Zeist Oost
28-12-2016 15:01;Nieuw via KCC;Ontvangen;28-12-2016 15:01;;;;;
28-12-2016 13:54;Definitief afgesloten;Afgesloten;28-12-2016 13:54;Afvaldumping;Afvaldumping;Churchill-laan;;Zeist Noord
28-12-2016 13:09;Definitief afgesloten;Afgesloten;28-12-2016 13:09;Afvaldumping;Afvaldumping;Dr. A. Kuyperlaan;;Zeist Noord
28-12-2016 12:21;Definitief afgesloten;Afgesloten;4-1-2017 12:21;Groen;Bladoverlast;Biltseweg;;Den Dolder e.o.
28-12-2016 11:16;Definitief afgesloten;Afgesloten;28-12-2016 11:16;Afvaldumping;Afvaldumping;Antonlaan;tegenover dit nummer;Zeist Centrum
28-12-2016 10:56;Definitief afgesloten;Afgesloten;4-1-2017 10:56;Wegen en fietspaden;Gebreken fiets-/voetpaden;Kerkweg;;
28-12-2016 10:52;Nieuw via KCC;Ontvangen;28-12-2016 10:52;;;;;
28-12-2016 10:45;Nieuw via KCC;Ontvangen;28-12-2016 10:45;;;;;
28-12-2016 10:15;Definitief afgesloten;Afgesloten;4-1-2017 10:15;Openbare verlichting;Lamp defect;Dennenweg;0651-0006;Den Dolder e.o.
28-12-2016 8:49;Definitief afgesloten;Afgesloten;28-12-2016 8:49;Handhaving;Handhaving;Gandhilaan;Pleintje (oude gamma);Zeist Centrum
