Rijlabels;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;Eindtotaal
Ahrend Nederland B.V.;;;;;;;2;1;2
Albron Nederland B.V.;6;;;;;;1;;6
Bax-shop.nl B.V.;;;;;;;;1;1
bol.com B.V.;;;;;;;;1;1
Buyitdirect.com B.V.;;;;;;;;1;1
CameraNU.nl;;;;;;;;1;1
Centralpoint Amstelveen B.V.;;;;;1;;;1;1
Conrad Electronic Benelux B.V.;;;;;;;;1;1
Coolblue B.V.;;;;;;;;1;1
Delta International Uniformuitrustingen B.V.;;;;;;;;1;1
Dokkumer Vlaggen Centrale B.V.;;;;;;;;1;1
Drentea Kantoormeubelen;;;;;;;1;;1
Eden Springs Nederland B.V.;1;;;;;;;;1
Fidato B.V.;;;;;;;;1;1
Gispen Groningen;;;;;;;2;3;3
Horeca Adviescentrum HTC;1;;;;;;;;1
Hospitality Interim B.V.;;2;;;;;;;2
Koninklijke van der Most B.V.;;;;;2;;;2;2
Maasmond Leeuwarden B.V.;;;;;;;;1;1
Manutan B.V.;1;;1;;;;1;2;2
Moduli Print B.V.;;;;;3;;;;3
Naktuinbouw;;;;;;1;;;1
Nederlof Mode voor Mannen;;;;;;;;1;1
NMi Certin B.V.;;;;;;;;1;1
Nolten;;;;;;;;1;1
Pactechno;;;;;;;;1;1
Papyrus Groep Nederland B.V.;;;;;;;;2;2
Progenta Project Services Benelux B.V.;;;1;;;;;;1
Protinus IT B.V.;;;;;3;;2;2;4
Reisswolf Nederland B.V.;;;;;;2;;;2
Renewi Nederland B.V.;;;;;;6;;;6
Ruys Handelsvereniging B.V.;;;;;;;;1;1
Securitas Beveiliging B.V.;;4;;;;;;;4
Selecta Netherlands B.V.;4;;;;;;;;4
Staples Nederland B.V.;1;1;1;1;1;;;5;5
Technische Unie B.V.;;;;;;;;1;1
Viking Life-Saving Equipment B.V.;;;;;;;;2;2
Xerox (Nederland) B.V.;;;;;3;;;1;3
Lasaulec B.V.;;1;;;;;;4;4
AB Sciex Netherlands B.V.;;;;;;;;4;4
Shimadzu Benelux;;;;;;;;2;2
Impromex Technics B.V.;;;;;;;1;;1
Securo Europe B.V.;;;;;;;;1;1
Rentokil hygiene;;;4;;;;;;4
Rentokil pest control;;;1;;;;;;1
Transposafe Systems;;1;;;;;;1;1
Rendac Son B.V.;;;;;;2;;;2
Spectrometry Vision B.V.;;;;;;;;4;4
Horequip B.V.;;;;;;;;1;1
Asecos B.V.;;;;;;;;1;1
Rational Nederland Grootkeukentechniek B.V.;;;1;;;;;;1
Veba Meditemp B.V.;;;;;;;;1;1
ArtTest B.V.;;;;;;;;1;1
Van Tol Laboratoriumtechniek B.V.;;;;;;;;1;1
Agilent Technologies Netherlands B.V.;;;;;;;;2;2
Asito B.V.;;;2;;;;;;2
Schäfer Shop B.V.;;;;;;;;1;1
Prixos B.V.;;;;;;;;1;1
Technisch Bureau Magema B.V.;;;;;;;;2;2
Cormet Schoolcatering B.V.;1;;;;;;;;1
Virbac Nederland B.V.;;;;;;;;1;1
Master Nederland B.V.;;;;;;;;1;1
Skalar Analytical B.V.;;;;;;;;1;1
Kantoorverzorging Verhallen en Jansen;;;;;1;;1;1;1
Metos B.V.;;;;;;;;1;1
Athlete.nl B.V.;;;;;;;;1;1
Saval B.V.;;1;;;;;;;1
Heigo Nederland B.V.;;;;;;;;1;1
M.A.C.' Fishing B.V.;;;;;;;;1;1
Maasmond B.V.;;;;;;;1;1;1
Bruynzeel Storage Systems B.V.;;;;;;;;1;1
Sysmex Nederland B.V.;;;;;;;;1;1
Navacqs Seal Suppliers B.V.;;;;;;;;1;1
Chubb Fire & Security Apeldoorn;;;;;;;;1;1
Gruppo Corso Limited;;;;;;;;1;1
Hitma Instrumentatie B.V.;;;;;;;;1;1
Technische Unie;;;;;;;;1;1
The Baker Company Benelux B.V.;;;;;;;;1;1
Akron;;;;;;;;1;1
Promosana B.V.;;;;;;;;1;1
C J Wildbird Foods Limited;;;;;;;;1;1
Smeding B.V.;;1;;;;;;;1
Olympus Nederland B.V.;;;;;;;;1;1
Marelec Food Technologies;;;;;;;;1;1
Record Industrie B.V.;;;;;;;;1;1
Beun- de Ronde B.V.;;;;;;;;1;1
V.O.F. Schoonmaakbedrijf De Vries Flevoland;;;1;;;;;;1
UTS Bernardt Archief- en Databeheer B.V.;;;;;2;;;;2
Van Swinden Laboratorium;;;;;;;;1;1
Siemens Nederland N.V.;;1;;;;;;;1
Schoondergang Van Zwanenburg Serv.&Ond. B.V.;1;;;;;;;;1
Engels;;;;;;;;1;1
bioMÃƒÂ©rieux Benelux B.V.;;;;;;;;2;2
Eijkelkamp Soil & Water B.V.;;;;;;;;1;1
Safe2lock;;;;;;;;1;1
