FID,verkeersongeval_nummer,jaar_ongeval,verkeersongeval_afloop,aantal_partijen,partij_1_objecttype,partij_1_objecttype_overig,partij_2_objecttype,partij_2_objecttype_overig,aard_ongeval,niveau_koppelen,wegsituatie,bebouwde_kom,maximum_snelheid,wegverlichting,wegverharding,wegdek,lichtgesteldheid,zichtafstand,weersgesteldheid,bijz_verkeersmaatregel,bijz_verkeersmaatregel_overig,bijz_infrastructuur,bijz_infrastructuur_overig,bijz_tijdelijke_aard,bijz_tijdelijke_aard_overig,junctie_id,wegvak_id,hectometer,straatnaam,woonplaats,actueel,wegbeheerder,gemeente,provincie,dienstnaam,districtnaam,indicatie_alcohol,gdb_geomattr_data,shape
ongevallen_2019.1,20190013539,2019,Letsel,2,Personenauto,,Boom,,Vast voorwerp,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Buiten,80,Brandend,Overig asfalt,Nat,Duisternis,,Droog,,,,,,,313310050,,,Schoolstraat,Woudenberg,Ja,Provincie,Woudenberg,Utrecht,,,,,POINT (156913 455079)
ongevallen_2019.2,20190014332,2019,Uitsluitend materiele schade,2,Vrachtauto,,Personenauto,,Kop/staart,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,234438083,,Middenweg,Heerhugowaard,Nee,Gemeente,Dijk en Waard,Noord-Holland,,,,,POINT (117340.33700000122 519513.58199999854)
ongevallen_2019.3,20190009528,2019,Uitsluitend materiele schade,2,Personenauto,,Personenauto,,Kop/staart,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 4 takken",Buiten,80,Niet brandend,,Droog,Daglicht,,Droog,,,,KRUISPUNT,,,370279012,,,Grote Molenstraat,Elst,Ja,Provincie,Overbetuwe,Gelderland,,,,,POINT (185365.24700000137 439968.33399999887)
ongevallen_2019.4,20190011123,2019,Uitsluitend materiele schade,2,Personenauto,,Overig wegmeubilair,,Vast voorwerp,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Buiten,100,Niet aanwezig,ZOAB,Droog,Duisternis,,Droog,,,,,,,,,390,RYKSWG,Veendam,Ja,Rijk,Veendam,Groningen,RWS Noord-Nederland,NN District Oost,,,POINT (256208.6154000014 572224.0390999988)
ongevallen_2019.5,20190013384,2019,Uitsluitend materiele schade,2,Personenauto,,Personenauto,,Kop/staart,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,30,Brandend,Klinkers,Droog,Duisternis,,Droog,,,,,,,,600126304,,Nieuwstraat,Leerdam,Ja,Gemeente,Vijfheerenlanden,Utrecht,,,,,POINT (134879.4140000008 433762.80000000075)
ongevallen_2019.6,20190013451,2019,Uitsluitend materiele schade,2,Personenauto,,Personenauto,,Kop/staart,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,50,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,292354071,,'T Merk,Blaricum,Nee,Gemeente,Blaricum,Noord-Holland,,,,,POINT (145989.33900000155 477496.57499999925)
ongevallen_2019.7,20190013492,2019,Uitsluitend materiele schade,2,Vrachtauto,,Overig vast object,,Vast voorwerp,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50,Niet brandend,Klinkers,Nat,Daglicht,,Regen,,,,UITRIT,,,312318033,,,Van Waldeck Pyrmontlaan,Leusden,Ja,Gemeente,Leusden,Utrecht,,,,,POINT (156123.81210000068 459288.6028999984)
ongevallen_2019.8,20190013496,2019,Uitsluitend materiele schade,3,Personenauto,,,MUUR,Vast voorwerp,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,,290359028,,Bestevaer,Huizen,Ja,Gemeente,Huizen,Noord-Holland,,,,,POINT (145154.85300000012 479736.4200000018)
ongevallen_2019.9,20190008503,2019,Letsel,2,Personenauto,,Fiets,,Kop/staart,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,173309062,,Nieuwstraat,Leidschendam,Nee,Gemeente,Leidschendam-Voorburg,Zuid-Holland,,,,,POINT (86975.9290000014 454954.95600000024)
ongevallen_2019.10,20190008593,2019,Uitsluitend materiele schade,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50,Brandend,ZOAB,Nat,Duisternis,,Regen,Andere oversteekplaats,,,,,,408275006,,,Hengelder,Zevenaar,Ja,Gemeente,Zevenaar,Gelderland,,,,,POINT (204083.14550000057 437929.4503000006)
ongevallen_2019.11,20190010144,2019,Uitsluitend materiele schade,2,Bromfiets,,Personenauto,,Kop/staart,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,350286004,,Diedenweg,Wageningen,Nee,Gemeente,Wageningen,Gelderland,,,,,POINT (175179.4389999993 443115.5949999988)
ongevallen_2019.12,20190010150,2019,Uitsluitend materiele schade,2,Personenauto,,Personenauto,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,504353086,,Mozartlaan,Hengelo,Ja,Gemeente,Hengelo,Overijssel,,,,,POINT (252561.1959999986 476670.6020000018)
ongevallen_2019.13,20190010273,2019,Uitsluitend materiele schade,1,Personenauto,,,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Bocht,Binnen,50,Brandend,Overig asfalt,Droog,Duisternis,,Droog,,,,,,,,283371052,,Havendreef,Almere,Nee,Gemeente,Almere,Flevoland,,,,,POINT (141794.4699999988 485773.6730000004)
ongevallen_2019.14,20190012081,2019,Uitsluitend materiele schade,2,Personenauto,,Personenauto,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Buiten,60,Niet brandend,Overig asfalt,Nat,Daglicht,,Regen,,,,WEG VERSMALLING,,,,366287015,,Kerklaan,Doorwerth,Nee,Gemeente,Renkum,Gelderland,,,,,POINT (183504.5610000007 444187.9050000012)
ongevallen_2019.15,20190013638,2019,Uitsluitend materiele schade,2,Personenauto,,Overig vast object,,Vast voorwerp,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Bocht,Binnen,50,Brandend,Overig asfalt,Nat,Duisternis,,Regen,,,,,,,,293358114,,Delta,Huizen,Ja,Gemeente,Huizen,Noord-Holland,,,,,POINT (146651.60599999875 479102.05900000036)
