;6000 - ICT overig;6110 - Aanschaf hardware;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal;;;6000 - ICT overig;6110 - Aanschaf hardware;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal;;;;
Agrovision B.V.;;;;;1101,1;1101,1;;Agrovision B.V.;;;;;1;1;;;;
Appical B.V.;;;;;18452,5;18452,5;;Appical B.V.;;;;;2;2;;;;
Arrow Holding B.V.;;;;;9033,26;9033,26;;Arrow Holding B.V.;;;;;1;1;;;;
AST Marine Sciences Ltd;;;;14975,56;;14975,56;;AST Marine Sciences Ltd;;;;2;;2;;;;
Atos Nederland B.V.;;;44066,75;;;44066,75;;Atos Nederland B.V.;;;2;;;2;;;;
BioAware SA N.V.;;;;;66949,42;66949,42;;BioAware SA N.V.;;;;;3;3;;;;
Buyitdirect.com B.V.;;;;1450,55;;1450,55;;Buyitdirect.com B.V.;;;;1;;1;;;;
Centralpoint Amstelveen B.V.;;-295,75;;1951,13;;1655,38;;Centralpoint Amstelveen B.V.;;;;1;;1;;;;
Centralpoint Nijmegen B.V.;;10734,56;;57576,89;1110,15;69421,6;;Centralpoint Nijmegen B.V.;;2;;3;1;3;;;;
CHEMDOX GmdH;;;;;741,13;741,13;;CHEMDOX GmdH;;;;;1;1;;;;
Cimsolutions;;;87692,33;;;87692,33;;Cimsolutions;;;3;;;3;;;;
CLS-Collecte Localisation Satellites;;;;210706,86;;210706,86;;CLS-Collecte Localisation Satellites;;;;4;;4;;;;
CM.COM Netherlands B.V.;;;;21441,72;;21441,72;;CM.COM Netherlands B.V.;;;;2;;2;;;;
Company.Info B.V.;;;;;1331;1331;;Company.Info B.V.;;;;;1;1;;;;
COMPAREX Nederland B.V.;;;;;25202,76;25202,76;;COMPAREX Nederland B.V.;;;;;2;2;;;;
Coosto B.V.;;;;;905,08;905,08;;Coosto B.V.;;;;;1;1;;;;
DataExpert B.V.;;;;;28168,8;28168,8;;DataExpert B.V.;;;;;2;2;;;;
De Staffing Groep Nederland B.V.;;;1796661,32;;;1796661,32;;De Staffing Groep Nederland B.V.;;;7;;;7;;;;
Dekimo Goes B.V.;;;;1040,6;1408,44;2449,04;;Dekimo Goes B.V.;;;;1;1;1;;;;
Deloitte Belastingadviseurs B.V.;;;;;33759;33759;;Deloitte Belastingadviseurs B.V.;;;;;2;2;;;;
Farnell (Netherlands) B.V.;;;;209,33;;209,33;;Farnell (Netherlands) B.V.;;;;1;;1;;;;
Fast Flex B.V.;;;225880,38;;;225880,38;;Fast Flex B.V.;;;4;;;4;;;;
FastSpring;;;;;264,16;264,16;;FastSpring;;;;;1;1;;;;
GH+O;24104,42;;;;;24104,42;;GH+O;2;;;;;2;;;;
HeadFirst B.V.;;;1009409,87;;;1009409,87;;HeadFirst B.V.;;;7;;;7;;;;
Improven B.V.;;;146071,2;;;146071,2;;Improven B.V.;;;4;;;4;;;;
Inmarsat Solutions B.V.;;;;116464,93;;116464,93;;Inmarsat Solutions B.V.;;;;4;;4;;;;
InsightsWorld B.V.;;;;;3267;3267;;InsightsWorld B.V.;;;;;1;1;;;;
ItaQ;;;264106,11;;;264106,11;;ItaQ;;;5;;;5;;;;
Kiwa Register B.V.;;;;;2178;2178;;Kiwa Register B.V.;;;;;1;1;;;;
KPN B.V.;;;;5545,24;;5545,24;;KPN B.V.;;;;1;;1;;;;
Laptops4all;;;;518;;518;;Laptops4all;;;;1;;1;;;;
LINKIT B.V.;;;809655,78;;;809655,78;;LINKIT B.V.;;;6;;;6;;;;
Locatus;;;;;145200;145200;;Locatus;;;;;4;4;;;;
Minerva Meettechniek B.V.;;;;;928,07;928,07;;Minerva Meettechniek B.V.;;;;;1;1;;;;
Ned-IT B.V.;359,37;;;;;359,37;;Ned-IT B.V.;1;;;;;1;;;;
Optima Forma B.V.;;;;;625,57;625,57;;Optima Forma B.V.;;;;;1;1;;;;
Orcavoice B.V.;;;;588,3;;588,3;;Orcavoice B.V.;;;;1;;1;;;;
Ordina Nederland B.V.;;;178821,06;;;178821,06;;Ordina Nederland B.V.;;;4;;;4;;;;
Paraben Corporation;;;;;666,84;666,84;;Paraben Corporation;;;;;1;1;;;;
Protinus IT B.V.;363;38028,15;;689065,04;16632,64;744088,83;;Protinus IT B.V.;1;2;;6;2;6;;;;
PW Consulting B.V.;;;69899,28;;;69899,28;;PW Consulting B.V.;;;3;;;3;;;;
Qiagen Benelux B.V.;;;;;58806;58806;;Qiagen Benelux B.V.;;;;;3;3;;;;
Satpower Nederland;;;;4657,29;;4657,29;;Satpower Nederland;;;;1;;1;;;;
Schiphol Connect B.V.;;;;3698,24;;3698,24;;Schiphol Connect B.V.;;;;1;;1;;;;
Schiphol Telematics B.V.;;;;7827,89;;7827,89;;Schiphol Telematics B.V.;;;;1;;1;;;;
Schippers IT B.V.;;;;;4306,09;4306,09;;Schippers IT B.V.;;;;;1;1;;;;
SoftwareONE B.V.;;;;;23440,31;23440,31;;SoftwareONE B.V.;;;;;2;2;;;;
Sogeti Nederland B.V.;;;281748,5;;;281748,5;;Sogeti Nederland B.V.;;;5;;;5;;;;
Stichting Kwaliteits-Controle-Bureau;;;;;21717,39;21717,39;;Stichting Kwaliteits-Controle-Bureau;;;;;2;2;;;;
Stichting Pleio;;;;;49610;49610;;Stichting Pleio;;;;;2;2;;;;
UnifiedPost B.V.;;;;;1131,38;1131,38;;UnifiedPost B.V.;;;;;1;1;;;;
Vodafone;;;;448710,16;;448710,16;;Vodafone;;;;5;;5;;;;
VSN International Limited;;;;;887,74;887,74;;VSN International Limited;;;;;1;1;;;;
Wildlife Monitoring Solutions B.V.;;;;1050;;1050;;Wildlife Monitoring Solutions B.V.;;;;1;;1;;;;
Yes Telecom Netherlands B.V.;;;;272,25;;272,25;;Yes Telecom Netherlands B.V.;;;;1;;1;;;;
Eindtotaal;24826,79;48466,96;4914012,58;1587749,98;517823,83;7092880,14;;Eindtotaal;2;2;7;7;6;8;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
